Datetime,Open,High,Low,Close,Volume
2024-01-10,149.89,149.89,149.89,149.89,190
2024-01-11,152.89,152.89,152.89,152.89,2230
2024-01-12,155.94,155.94,155.94,155.94,650
2024-01-15,159.06,159.06,159.06,159.06,200
2024-01-16,162.24,162.24,162.24,162.24,1150
2024-01-17,165.48,165.48,165.48,165.48,50
2024-01-18,168.78,168.78,168.78,168.78,30
2024-01-19,172.16,172.16,172.16,172.16,130
2024-01-20,175.6,175.6,175.6,175.6,100
2024-01-23,179.11,179.11,179.11,179.11,60
2024-01-24,182.69,182.69,182.69,182.69,1050
2024-01-29,186.35,186.35,186.35,186.35,110
2024-01-30,190.05,190.05,190.05,190.05,70
2024-01-31,193.85,193.85,193.85,193.85,50
2024-02-01,197.7,197.7,197.7,197.7,280
2024-02-02,201.65,201.65,201.65,201.65,140
2024-02-05,205.65,205.65,205.65,205.65,30
2024-02-06,209.75,209.75,209.75,209.75,10
2024-02-07,213.9,213.9,213.9,213.9,170
2024-02-08,217.9,218.15,217.9,218.15,6952
2024-02-09,222.5,222.5,222.5,222.5,4
2024-02-12,226.95,226.95,226.95,226.95,260
2024-02-13,231.45,231.45,231.45,231.45,130
2024-02-14,236.05,236.05,236.05,236.05,1
2024-02-15,240.75,240.75,240.75,240.75,10
2024-02-16,245.55,245.55,245.55,245.55,580
2024-02-19,250.45,250.45,250.45,250.45,300
2024-02-20,255.45,255.45,255.45,255.45,5
2024-02-21,260.55,260.55,260.55,260.55,70
2024-02-22,265.7,265.7,265.7,265.7,131
2024-02-23,271.0,271.0,271.0,271.0,70
2024-02-26,276.4,276.4,276.4,276.4,69
2024-02-27,281.9,281.9,281.9,281.9,565
2024-02-28,286.5,287.5,276.3,287.5,10062
2024-02-29,293.25,293.25,293.25,293.25,5960
2024-03-01,299.1,299.1,299.1,299.1,285
2024-03-04,305.05,305.05,305.05,305.05,252
2024-03-05,311.15,311.15,311.15,311.15,181
2024-03-06,317.35,317.35,317.35,317.35,80
2024-03-07,323.65,323.65,323.65,323.65,50
2024-03-11,330.05,330.1,330.05,330.1,469
2024-03-12,336.7,336.7,336.7,336.7,141
2024-03-13,343.4,343.4,330.0,330.0,8203
2024-03-14,323.4,323.4,323.4,323.4,3694
2024-03-15,316.95,316.95,316.95,316.95,3441
2024-03-18,310.65,310.65,310.65,310.65,1050
2024-03-19,304.45,304.45,304.45,304.45,6316
2024-03-20,298.5,303.0,298.4,303.0,12362
2024-03-21,309.05,309.05,309.05,309.05,1524
2024-03-22,315.2,315.2,315.2,315.2,393
2024-03-26,309.95,309.95,308.9,308.9,1459
2024-03-27,302.75,302.75,302.75,302.75,3357
2024-03-28,296.7,296.7,296.7,296.7,1518
2024-04-01,281.9,311.5,281.9,311.5,2993
2024-04-02,326.95,327.0,299.0,304.95,3302
2024-04-03,300.0,304.0,295.05,297.2,2068
2024-04-04,297.0,303.9,294.0,303.9,1327
2024-04-05,303.9,304.0,295.25,300.55,845
2024-04-08,304.4,315.55,300.1,315.55,13863
2024-04-09,325.0,331.3,315.5,331.3,8442
2024-04-10,332.0,347.85,324.5,324.8,22002
2024-04-12,324.8,341.0,324.8,341.0,3412
2024-04-15,359.95,359.95,308.7,315.05,19427
2024-04-16,319.95,346.55,310.5,335.0,8011
2024-04-18,350.15,367.25,348.0,355.6,5353
2024-04-19,337.85,355.0,337.85,352.3,4855
2024-04-22,355.0,368.0,345.1,365.7,4226
2024-04-23,375.0,375.0,360.0,370.4,4606
2024-04-24,388.0,388.0,364.05,375.8,1962
2024-04-25,375.8,394.55,375.8,394.55,3902
2024-04-26,414.25,414.25,414.25,414.25,2794
2024-04-29,434.95,434.95,434.95,434.95,1428
2024-04-30,456.65,456.65,456.65,456.65,2761
2024-05-02,479.45,479.45,479.45,479.45,1451
2024-05-03,503.4,503.4,503.4,503.4,1921
2024-05-06,528.55,528.55,528.55,528.55,900
2024-05-07,554.95,554.95,554.95,554.95,7530
2024-05-08,582.65,582.65,582.65,582.65,504
2024-05-09,611.75,611.75,611.75,611.75,1857
