Datetime,Open,High,Low,Close,Volume
2025-07-30,350.0,364.0,325.35,333.5,3200103
2025-07-31,325.0,345.0,320.95,331.05,794267
2025-08-01,332.3,334.1,308.2,312.3,326713
2025-08-04,313.85,321.6,299.85,305.45,128035
2025-08-05,310.55,331.95,306.9,316.0,444442
2025-08-06,310.55,319.6,307.2,309.1,165441
2025-08-07,306.15,316.3,306.15,311.45,158601
2025-08-08,312.4,334.45,311.9,319.75,358922
2025-08-11,328.25,330.3,314.0,316.6,110894
2025-08-12,318.15,326.0,316.6,321.65,118739
2025-08-13,324.35,339.7,321.1,330.4,145739
2025-08-14,332.25,337.8,320.3,322.35,69396
2025-08-18,328.95,334.0,324.65,332.95,104923
2025-08-19,336.0,339.7,332.4,336.85,155516
2025-08-20,344.0,353.0,334.95,342.65,269738
2025-08-21,344.8,345.0,335.85,338.35,127339
2025-08-22,338.35,353.0,330.0,345.3,237980
2025-08-25,346.1,379.8,340.7,378.3,615518
2025-08-26,375.95,375.95,350.1,354.75,242146
2025-08-28,356.0,356.0,336.05,338.25,70606
2025-08-29,338.9,349.05,330.95,342.2,87893
2025-09-01,344.85,355.0,339.3,353.35,90918
2025-09-02,354.95,356.85,340.75,342.6,62713
2025-09-03,342.6,362.2,341.9,359.55,114847
2025-09-04,361.05,366.55,350.0,355.45,36920
2025-09-05,355.5,370.0,351.5,363.9,116983
2025-09-08,374.8,374.8,358.6,360.9,39432
2025-09-09,360.9,362.85,351.7,353.2,37412
2025-09-10,353.05,361.7,341.0,345.4,101930
2025-09-11,347.05,354.2,345.5,350.2,33958
2025-09-12,347.0,361.15,347.0,355.0,20406
2025-09-15,359.9,360.0,351.45,354.95,14385
2025-09-16,357.8,375.15,357.8,371.85,58140
2025-09-17,372.0,375.15,369.3,371.85,16627
2025-09-18,374.95,401.45,371.45,390.75,173438
2025-09-19,385.0,394.05,376.55,378.15,50690
2025-09-22,378.05,386.4,371.6,375.65,42379
2025-09-23,378.0,378.35,367.25,373.55,18682
2025-09-24,372.95,372.95,360.6,361.65,31933
2025-09-25,362.2,363.55,350.55,353.1,19663
2025-09-26,351.0,351.55,341.25,345.3,37242
2025-09-29,354.75,354.75,334.4,336.5,22452
2025-09-30,334.0,351.7,334.0,348.7,16402
2025-10-01,360.0,360.0,343.8,352.25,19488
2025-10-03,352.4,356.75,348.85,352.55,28848
2025-10-06,354.7,354.7,342.0,343.75,9950
2025-10-07,340.05,344.65,335.5,338.5,13013
2025-10-08,337.0,341.75,333.0,335.15,22525
2025-10-09,334.25,346.0,333.55,343.4,9949
2025-10-10,342.05,347.95,334.1,335.55,9970
2025-10-13,333.0,333.0,317.4,319.45,24791
2025-10-14,321.4,322.9,302.0,316.0,33792
2025-10-15,322.05,334.5,316.9,332.95,40569
2025-10-16,332.65,335.6,324.5,326.1,20193
2025-10-17,332.65,333.75,320.0,322.9,7005
2025-10-20,325.0,327.2,319.1,324.75,18434
2025-10-21,328.0,334.0,325.35,332.8,13093
2025-10-23,330.55,334.65,325.0,325.2,8861
2025-10-24,322.15,328.7,322.15,325.05,7854
2025-10-27,320.05,328.4,320.05,322.3,16102
2025-10-28,324.2,326.5,322.85,324.9,5395
2025-10-29,323.1,324.2,321.6,323.1,4091
2025-10-30,329.0,329.0,322.55,324.8,3051
2025-10-31,326.0,338.75,323.4,334.65,8891
2025-11-03,339.0,343.05,333.25,336.45,12632
2025-11-04,337.2,352.6,337.2,346.15,27795
2025-11-06,353.2,355.9,334.05,343.8,26584
2025-11-07,339.05,345.2,334.85,336.75,8215
2025-11-10,333.5,355.05,333.5,340.4,15936
2025-11-11,337.15,343.9,333.0,339.5,19274
2025-11-12,340.0,340.0,331.0,337.2,8647
2025-11-13,332.25,349.0,332.25,336.55,8914
2025-11-14,341.9,341.9,330.05,332.25,5903
2025-11-17,334.1,336.95,330.9,332.4,3248
2025-11-18,330.35,334.35,325.0,325.75,4128
2025-11-19,331.9,336.0,318.7,322.55,9533
2025-11-20,319.15,337.9,319.15,335.9,9811
2025-11-21,334.95,334.95,320.25,325.25,4265
2025-11-24,320.05,329.55,320.05,325.9,7827
2025-11-25,326.15,335.2,322.1,334.15,6280
2025-11-26,339.0,339.0,329.85,332.0,5325
2025-11-27,332.0,339.9,331.7,338.15,7737
2025-11-28,331.1,336.25,331.1,332.0,3002
2025-12-01,326.05,334.3,323.75,324.25,13092
2025-12-02,325.45,328.9,321.05,322.65,5814
2025-12-03,320.05,324.35,315.95,318.6,4166
2025-12-04,320.4,325.0,318.05,323.05,5037
2025-12-05,322.35,322.35,312.9,315.15,3932
2025-12-08,312.05,316.7,295.0,303.0,9706
2025-12-09,301.35,301.35,286.9,287.95,12016
2025-12-10,299.5,299.5,284.4,287.9,9550
2025-12-11,287.0,287.0,276.0,277.8,8355
2025-12-12,280.55,282.0,277.7,278.65,7729
2025-12-15,278.7,304.25,277.25,298.1,11109
2025-12-16,294.0,307.85,294.0,296.75,7831
2025-12-17,297.6,304.6,292.25,293.95,7341
2025-12-18,294.0,294.0,287.6,288.6,2125
2025-12-19,290.65,302.75,289.95,300.65,3713
2025-12-22,302.45,312.1,301.5,309.55,4171
2025-12-23,301.85,315.6,301.85,310.95,2762
2025-12-24,306.25,319.65,306.25,318.1,3505
2025-12-26,311.0,317.55,308.15,315.25,5693
2025-12-29,316.35,316.35,307.0,307.75,1922
2025-12-30,306.25,307.5,303.4,305.2,1153
2025-12-31,306.0,314.2,305.75,307.85,2319
2026-01-01,310.95,315.6,308.4,309.95,6292
2026-01-02,307.05,315.2,307.05,311.6,3552
2026-01-05,307.0,312.95,306.25,309.3,6238
2026-01-06,311.0,318.75,307.0,311.55,8150
2026-01-07,338.95,338.95,306.1,307.35,4837
2026-01-08,305.0,308.7,293.4,295.15,4099
2026-01-09,289.9,297.0,283.7,287.4,7569
2026-01-12,283.7,285.0,271.95,280.65,5869
2026-01-13,276.1,289.45,276.1,284.7,4740
2026-01-14,289.0,289.0,277.7,278.85,3245
2026-01-16,278.0,289.85,278.0,284.5,3473
2026-01-19,280.0,281.55,273.35,274.8,4237
2026-01-20,273.35,276.3,258.4,259.7,5741
2026-01-21,260.3,271.35,249.6,256.5,8275
2026-01-22,258.0,267.0,255.45,264.0,4284
2026-01-23,265.0,265.45,249.9,252.1,4974
2026-01-27,250.0,250.0,239.0,242.9,5774
2026-01-28,242.9,258.55,242.9,253.3,5112
2026-01-29,254.9,254.9,241.8,244.45,5158
2026-01-30,241.0,254.3,240.2,251.25,8097
2026-02-01,248.75,265.0,248.75,256.35,4259
2026-02-02,261.5,261.5,244.9,253.85,2530
2026-02-03,257.3,279.2,257.3,279.2,4459
2026-02-04,286.35,290.7,278.0,289.65,4977
2026-02-05,291.05,295.8,285.55,292.85,7167
2026-02-06,311.55,322.1,311.0,322.1,105301
2026-02-09,343.0,354.3,327.65,337.4,269626
2026-02-10,338.05,351.0,330.55,335.55,41687
2026-02-11,330.05,351.0,321.0,333.9,18275
2026-02-12,335.25,343.85,326.3,329.75,3243
2026-02-13,324.05,340.0,319.85,336.2,3364
2026-02-16,331.4,345.0,331.4,333.35,5429
2026-02-17,335.0,345.0,331.05,343.65,8168
2026-02-18,348.0,351.0,343.3,345.2,10594
2026-02-19,349.9,358.0,340.05,344.1,13688
2026-02-20,349.0,361.3,349.0,361.3,32095
2026-02-23,361.0,378.5,359.95,374.75,22092
2026-02-24,372.4,376.1,363.85,373.1,8201
2026-02-25,366.05,373.85,362.15,366.2,3607
2026-02-26,362.55,377.3,362.55,375.1,8532
2026-02-27,370.8,387.25,368.9,385.0,12296
2026-03-02,369.0,380.0,365.75,366.35,13811
2026-03-04,359.2,359.2,348.05,348.05,6422
2026-03-05,330.8,365.45,330.65,362.05,16089
2026-03-06,363.1,364.55,347.35,348.65,4335
2026-03-09,340.0,343.45,331.25,340.7,9568
2026-03-10,355.0,357.7,355.0,357.7,5017
2026-03-11,373.95,375.55,358.1,375.35,33040
2026-03-12,369.9,392.0,365.0,387.45,25950
2026-03-13,393.15,393.15,374.4,387.7,9825
2026-03-16,379.05,379.05,368.35,368.35,9543
2026-03-17,371.95,385.9,366.65,376.25,11296
2026-03-18,377.65,395.05,377.65,389.65,15804
2026-03-19,381.05,392.8,375.0,378.55,13555
2026-03-20,378.0,397.45,374.05,380.75,44077
2026-03-23,381.85,382.0,364.0,374.7,21556
2026-03-24,389.0,393.4,378.65,390.4,17483
2026-03-25,386.1,409.9,379.0,381.15,41166
2026-03-27,381.8,389.15,369.1,370.55,14709
2026-03-30,368.0,371.4,352.05,352.15,11426
2026-04-01,369.65,369.75,352.15,362.15,13968
2026-04-02,360.0,369.95,345.65,368.3,12402
2026-04-06,374.0,374.0,357.9,367.65,9786
2026-04-07,367.65,384.65,362.45,374.05,14732
2026-04-08,395.9,400.65,373.2,376.2,21716
2026-04-09,376.2,384.85,369.15,371.5,16542
2026-04-10,375.0,408.65,375.0,408.45,42776
2026-04-13,399.95,425.0,392.0,419.15,34037
2026-04-15,420.5,438.55,420.35,423.4,26611
2026-04-16,429.65,436.0,412.5,416.65,16592
2026-04-17,431.95,431.95,416.35,426.15,9851
2026-04-20,425.55,433.55,409.0,412.05,15054
2026-04-21,424.0,424.0,409.0,415.05,7435
2026-04-22,401.0,408.55,373.55,373.75,63461
2026-04-23,378.05,383.25,354.75,370.1,42768
2026-04-24,378.6,391.6,376.0,384.45,32007
2026-04-27,380.05,397.5,379.55,385.35,12094
2026-04-28,380.05,422.85,380.0,412.95,27762
2026-04-29,415.6,421.5,408.0,412.15,9641
2026-04-30,416.75,430.0,414.0,424.1,18846
2026-05-04,432.6,461.6,427.0,453.05,23931
2026-05-05,460.0,463.65,445.0,452.6,30651
2026-05-06,475.0,485.35,427.65,434.2,112187
2026-05-07,435.85,447.3,415.0,442.3,50466
