Datetime,Open,High,Low,Close,Volume
2024-09-04,391.3,456.0,380.1,442.8,2282494
2024-09-05,452.15,488.75,452.15,474.05,650717
2024-09-06,479.95,481.1,430.85,438.6,356168
2024-09-09,439.95,497.0,412.5,480.85,523030
2024-09-10,497.05,525.0,474.1,488.85,490191
2024-09-11,493.0,500.55,475.15,482.9,136820
2024-09-12,480.05,508.95,466.8,503.3,247234
2024-09-13,504.45,518.3,487.0,495.3,332224
2024-09-16,495.7,500.75,478.7,494.15,171100
2024-09-17,492.45,592.95,492.45,590.35,605890
2024-09-18,584.05,587.0,546.4,559.75,224872
2024-09-19,550.75,567.95,493.0,500.3,253701
2024-09-20,507.5,517.95,492.4,507.65,125463
2024-09-23,516.95,526.3,500.7,512.75,94387
2024-09-24,512.45,512.45,492.7,497.6,95879
2024-09-25,481.0,491.85,474.1,486.55,73062
2024-09-26,486.85,489.95,470.6,475.55,55582
2024-09-27,473.2,477.15,454.0,461.1,76691
2024-09-30,460.0,462.85,441.15,453.65,81691
2024-10-01,457.9,479.0,452.3,468.9,71582
2024-10-03,456.0,480.05,456.0,475.5,55270
2024-10-04,470.0,483.5,464.05,474.25,44122
2024-10-07,464.8,482.0,452.6,469.9,23557
2024-10-08,455.05,471.55,455.05,465.85,22227
2024-10-09,467.85,494.6,467.85,490.75,26578
2024-10-10,490.15,492.85,473.2,477.0,22729
2024-10-11,477.0,479.6,468.0,471.75,9757
2024-10-14,471.55,475.35,459.5,464.05,18952
2024-10-15,457.3,470.75,455.9,459.7,6443
2024-10-16,455.85,458.95,447.6,451.2,20328
2024-10-17,451.2,454.4,435.55,443.9,24772
2024-10-18,442.0,447.95,433.9,444.6,8073
2024-10-21,436.9,449.3,429.55,433.95,6755
2024-10-22,427.0,434.4,395.0,397.95,25388
2024-10-23,398.0,443.0,392.6,425.7,38497
2024-10-24,425.7,425.7,390.05,392.5,10058
2024-10-25,390.05,397.05,368.8,371.75,16747
2024-10-28,376.95,377.0,358.5,369.95,28855
2024-10-29,371.0,377.7,368.35,375.45,13448
2024-10-30,376.15,402.95,370.1,396.6,22280
2024-10-31,396.6,405.15,394.75,399.3,6693
2024-11-01,420.0,420.0,399.9,403.25,3584
2024-11-04,400.0,403.6,384.85,390.85,11911
2024-11-05,390.0,398.25,389.65,393.35,4291
2024-11-06,393.35,436.85,393.35,432.65,21931
2024-11-07,426.95,435.0,413.0,417.2,11359
2024-11-08,416.65,416.65,404.3,412.95,15142
2024-11-11,411.3,433.95,402.8,406.7,25492
2024-11-12,390.05,404.25,379.3,382.0,25424
2024-11-13,380.75,380.75,348.0,351.65,14377
2024-11-14,353.95,360.65,348.55,350.5,6890
2024-11-18,351.05,353.5,337.7,344.05,12049
2024-11-19,355.0,355.65,331.0,334.95,18148
2024-11-21,331.05,337.0,323.7,325.8,18259
2024-11-22,326.0,333.55,323.85,331.2,6218
2024-11-25,332.05,342.9,324.0,327.0,16963
2024-11-26,327.0,347.25,326.55,335.55,25628
2024-11-27,338.75,340.9,336.4,339.75,8606
2024-11-28,344.95,354.85,339.65,342.05,27259
2024-11-29,349.0,349.0,337.0,341.65,7106
2024-12-02,334.45,342.5,327.65,333.2,17105
2024-12-03,334.45,336.7,329.0,331.0,12754
2024-12-04,337.35,352.65,331.95,337.4,55068
2024-12-05,339.05,342.4,333.1,335.7,10451
2024-12-06,337.15,345.55,335.2,336.9,17677
2024-12-09,335.1,344.2,331.25,332.6,17727
2024-12-10,332.6,338.0,326.0,329.8,18767
2024-12-11,328.55,334.25,328.55,330.15,12565
2024-12-12,330.15,330.15,323.0,325.7,13305
2024-12-13,326.0,327.5,312.0,315.75,46814
2024-12-16,315.8,317.85,307.05,309.55,15834
2024-12-17,309.05,319.45,305.0,315.05,18618
2024-12-18,318.95,318.95,295.25,302.6,31942
2024-12-19,298.05,306.0,296.15,300.9,5742
2024-12-20,296.3,303.1,290.9,293.15,8381
2024-12-23,293.2,299.45,279.0,281.85,18763
2024-12-24,283.85,293.5,281.8,289.35,16274
2024-12-26,291.05,293.15,285.75,287.0,4954
2024-12-27,284.0,295.5,284.0,285.4,15792
2024-12-30,286.1,291.1,278.55,279.6,5803
2024-12-31,279.45,283.45,275.4,279.85,9973
