Datetime,Open,High,Low,Close,Volume
2019-05-28,182.5,204.45,182.5,194.93,268
2019-05-29,194.0,194.0,186.03,187.13,238
2019-05-30,181.15,194.48,181.0,189.3,380
2019-06-10,185.0,185.0,175.0,177.98,1678
2019-06-11,185.0,185.0,183.0,184.0,20
2019-06-12,184.35,184.35,177.5,180.9,172
2019-06-18,175.0,183.95,175.0,176.75,44
2019-06-19,175.0,177.55,172.5,172.75,246
2019-06-20,172.5,177.28,170.0,177.28,188
2019-06-21,178.0,178.0,177.5,177.5,174
2019-06-24,176.0,187.48,175.18,176.95,302
2019-06-25,176.63,179.45,176.63,179.45,136
2019-06-26,177.33,179.0,177.33,179.0,74
2019-06-27,180.0,188.3,180.0,182.28,398
2019-07-01,182.5,182.5,182.5,182.5,16
2019-07-03,204.0,204.5,176.0,182.5,310
2019-07-08,175.0,175.0,175.0,175.0,50
2019-07-09,175.0,175.0,168.5,171.78,10
2019-07-10,172.05,172.05,168.9,170.5,80
2019-07-11,167.5,190.5,167.5,170.5,10
2019-07-12,169.98,169.98,164.05,166.2,444
2019-07-15,174.0,174.0,160.0,162.28,242
2019-07-16,162.5,162.5,156.8,160.03,122
2019-07-17,160.0,165.0,160.0,165.0,240
2019-07-18,171.98,171.98,165.0,165.58,420
2019-07-19,165.0,165.43,153.25,153.6,150
2019-07-22,154.0,162.5,153.75,153.93,146
2019-07-23,153.55,162.5,153.55,156.0,112
2019-07-24,153.55,158.5,151.03,154.43,864
2019-07-25,154.0,156.5,154.0,154.0,132
2019-07-26,157.5,157.5,157.5,157.5,100
2019-07-29,157.5,157.5,154.03,154.03,102
2019-07-30,150.5,150.5,150.5,150.5,80
2019-07-31,145.0,150.5,145.0,145.0,1192
2019-08-01,145.0,145.0,127.5,138.5,4386
2019-08-02,135.0,145.0,133.0,140.5,554
2019-08-05,135.0,140.5,135.0,139.85,282
2019-08-06,137.73,143.95,137.5,142.45,4470
2019-08-07,142.5,143.5,138.03,138.03,438
2019-08-08,142.0,142.13,138.0,139.5,160
2019-08-09,139.0,142.5,138.5,142.5,674
2019-08-13,142.5,144.85,140.0,144.7,186
2019-08-14,139.9,149.0,139.5,146.0,1066
2019-08-16,144.85,144.85,144.85,144.85,2
2019-08-19,145.4,150.0,144.4,147.03,318
2019-08-20,150.5,151.5,150.5,151.25,210
2019-08-21,151.0,151.1,149.5,151.1,258
2019-08-22,154.8,154.8,150.0,151.5,238
2019-08-26,145.0,147.05,144.68,145.95,250
2019-08-27,145.28,145.5,144.5,145.05,110
2019-08-28,145.0,147.5,144.0,144.5,10
2019-08-29,147.5,149.53,145.0,147.98,88
2019-08-30,142.5,148.5,142.5,146.18,246
2019-09-11,151.5,158.0,151.5,156.25,604
2019-09-12,152.1,156.5,152.1,152.3,20
2019-09-16,157.03,165.0,156.98,163.75,738
2019-09-17,156.18,156.18,156.18,156.18,14
2019-09-18,165.0,172.98,157.5,158.1,1866
2019-09-19,158.5,158.57,152.5,158.5,800
