Datetime,Open,High,Low,Close,Volume
2019-05-28,28.8,29.9,28.3,28.6,24073
2019-05-29,29.2,29.5,28.55,28.85,27109
2019-05-30,28.85,29.25,28.6,28.9,21345
2019-06-03,28.0,28.7,27.1,27.2,15200
2019-06-10,26.0,26.0,25.05,25.15,4202
2019-06-11,25.15,25.5,24.8,25.15,7326
2019-06-12,25.5,25.55,24.85,24.95,3614
2019-06-13,24.6,26.9,24.5,25.75,19863
2019-06-14,25.9,26.15,24.65,25.15,36108
2019-06-17,24.95,25.0,24.6,24.9,10875
2019-06-18,24.9,25.15,24.65,25.0,18190
2019-06-19,25.4,25.4,23.8,23.9,10184
2019-06-20,23.25,24.1,23.2,23.8,4759
2019-06-21,24.15,25.0,24.0,24.7,8901
2019-06-24,24.7,25.3,24.35,25.1,11165
2019-06-25,24.5,25.0,24.3,24.4,9485
2019-06-26,24.05,25.0,24.05,24.7,15292
2019-06-27,24.65,25.2,24.5,24.6,8281
2019-06-28,24.5,24.8,24.25,24.4,3730
2019-07-01,24.6,25.0,24.25,24.8,5528
2019-07-02,24.9,25.15,24.65,24.65,3272
2019-07-03,24.75,24.8,24.5,24.55,407
2019-07-04,24.6,25.1,24.35,24.5,3981
2019-07-05,24.5,25.2,24.0,24.8,30508
2019-07-08,24.6,24.7,24.0,24.55,33644
2019-07-09,24.4,25.45,24.0,25.05,12191
2019-07-10,24.6,24.7,24.55,24.55,2450
2019-07-11,24.9,25.05,24.2,24.3,12989
2019-07-12,24.5,24.5,23.85,24.0,10719
2019-07-15,24.0,24.05,23.0,23.1,12689
2019-07-16,23.0,23.25,19.75,21.05,70289
2019-07-17,21.2,21.2,20.55,20.7,10379
2019-07-18,20.75,20.8,20.1,20.3,11461
2019-07-19,20.65,20.7,19.6,19.75,16607
2019-07-22,19.1,19.15,18.45,18.8,22746
2019-07-23,18.85,19.5,18.8,19.2,19429
2019-07-24,19.05,19.2,18.65,18.7,12735
2019-07-25,18.8,21.7,18.5,20.2,48621
2019-07-26,20.0,21.95,19.15,20.75,20123
2019-07-29,20.7,21.25,20.0,20.15,33027
2019-07-30,20.0,20.4,18.85,19.5,23391
2019-07-31,19.05,20.05,18.85,20.0,9795
2019-08-01,19.8,20.1,19.5,19.85,13515
2019-08-02,19.7,20.3,19.6,19.9,15971
2019-08-05,19.9,20.05,19.55,19.95,5618
2019-08-06,19.8,20.3,19.8,20.2,30553
2019-08-07,20.2,21.0,20.0,20.7,39960
2019-08-08,20.7,20.7,20.15,20.4,5578
2019-08-09,20.6,20.85,20.1,20.55,20242
2019-08-13,20.55,22.85,20.25,21.3,28954
2019-08-14,21.1,21.35,20.4,20.5,7420
2019-08-16,20.25,20.9,19.65,20.0,4050
2019-08-19,20.35,21.8,20.3,21.5,11984
2019-08-20,21.45,21.5,20.85,21.35,9809
2019-08-21,21.25,21.35,19.65,19.85,13641
2019-08-22,19.8,20.0,19.3,19.4,16971
2019-08-23,19.3,19.3,18.2,18.75,21872
2019-08-26,19.0,19.15,18.2,18.35,21304
2019-08-27,18.45,19.65,18.45,19.6,11488
2019-08-28,19.55,20.05,19.0,19.4,18546
2019-08-29,19.1,19.6,18.1,19.05,40538
2019-08-30,19.1,19.35,18.9,19.0,7869
2019-09-03,18.85,19.2,18.2,18.35,26790
2019-09-04,18.35,19.15,18.35,19.05,7563
2019-09-05,19.0,19.7,19.0,19.6,4104
2019-09-06,19.15,20.75,19.15,20.55,20156
2019-09-11,21.6,22.4,21.6,21.7,13015
2019-09-12,21.9,23.6,21.8,21.9,22944
2019-09-13,22.25,23.3,21.9,22.55,25250
2019-09-16,22.7,26.2,22.4,25.45,91409
2019-09-17,25.9,26.8,25.1,25.3,75688
2019-09-18,25.85,26.25,24.4,24.75,15833
2019-09-19,24.35,24.35,23.4,23.85,19279
2019-09-20,23.75,26.0,23.55,24.8,20301
2019-09-23,27.45,27.45,24.65,25.1,16869
2019-09-24,25.8,29.0,24.5,28.3,149357
2019-09-25,28.3,28.3,26.5,26.8,48404
2019-09-26,28.8,28.8,26.1,26.75,9957
2019-09-27,26.4,26.95,25.6,26.65,4380
2019-09-30,26.15,27.6,25.0,27.25,21033
2019-10-01,29.55,29.55,26.6,27.1,36108
2019-10-03,26.3,27.3,26.3,26.4,1490
2019-10-04,26.1,26.85,26.05,26.2,2641
2019-10-07,25.55,26.0,25.25,25.35,3520
2019-10-09,24.75,25.2,24.75,25.05,2036
2019-10-10,25.25,26.0,25.1,25.1,2505
2019-10-11,25.05,25.75,24.5,24.6,4066
2019-10-14,25.85,25.85,23.9,23.95,5934
2019-10-15,24.0,24.0,23.0,23.2,8297
2019-10-16,24.15,27.3,23.15,23.4,7705
2019-10-17,25.3,25.3,23.55,24.05,4638
2019-10-18,22.5,25.2,22.5,24.7,3133
2019-10-22,24.2,24.8,24.1,24.4,5548
2019-10-23,23.6,24.2,20.5,23.95,15076
2019-10-24,23.85,24.8,23.85,24.3,5065
2019-10-25,24.1,24.85,24.1,24.65,13244
2019-10-29,25.2,27.15,25.2,26.0,18907
2019-10-30,26.0,27.2,26.0,26.3,18823
2019-10-31,26.95,28.4,26.0,27.25,28924
2019-11-01,28.4,28.4,26.85,28.05,11705
2019-11-04,29.8,29.95,28.5,28.7,41692
2019-11-05,28.05,28.05,26.9,27.05,11978
2019-11-06,26.8,27.3,26.5,26.8,21560
2019-11-07,26.8,27.0,26.0,26.2,5466
2019-11-08,26.2,26.75,26.05,26.25,7386
2019-11-13,26.5,26.5,25.8,26.1,4655
2019-11-14,25.7,25.8,25.0,25.1,4923
