Datetime,Open,High,Low,Close,Volume
2021-03-16,1.05,1.05,1.05,1.05,167000
2024-08-26,1.1,1.1,1.1,1.1,10000
2024-08-27,1.16,1.16,1.16,1.16,5000
2024-08-28,1.21,1.21,1.21,1.21,1000
2024-08-29,1.27,1.27,1.27,1.27,2000
2024-08-30,1.34,1.34,1.34,1.34,1500
2024-09-02,1.4,1.4,1.4,1.4,1500
2024-09-03,1.47,1.47,1.47,1.47,1000
2024-09-04,1.55,1.55,1.55,1.55,5000
2024-09-05,1.62,1.62,1.62,1.62,1500
2024-09-06,1.7,1.7,1.7,1.7,1500
2024-09-09,1.79,1.79,1.79,1.79,1450
2024-09-10,1.88,1.88,1.88,1.88,1000
2024-09-11,1.97,1.97,1.97,1.97,2000
2024-09-12,2.07,2.07,2.07,2.07,2000
2024-09-13,2.17,2.17,2.17,2.17,1500
2024-09-16,2.28,2.28,2.28,2.28,1000
2024-09-17,2.39,2.39,2.39,2.39,1500
2024-09-18,2.51,2.51,2.51,2.51,2000
2024-09-19,2.64,2.64,2.64,2.64,1500
2024-09-20,2.77,2.77,2.77,2.77,2000
2024-09-23,2.82,2.82,2.82,2.82,2000
2024-09-25,2.88,2.88,2.88,2.88,2500
2024-09-26,2.94,2.94,2.94,2.94,2000
2024-09-27,3.0,3.0,3.0,3.0,2000
2024-09-30,3.05,3.05,3.05,3.05,2000
2024-10-01,3.12,3.12,3.12,3.12,2500
2024-10-03,3.18,3.18,3.18,3.18,2000
2024-10-04,3.24,3.24,3.24,3.24,2000
2024-10-07,3.3,3.3,3.3,3.3,2000
2024-10-08,3.37,3.37,3.37,3.37,2500
2024-10-09,3.44,3.44,3.44,3.44,2000
2024-10-10,3.51,3.51,3.51,3.51,2000
2024-10-11,3.58,3.58,3.58,3.58,5000
2024-10-14,3.65,3.65,3.65,3.65,4000
2024-10-15,3.72,3.72,3.72,3.72,2000
2024-10-16,3.79,3.79,3.79,3.79,2000
2024-10-17,3.87,3.87,3.87,3.87,2000
2024-10-18,3.94,3.94,3.94,3.94,2500
2024-10-21,4.02,4.02,4.02,4.02,2000
2024-10-22,4.1,4.1,4.1,4.1,2000
2024-10-23,4.18,4.18,4.18,4.18,1500
2024-10-24,4.27,4.27,4.27,4.27,2000
2024-10-25,4.35,4.35,4.35,4.35,2000
2024-10-28,4.44,4.44,4.44,4.44,2500
2024-10-29,4.53,4.53,4.53,4.53,2000
2024-10-30,4.62,4.62,4.62,4.62,2000
2024-10-31,4.71,4.71,4.71,4.71,3000
2024-11-04,4.8,4.8,4.8,4.8,1500
2024-11-05,4.9,4.9,4.9,4.9,1000
2024-11-06,5.0,5.0,5.0,5.0,1470
2024-11-07,5.1,5.1,5.1,5.1,1150
2024-11-08,5.2,5.2,5.2,5.2,1050
2024-11-11,5.3,5.3,5.3,5.3,1230
2024-11-12,5.4,5.4,5.4,5.4,1240
