Datetime,Open,High,Low,Close,Volume
2019-05-28,354.85,354.85,340.0,342.85,56239
2019-05-29,341.0,347.0,340.05,343.65,60271
2019-05-30,340.05,344.65,334.75,342.35,16539
2019-06-03,348.05,353.9,348.05,349.15,10169
2019-06-10,347.0,347.0,336.75,342.95,5365
2019-06-11,341.35,343.3,338.1,339.45,43760
2019-06-12,342.0,342.0,337.0,339.9,3441
2019-06-13,341.95,342.05,333.45,335.95,10484
2019-06-14,335.25,337.55,330.25,331.45,6967
2019-06-17,331.8,332.75,323.5,326.35,58177
2019-06-18,328.0,329.3,317.15,322.0,168254
2019-06-19,324.8,324.8,315.0,318.6,63083
2019-06-20,310.0,314.5,304.75,307.1,25681
2019-06-21,307.15,307.15,283.25,289.25,62521
2019-06-24,279.9,284.3,246.0,267.3,58099217
2019-06-25,272.0,300.95,271.75,290.8,709753
2019-06-26,288.9,325.8,286.8,317.95,666867
2019-06-27,321.0,321.95,300.65,302.3,234158
2019-06-28,300.0,309.25,291.7,298.7,199377
2019-07-01,298.0,309.0,295.05,296.6,89177
2019-07-02,296.85,304.3,296.1,302.65,139732
2019-07-03,303.1,306.0,301.7,303.7,25601
2019-07-04,304.9,308.9,298.2,307.65,32270
2019-07-05,308.0,310.6,304.65,307.35,21128
2019-07-08,305.75,306.75,300.0,301.55,18522
2019-07-09,304.0,304.0,291.35,300.45,28426
2019-07-10,300.05,303.45,294.05,296.9,11701
2019-07-11,300.0,304.65,297.0,300.35,18038
2019-07-12,303.0,312.35,302.75,309.95,30670
2019-07-15,312.9,318.25,311.7,315.5,21287
2019-07-16,315.95,330.0,315.6,319.6,34592
2019-07-17,319.9,348.75,305.75,323.05,183963
2019-07-18,325.0,325.2,318.95,320.75,7449
2019-07-19,322.05,328.8,317.9,319.6,14683
2019-07-22,317.4,324.4,315.0,316.65,11750
2019-07-23,319.95,321.3,316.25,319.9,4207
2019-07-24,322.7,323.85,317.65,319.0,8882
2019-07-25,321.9,324.8,316.05,319.2,7227
2019-07-26,321.55,327.0,319.0,324.0,6289
2019-07-29,323.7,328.0,321.35,325.95,8048
2019-07-30,325.25,328.7,320.0,321.95,4747
2019-07-31,321.05,326.0,318.1,319.8,7098
2019-08-01,317.7,325.5,316.4,318.1,4504
2019-08-02,318.85,318.85,301.5,311.75,56123
2019-08-05,310.0,316.0,308.5,311.2,9865
2019-08-06,313.0,315.0,310.2,313.75,4313
2019-08-07,314.15,316.35,302.45,307.85,12168
2019-08-08,311.35,319.2,300.45,312.1,58400
2019-08-09,315.9,318.25,305.2,311.1,14568
2019-08-13,313.0,314.15,296.65,300.3,10085
2019-08-14,303.6,305.3,296.5,298.9,6712
2019-08-16,299.0,304.45,297.75,301.05,19903
2019-08-19,301.0,303.9,297.8,298.45,4548
2019-08-20,299.1,301.15,291.85,297.0,6132
2019-08-21,298.75,300.35,291.9,292.35,4558
