Datetime,Open,High,Low,Close,Volume
2019-05-28,468.35,473.0,466.8,468.75,202
2019-05-29,470.0,478.0,470.0,471.5,60
2019-05-30,470.1,497.0,470.1,486.0,153
2019-06-03,484.9,485.0,470.0,473.15,651
2019-06-10,429.0,465.0,425.0,465.0,9
2019-06-11,461.95,461.95,436.0,449.75,1046
2019-06-12,437.0,450.0,435.55,442.45,638
2019-06-13,439.0,439.0,428.05,435.35,591
2019-06-14,445.0,445.0,429.0,429.95,477
2019-06-17,426.1,429.95,425.0,429.95,15
2019-06-18,425.0,444.95,411.0,435.25,287
2019-06-19,430.0,432.0,418.0,430.0,129
2019-06-20,420.0,447.0,415.0,431.55,204
2019-06-21,440.0,440.0,430.25,430.25,15
2019-06-24,411.0,449.95,400.0,440.0,60
2019-06-25,432.0,440.0,422.0,439.35,625
2019-06-26,438.0,446.25,424.0,441.35,693
2019-06-27,428.0,445.0,427.0,438.3,560
2019-06-28,435.0,445.35,430.0,441.3,324
2019-07-03,429.9,430.0,420.25,425.8,291
2019-07-05,420.0,430.0,419.0,423.05,751
2019-07-08,439.85,439.85,408.0,412.6,137
2019-07-09,413.15,418.95,413.15,414.15,97
2019-07-10,415.0,415.0,410.0,410.15,109
2019-07-12,406.0,410.0,403.05,410.0,401
2019-07-15,404.9,423.8,403.25,413.4,327
2019-07-16,412.0,421.0,410.0,410.85,241
2019-07-17,410.85,417.0,410.0,415.0,64
2019-07-18,405.25,410.7,405.0,410.7,303
2019-07-19,398.0,402.0,397.0,401.25,519
2019-07-22,400.75,415.0,390.3,406.25,716
2019-07-24,398.0,404.25,398.0,400.55,65
2019-07-25,395.0,400.0,391.0,400.0,67
2019-07-29,397.0,397.0,397.0,397.0,10
2019-07-30,395.0,395.0,391.25,395.0,12
2019-08-01,391.0,391.0,390.0,390.0,22
2019-08-02,380.0,400.0,375.35,387.95,1095
2019-08-05,376.0,390.0,375.1,390.0,13
2019-08-06,369.65,402.5,361.8,393.05,1687
2019-08-07,390.05,390.05,382.0,387.8,16
2019-08-08,394.8,394.8,374.1,383.45,72
2019-08-09,384.4,384.4,384.0,384.0,45
2019-08-13,378.4,378.4,377.9,378.3,12
2019-08-14,375.1,396.0,375.0,391.8,92
2019-08-16,374.3,385.0,374.3,378.7,143
2019-08-19,379.5,379.5,379.5,379.5,1
2019-08-20,380.0,380.0,374.1,376.3,233
2019-08-21,370.0,374.0,355.1,370.15,164
2019-08-22,360.2,374.9,355.0,358.9,52
2019-08-23,367.7,371.7,367.7,369.7,20
2019-08-26,364.0,370.0,364.0,370.0,40
2019-08-27,360.0,375.0,360.0,365.0,95
2019-08-29,353.1,362.5,353.1,362.5,588
2019-08-30,365.0,366.5,365.0,366.0,4
2019-09-03,355.0,359.9,352.5,359.9,23
2019-09-05,352.0,358.7,345.05,353.35,169
2019-09-06,352.0,355.6,345.0,352.15,111
2019-09-11,344.0,351.9,338.0,350.7,170
2019-09-12,357.1,363.0,346.0,352.0,52
2019-09-13,347.0,347.0,346.1,346.1,2
2019-09-16,348.0,351.5,343.1,349.6,38
2019-09-17,349.7,360.0,349.7,355.0,63
2019-09-18,349.55,349.55,349.55,349.55,10
2019-09-19,345.1,345.1,345.1,345.1,10
2019-09-20,336.35,365.0,336.35,354.0,127
2019-09-23,355.0,370.0,355.0,362.45,278
2019-09-24,358.05,358.05,351.0,353.0,48
2019-09-25,350.0,350.0,341.0,348.0,211
2019-09-27,349.0,350.0,340.1,342.0,262
2019-09-30,330.55,349.0,330.55,347.7,2009
2019-10-01,335.1,339.0,335.1,336.15,58
2019-10-03,330.0,335.0,304.0,317.75,2144
2019-10-04,318.5,320.0,310.0,313.4,21
2019-10-07,319.95,319.95,319.95,319.95,2
2019-10-09,307.0,318.7,267.9,278.35,1995
2019-10-10,277.75,277.75,260.1,265.8,1286
2019-10-11,274.0,285.0,270.75,272.95,1001
2019-10-14,264.5,286.95,246.35,256.45,2079
2019-10-15,250.0,256.0,238.0,247.05,4896
2019-10-16,245.0,260.0,245.0,248.6,171
2019-10-17,254.0,254.0,248.0,248.65,451
2019-10-18,260.0,271.0,252.0,264.25,1265
2019-10-22,275.0,283.75,262.0,262.5,845
2019-10-23,250.0,272.4,250.0,256.1,230
2019-10-24,270.0,270.0,250.0,252.55,115
2019-10-25,255.25,255.25,246.05,252.7,45
2019-10-29,260.55,262.0,250.5,253.75,96
2019-10-30,252.0,252.0,244.35,249.25,15
2019-10-31,255.7,267.3,255.7,260.7,309
2019-11-01,262.0,262.0,251.5,255.0,61
2019-11-05,253.0,264.05,253.0,255.7,306
2019-11-06,255.0,256.0,247.0,248.3,2744
2019-11-07,243.0,254.2,243.0,249.15,885
2019-11-08,241.5,264.0,241.0,252.0,275
2019-11-13,249.0,250.0,242.75,243.0,599
2019-11-14,239.0,239.0,235.0,237.25,112
2019-11-15,228.0,265.0,220.0,252.05,1831
2019-11-18,240.0,248.6,233.7,236.85,1242
2019-11-19,237.0,237.0,231.5,233.8,663
2019-11-20,234.5,238.65,234.5,238.65,347
2019-11-21,245.0,246.3,225.0,229.15,332
2019-11-22,229.0,235.0,229.0,230.1,1165
2019-11-25,234.65,250.0,234.1,244.0,438
2019-11-26,244.0,256.55,240.0,244.5,3218
2019-11-27,249.95,249.95,232.0,233.6,158
2019-11-28,236.0,237.0,226.0,231.45,26
2019-11-29,231.45,234.45,229.0,229.85,5624
2019-12-02,229.0,243.3,229.0,240.65,253
2019-12-03,235.0,241.0,233.0,237.15,222
2019-12-04,247.0,247.0,245.0,245.0,351
2019-12-10,238.0,245.0,237.3,238.4,34
2019-12-11,237.0,247.0,235.2,244.7,16
2019-12-12,231.0,231.0,230.9,230.9,46
2019-12-13,238.05,238.05,238.05,238.05,40
2019-12-16,232.0,236.25,227.45,233.05,1527
2019-12-18,264.6,264.6,238.0,239.6,98
2019-12-19,246.65,246.65,235.0,237.5,142
2019-12-20,240.0,250.0,240.0,246.25,213
2019-12-23,236.6,255.0,231.0,241.05,271
2019-12-24,239.95,259.0,233.0,253.7,1456
2019-12-26,244.1,248.5,239.1,242.65,102
2019-12-27,240.0,249.2,240.0,244.85,620
2019-12-30,250.0,264.0,248.05,253.3,216
2019-12-31,250.1,260.0,250.0,253.75,829
2020-01-01,255.0,255.0,251.7,255.0,63
2020-01-02,261.0,265.25,255.0,264.55,274
2020-01-03,262.0,267.0,259.1,259.1,34
2020-01-06,259.1,259.1,256.5,256.5,75
2020-01-07,255.0,261.25,250.0,255.5,210
2020-01-09,262.0,262.9,262.0,262.9,50
2020-01-10,263.0,269.0,260.05,261.1,105
2020-01-13,265.0,268.0,263.0,266.65,135
2020-01-14,270.0,276.0,270.0,270.95,381
2020-01-15,270.55,275.0,266.0,271.0,16
2020-01-16,265.4,271.8,265.05,269.7,121
2020-01-17,275.0,277.5,263.9,265.95,209
2020-01-20,264.0,265.4,261.0,263.8,626
2020-01-21,270.0,270.0,254.1,257.05,829
2020-01-22,264.0,264.0,252.3,252.3,9
2020-01-23,252.5,258.0,247.3,251.2,733
2020-01-24,248.1,255.4,245.0,250.75,408677
2020-01-27,259.0,268.8,252.35,259.1,19316
2020-01-28,263.25,269.95,254.5,258.3,5089
2020-01-29,259.0,263.1,253.1,253.1,2282
2020-01-30,255.0,255.0,248.05,249.25,235
2020-01-31,254.65,254.65,252.05,252.05,2
2020-02-01,253.85,255.7,245.1,249.0,3451
2020-02-03,245.1,245.1,240.05,243.05,158
2020-02-04,241.25,245.0,241.25,245.0,96
2020-02-05,249.0,249.0,240.0,241.7,171
2020-02-06,240.25,241.3,237.0,237.65,464
2020-02-07,234.5,237.5,234.5,237.5,39
2020-02-10,235.0,235.0,225.45,231.9,197
2020-02-11,238.0,249.0,227.75,231.0,196
2020-02-12,232.55,240.0,232.55,233.15,46
2020-02-13,246.0,246.0,231.95,232.7,17
2020-02-14,227.9,234.25,224.15,225.9,256
2020-02-17,227.0,233.0,218.05,220.2,191
2020-02-18,227.0,232.15,217.0,219.3,14520
2020-02-19,219.0,225.9,217.0,223.05,2647
2020-02-20,218.25,223.8,210.55,211.55,540
2020-02-24,212.0,214.0,204.0,211.7,376
2020-02-25,209.5,216.65,207.05,213.8,2950
2020-02-26,207.0,209.65,203.0,209.15,739
2020-02-27,210.0,212.0,202.0,202.9,1076
2020-02-28,194.8,198.85,191.25,193.95,817
2020-03-02,198.0,199.0,190.1,192.55,50
2020-03-03,194.85,194.85,184.05,189.4,189
2020-03-04,194.0,195.15,194.0,194.95,21
2020-03-05,190.0,196.5,187.8,192.25,3236
2020-03-06,190.0,201.65,190.0,196.3,61
2020-03-09,183.0,198.35,178.0,194.3,217
2020-03-11,188.0,195.95,178.0,191.85,343
2020-03-12,180.0,187.75,180.0,180.65,9
2020-03-13,175.0,189.0,151.05,179.9,329
2020-03-16,162.3,182.3,162.3,174.55,167
2020-03-17,165.0,168.85,160.85,162.6,305
2020-03-18,158.0,158.0,130.1,137.15,1460
2020-03-19,133.1,140.0,132.1,134.35,1013
2020-03-20,130.0,143.05,128.55,134.75,419
2020-03-23,110.6,125.0,107.8,109.6,1455
2020-03-24,101.0,114.35,101.0,107.5,187
2020-03-25,101.85,117.95,101.85,117.95,76
2020-03-26,126.0,128.95,116.1,128.95,1078
2020-03-27,140.95,140.95,120.0,120.25,194
2020-03-30,130.0,130.0,130.0,130.0,50
2020-03-31,128.6,128.6,117.2,120.0,488
2020-04-01,120.0,120.0,119.0,119.0,20
2020-04-03,125.0,125.0,125.0,125.0,150
2020-04-07,136.75,136.75,136.0,136.7,11
2020-04-09,150.35,150.35,125.0,128.25,224
2020-04-13,136.0,140.0,121.1,139.15,271
2020-04-16,153.05,153.05,135.0,145.0,573
2020-04-17,132.15,143.45,132.0,137.05,288
2020-04-20,134.0,147.0,134.0,145.0,236
2020-04-21,143.95,143.95,133.5,142.4,90
2020-04-22,140.0,142.0,130.0,139.7,253
2020-04-23,143.0,143.0,143.0,143.0,21
2020-04-24,140.0,140.0,134.1,134.1,16
2020-04-27,144.75,144.75,124.1,138.95,8083
2020-04-28,129.0,140.0,129.0,140.0,506
2020-04-29,129.15,149.0,129.15,140.0,325
2020-05-04,132.0,137.0,132.0,137.0,31
2020-05-05,124.3,145.95,124.3,133.25,128
2020-05-06,145.85,145.85,128.1,128.1,87
2020-05-07,140.0,140.0,127.1,132.3,380
2020-05-11,139.0,139.0,124.0,128.85,1108
2020-05-12,125.0,125.0,118.0,125.0,346
2020-05-13,125.0,136.15,125.0,131.35,195
2020-05-14,132.85,132.85,121.5,124.75,240
2020-05-15,125.75,128.9,125.75,128.9,102
2020-05-18,128.9,128.9,120.0,124.0,25
2020-05-19,124.85,124.85,124.85,124.85,1
2020-05-20,120.0,121.2,115.1,121.2,150
2020-05-21,128.65,128.65,120.0,121.35,34
