Datetime,Open,High,Low,Close,Volume
2019-05-28,40.8,42.8,39.4,39.75,27285
2019-05-29,39.3,42.0,39.1,41.55,24945
2019-05-30,45.5,46.0,43.5,44.25,153987
2019-06-03,43.5,43.85,42.55,42.8,13016
2019-06-10,44.15,45.0,42.5,42.85,28453
2019-06-11,44.8,44.8,42.85,43.05,25528
2019-06-12,42.4,42.9,42.2,42.3,6164
2019-06-13,41.5,41.9,41.05,41.4,4787
2019-06-14,41.6,41.95,40.6,40.85,7119
2019-06-17,40.9,40.9,39.55,39.7,5269
2019-06-18,39.5,39.55,34.15,35.25,18342
2019-06-19,35.0,35.4,34.0,34.75,9510
2019-06-20,34.2,36.35,33.95,36.0,11178
2019-06-21,35.15,37.05,35.15,36.35,7195
2019-06-24,36.9,37.85,36.8,37.4,5537
2019-06-25,37.0,38.35,36.85,38.05,10975
2019-06-26,38.7,39.75,38.7,39.5,6764
2019-06-27,39.35,40.5,39.25,39.9,6736
2019-06-28,39.7,39.75,39.05,39.1,2842
2019-07-01,39.95,40.75,39.8,40.5,27875
2019-07-02,42.25,42.9,41.6,42.5,27475
2019-07-03,48.0,51.0,46.35,49.1,351850
2019-07-04,49.25,49.25,45.25,45.55,97592
2019-07-05,45.5,47.5,41.15,41.75,71723
2019-07-08,41.2,41.2,37.2,37.75,41345
2019-07-09,37.0,38.8,36.65,38.4,19262
2019-07-10,38.15,39.9,37.9,38.4,25944
2019-07-11,38.55,38.9,37.95,38.0,12749
2019-07-12,37.9,38.0,37.2,37.4,24873
2019-07-15,37.2,37.2,35.55,35.85,19799
2019-07-16,35.45,35.5,34.6,34.85,6542
2019-07-17,35.6,39.9,35.6,39.0,102174
2019-07-18,39.0,39.0,37.25,37.5,23567
2019-07-19,37.3,38.95,36.55,37.45,26837
2019-07-22,36.6,37.2,36.2,36.35,11535
2019-07-23,36.4,37.2,36.4,36.7,8536
2019-07-24,38.0,39.3,37.4,38.7,14822
2019-07-25,41.3,44.15,41.3,42.55,168335
2019-07-26,43.0,43.0,39.8,40.1,21175
2019-07-29,42.5,42.5,38.1,38.25,22500
2019-07-30,39.25,39.55,35.55,35.9,18282
2019-07-31,35.25,39.4,35.05,38.5,27967
2019-08-01,37.6,38.05,36.95,37.1,14647
2019-08-02,37.2,37.75,36.6,36.85,13257
2019-08-05,36.15,36.7,36.0,36.55,5472
2019-08-06,36.1,37.5,36.0,36.7,20321
2019-08-07,36.8,37.05,36.05,36.3,11641
2019-08-08,36.0,37.0,35.3,35.95,13336
2019-08-09,36.45,36.8,35.95,36.0,7525
2019-08-13,35.5,35.9,35.4,35.45,2016
2019-08-14,35.35,36.3,35.35,35.75,5847
2019-08-16,35.05,36.55,35.0,35.8,5924
2019-08-19,36.0,36.25,35.5,35.5,4505
2019-08-20,36.05,36.05,35.0,35.05,662
2019-08-21,35.0,35.35,33.6,33.8,11725
2019-08-22,33.1,33.1,31.75,31.9,3246
2019-08-23,31.0,32.5,30.15,31.95,9111
2019-08-26,32.05,32.7,31.45,32.5,5322
2019-08-27,32.7,35.5,32.2,35.0,13756
2019-08-28,35.0,35.0,33.65,33.85,5121
2019-08-29,35.7,36.9,34.6,34.9,26806
2019-08-30,35.2,36.0,34.45,35.05,5238
2019-09-03,33.95,34.55,33.65,33.85,6779
2019-09-04,33.55,34.0,33.25,33.9,5691
2019-09-05,34.4,35.4,34.4,34.65,8324
2019-09-06,34.95,35.35,34.8,35.0,10019
2019-09-11,35.5,39.6,35.5,37.6,64472
2019-09-12,37.9,38.15,36.45,36.6,11447
2019-09-13,36.65,39.75,36.05,39.35,31974
2019-09-16,39.4,45.9,39.4,42.4,137524
