Datetime,Open,High,Low,Close,Volume
2019-05-28,28.0,28.15,24.25,26.9,157
2019-05-29,26.45,26.45,26.45,26.45,50
2019-06-03,24.25,26.8,24.25,26.8,401
2019-06-10,25.1,26.25,25.1,26.0,424
2019-06-11,24.75,27.25,24.75,26.75,112
2019-06-13,25.45,26.5,25.45,25.45,222
2019-06-14,26.5,26.7,24.6,24.6,1213
2019-06-17,25.8,25.8,23.65,25.5,1311
2019-06-18,26.7,26.7,24.25,25.6,201
2019-06-19,24.5,25.6,24.35,25.35,476
2019-06-20,24.15,26.0,24.15,25.6,268
2019-06-24,24.5,26.35,24.35,25.55,681
2019-06-25,26.7,26.7,26.7,26.7,1
2019-06-26,25.4,27.25,25.4,25.4,5046
2019-06-27,26.35,26.35,24.15,25.75,305
2019-06-28,26.0,26.0,24.5,24.5,4271
2019-07-01,25.5,25.5,25.5,25.5,1
2019-07-02,25.9,25.9,25.7,25.7,2
2019-07-03,26.0,26.0,26.0,26.0,10
2019-07-04,25.0,25.9,24.7,25.6,5310
2019-07-05,24.4,25.9,24.35,24.35,370
2019-07-08,25.5,25.5,25.1,25.25,4
2019-07-09,25.9,25.9,25.7,25.7,2
2019-07-11,25.45,25.45,24.45,25.45,332
2019-07-12,24.2,24.2,24.2,24.2,200
2019-07-15,24.2,25.25,23.1,25.25,516
2019-07-16,24.05,25.25,24.0,24.85,2730
2019-07-17,25.2,25.2,24.0,25.1,452
2019-07-18,24.0,25.2,24.0,24.95,1166
2019-07-19,25.25,25.25,23.85,25.15,1684
2019-07-22,23.9,25.1,23.9,24.25,450
2019-07-23,23.75,23.75,23.75,23.75,1
2019-07-24,24.75,24.75,22.6,23.25,976
2019-07-25,23.25,23.25,23.25,23.25,100
2019-07-26,24.25,24.25,22.15,23.25,146
2019-07-29,24.25,24.25,22.15,22.8,618
2019-07-30,23.8,23.8,23.8,23.8,25
2019-07-31,24.8,24.8,23.0,24.0,32
2019-08-01,24.95,24.95,22.85,24.95,378
2019-08-02,25.0,25.15,23.75,25.15,400
2019-08-05,25.2,25.2,25.2,25.2,25
2019-08-06,25.25,25.25,25.25,25.25,40
2019-08-08,23.7,23.7,23.7,23.7,828
2019-08-09,24.15,24.2,24.15,24.2,250
2019-08-13,21.9,25.25,21.9,25.15,102
2019-08-14,25.25,25.25,25.25,25.25,26
2019-08-16,25.1,25.1,22.75,24.3,759
2019-08-19,25.0,25.0,22.05,24.4,682
2019-08-20,25.2,25.2,25.2,25.2,50
2019-08-21,25.25,27.7,25.25,26.05,10354
2019-08-22,27.25,27.25,25.95,25.95,2
2019-08-23,26.45,26.45,23.7,25.0,560
2019-08-26,23.25,25.75,23.0,24.55,1831
2019-08-27,24.5,25.1,22.1,24.75,5680
2019-08-28,25.45,25.45,25.35,25.35,55
2019-08-29,25.5,25.5,23.1,24.9,830
2019-08-30,25.55,25.55,25.55,25.55,50
2019-09-03,23.25,25.95,23.25,25.7,151
2019-09-04,26.0,26.0,26.0,26.0,1
2019-09-05,25.95,25.95,25.95,25.95,125
2019-09-06,23.6,24.9,23.4,23.4,700
2019-09-11,25.9,25.9,25.9,25.9,25
2019-09-12,25.9,25.9,25.9,25.9,9
2019-09-13,28.45,28.45,26.5,26.5,125
2019-09-16,26.45,26.45,23.9,25.75,55
2019-09-18,25.85,25.85,25.85,25.85,25
2019-09-19,25.8,25.8,25.8,25.8,25
2019-09-20,23.6,26.75,23.6,24.9,902
2019-09-23,23.5,25.85,23.0,25.7,496
2019-09-24,23.25,23.25,23.15,23.15,1455
2019-09-25,24.0,24.0,21.35,22.65,607
2019-09-26,24.0,24.0,23.0,23.0,100
2019-09-27,24.0,25.0,22.05,22.3,526
2019-09-30,24.25,24.25,22.7,22.7,101
2019-10-01,22.2,22.65,20.45,22.2,1165
2019-10-03,24.1,24.1,23.6,23.6,125
2019-10-04,22.0,22.0,21.25,21.25,942
2019-10-07,19.15,22.75,19.15,22.3,318
2019-10-09,20.1,20.95,20.1,20.1,702
2019-10-10,22.0,22.1,18.1,20.95,676
2019-10-11,21.75,21.75,21.75,21.75,1
2019-10-14,22.7,22.7,22.7,22.7,50
2019-10-15,20.5,21.7,20.45,21.5,550
2019-10-16,23.65,23.65,19.55,20.85,1111
2019-10-17,22.5,22.5,19.1,20.9,432
2019-10-18,20.9,22.25,20.0,21.95,189
