Datetime,Open,High,Low,Close,Volume
2019-05-28,68.0,72.8,66.6,71.0,10361
2019-05-29,73.8,73.8,69.0,69.1,3251
2019-05-30,66.6,71.0,66.6,70.05,2308
2019-06-03,65.0,69.4,63.0,63.8,4271
2019-06-10,63.0,63.75,61.05,61.05,834
2019-06-11,61.05,62.2,59.4,61.55,396
2019-06-12,59.5,60.6,57.3,59.25,1734
2019-06-13,58.65,60.4,58.4,60.4,163
2019-06-14,58.05,62.2,58.0,61.15,1224
2019-06-17,61.15,63.75,61.15,63.2,4624
2019-06-18,62.0,63.0,58.3,60.7,1261
2019-06-19,63.5,63.5,57.0,57.65,3277
2019-06-20,58.4,60.4,58.0,58.55,142
2019-06-21,58.4,58.65,56.05,57.2,2645
2019-06-24,57.15,60.0,57.15,60.0,534
2019-06-25,57.15,60.0,57.15,59.45,2613
2019-06-26,61.0,61.0,57.0,60.8,1917
2019-06-27,61.0,62.9,58.9,62.85,1356
2019-06-28,62.0,62.0,62.0,62.0,118
2019-07-01,62.2,62.2,59.55,61.4,10715
2019-07-02,59.65,62.0,59.65,60.0,333
2019-07-03,59.05,59.05,58.55,59.0,610
2019-07-04,61.9,64.0,61.0,62.25,2448
2019-07-05,59.3,61.9,59.25,60.8,1508
2019-07-08,56.15,60.75,56.1,59.75,974
2019-07-09,62.8,62.8,61.5,61.5,142
2019-07-10,58.2,61.4,58.0,61.1,863
2019-07-11,58.05,63.25,58.05,62.1,2236
2019-07-12,61.5,61.5,58.5,59.8,933
2019-07-15,58.05,62.95,58.05,61.9,1567
2019-07-16,59.8,61.0,59.5,59.5,990
2019-07-17,59.5,62.25,58.3,59.05,5420
2019-07-18,59.1,59.1,56.45,58.35,915
2019-07-19,54.65,58.35,54.6,58.3,1370
2019-07-22,54.75,57.5,54.75,55.55,2415
2019-07-23,54.3,58.0,54.3,57.95,2375
2019-07-24,56.5,58.4,55.75,56.8,466
2019-07-25,54.55,56.5,54.55,55.05,1256
2019-07-26,53.2,57.1,53.2,56.0,440
2019-07-29,56.0,56.0,54.0,54.2,1989
2019-07-30,54.25,54.35,52.0,52.4,5374
2019-07-31,52.0,52.0,49.1,51.95,8331
2019-08-01,50.0,57.5,49.1,51.8,4435
2019-08-02,51.05,51.75,45.0,47.05,20155
2019-08-05,47.05,48.85,45.25,48.2,1399
2019-08-06,48.85,50.85,46.0,50.0,3080
2019-08-07,51.7,55.95,51.7,53.75,3685
2019-08-08,52.0,52.0,49.8,50.4,4576
2019-08-09,50.3,53.4,50.3,51.35,2978
2019-08-13,53.5,53.5,49.9,50.35,411
2019-08-14,50.05,52.7,50.0,50.35,1228
2019-08-16,51.05,52.55,50.0,50.6,2294
2019-08-19,50.5,50.5,50.05,50.25,363
2019-08-20,52.45,52.45,48.0,48.65,4139
2019-08-21,52.2,52.25,48.85,49.6,1656
2019-08-22,49.1,50.0,49.0,49.0,830
2019-08-23,44.3,52.5,44.3,48.0,2484
2019-08-26,48.35,50.0,48.35,49.25,1188
2019-08-27,51.4,53.9,50.35,50.75,663
2019-08-28,58.2,58.2,49.15,49.35,1502
2019-08-29,49.4,49.6,49.05,49.35,550
2019-08-30,52.5,52.5,47.9,48.2,531
2019-09-03,51.35,51.35,46.3,47.1,3560
