Datetime,Open,High,Low,Close,Volume
2019-06-27,9.5,10.34,9.5,10.34,338
2019-07-19,10.85,10.85,10.85,10.85,133
2019-07-22,10.85,10.85,10.85,10.85,4
2019-07-26,10.85,10.85,10.85,10.85,2
2019-08-28,10.85,10.85,10.85,10.85,4
2019-08-29,10.85,10.85,10.85,10.85,836
2019-08-30,10.85,10.85,10.85,10.85,5
2019-09-12,9.8,9.8,9.8,9.8,14
2019-09-17,9.31,9.31,9.31,9.31,40
2019-09-18,8.85,8.85,8.85,8.85,8
2019-09-19,8.41,8.41,8.41,8.41,20
2019-09-20,7.99,8.41,7.99,8.37,4976
2019-09-23,8.37,8.78,8.37,8.37,1114
2019-10-01,8.78,8.78,8.78,8.78,22
2019-10-03,8.78,8.78,8.78,8.78,10
2019-10-04,8.78,8.78,8.78,8.78,3
2019-10-07,8.78,8.78,8.78,8.78,10
2019-10-09,8.78,8.78,8.78,8.78,25
2019-10-10,8.75,8.75,8.75,8.75,6
2019-10-14,8.75,8.75,8.75,8.75,10
2019-10-15,8.75,8.75,8.75,8.75,1961
2019-11-20,8.75,8.75,8.75,8.75,10
2019-11-21,8.75,9.18,8.75,8.84,102
2019-11-25,9.28,9.28,9.28,9.28,10
2020-01-03,9.7,9.7,9.7,9.7,50
2020-01-06,10.18,10.18,9.7,9.7,204
2020-01-07,9.7,9.7,9.7,9.7,599
2020-01-31,9.7,9.7,9.7,9.7,40
2020-02-05,9.7,9.7,9.7,9.7,100
2020-02-06,9.7,9.7,9.7,9.7,99
2020-02-24,9.7,9.7,9.7,9.7,3
2020-03-05,9.7,9.7,9.7,9.7,3
2020-03-06,9.7,9.7,9.7,9.7,2
2020-03-11,9.7,9.7,9.7,9.7,20
2020-03-24,10.18,10.18,10.18,10.18,2
2020-06-05,10.0,10.0,10.0,10.0,2
2020-06-08,10.0,10.0,10.0,10.0,1
2020-06-26,9.5,9.5,9.5,9.5,18
2020-06-29,9.1,9.5,9.1,9.5,1500
2020-06-30,9.5,9.5,9.5,9.5,12
2020-07-01,9.03,9.03,9.03,9.03,2000
2020-07-03,8.58,8.58,8.58,8.58,1500
2020-08-03,8.58,8.58,8.58,8.58,1
2020-08-06,8.58,8.58,8.32,8.43,37
2020-08-10,8.43,8.43,8.43,8.43,10
2020-08-11,8.3,8.3,8.3,8.3,1048
2020-08-18,8.0,8.0,8.0,8.0,4000
2020-08-19,8.0,8.0,8.0,8.0,35
2020-08-21,8.0,8.0,8.0,8.0,21
2020-08-31,8.0,8.0,8.0,8.0,1
2020-09-02,8.0,8.0,8.0,8.0,11
