Datetime,Open,High,Low,Close,Volume
2025-09-29,295.0,308.9,291.5,293.95,344934
2025-09-30,293.9,299.15,280.45,285.25,54504
2025-10-01,283.5,290.05,280.75,282.1,40667
2025-10-03,281.35,298.95,280.05,289.85,126447
2025-10-06,295.65,309.65,286.9,305.4,139396
2025-10-07,304.45,306.95,289.0,292.95,138758
2025-10-08,290.05,298.05,286.8,295.15,154774
2025-10-09,292.35,302.05,290.5,294.35,97741
2025-10-10,293.05,307.4,292.7,302.25,66782
2025-10-13,300.85,303.0,290.4,294.3,84853
2025-10-14,294.7,295.55,281.6,283.05,52211
2025-10-15,284.05,288.9,281.55,286.35,73802
2025-10-16,286.05,294.4,283.35,285.6,97921
2025-10-17,285.95,294.95,285.05,288.35,70190
2025-10-20,288.6,289.6,282.8,285.2,74258
2025-10-21,286.0,291.0,279.0,280.85,15678
2025-10-23,281.55,286.95,281.55,283.25,11756
2025-10-24,282.8,285.0,279.3,283.4,24309
2025-10-27,281.55,285.35,277.6,279.05,9572
2025-10-28,280.35,284.0,278.3,283.2,12844
2025-10-29,282.95,285.3,280.4,282.1,6650
2025-10-30,282.0,294.3,280.85,291.65,19087
2025-10-31,289.95,293.75,282.0,286.45,13793
2025-11-03,285.4,287.3,281.15,282.55,10562
2025-11-04,282.55,283.0,272.0,274.45,359316
2025-11-06,272.15,274.9,260.95,262.2,16423
2025-11-07,262.25,280.4,250.1,277.65,46920
2025-11-10,277.8,292.0,275.3,288.65,31699
2025-11-11,287.0,287.5,280.0,282.6,10250
2025-11-12,284.5,285.95,281.45,284.35,9341
2025-11-13,284.0,295.0,283.5,293.8,12859
2025-11-14,290.0,291.55,286.25,288.7,7789
2025-11-17,289.25,290.3,280.05,283.25,6052
2025-11-18,280.05,284.9,276.0,276.25,5473
2025-11-19,276.15,277.7,272.4,272.85,3159
2025-11-20,272.35,277.9,270.05,272.2,5023
2025-11-21,270.1,273.1,269.65,271.75,4612
2025-11-24,270.75,272.9,253.95,257.5,8033
2025-11-25,259.9,274.35,256.45,268.55,17174
2025-11-26,269.1,272.6,265.9,269.8,2508
2025-11-27,270.05,281.0,265.0,274.4,4508
