Datetime,Open,High,Low,Close,Volume
2023-07-17,0.58,0.58,0.58,0.58,1546
2023-07-31,0.58,0.58,0.58,0.58,20962
2023-08-07,0.58,0.58,0.58,0.58,3237
2023-08-14,0.6,0.6,0.6,0.6,2220
2023-08-21,0.6,0.6,0.6,0.6,24662
2023-09-04,0.6,0.6,0.6,0.6,9248
2023-09-18,0.6,0.6,0.6,0.6,21633
2023-10-03,0.6,0.6,0.6,0.6,6674
2023-10-09,0.63,0.63,0.63,0.63,17768
2023-10-16,0.63,0.63,0.63,0.63,6165
2023-10-30,0.63,0.63,0.63,0.63,129474
2023-11-06,0.63,0.63,0.63,0.63,4069
2023-11-20,0.66,0.66,0.66,0.66,33857
2023-11-28,0.66,0.66,0.66,0.66,2590
2023-12-04,0.66,0.66,0.66,0.66,19698
2023-12-11,0.66,0.66,0.66,0.66,617
2023-12-12,0.69,0.69,0.69,0.69,43927
2023-12-13,0.72,0.72,0.72,0.72,31258
2023-12-14,0.75,0.75,0.75,0.75,1991
2023-12-15,0.79,0.79,0.79,0.79,7596
2023-12-18,0.83,0.83,0.83,0.83,84774
2023-12-19,0.86,0.86,0.86,0.86,14514
2023-12-20,0.91,0.91,0.91,0.91,39492
2023-12-21,0.95,0.95,0.95,0.95,5127
2023-12-22,0.99,0.99,0.99,0.99,56280
2023-12-26,1.04,1.04,1.04,1.04,20396
2023-12-27,1.09,1.09,1.09,1.09,14369
2023-12-28,1.14,1.14,1.14,1.14,7615
2023-12-29,1.2,1.2,1.2,1.2,8458
2024-01-01,1.25,1.25,1.25,1.25,12744
2024-01-02,1.31,1.31,1.31,1.31,3645932
2024-01-03,1.37,1.37,1.37,1.37,53815
2024-01-04,1.44,1.44,1.44,1.44,9510
2024-01-05,1.51,1.51,1.51,1.51,6413
2024-01-08,1.58,1.58,1.58,1.58,85084
2024-01-09,1.62,1.62,1.62,1.62,149315
2024-01-10,1.65,1.65,1.65,1.65,27640
2024-01-11,1.68,1.68,1.68,1.68,277878
2024-01-12,1.71,1.71,1.71,1.71,196760
2024-01-15,1.74,1.74,1.74,1.74,179981
2024-01-16,1.77,1.77,1.77,1.77,1791459
2024-01-17,1.74,1.8,1.74,1.8,1657541
2024-01-18,1.77,1.77,1.77,1.77,234140
2024-01-19,1.74,1.74,1.74,1.74,1171060
2024-01-20,1.71,1.71,1.71,1.71,115653
2024-01-23,1.68,1.68,1.68,1.68,89395
2024-01-24,1.65,1.65,1.65,1.65,13667
2024-01-25,1.62,1.62,1.62,1.62,167694
2024-01-29,1.58,1.65,1.58,1.65,1030572
2024-01-30,1.68,1.68,1.62,1.68,1004278
2024-01-31,1.65,1.65,1.65,1.65,176833
2024-02-01,1.62,1.62,1.62,1.62,98010
2024-02-02,1.58,1.58,1.58,1.58,21285
2024-02-05,1.55,1.55,1.55,1.55,23528
2024-02-06,1.52,1.52,1.52,1.52,14270
2024-02-07,1.5,1.5,1.5,1.5,18872
2024-02-08,1.47,1.47,1.47,1.47,20649
2024-02-09,1.45,1.45,1.45,1.45,17541
2024-02-12,1.42,1.42,1.42,1.42,37217
2024-02-13,1.4,1.4,1.4,1.4,22826
2024-02-14,1.37,1.37,1.37,1.37,13405
2024-02-15,1.35,1.35,1.35,1.35,32191
2024-02-16,1.33,1.33,1.33,1.33,97817
2024-02-19,1.39,1.39,1.28,1.29,354094
2024-02-20,1.36,1.36,1.23,1.23,165198
2024-02-21,1.26,1.26,1.17,1.17,583295
2024-02-22,1.12,1.12,1.12,1.12,47731
2024-02-23,1.08,1.08,1.06,1.06,166815
2024-02-26,1.06,1.1,1.01,1.05,381372
2024-02-27,1.07,1.1,1.05,1.08,1296523
2024-02-28,1.1,1.11,1.03,1.03,346690
2024-02-29,1.05,1.08,0.99,1.05,106723
2024-03-01,1.08,1.1,1.02,1.07,177845
2024-03-02,1.07,1.09,1.02,1.07,60147
2024-03-04,1.1,1.1,1.02,1.04,873241
2024-03-05,1.06,1.08,0.99,1.02,751531
2024-03-06,1.04,1.04,0.97,0.97,146163
2024-03-07,0.98,1.01,0.93,0.99,49331
2024-03-11,1.01,1.04,0.94,0.94,200801
2024-03-12,0.94,0.96,0.9,0.9,108776
2024-03-13,0.86,0.86,0.86,0.86,104948
2024-03-14,0.82,0.82,0.82,0.82,28000
2024-03-15,0.78,0.78,0.78,0.78,52077
2024-03-18,0.75,0.82,0.75,0.75,1685791
2024-03-19,0.71,0.75,0.71,0.71,314474
2024-03-20,0.68,0.74,0.68,0.7,780652
2024-03-21,0.68,0.73,0.68,0.73,41266
2024-03-22,0.76,0.76,0.76,0.76,19141
2024-03-26,0.8,0.8,0.8,0.8,20424
2024-03-27,0.83,0.83,0.76,0.76,255847
2024-03-28,0.72,0.79,0.72,0.72,179032
2024-04-01,0.73,0.75,0.73,0.75,35204
2024-04-02,0.79,0.79,0.77,0.79,44142
2024-04-03,0.81,0.83,0.81,0.83,155816
2024-04-04,0.86,0.86,0.86,0.86,394541
2024-04-05,0.88,0.91,0.86,0.9,397039
2024-04-08,0.92,0.94,0.88,0.91,153503
2024-04-09,0.9,0.9,0.9,0.9,38481
2024-04-10,0.89,0.89,0.89,0.89,6228
2024-04-12,0.88,0.88,0.88,0.88,7331
2024-04-15,0.86,0.86,0.86,0.86,2645
2024-04-16,0.85,0.85,0.85,0.85,11359
2024-04-18,0.84,0.84,0.84,0.84,6756
2024-04-19,0.83,0.83,0.83,0.83,1859
2024-04-22,0.81,0.81,0.81,0.81,14756
2024-04-23,0.8,0.82,0.8,0.82,44423
2024-04-24,0.82,0.82,0.81,0.81,40849
2024-04-25,0.82,0.82,0.8,0.8,47866
2024-04-26,0.79,0.81,0.79,0.8,11553
2024-04-29,0.8,0.81,0.79,0.79,72954
2024-04-30,0.79,0.8,0.78,0.8,18039
2024-05-02,0.8,0.8,0.8,0.8,4679
2024-05-03,0.8,0.8,0.8,0.8,84777
2024-05-06,0.79,0.79,0.79,0.79,16965
2024-05-07,0.78,0.78,0.78,0.78,1952
2024-05-08,0.76,0.76,0.76,0.76,3897
2024-05-09,0.75,0.75,0.75,0.75,10166
2024-05-10,0.74,0.74,0.74,0.74,10584
2024-05-13,0.74,0.76,0.7,0.73,47691
2024-05-14,0.73,0.76,0.72,0.74,78524
2024-05-15,0.74,0.78,0.74,0.78,102070
2024-05-16,0.8,0.8,0.77,0.79,41252
2024-05-17,0.81,0.81,0.79,0.81,110509
2024-05-18,0.83,0.84,0.83,0.84,10917
2024-05-21,0.88,0.88,0.83,0.86,122544
2024-05-22,0.85,0.85,0.84,0.84,63576
2024-05-23,0.83,0.83,0.83,0.83,22186
2024-05-24,0.82,0.82,0.82,0.82,5198
2024-05-27,0.81,0.81,0.81,0.81,403746
2024-05-28,0.8,0.8,0.8,0.8,14774
2024-05-29,0.8,0.8,0.78,0.78,17955
2024-05-30,0.8,0.8,0.77,0.77,27506
2024-05-31,0.76,0.76,0.76,0.76,31031
2024-06-03,0.75,0.75,0.75,0.75,119761
2024-06-04,0.73,0.75,0.73,0.73,16630
2024-06-05,0.73,0.73,0.72,0.72,10477
2024-06-06,0.72,0.73,0.72,0.73,13126
2024-06-07,0.72,0.75,0.72,0.75,18985
2024-06-10,0.75,0.76,0.75,0.76,2613
2024-06-11,0.75,0.76,0.75,0.76,27762
2024-06-12,0.77,0.78,0.77,0.78,49537
2024-06-13,0.78,0.78,0.76,0.76,49254
2024-06-14,0.75,0.76,0.75,0.75,301947
2024-06-18,0.75,0.75,0.74,0.74,23456
2024-06-19,0.73,0.75,0.73,0.74,23116
2024-06-20,0.74,0.74,0.73,0.73,26108
2024-06-21,0.73,0.73,0.72,0.73,131640
2024-06-24,0.75,0.75,0.75,0.75,142883
2024-06-25,0.75,0.75,0.75,0.75,39003
2024-06-26,0.76,0.76,0.74,0.76,62861
2024-06-27,0.77,0.77,0.75,0.75,98791
2024-06-28,0.74,0.74,0.73,0.73,64067
2024-07-01,0.75,0.76,0.74,0.76,160301
2024-07-02,0.8,0.8,0.74,0.75,151522
2024-07-03,0.77,0.78,0.72,0.76,202142
2024-07-04,0.77,0.79,0.73,0.75,124068
