Datetime,Open,High,Low,Close,Volume
2019-05-28,28.73,30.05,28.19,29.36,34265
2019-05-29,29.41,29.66,28.43,28.73,15930
2019-05-30,28.68,28.73,28.24,28.48,4007
2019-06-03,27.7,27.94,27.3,27.55,13945
2019-06-10,26.47,26.52,25.88,26.08,8930
2019-06-11,25.98,25.98,25.2,25.49,8554
2019-06-12,25.69,25.69,24.51,24.56,21654
2019-06-13,24.51,24.51,23.63,23.77,14478
2019-06-14,23.53,24.51,23.33,23.77,20465
2019-06-17,23.58,24.41,23.38,23.92,23733
2019-06-18,23.82,24.07,23.33,23.58,11430
2019-06-19,23.63,23.92,22.7,23.09,15532
2019-06-20,22.94,23.09,21.86,22.94,18970
2019-06-21,22.65,23.24,22.35,22.7,17692
2019-06-24,22.45,23.04,22.25,22.55,33599
2019-06-25,22.45,23.09,22.45,22.89,50291
2019-06-26,23.09,23.58,22.35,22.5,20785
2019-06-27,23.28,24.22,22.6,23.48,138633
2019-06-28,24.12,26.86,23.38,23.53,109630
2019-07-01,23.87,23.92,23.28,23.53,12994
2019-07-02,23.68,23.82,23.09,23.24,13869
2019-07-03,23.43,23.53,22.75,23.04,12079
2019-07-04,23.14,23.28,22.84,23.04,5878
2019-07-05,23.09,23.53,22.35,22.55,9784
2019-07-08,22.45,22.45,21.27,21.67,25764
2019-07-09,21.47,21.91,21.47,21.86,13412
2019-07-10,22.06,22.5,21.62,22.3,7213
2019-07-11,22.4,22.5,21.72,21.91,6156
2019-07-12,22.06,22.11,21.62,21.76,4601
2019-07-15,21.76,21.76,20.93,21.03,31646
2019-07-16,20.98,21.23,20.78,20.83,7572
2019-07-17,20.59,20.93,20.15,20.2,14949
2019-07-18,20.2,20.2,17.75,18.82,28471
2019-07-19,18.63,18.63,16.37,16.52,50631
2019-07-22,16.62,17.94,16.03,17.25,23019
2019-07-23,16.91,18.14,16.76,17.65,36208
2019-07-24,17.79,18.28,17.5,18.09,9632
2019-07-25,18.63,19.46,17.89,19.22,50196
2019-07-26,19.75,21.13,19.71,20.34,51755
2019-07-29,20.59,21.37,19.46,19.61,20168
2019-07-30,20.59,20.59,18.09,18.19,11023
2019-07-31,18.04,18.82,17.84,18.73,16682
2019-08-01,19.07,19.36,18.68,19.26,9254
2019-08-02,19.61,22.75,19.02,21.27,21018
2019-08-05,22.55,22.55,19.75,20.2,6473
2019-08-06,20.0,21.13,20.0,20.98,10151
2019-08-07,20.98,21.52,20.88,21.03,9955
2019-08-08,20.83,21.27,20.29,20.88,14176
2019-08-09,20.93,21.57,20.59,20.88,20661
2019-08-13,22.3,22.3,20.05,20.44,5079
2019-08-14,20.88,20.88,20.39,20.49,3519
2019-08-16,20.39,21.03,20.2,20.78,2434
2019-08-19,20.69,21.08,20.69,20.88,59495
2019-08-20,20.88,21.18,20.59,20.78,13554
2019-08-21,20.78,20.83,20.29,20.39,9961
2019-08-22,20.29,20.59,19.85,20.0,13025
2019-08-23,20.0,20.25,19.36,20.0,29098
2019-08-26,20.1,20.15,19.61,20.05,8634
2019-08-27,20.2,21.67,20.2,21.42,20019
2019-08-28,21.42,21.81,20.88,20.93,4471
2019-08-29,21.13,21.13,20.39,20.54,15153
2019-08-30,20.49,20.78,20.2,20.39,6898
2019-09-03,20.2,20.25,19.85,19.9,6535
2019-09-04,20.29,21.08,19.71,20.98,5856
2019-09-05,21.03,21.13,20.64,20.69,7704
2019-09-06,20.64,21.27,20.64,21.13,14379
2019-09-11,22.35,22.55,22.06,22.11,13841
2019-09-12,22.55,22.6,22.21,22.45,7207
2019-09-13,22.21,23.19,22.21,23.04,18805
2019-09-16,22.94,25.49,22.94,24.51,45747
2019-09-17,25.0,25.25,23.53,23.92,8785
2019-09-18,23.87,24.31,23.24,23.38,9923
2019-09-19,23.04,23.19,22.06,22.45,5636
2019-09-20,22.4,23.28,22.4,23.09,12849
2019-09-23,23.19,23.43,22.16,23.09,5996
2019-09-24,23.28,23.38,22.55,23.24,11875
2019-09-25,23.28,23.53,22.75,23.28,7891
2019-09-26,23.53,23.53,23.09,23.43,19349
2019-09-27,23.58,23.97,22.94,23.14,8321
