Datetime,Open,High,Low,Close,Volume
2021-10-28,6.7,6.75,6.7,6.7,80000
2021-10-29,6.97,6.98,6.5,6.5,160000
2021-11-01,6.1,6.1,6.1,6.1,20000
2021-11-02,6.5,7.11,6.5,7.11,300000
2021-11-03,6.7,6.7,6.7,6.7,20000
2021-11-04,7.1,7.1,7.1,7.1,40000
2021-11-08,6.95,6.99,6.95,6.99,40000
2021-11-09,6.1,7.1,6.1,6.91,100000
2021-11-11,8.29,8.29,7.3,7.6,480000
2021-11-12,7.7,8.4,7.7,7.83,280000
2021-11-15,8.1,8.1,7.6,7.6,100000
2021-11-16,7.5,7.5,7.5,7.5,20000
2021-11-17,7.8,8.0,7.8,7.8,140000
2021-11-18,7.8,7.8,7.8,7.8,80000
2021-11-22,7.9,7.9,7.75,7.75,40000
2021-11-23,7.6,7.6,7.46,7.46,40000
2021-11-24,7.5,7.5,7.5,7.5,20000
2021-11-26,7.7,7.8,7.7,7.8,40000
2021-11-29,7.85,8.0,7.85,8.0,60000
2021-11-30,7.65,7.65,7.6,7.6,40000
2021-12-01,7.5,7.5,7.5,7.5,20000
2021-12-06,7.4,7.4,7.4,7.4,20000
2021-12-08,7.2,7.2,7.2,7.2,20000
2021-12-13,7.2,7.2,7.2,7.2,20000
2021-12-15,7.2,7.2,7.2,7.2,20000
2021-12-16,7.2,7.2,7.2,7.2,40000
2021-12-17,7.2,7.2,7.2,7.2,20000
2021-12-20,7.2,7.3,7.2,7.3,40000
2021-12-22,7.2,7.2,7.2,7.2,20000
2021-12-24,7.1,7.1,7.1,7.1,20000
2021-12-27,7.1,7.1,7.1,7.1,20000
2021-12-28,7.1,7.1,7.1,7.1,20000
2021-12-29,7.2,7.2,7.2,7.2,20000
2021-12-31,7.1,7.1,7.1,7.1,20000
2022-01-04,7.1,7.1,7.1,7.1,20000
2022-01-06,7.2,7.2,7.2,7.2,40000
2022-01-07,7.2,7.2,7.1,7.1,60000
2022-01-13,6.9,6.9,6.9,6.9,20000
2022-01-17,6.9,6.9,6.9,6.9,20000
2022-01-19,7.2,7.2,7.2,7.2,20000
2022-01-21,7.1,7.1,7.1,7.1,20000
2022-02-01,7.2,7.2,7.2,7.2,20000
2022-02-02,7.2,7.2,7.2,7.2,20000
2022-02-04,7.0,7.0,7.0,7.0,20000
2022-02-11,7.1,7.1,7.1,7.1,20000
2022-02-14,7.19,7.19,7.19,7.19,20000
2022-02-15,6.8,6.8,6.8,6.8,20000
2022-02-17,6.8,6.8,6.8,6.8,20000
2022-02-18,7.2,7.2,7.2,7.2,20000
2022-03-02,6.9,6.9,6.9,6.9,120000
2022-03-03,6.8,6.8,6.8,6.8,20000
2022-03-07,7.2,7.2,7.2,7.2,20000
2022-03-10,7.2,7.2,7.2,7.2,80000
2022-03-11,7.21,7.21,7.21,7.21,20000
2022-03-14,7.1,7.1,7.1,7.1,20000
2022-03-17,7.2,7.5,7.2,7.5,60000
2022-03-31,7.2,7.6,6.9,7.16,120000
2022-04-01,7.5,7.5,7.5,7.5,20000
2022-04-04,7.1,7.1,7.1,7.1,20000
2022-04-05,7.19,7.19,7.19,7.19,20000
2022-04-06,7.2,7.5,7.2,7.5,60000
2022-04-08,7.4,7.4,7.4,7.4,20000
2022-04-12,7.0,7.0,7.0,7.0,20000
2022-04-18,6.8,6.8,6.8,6.8,20000
2022-04-28,7.01,7.01,7.01,7.01,20000
2022-04-29,6.8,6.8,6.8,6.8,20000
2022-05-06,7.0,7.0,7.0,7.0,40000
2022-05-13,6.8,6.8,6.8,6.8,20000
2022-05-18,7.2,8.16,7.2,7.69,280000
2022-05-19,8.0,8.1,8.0,8.0,60000
2022-05-20,8.0,8.0,8.0,8.0,20000
2022-05-23,8.0,8.5,8.0,8.5,60000
2022-05-24,8.7,8.9,8.7,8.9,40000
2022-05-25,8.6,8.6,8.6,8.6,20000
2022-05-26,8.1,8.49,8.1,8.49,60000
2022-05-27,8.1,8.6,8.1,8.6,60000
