Datetime,Open,High,Low,Close,Volume
2019-05-28,420.0,425.28,413.6,415.64,7748
2019-05-29,420.2,427.16,412.04,413.52,3186
2019-05-30,416.24,419.2,404.48,416.4,2625
2019-06-03,415.44,415.52,412.0,413.24,2016
2019-06-10,402.64,413.68,402.64,408.12,1954
2019-06-11,406.08,415.6,404.0,410.12,1970
2019-06-12,405.6,412.12,405.6,411.6,618
2019-06-13,439.2,439.2,409.28,412.52,3356
2019-06-14,412.0,412.0,407.6,409.28,1673
2019-06-17,410.4,410.4,393.2,396.52,4676
2019-06-18,398.24,401.6,394.4,396.72,4361
2019-06-19,397.88,403.6,393.56,394.96,1629
2019-06-20,388.44,407.84,388.16,402.2,1225
2019-06-21,397.8,398.68,391.44,392.44,2346
2019-06-24,398.4,400.44,380.0,385.64,6443
2019-06-25,386.4,404.0,386.4,392.52,2634
2019-06-26,394.4,400.0,392.8,394.52,2139
2019-06-27,407.84,421.52,405.52,416.2,8410
2019-06-28,420.04,427.2,415.8,416.36,6181
2019-07-01,422.52,427.88,401.04,405.96,6505
2019-07-02,405.36,415.2,402.76,412.76,5055
2019-07-03,413.84,413.84,406.08,408.0,3674
2019-07-04,411.96,411.96,392.0,394.52,8730
2019-07-05,391.2,391.2,366.4,367.8,26530
2019-07-08,364.08,364.08,355.2,357.72,8258
2019-07-09,356.04,356.04,331.64,339.36,4515
2019-07-10,345.2,345.2,328.0,332.84,5815
2019-07-11,333.16,333.16,320.4,324.92,6905
2019-07-12,324.0,339.84,322.4,333.4,4539
2019-07-15,336.28,347.84,336.0,342.52,3134
2019-07-16,337.2,344.88,336.92,338.28,2728
2019-07-17,339.44,343.6,333.6,335.96,3088
2019-07-18,333.24,333.96,321.76,324.64,2143
2019-07-19,325.2,325.72,313.44,318.52,4984
2019-07-22,320.0,320.0,311.16,315.24,2253
2019-07-23,317.6,323.68,316.0,317.24,1754
2019-07-24,322.56,322.56,314.4,315.52,718
2019-07-25,313.92,320.0,308.0,314.4,2520
2019-07-26,315.44,325.52,314.0,322.08,1528
2019-07-29,322.4,325.92,319.84,325.32,2630
2019-07-30,322.64,324.48,308.0,310.8,2589
2019-07-31,306.56,318.88,304.36,315.6,2779
2019-08-01,312.0,313.32,308.32,311.2,1105
2019-08-02,305.88,310.8,301.08,305.64,2378
2019-08-05,301.2,304.0,297.0,301.2,888
2019-08-06,300.0,316.0,300.0,312.44,2846
2019-08-07,319.52,319.52,310.68,312.64,1421
2019-08-08,315.0,318.6,311.16,316.08,1863
2019-08-09,314.8,319.72,312.52,313.24,833
2019-08-13,315.52,316.0,307.8,308.6,745
2019-08-14,308.8,309.64,303.56,305.84,2485
2019-08-16,304.08,308.8,303.44,303.6,785
2019-08-19,305.6,306.16,300.96,301.96,1144
2019-08-20,299.44,304.08,296.0,298.04,853
2019-08-21,312.0,312.0,289.0,289.96,3258
2019-08-22,287.76,287.92,277.6,278.0,2009
2019-08-23,278.4,280.08,268.16,273.96,2486
2019-08-26,280.8,291.08,276.8,284.04,2611
2019-08-27,289.44,299.36,288.0,293.0,1799
2019-08-28,295.52,295.56,282.4,282.92,1208
2019-08-29,284.0,289.6,281.8,282.2,1645
2019-08-30,285.08,288.6,280.0,280.88,1365
2019-09-03,281.6,282.4,277.44,278.92,580
2019-09-04,279.96,281.72,278.76,279.52,844
2019-09-05,284.16,292.0,284.16,287.16,760
2019-09-06,286.48,288.32,283.8,285.52,966
2019-09-11,303.2,303.2,296.96,298.32,1400
2019-09-12,301.36,304.68,292.4,296.2,2254
2019-09-13,299.56,301.64,295.52,298.0,743
2019-09-16,293.76,298.08,293.76,295.56,2040
2019-09-17,296.96,299.64,284.04,287.84,2711
2019-09-18,289.64,296.64,285.6,293.4,2385
2019-09-19,294.4,296.56,284.0,286.24,2354
2019-09-20,287.64,306.28,286.4,299.68,6335
2019-09-23,318.4,318.4,296.0,302.88,6971
2019-09-24,300.68,311.84,300.68,306.32,2999
2019-09-25,306.8,307.68,294.52,296.2,2061
2019-09-26,299.96,299.96,293.6,294.6,2315
2019-09-27,299.2,353.52,299.2,332.96,238126
2019-09-30,336.52,357.56,335.2,341.12,37414
2019-10-01,348.0,348.08,320.0,323.84,9385
2019-10-03,324.0,324.0,307.88,311.0,6018
2019-10-04,318.88,320.4,305.0,305.76,3268
2019-10-07,310.4,321.92,301.48,307.92,13938
2019-10-09,308.72,309.8,302.12,307.32,5864
2019-10-10,300.12,311.16,298.16,300.4,9093
2019-10-11,305.72,318.4,301.16,302.48,10189
2019-10-14,303.48,310.4,298.4,300.2,4235
2019-10-15,300.56,303.32,296.64,296.72,3723
2019-10-16,296.8,300.8,293.44,294.88,2625
2019-10-17,300.0,303.2,292.8,301.04,3074
2019-10-18,306.4,317.24,304.08,307.0,7815
2019-10-22,304.8,308.92,302.4,304.64,3910
2019-10-23,301.76,311.2,299.48,305.0,3286
2019-10-24,307.2,309.44,303.72,305.08,993
2019-10-25,303.72,308.28,300.0,300.56,1838
2019-10-29,306.08,311.56,306.08,306.36,1976
2019-10-30,308.0,308.0,302.64,304.12,2366
2019-10-31,304.8,321.52,303.6,310.44,7608
2019-11-01,316.48,319.36,314.4,317.4,4660
2019-11-04,322.4,326.88,319.64,322.08,1589
2019-11-05,323.36,325.92,318.72,320.32,1945
2019-11-06,320.28,342.2,316.0,337.08,8656
2019-11-07,339.16,347.28,332.0,341.52,7531
2019-11-08,339.2,348.0,330.28,332.4,9821
2019-11-13,330.96,341.76,330.4,332.0,2623
2019-11-14,329.56,335.84,324.84,328.2,2295
2019-11-15,330.08,334.44,322.4,324.68,2880
2019-11-18,324.52,333.64,312.8,321.4,4919
2019-11-19,320.72,325.0,318.16,321.56,1448
2019-11-20,321.92,334.2,321.6,322.2,10481
2019-11-21,324.36,331.2,322.72,324.8,2749
2019-11-22,335.2,341.56,331.64,335.16,10070
2019-11-25,333.6,333.6,328.92,331.12,8303
2019-11-26,334.12,338.32,329.28,334.72,3041
2019-11-27,334.64,337.6,332.2,332.92,10266
2019-11-28,333.48,335.68,330.4,331.76,739
2019-11-29,336.2,348.0,333.44,344.16,8554
2019-12-02,347.6,354.6,340.72,344.32,4146
2019-12-03,344.92,347.76,331.36,335.16,4106
2019-12-04,332.0,335.96,329.6,332.68,8213
2019-12-05,335.68,335.72,329.92,330.68,1149
2019-12-06,332.0,332.84,328.24,328.92,1061
2019-12-09,326.68,330.44,320.48,321.68,1513
2019-12-10,323.12,328.0,317.04,318.32,5088
2019-12-11,320.68,321.28,317.6,320.08,754
2019-12-12,320.24,321.04,317.76,317.96,1486
2019-12-13,321.6,327.2,320.8,323.76,1840
2019-12-16,324.48,330.48,321.6,322.72,1596
2019-12-17,322.4,340.0,319.2,335.96,9756
2019-12-18,339.52,347.2,332.0,339.88,7024
2019-12-19,343.96,349.8,340.52,344.0,9020
2019-12-20,343.88,343.96,338.4,339.4,1446
2019-12-23,338.6,346.56,335.64,343.8,4715
2019-12-24,341.2,361.76,341.2,354.76,19349
2019-12-26,360.12,369.84,349.36,352.96,16044
2019-12-27,360.0,362.88,352.88,355.04,3226
2019-12-30,358.56,360.8,356.8,358.2,3544
2019-12-31,360.88,364.32,359.2,360.68,5991
2020-01-01,363.8,363.8,346.24,347.44,8305
2020-01-02,348.48,355.2,346.4,347.76,5309
2020-01-03,345.64,347.2,336.8,341.04,6751
2020-01-06,338.24,345.4,325.4,326.8,6440
2020-01-07,334.68,336.0,306.4,313.76,37133
2020-01-08,316.0,316.0,298.4,304.4,10979
2020-01-09,308.24,313.24,308.24,310.44,8234
2020-01-10,311.92,317.76,310.24,311.8,6054
2020-01-13,312.08,319.6,312.04,314.44,4825
2020-01-14,317.2,318.4,314.4,315.68,3045
2020-01-15,313.44,318.52,313.28,315.6,4794
2020-01-16,317.84,323.84,317.12,317.64,2821
2020-01-17,319.96,323.68,318.4,319.56,3645
2020-01-20,321.32,321.92,317.44,320.2,1498
2020-01-21,318.68,323.04,315.68,317.4,4614
2020-01-22,318.48,319.8,312.8,313.32,3309
2020-01-23,314.24,322.24,312.0,317.08,3696
2020-01-24,322.8,322.8,316.08,318.32,4270
2020-01-27,315.68,321.6,315.68,317.44,1369
2020-01-28,319.96,344.48,318.88,332.72,25450
2020-01-29,332.88,334.64,325.36,327.76,2250
2020-01-30,326.4,331.2,320.52,322.44,2801
2020-01-31,324.32,326.88,320.12,322.24,1480
2020-02-01,322.0,336.48,318.04,321.04,7364
2020-02-03,319.12,323.32,316.0,317.28,478
2020-02-04,320.68,328.0,317.28,319.4,1813
2020-02-05,319.24,324.8,319.2,322.44,760
2020-02-06,323.2,330.36,323.2,327.24,3519
2020-02-07,325.04,348.0,325.04,331.6,8966
2020-02-10,332.0,340.84,332.0,336.24,3179
2020-02-11,339.2,348.0,334.52,344.56,7441
2020-02-12,344.76,376.0,337.04,364.68,32471
2020-02-13,361.6,371.72,356.8,358.36,8676
2020-02-14,357.6,362.16,350.4,351.52,1828
2020-02-17,351.88,365.68,342.4,349.52,20815
2020-02-18,346.8,359.2,345.8,357.44,3668
2020-02-19,358.28,361.6,352.0,353.56,2765
2020-02-20,353.92,356.8,349.44,351.2,1604
2020-02-24,349.6,349.6,340.64,342.56,2280
2020-02-25,342.4,345.44,336.0,336.64,1679
2020-02-26,335.84,336.6,322.08,324.24,2764
2020-02-27,326.6,329.24,322.88,324.84,2255
2020-02-28,320.0,320.0,311.04,312.36,2484
2020-03-02,318.4,321.64,307.2,310.4,2859
2020-03-03,315.84,315.84,309.6,311.24,1018
2020-03-04,311.56,312.52,300.0,305.96,2606
2020-03-05,300.0,313.76,300.0,307.32,2444
2020-03-06,298.4,312.32,297.6,307.56,1625
2020-03-09,306.48,306.48,288.08,290.32,5359
2020-03-11,295.12,300.44,288.08,289.72,2631
2020-03-12,280.88,280.88,243.88,248.8,8479
2020-03-13,222.4,298.4,204.12,261.68,5001
2020-03-16,256.48,261.28,228.16,234.28,3131
2020-03-17,230.36,242.4,230.32,236.24,2163
2020-03-18,243.68,243.68,206.08,209.84,5035
2020-03-19,204.0,204.32,188.0,198.64,11239
2020-03-20,205.2,222.64,196.8,217.72,7990
2020-03-23,189.48,223.96,179.64,195.32,28729
2020-03-24,197.52,203.8,176.0,196.44,2224
2020-03-25,195.32,202.8,190.4,200.36,88981
2020-03-26,204.24,240.4,202.16,225.92,19906
2020-03-27,235.44,238.84,222.4,225.0,4209
2020-03-30,221.6,259.48,216.12,249.04,9679
2020-03-31,248.04,249.2,243.6,247.28,2211
2020-04-01,269.6,270.4,256.0,262.16,9410
2020-04-03,268.0,268.0,248.16,249.8,1861
2020-04-07,263.84,291.04,253.24,279.84,17130
2020-04-08,280.8,291.2,273.6,276.44,4776
2020-04-09,283.4,302.36,281.6,290.96,14808
2020-04-13,289.6,295.6,283.52,287.28,27231
2020-04-15,289.92,294.44,269.6,274.8,3149
2020-04-16,279.68,300.6,272.96,292.68,10881
2020-04-17,299.96,319.6,290.0,315.96,18000
2020-04-20,311.72,319.2,304.4,306.08,15669
2020-04-21,307.2,322.64,303.2,310.84,20831
2020-04-22,310.84,315.16,304.4,307.92,3323
2020-04-23,307.84,315.8,299.48,303.84,3885
2020-04-24,300.0,304.12,290.32,292.72,3935
2020-04-27,296.0,303.2,293.96,296.24,3145
2020-04-28,297.36,301.6,294.6,296.52,1068
2020-04-29,299.2,312.56,297.44,306.56,4251
2020-04-30,312.8,312.8,298.32,299.0,4204
2020-05-04,312.0,353.6,312.0,341.6,71508
2020-05-05,346.4,367.36,328.8,331.72,94838
2020-05-06,326.4,326.4,305.52,317.4,14494
2020-05-07,330.08,341.6,328.92,335.6,43491
2020-05-08,338.6,338.88,325.8,328.08,10196
2020-05-11,333.0,333.0,317.6,319.56,3493
2020-05-12,317.6,317.6,306.8,312.76,6125
2020-05-13,322.4,327.36,312.04,317.84,8910
2020-05-14,319.04,336.0,312.96,324.24,20021
2020-05-15,320.84,332.16,318.32,322.6,9720
2020-05-18,320.12,321.44,307.8,309.84,4248
2020-05-19,314.4,315.64,306.16,306.64,3013
2020-05-20,309.36,311.64,307.56,308.76,2373
2020-05-21,307.2,319.12,306.8,315.8,8266
2020-05-22,312.2,316.96,307.28,308.92,2508
2020-05-26,312.0,314.84,309.28,311.64,2573
2020-05-27,311.64,318.4,307.04,309.04,2439
2020-05-28,309.52,313.04,308.08,309.48,6606
2020-05-29,309.96,327.16,309.8,319.72,9163
2020-06-01,321.6,325.68,318.52,320.44,4634
2020-06-02,321.6,322.44,314.08,314.88,3260
2020-06-03,317.68,337.2,314.88,334.44,11464
2020-06-04,344.0,361.6,342.76,350.92,74980
2020-06-05,350.92,353.96,342.76,344.88,10704
2020-06-08,354.4,358.08,344.72,346.72,9254
2020-06-09,354.4,354.4,336.4,337.68,5459
2020-06-10,342.24,342.6,328.84,331.64,2354
2020-06-11,335.16,336.0,321.56,324.52,2709
2020-06-12,312.84,335.2,310.04,329.68,4909
2020-06-15,324.0,331.2,322.24,325.48,4339
2020-06-16,330.4,337.4,319.6,331.96,4766
2020-06-17,331.04,348.12,331.04,335.44,9161
2020-06-18,338.88,342.36,333.04,337.04,8665
2020-06-19,339.56,344.0,338.4,340.24,6808
2020-06-22,334.12,342.72,331.04,334.56,7480
2020-06-23,337.6,348.04,337.6,341.12,42420
2020-06-24,333.44,338.4,328.0,329.12,8520
2020-06-25,324.08,336.04,319.2,326.92,9769
2020-06-26,329.6,330.88,325.84,326.64,2081
2020-06-29,326.4,326.4,317.64,319.92,9204
2020-06-30,322.72,326.8,317.28,320.16,5935
2020-07-01,319.36,326.8,317.68,320.8,2381
2020-07-02,326.4,333.92,325.6,328.04,5479
2020-07-03,328.32,332.0,323.24,323.8,4093
2020-07-06,326.4,327.48,323.28,323.84,1090
2020-07-07,321.32,322.4,318.48,319.48,2419
2020-07-08,322.88,329.6,317.28,318.08,9754
2020-07-09,321.92,322.4,316.52,317.8,1320
2020-07-10,318.92,320.52,313.6,316.12,4804
2020-07-13,316.0,320.0,312.08,313.28,2161
2020-07-14,313.6,313.6,308.0,309.0,3933
2020-07-15,316.0,316.0,308.0,308.44,2795
2020-07-16,310.64,311.32,307.56,310.16,764
2020-07-17,311.16,318.0,310.2,313.24,4691
2020-07-20,316.2,316.24,312.0,312.24,1565
2020-07-21,313.28,315.2,310.88,312.16,1834
2020-07-22,312.48,315.16,309.28,310.72,3605
2020-07-23,313.8,318.32,300.08,309.68,23185
2020-07-24,305.28,310.88,301.6,308.2,3364
2020-07-27,306.72,307.44,303.48,304.04,934
2020-07-28,304.8,304.8,302.48,303.12,1628
2020-07-29,304.32,305.6,301.52,302.84,1401
2020-07-30,303.92,308.0,297.6,299.6,3413
2020-07-31,300.4,304.0,298.8,299.76,2358
2020-08-03,300.96,300.96,293.28,293.92,1231
2020-08-04,303.48,308.0,301.2,303.64,4790
2020-08-05,306.96,306.96,302.2,304.08,1384
2020-08-06,304.28,310.0,303.4,304.8,1998
2020-08-07,306.24,309.6,303.44,305.4,4526
2020-08-10,305.4,309.08,304.48,305.44,2399
2020-08-11,307.16,313.6,304.04,308.24,6493
2020-08-12,304.96,314.24,302.4,306.32,4278
2020-08-13,309.6,348.8,309.6,342.2,48183
2020-08-14,343.2,343.2,321.2,328.12,22790
2020-08-17,328.0,329.32,320.96,322.0,2828
2020-08-18,324.84,331.36,324.84,326.8,3294
2020-08-19,329.6,329.6,323.48,324.92,1604
2020-08-20,322.4,324.16,320.4,322.68,1438
2020-08-21,325.44,333.76,325.44,327.76,13228
2020-08-24,324.8,333.28,324.8,329.28,6894
2020-08-25,339.04,339.04,327.8,328.48,9726
2020-08-26,331.4,334.0,328.48,329.08,2395
2020-08-27,332.0,334.4,322.88,326.64,2543
2020-08-28,327.28,330.44,323.2,324.4,3093
2020-08-31,327.88,329.12,307.28,309.64,4845
2020-09-01,308.0,314.68,308.0,312.08,5403
2020-09-02,314.36,324.92,312.2,316.96,4029
2020-09-03,319.96,331.36,318.4,319.92,7664
2020-09-04,316.8,326.4,311.52,317.6,9675
2020-09-07,317.6,323.48,312.8,313.92,5721
2020-09-08,312.0,319.2,308.8,311.8,6576
2020-09-09,310.88,316.48,305.88,309.24,4645
2020-09-10,310.8,314.4,309.6,311.2,2804
2020-09-11,310.4,312.12,309.16,309.4,1321
2020-09-14,312.48,322.64,312.48,314.4,4493
2020-09-15,314.08,323.36,312.76,319.12,6604
2020-09-16,329.56,331.72,322.4,324.8,8286
2020-09-17,317.92,327.4,308.8,319.84,4538
2020-09-18,319.2,321.8,315.28,316.64,498
2020-09-21,320.04,321.28,308.8,311.08,4978
2020-09-22,310.4,312.2,295.68,302.28,6165
2020-09-23,307.92,307.92,300.84,304.2,2054
2020-09-24,299.4,302.36,297.0,298.68,4648
2020-09-25,300.8,306.52,300.8,305.76,1453
2020-09-28,309.8,317.6,302.56,316.24,6036
2020-09-29,319.96,322.08,313.88,315.64,3955
2020-09-30,315.2,316.76,314.28,314.28,270
2020-10-01,314.56,332.0,314.52,319.28,3335
2020-10-05,322.92,326.2,321.28,322.0,1255
2020-10-06,325.44,336.28,322.76,330.44,13019
2020-10-07,328.04,334.24,320.0,325.48,5740
2020-10-08,327.68,327.68,306.4,308.28,19568
2020-10-09,310.08,312.76,306.0,311.6,2880
2020-10-12,309.2,317.0,307.48,308.12,3629
2020-10-13,308.08,310.6,306.0,306.6,2363
2020-10-14,308.04,308.04,302.88,305.64,891
2020-10-15,307.4,307.92,300.8,302.64,1070
2020-10-16,306.64,306.68,300.08,301.76,1121
