Datetime,Open,High,Low,Close,Volume
2019-05-28,12.48,12.75,12.1,12.17,5141
2019-05-29,11.81,13.89,11.81,12.48,4726
2019-05-30,12.48,12.55,12.1,12.14,4606
2019-06-03,13.0,13.95,12.1,12.21,1601
2019-06-10,12.12,12.24,10.9,11.1,6570
2019-06-11,10.9,11.4,10.8,11.3,8660
2019-06-12,11.3,11.99,11.1,11.3,786
2019-06-13,13.35,13.35,11.0,11.02,1266
2019-06-14,10.95,11.01,10.3,11.01,685
2019-06-17,10.4,10.95,10.26,10.67,1098
2019-06-18,10.8,11.59,10.5,10.65,761
2019-06-19,10.25,10.5,9.1,9.91,1927
2019-06-20,9.65,10.0,8.99,9.57,6267
2019-06-21,10.99,10.99,8.41,9.0,9125
2019-06-24,9.79,9.79,8.7,9.45,969
2019-06-25,11.0,11.0,9.0,9.01,198
2019-06-26,9.5,9.5,9.01,9.27,105
2019-06-27,10.46,10.46,9.03,9.96,4
2019-06-28,9.1,10.9,9.0,9.3,2565
2019-07-01,9.03,10.44,9.03,10.44,26
2019-07-02,9.15,10.45,9.15,9.65,2550
2019-07-03,9.6,9.81,9.4,9.81,741
2019-07-04,9.39,9.4,9.3,9.35,177
2019-07-05,9.8,9.8,9.13,9.5,3
2019-07-08,9.46,9.46,8.97,9.0,2482
2019-07-09,8.51,10.5,8.35,9.55,1573
2019-07-10,9.47,9.8,9.47,9.5,892
2019-07-11,9.1,9.5,9.0,9.34,1997
2019-07-12,9.0,10.9,9.0,10.63,20164
2019-07-15,10.35,10.81,10.0,10.6,9089
2019-07-16,10.72,11.0,10.54,10.6,21513
2019-07-17,10.4,10.4,10.4,10.4,270
2019-07-18,10.55,11.0,10.55,10.7,9173
2019-07-19,10.85,10.85,10.2,10.58,614
2019-07-22,10.15,10.15,9.6,9.94,2871
2019-07-23,9.52,9.99,9.52,9.61,102
2019-07-24,9.65,10.0,9.65,10.0,1515
2019-07-25,9.11,10.8,9.11,10.8,88
2019-07-26,10.5,10.5,10.1,10.38,12865
2019-07-29,10.34,10.34,9.9,10.04,4042
2019-07-30,10.07,10.14,9.95,9.95,7880
2019-07-31,10.0,10.0,9.95,9.95,160
2019-08-01,10.0,10.0,9.6,9.8,3051
2019-08-02,10.06,10.26,10.06,10.11,27477
2019-08-05,10.29,10.29,10.29,10.29,5
2019-08-06,9.96,12.34,9.96,12.34,13651
2019-08-07,12.35,14.8,12.35,14.45,34274
2019-08-08,15.45,15.45,13.08,13.08,8477
2019-08-09,12.01,12.01,11.78,11.78,7435
2019-08-13,10.66,12.67,10.66,12.66,6082
2019-08-14,12.2,12.44,11.4,11.4,5090
2019-08-16,11.4,11.49,10.83,11.49,5235
2019-08-20,11.0,11.0,11.0,11.0,6
2019-08-21,11.47,11.47,10.5,10.67,3229
2019-08-22,10.26,10.96,10.26,10.77,6094
2019-08-23,10.53,11.1,10.41,10.51,302
2019-08-26,11.0,11.0,10.15,10.49,4065
2019-08-27,10.3,10.59,10.15,10.59,727
2019-08-28,10.21,10.6,10.07,10.6,4368
2019-08-29,10.5,10.82,10.3,10.31,2255
2019-08-30,10.13,10.35,10.13,10.24,400
2019-09-03,10.21,10.45,10.21,10.45,710
2019-09-04,10.3,10.75,10.3,10.65,318
2019-09-05,10.79,11.09,10.6,10.75,1160
2019-09-06,10.7,10.7,10.55,10.55,579
2019-09-11,10.99,10.99,10.4,10.4,605
2019-09-12,10.3,10.85,10.3,10.46,3170
2019-09-13,10.64,10.9,10.3,10.41,6563
2019-09-16,10.82,10.82,10.03,10.4,159
2019-09-17,10.74,10.74,10.3,10.3,252
2019-09-18,10.5,10.81,10.3,10.7,625
2019-09-19,10.8,10.8,10.2,10.21,1182
2019-09-20,10.2,10.3,10.2,10.3,785
2019-09-23,10.3,10.7,10.0,10.11,3554
2019-09-24,10.0,10.59,10.0,10.57,1869
2019-09-25,10.89,10.89,10.23,10.24,60
2019-09-26,10.5,10.75,10.23,10.32,18045
2019-09-27,10.7,10.8,10.15,10.59,12036
2019-09-30,10.8,10.8,10.3,10.3,1066
2019-10-01,10.4,10.64,10.4,10.52,110
2019-10-03,10.0,10.94,10.0,10.24,3536
2019-10-04,10.03,10.5,10.03,10.2,2007
2019-10-07,10.02,10.58,9.8,10.3,666
2019-10-09,10.0,10.0,9.5,9.51,227
2019-10-10,8.9,10.39,8.9,10.0,36
2019-10-11,9.12,9.99,9.12,9.99,16
2019-10-14,10.9,10.9,9.24,9.88,4158
2019-10-15,9.0,9.87,9.0,9.29,1432
2019-10-16,9.94,9.95,9.3,9.83,1004
2019-10-17,9.26,9.82,9.01,9.7,1027
2019-10-18,9.05,9.69,9.05,9.5,11291
2019-10-22,9.5,10.4,9.16,9.6,9194
2019-10-23,9.8,9.8,9.43,9.8,1295
2019-10-24,9.8,9.8,9.4,9.78,37
2019-10-25,9.8,9.8,9.49,9.79,2929
2019-10-29,9.97,9.98,9.11,9.93,8257
2019-10-31,9.92,9.92,9.11,9.82,1153
2019-11-01,9.5,9.99,9.5,9.89,2422
2019-11-04,10.0,10.77,9.25,10.11,1126
2019-11-05,9.45,10.69,9.45,9.81,4595
2019-11-06,10.0,10.25,9.2,9.9,9093
2019-11-07,10.4,10.4,9.41,9.8,1194
2019-11-08,9.95,9.95,9.4,9.44,146
2019-11-13,9.03,9.78,9.02,9.22,2152
2019-11-14,8.91,9.69,8.91,9.69,110
2019-11-15,9.55,9.9,9.26,9.35,1179
2019-11-18,8.82,9.77,8.82,9.21,8805
2019-11-19,9.7,9.7,8.77,9.23,3212
2019-11-20,9.0,9.13,8.63,8.93,11984
2019-11-21,8.75,9.44,8.6,8.99,9618
2019-11-22,9.25,9.25,8.53,9.1,1217
2019-11-25,8.55,9.35,8.55,9.19,2867
2019-11-26,9.5,9.5,8.83,8.93,1112
2019-11-27,9.34,9.34,8.51,8.61,11413
2019-11-29,8.65,9.18,8.65,9.0,175
2019-12-02,8.66,9.29,8.66,8.7,2216
2019-12-04,8.46,9.23,8.36,8.74,2975
2019-12-05,8.46,9.61,8.27,9.5,22878
2019-12-06,10.0,10.85,8.75,9.08,31444
2019-12-09,9.44,9.6,9.05,9.35,1566
2019-12-10,9.03,9.37,9.03,9.06,1014
2019-12-11,9.4,9.4,8.8,8.94,8750
2019-12-12,8.94,8.95,8.94,8.94,441
2019-12-13,9.05,9.09,8.81,8.98,4712
2019-12-16,8.77,9.08,8.77,8.97,1596
2019-12-17,8.95,9.04,8.65,8.8,8981
2019-12-18,8.76,8.97,8.7,8.7,132
2019-12-19,8.85,8.95,8.11,8.67,1735
2019-12-20,8.67,9.99,8.67,8.8,2341
2019-12-23,8.7,8.7,8.7,8.7,10
2019-12-24,8.7,8.7,8.06,8.65,5361
2019-12-26,8.31,8.55,8.31,8.55,170
2019-12-27,8.25,8.75,8.25,8.65,1032
2019-12-30,9.75,9.75,8.16,8.42,253
2019-12-31,8.41,8.41,8.41,8.41,39
2020-01-01,8.31,8.61,8.01,8.51,5379
2020-01-02,8.25,8.45,8.24,8.45,1126
2020-01-06,8.61,8.74,8.61,8.74,101
2020-01-07,8.26,8.45,8.2,8.44,3551
2020-01-08,8.35,8.59,8.35,8.59,1454
2020-01-09,8.7,8.7,8.7,8.7,280
2020-01-10,10.39,10.39,8.0,9.41,7351
2020-01-13,9.47,10.47,9.07,9.36,649
2020-01-14,10.3,10.3,9.52,9.81,1254
2020-01-15,9.95,9.95,9.55,9.75,685
2020-01-16,9.89,9.89,9.56,9.56,55
2020-01-17,10.4,10.4,8.85,9.11,953
2020-01-20,9.59,9.6,9.31,9.31,1152
2020-01-21,9.55,10.1,9.55,9.71,1972
2020-01-22,9.75,9.75,9.5,9.5,1101
2020-01-23,9.75,10.98,9.62,9.64,1441
2020-01-24,9.7,9.75,9.56,9.64,1451
2020-01-27,9.69,9.69,9.35,9.38,6
2020-01-28,9.35,9.64,9.2,9.46,230
2020-01-29,9.3,9.64,9.29,9.4,19
2020-01-30,9.36,9.54,9.04,9.17,2219
2020-01-31,9.16,9.4,9.16,9.39,251
2020-02-01,9.5,9.5,8.85,9.45,287
2020-02-03,9.69,9.69,9.3,9.36,1563
2020-02-04,10.98,10.98,9.35,9.36,2065
2020-02-05,10.0,10.5,9.85,10.02,11125
2020-02-06,10.5,10.5,9.55,9.57,2183
2020-02-07,9.81,9.81,9.31,9.42,210
2020-02-10,9.31,9.39,9.21,9.25,1237
2020-02-11,9.52,9.52,9.17,9.19,1050
2020-02-12,8.93,9.17,8.9,9.17,1912
2020-02-13,9.03,9.38,9.03,9.38,425
2020-02-14,9.5,9.5,9.24,9.24,8
2020-02-17,8.85,8.93,8.3,8.38,3966
2020-02-18,8.0,8.49,8.0,8.49,231
2020-02-19,8.21,8.36,8.21,8.36,831
2020-02-20,8.61,8.61,8.3,8.3,693
2020-02-24,8.3,8.3,8.2,8.3,1204
2020-02-25,8.49,8.49,8.25,8.29,5002
2020-02-26,9.49,9.49,8.14,8.45,650
2020-02-27,8.25,8.45,8.25,8.31,807
2020-02-28,8.56,8.56,8.05,8.13,1481
2020-03-02,8.39,8.39,7.84,7.99,37
2020-03-03,7.82,7.83,7.82,7.83,300
2020-03-04,7.71,7.71,7.51,7.66,1238
2020-03-05,7.5,7.83,7.5,7.59,128
2020-03-06,7.22,7.85,7.21,7.21,485
2020-03-09,7.82,8.0,6.75,6.75,2905
2020-03-11,7.1,7.11,6.95,7.1,6950
2020-03-12,6.2,6.5,5.81,5.87,2182
2020-03-13,5.85,6.94,5.85,6.04,1201
2020-03-16,5.77,6.15,5.5,5.51,1667
2020-03-17,5.65,6.3,5.65,6.29,21007
2020-03-18,6.11,7.0,6.11,6.64,6088
2020-03-19,7.0,7.89,6.25,7.23,6196
2020-03-20,7.64,7.9,7.11,7.87,17426
2020-03-23,7.85,7.85,7.17,7.65,636
2020-03-24,7.12,8.25,7.12,8.25,10240
2020-03-25,8.8,8.89,8.0,8.89,5271
2020-03-26,8.12,8.84,8.12,8.8,1852
2020-03-27,8.03,9.42,8.03,8.03,5151
2020-03-30,8.03,8.2,7.25,7.4,2685
2020-03-31,7.5,7.99,7.23,7.23,146
2020-04-01,7.49,7.95,7.11,7.16,59
2020-04-03,7.21,7.84,7.21,7.21,590
2020-04-07,7.25,7.93,7.11,7.77,804
2020-04-08,7.25,8.23,7.0,7.48,969
2020-04-09,6.75,8.76,6.75,8.71,1820
2020-04-13,8.78,8.78,7.3,7.7,870
2020-04-15,8.79,8.79,7.39,7.55,1425
2020-04-16,7.6,7.6,7.4,7.41,6000
2020-04-17,8.8,8.8,7.4,8.4,1678
2020-04-20,8.79,10.08,7.53,10.08,9172
2020-04-21,11.0,11.94,10.57,11.68,31399
2020-04-22,11.89,11.89,10.64,11.09,12334
2020-04-23,10.54,10.99,10.54,10.89,16677
2020-04-24,10.35,10.35,10.35,10.35,4000
2020-04-27,10.78,10.78,9.84,9.84,749
2020-04-28,9.5,9.84,9.35,9.73,1623
2020-04-29,9.25,9.5,9.25,9.45,3243
2020-04-30,9.7,9.7,9.1,9.4,1253
2020-05-04,8.5,10.2,8.5,9.01,829
2020-05-05,9.9,9.9,8.7,8.83,8388
2020-05-06,8.51,8.77,8.2,8.47,3288
2020-05-07,8.06,8.76,8.05,8.43,713
2020-05-08,8.6,9.27,8.4,9.27,29288
2020-05-11,9.95,9.95,8.6,8.64,486
2020-05-12,8.9,8.98,8.23,8.51,7005
2020-05-13,8.14,9.36,8.14,9.3,20481
2020-05-14,8.53,9.35,8.53,9.33,570
2020-05-15,8.5,9.31,8.5,9.3,222
2020-05-19,8.8,9.0,8.41,8.6,1810
2020-05-20,8.16,9.14,8.16,8.99,130
2020-05-21,8.16,9.0,8.16,8.9,5504
2020-05-22,8.73,8.73,8.73,8.73,10
2020-05-26,9.47,9.47,8.23,8.31,32
2020-05-28,8.98,9.12,8.5,8.55,15954
2020-05-29,8.55,9.36,8.55,8.56,1072
2020-06-01,8.7,8.7,8.7,8.7,1
2020-06-03,8.27,9.35,8.27,9.35,1085
2020-06-04,9.3,9.3,8.73,9.01,1105
2020-06-05,9.49,9.49,9.01,9.25,304
2020-06-08,10.0,10.0,8.65,8.84,5111
2020-06-09,8.9,8.9,8.5,8.5,9500
2020-06-10,8.7,9.19,8.5,8.57,9702
2020-06-11,9.4,9.4,8.36,8.51,12865
2020-06-12,8.33,9.24,8.32,9.24,9486
2020-06-15,8.56,9.2,8.41,8.66,7101
2020-06-16,8.55,8.65,8.12,8.5,2043
2020-06-17,9.0,9.0,8.12,8.4,14299
2020-06-18,8.83,8.83,8.12,8.43,697
2020-06-19,8.41,8.97,8.41,8.77,1664
2020-06-22,8.99,8.99,8.22,8.45,1796
2020-06-23,8.75,8.75,8.6,8.63,8437
2020-06-24,8.6,9.22,8.5,8.59,9803
2020-06-25,8.55,8.88,8.5,8.51,21810
2020-06-26,8.55,8.74,8.45,8.74,8247
2020-06-29,8.74,8.95,8.6,8.75,1197
2020-06-30,8.9,8.95,8.5,8.86,2391
2020-07-01,8.75,8.75,8.5,8.5,3990
2020-07-02,8.8,8.85,8.4,8.85,811
2020-07-03,8.8,8.9,8.6,8.8,1290
2020-07-06,8.6,8.85,8.5,8.57,3789
2020-07-07,8.5,8.65,8.05,8.25,6201
2020-07-08,8.25,8.55,7.8,8.35,3279
2020-07-09,8.4,8.4,8.05,8.1,1114
2020-07-10,8.1,8.1,8.0,8.0,270
2020-07-13,8.2,8.2,7.9,7.9,654
2020-07-14,7.9,7.9,7.8,7.9,1094
2020-07-15,7.8,7.8,7.8,7.8,3
2020-07-16,7.75,7.8,7.5,7.51,2980
2020-07-17,7.6,7.85,7.41,7.85,669
2020-07-20,7.85,8.37,7.55,7.84,1061
2020-07-21,7.7,8.25,7.7,8.25,309
2020-07-22,8.49,8.49,7.8,7.85,3155
2020-07-23,8.15,8.4,7.51,7.94,8469
2020-07-24,8.04,8.05,7.75,8.05,4391
2020-07-27,8.25,8.25,7.75,7.81,11447
2020-07-28,7.8,7.8,7.8,7.8,100
2020-07-29,7.6,7.89,7.37,7.85,1528
2020-07-30,7.65,7.9,7.65,7.76,333
2020-07-31,7.39,7.75,7.39,7.64,1367
2020-08-03,7.81,7.81,7.59,7.66,435
2020-08-04,7.65,7.76,7.54,7.57,666
2020-08-05,7.54,7.75,7.54,7.56,2306
2020-08-06,7.71,7.71,7.54,7.55,729
2020-08-07,7.5,8.0,7.36,7.76,9462
2020-08-10,7.49,7.91,7.49,7.64,1456
2020-08-11,7.81,8.31,7.81,7.95,2433
2020-08-12,8.5,8.5,8.0,8.19,3330
2020-08-13,8.09,8.28,8.0,8.01,3982
2020-08-14,7.89,7.89,7.69,7.69,29
2020-08-17,7.79,7.79,7.79,7.79,70
2020-08-18,8.8,8.8,7.79,8.01,5435
2020-08-19,7.84,9.61,7.7,9.61,40719
2020-08-20,10.75,11.53,10.41,11.53,84886
2020-08-21,12.65,12.68,11.79,12.68,308120
2020-08-24,13.49,13.94,13.42,13.94,214449
2020-08-25,14.3,15.33,13.13,15.33,199935
2020-08-26,16.09,16.09,14.57,14.57,109790
2020-08-27,14.0,14.0,13.85,13.85,3333
2020-08-28,13.16,13.16,13.16,13.16,353
2020-08-31,12.51,12.51,12.51,12.51,2765
2020-09-01,11.89,11.89,11.89,11.89,2500
2020-09-02,11.3,11.3,11.3,11.3,1441
2020-09-03,10.74,11.0,10.74,10.74,20337
2020-09-04,10.21,10.25,10.21,10.21,9409
2020-09-07,9.75,10.72,9.7,10.72,43730
2020-09-08,11.0,11.1,10.19,10.7,24672
2020-09-09,10.7,10.7,10.17,10.17,1516
2020-09-10,9.68,10.5,9.67,10.22,11889
2020-09-11,10.65,10.65,9.72,9.92,5168
2020-09-14,9.45,10.25,9.43,9.99,17877
2020-09-15,9.99,10.1,9.52,9.54,3759
2020-09-16,9.54,9.85,9.18,9.76,1540
2020-09-17,9.31,9.8,9.31,9.72,6987
2020-09-18,9.25,9.75,9.24,9.49,4214
2020-09-21,9.24,9.25,9.02,9.21,2962
2020-09-22,8.81,9.24,8.77,9.0,8572
2020-09-23,9.35,9.35,8.55,8.98,5858
2020-09-24,8.98,8.98,8.54,8.56,2950
2020-09-25,8.29,8.94,8.19,8.73,8344
2020-09-28,8.5,8.95,8.38,8.85,889
2020-09-29,8.49,8.83,8.41,8.83,2935
2020-09-30,8.5,9.15,8.5,9.06,1868
2020-10-01,9.0,9.39,8.66,9.06,8325
2020-10-05,8.67,8.88,8.67,8.71,4538
2020-10-06,8.65,9.1,8.65,8.65,3603
2020-10-07,8.34,8.75,8.32,8.75,1610
2020-10-08,9.14,9.14,8.32,8.32,5002
2020-10-09,8.08,8.53,8.02,8.4,3314
2020-10-12,8.74,8.74,8.49,8.49,167
2020-10-13,8.48,8.48,8.07,8.34,4231
2020-10-14,8.43,8.43,7.95,8.38,2541
2020-10-15,7.97,8.49,7.97,8.32,3381
2020-10-16,7.91,8.5,7.91,8.32,2775
2020-10-19,8.6,8.6,7.92,8.21,10570
2020-10-20,8.21,8.52,8.12,8.46,147
2020-10-21,8.04,8.49,8.04,8.41,3307
2020-10-22,8.05,8.48,8.02,8.41,10351
2020-10-23,8.19,8.48,8.18,8.45,7237
2020-10-26,8.4,8.58,8.15,8.57,3994
2020-10-27,8.17,8.76,8.15,8.57,5450
2020-10-29,8.15,8.43,8.15,8.43,411
2020-10-30,8.07,8.39,8.07,8.39,113
2020-11-02,8.75,8.75,7.98,8.02,6508
2020-11-03,8.42,8.42,8.01,8.14,660
2020-11-04,8.45,8.45,7.75,8.09,996
2020-11-05,7.83,8.19,7.83,8.19,1060
2020-11-06,7.93,8.15,7.93,7.98,862
2020-11-09,8.0,8.28,7.81,8.05,8978
2020-11-10,8.01,8.26,7.9,7.96,8490
