Datetime,Open,High,Low,Close,Volume
2024-02-07,115.0,120.75,111.2,120.75,337200
2024-02-08,126.75,126.75,126.75,126.75,33600
2024-02-09,133.05,133.05,120.45,123.3,364800
2024-02-12,117.15,122.8,117.15,117.15,154800
2024-02-13,117.0,120.35,114.0,120.35,48000
2024-02-14,118.9,121.75,117.5,120.35,18000
2024-02-15,121.0,122.95,119.05,122.55,24000
2024-02-16,127.95,128.65,125.0,128.65,33600
2024-02-19,135.05,135.05,135.05,135.05,14400
2024-02-20,141.8,141.8,141.8,141.8,14400
2024-02-21,170.15,170.15,140.0,163.35,217200
2024-02-22,156.5,157.0,140.0,140.8,150000
2024-02-23,143.9,145.0,135.0,136.25,68400
2024-02-26,139.95,140.0,136.4,138.85,44400
2024-02-27,140.0,140.0,137.0,137.0,16800
2024-02-28,136.1,136.1,132.0,132.0,10800
2024-02-29,133.55,138.0,133.55,138.0,4800
2024-03-01,137.7,147.0,137.7,138.8,25200
2024-03-04,140.0,140.0,132.0,132.0,9600
2024-03-05,131.0,133.0,126.5,127.35,22800
2024-03-06,130.0,136.0,130.0,134.0,16800
2024-03-07,134.0,136.0,134.0,134.0,16800
2024-03-11,133.0,133.95,132.0,132.0,21600
2024-03-12,124.0,126.05,123.5,125.1,28800
2024-03-13,124.0,124.0,120.0,121.2,16800
2024-03-14,123.0,125.0,123.0,124.5,69600
2024-03-15,125.0,125.0,124.5,124.75,13200
2024-03-18,125.0,125.0,124.5,124.65,16800
2024-03-19,130.0,130.0,124.0,125.0,6000
2024-03-20,125.0,130.95,123.55,123.55,31200
2024-03-21,125.0,127.5,124.4,125.5,4800
2024-03-22,127.0,127.0,127.0,127.0,1200
2024-03-26,126.95,130.9,126.95,130.55,10800
2024-03-27,135.0,135.4,130.8,130.95,24000
2024-03-28,130.0,130.0,130.0,130.0,2400
2024-04-02,130.0,134.55,130.0,134.55,3600
2024-04-03,135.0,137.95,135.0,137.0,9600
2024-04-04,137.0,137.0,134.5,134.5,4800
2024-04-08,135.0,139.45,135.0,135.0,7200
2024-04-09,132.0,134.0,132.0,134.0,3600
2024-04-10,132.0,132.0,132.0,132.0,1200
2024-04-12,134.0,134.0,134.0,134.0,1200
2024-04-16,135.0,139.05,134.0,134.0,8400
2024-04-18,136.0,136.0,134.0,136.0,8400
2024-04-19,134.5,134.5,134.0,134.0,2400
2024-04-22,134.55,134.55,132.5,132.9,9600
2024-04-23,135.0,135.0,135.0,135.0,1200
2024-04-24,133.1,135.0,131.05,132.8,14400
2024-04-25,132.5,132.5,131.3,131.3,6000
2024-04-26,134.0,134.0,134.0,134.0,1200
2024-04-29,135.0,135.0,134.9,134.9,4800
2024-04-30,135.0,135.0,135.0,135.0,3600
2024-05-02,137.95,143.0,137.95,139.5,21600
2024-05-03,140.0,140.0,140.0,140.0,1200
2024-05-06,147.9,147.9,147.0,147.0,4800
2024-05-07,146.0,149.4,144.0,149.4,6000
2024-05-08,150.0,150.0,150.0,150.0,3600
2024-05-09,150.0,154.2,143.5,148.7,14400
2024-05-10,148.05,148.05,143.1,143.1,7200
2024-05-13,147.95,147.95,140.1,140.1,3600
2024-05-14,146.2,146.2,137.0,137.5,14400
2024-05-15,140.0,141.0,137.0,140.0,13200
2024-05-16,130.0,140.0,130.0,140.0,4800
2024-05-17,140.0,147.9,140.0,140.0,6000
2024-05-18,140.0,140.0,140.0,140.0,1200
2024-05-21,140.0,140.0,140.0,140.0,7200
2024-05-22,140.0,140.0,138.1,138.1,4800
2024-05-23,138.1,138.1,138.1,138.1,9600
2024-05-24,140.0,141.0,135.0,140.0,21600
2024-05-27,140.0,140.0,139.5,139.7,3600
2024-05-28,135.0,146.0,135.0,137.0,6000
2024-05-29,144.45,148.9,143.5,147.2,9600
2024-05-30,146.75,150.0,138.2,142.0,18000
2024-05-31,147.5,147.5,147.5,147.5,1200
2024-06-03,147.5,147.5,137.0,139.5,8400
2024-06-04,136.25,139.0,136.25,139.0,3600
2024-06-06,135.0,139.45,135.0,139.45,3600
2024-06-07,136.0,136.0,136.0,136.0,1200
2024-06-11,150.0,150.0,133.0,140.0,4800
2024-06-12,139.0,139.0,139.0,139.0,1200
2024-06-13,139.15,140.0,139.15,140.0,4800
2024-06-14,136.35,136.35,136.0,136.0,2400
2024-06-18,136.0,136.0,136.0,136.0,1200
2024-06-19,136.0,136.0,132.15,132.15,2400
2024-06-20,139.9,158.55,135.05,158.4,55200
2024-06-21,160.95,160.95,150.0,150.15,12000
2024-06-24,148.95,149.0,145.5,145.55,8400
2024-06-25,145.55,145.55,145.55,145.55,1200
2024-06-26,154.5,155.0,150.3,154.9,10800
2024-06-27,154.9,154.9,145.1,147.7,12000
2024-06-28,149.0,150.0,149.0,150.0,6000
2024-07-01,150.0,150.0,150.0,150.0,2400
2024-07-02,148.5,150.0,148.0,150.0,3600
2024-07-03,150.0,150.0,150.0,150.0,1200
2024-07-04,150.1,161.5,150.1,160.0,12000
2024-07-05,160.0,160.0,160.0,160.0,2400
2024-07-11,158.0,158.0,146.2,152.3,13200
2024-07-15,152.9,153.0,149.0,149.0,4800
2024-07-19,145.0,145.0,145.0,145.0,1200
2024-07-22,145.0,145.0,145.0,145.0,3600
2024-07-25,145.0,145.0,145.0,145.0,1200
2024-07-26,144.5,144.9,144.5,144.5,3600
2024-07-29,142.35,144.3,142.35,144.3,3600
2024-07-30,142.0,142.0,132.2,139.5,10800
2024-08-02,134.0,144.3,134.0,144.3,2400
2024-08-19,145.0,145.0,132.5,132.8,7200
2024-08-20,134.8,136.0,134.8,136.0,2400
2024-08-21,132.1,141.5,131.8,131.8,14400
2024-08-22,136.0,136.0,133.1,136.0,3600
2024-08-26,139.85,143.0,139.85,143.0,2400
2024-08-27,146.8,146.8,143.4,143.4,2400
2024-08-29,141.0,143.4,141.0,143.4,2400
2024-09-02,116.0,143.7,116.0,142.35,6000
2024-09-17,130.0,130.1,125.5,129.9,12000
2024-09-18,136.0,136.0,129.85,136.0,4800
2024-09-19,131.3,131.5,127.15,127.15,6000
2024-09-20,128.0,128.0,127.2,128.0,3600
2024-09-24,153.0,153.0,153.0,153.0,1200
2024-09-27,143.0,143.0,128.0,134.8,6000
2024-09-30,127.0,127.0,127.0,127.0,1200
2024-10-01,130.5,130.5,130.5,130.5,1200
2024-10-03,126.9,126.9,126.9,126.9,1200
2024-10-09,139.35,139.35,139.35,139.35,1200
2024-10-10,118.55,121.95,118.55,119.8,7200
2024-10-14,120.0,120.0,120.0,120.0,1200
2024-10-15,109.75,109.75,109.75,109.75,1200
2024-10-16,109.1,114.9,109.1,114.9,2400
2024-10-17,103.0,103.0,103.0,103.0,1200
2024-10-18,115.0,115.0,115.0,115.0,1200
2024-10-29,97.0,100.3,97.0,100.3,2400
2024-10-30,107.8,107.8,107.8,107.8,1200
2024-11-06,94.5,94.5,94.5,94.5,1200
2024-11-08,102.0,106.95,102.0,105.2,6000
2024-11-21,110.0,110.0,110.0,110.0,1200
2024-11-22,126.0,126.0,105.6,123.95,7200
2024-11-25,125.0,125.0,123.95,124.65,3600
2024-11-26,108.0,130.2,108.0,115.9,12000
2024-11-27,103.5,111.0,103.5,109.5,3600
2024-11-28,103.2,109.0,103.2,108.0,6000
2024-11-29,98.0,121.5,98.0,121.5,3600
2024-12-02,108.5,133.5,108.5,114.5,15600
2024-12-03,113.0,113.0,113.0,113.0,1200
2024-12-04,115.05,115.05,115.05,115.05,1200
2024-12-05,117.0,118.0,111.0,114.0,25200
2024-12-09,111.0,129.95,111.0,116.0,7200
2024-12-10,124.9,125.0,118.0,118.5,13200
2024-12-11,110.0,136.95,110.0,126.65,12000
2024-12-12,130.0,130.0,123.0,123.0,4800
2024-12-13,110.0,123.0,110.0,123.0,2400
2024-12-16,117.5,132.0,117.5,127.75,8400
2024-12-17,127.75,140.0,125.5,134.0,97200
2024-12-18,134.0,154.0,134.0,150.75,80400
2024-12-19,146.0,154.7,146.0,151.7,19200
2024-12-20,154.5,154.5,148.6,152.0,31200
2024-12-23,151.0,161.85,150.5,153.25,82800
2024-12-24,156.0,156.65,155.1,155.65,9600
2024-12-26,155.0,156.0,154.05,155.65,15600
2024-12-27,159.75,168.3,159.0,166.25,34800
2024-12-30,166.85,185.4,166.85,173.0,20400
2024-12-31,176.5,178.0,176.5,178.0,3600
2025-01-01,178.0,182.0,168.2,180.0,26400
2025-01-02,183.0,183.0,175.0,178.5,10800
2025-01-03,175.0,176.0,171.1,176.0,8400
2025-01-06,177.0,179.95,175.0,175.0,3600
2025-01-07,176.0,176.0,176.0,176.0,2400
2025-01-08,176.5,176.5,170.0,172.5,8400
2025-01-09,174.75,174.75,170.0,170.0,2400
2025-01-10,176.25,176.25,170.0,170.0,7200
2025-01-13,171.4,171.4,167.0,167.0,2400
2025-01-14,175.0,175.0,175.0,175.0,1200
2025-01-15,175.5,175.5,175.5,175.5,1200
2025-01-16,170.2,180.0,170.2,180.0,9600
2025-01-17,178.95,178.95,178.95,178.95,1200
2025-01-20,173.5,178.9,172.0,178.3,6000
2025-01-21,178.6,178.6,175.0,175.0,3600
2025-01-22,175.1,179.5,175.1,175.1,6000
2025-01-23,175.6,178.55,173.0,178.5,8400
2025-01-24,183.0,183.0,177.5,178.5,4800
2025-01-27,174.5,179.2,173.15,174.3,10800
2025-01-28,181.0,181.0,173.05,178.95,9600
2025-01-29,174.0,180.9,174.0,180.9,2400
2025-01-31,179.5,179.5,179.0,179.0,2400
2025-02-01,174.0,179.0,174.0,179.0,2400
2025-02-05,178.0,178.0,178.0,178.0,1200
2025-02-06,178.0,179.5,178.0,179.5,2400
2025-02-07,180.0,180.0,179.0,179.0,4800
2025-02-10,174.0,174.0,174.0,174.0,2400
2025-02-11,173.0,180.0,173.0,176.0,4800
2025-02-12,173.0,179.75,173.0,176.85,9600
2025-02-13,179.85,179.85,174.0,179.45,4800
2025-02-14,184.5,184.5,180.15,180.15,4800
2025-02-17,184.0,184.0,183.0,183.0,2400
2025-02-18,175.2,180.0,175.2,179.8,15600
2025-02-19,185.0,185.0,179.75,179.75,3600
2025-02-20,184.5,184.5,179.65,179.65,3600
2025-02-21,175.2,180.0,175.15,179.9,4800
2025-02-24,183.9,184.0,183.9,184.0,2400
2025-02-25,185.0,185.0,179.9,181.25,3600
2025-02-27,184.3,184.3,182.0,182.0,2400
2025-02-28,180.0,180.0,174.55,176.0,26400
2025-03-03,179.5,179.5,173.5,173.5,13200
2025-03-04,172.5,172.5,172.5,172.5,6000
2025-03-05,172.85,172.85,172.85,172.85,1200
2025-03-06,172.85,172.85,172.85,172.85,1200
2025-03-10,172.0,172.0,170.5,170.8,3600
2025-03-11,178.0,178.0,175.0,175.0,3600
2025-03-12,179.5,182.0,170.1,177.5,33600
2025-03-13,173.25,185.95,173.25,181.0,20400
2025-03-17,183.0,183.0,175.0,178.0,6000
2025-03-18,183.25,183.25,183.25,183.25,1200
2025-03-20,180.0,184.0,180.0,183.5,4800
2025-03-24,183.5,183.5,176.1,180.9,4800
2025-03-25,176.05,181.75,176.0,181.75,3600
2025-03-26,176.05,181.7,175.0,178.35,4800
2025-03-27,180.0,185.5,180.0,181.0,6000
2025-03-28,175.05,180.8,175.0,180.8,4800
2025-04-01,182.0,182.0,182.0,182.0,1200
2025-04-02,183.0,183.0,176.0,182.25,4800
2025-04-04,182.0,182.5,176.0,182.5,6000
2025-04-08,182.5,182.5,176.0,178.1,7200
2025-04-09,176.0,176.0,169.2,169.2,4800
2025-04-11,164.0,164.0,162.0,162.0,4800
2025-04-15,165.0,170.0,163.1,170.0,8400
2025-04-16,170.0,177.2,167.0,177.2,4800
2025-04-17,168.35,177.0,168.35,176.05,7200
2025-04-21,185.0,187.95,179.1,179.1,4800
2025-04-22,179.95,183.0,176.0,176.0,3600
2025-04-24,179.0,184.0,175.05,175.05,7200
2025-04-25,178.0,178.0,174.0,174.85,24000
2025-04-28,177.0,177.9,177.0,177.9,9600
2025-04-29,174.75,185.95,173.25,174.4,37200
2025-04-30,175.0,178.95,175.0,178.95,27600
2025-05-02,175.0,185.0,175.0,177.0,4800
2025-05-05,180.0,180.5,180.0,180.5,1800
2025-05-06,180.0,180.0,179.5,179.5,2400
2025-05-07,170.1,178.0,170.1,178.0,1200
2025-05-08,173.05,181.0,173.05,175.05,5400
2025-05-12,180.0,180.0,180.0,180.0,600
2025-05-13,181.0,181.0,181.0,181.0,1200
2025-05-14,185.0,185.0,177.0,177.0,1200
2025-05-15,185.0,185.0,180.0,180.0,1200
2025-05-20,180.0,187.0,180.0,187.0,2400
2025-05-22,185.0,186.0,182.0,182.0,4200
2025-05-23,180.0,180.0,180.0,180.0,1200
2025-05-26,182.0,182.8,181.0,182.8,2400
2025-05-27,182.8,183.0,176.0,176.0,3000
2025-05-28,173.0,173.0,173.0,173.0,600
2025-05-29,176.0,177.0,176.0,177.0,1200
2025-05-30,186.0,186.0,175.2,181.9,6600
2025-06-02,181.9,181.9,175.0,175.0,2400
2025-06-03,175.0,175.0,173.0,174.0,2400
2025-06-04,180.0,180.0,180.0,180.0,600
2025-06-05,170.5,174.05,170.5,174.05,9000
2025-06-06,175.0,175.0,175.0,175.0,600
2025-06-09,179.5,179.5,179.5,179.5,600
2025-06-10,172.0,172.0,172.0,172.0,600
2025-06-11,181.0,181.0,175.4,175.4,1200
2025-06-12,175.5,175.5,175.5,175.5,600
2025-06-13,181.5,185.5,175.5,175.5,26400
2025-06-16,181.0,182.0,181.0,182.0,2400
2025-06-17,175.05,186.0,175.05,184.15,25800
2025-06-18,185.0,185.0,181.0,181.0,6600
2025-06-19,185.0,185.0,185.0,185.0,1800
2025-06-20,180.05,185.0,180.05,185.0,6600
2025-06-23,197.0,205.5,185.0,201.9,46800
2025-06-24,200.0,207.0,200.0,203.85,46800
2025-06-25,188.1,208.0,188.1,197.1,18600
2025-06-26,206.75,207.0,205.0,206.15,5400
2025-06-27,210.0,213.95,210.0,210.0,6600
2025-06-30,211.0,222.45,211.0,216.0,3600
2025-07-01,224.0,225.0,219.9,222.0,3600
2025-07-02,222.0,225.0,222.0,225.0,4800
2025-07-03,229.0,229.0,229.0,229.0,600
2025-07-04,221.0,248.5,221.0,245.9,21600
2025-07-07,240.0,256.0,240.0,242.0,5400
2025-07-08,236.0,245.0,236.0,242.1,25800
2025-07-09,239.7,239.7,235.0,235.0,1200
2025-07-10,236.0,237.0,236.0,237.0,6000
2025-07-11,230.0,230.0,225.15,225.15,1800
2025-07-14,220.1,228.0,220.1,227.75,6600
2025-07-15,234.0,239.1,234.0,239.0,52800
2025-07-16,248.0,250.95,248.0,250.35,18000
2025-07-17,258.0,258.0,240.0,252.0,15600
2025-07-18,257.8,257.8,252.0,252.0,1800
2025-07-21,252.0,258.0,245.0,258.0,2400
2025-07-22,259.9,259.9,254.5,256.4,84600
2025-07-23,260.0,260.0,250.05,258.6,39000
2025-07-24,259.45,259.5,254.5,254.75,7200
2025-07-25,243.5,257.45,243.5,256.25,31200
2025-07-28,254.0,259.5,254.0,255.25,4200
2025-07-29,259.0,260.0,246.0,256.0,30600
2025-07-30,260.0,267.9,256.0,256.65,14400
2025-07-31,266.5,266.65,256.0,256.0,10800
2025-08-01,267.8,267.8,256.0,256.0,10200
2025-08-04,247.0,265.0,247.0,256.2,9600
2025-08-05,256.0,256.0,256.0,256.0,1200
2025-08-06,256.0,256.0,256.0,256.0,2400
2025-08-07,258.8,258.8,250.0,256.0,3600
2025-08-08,256.0,256.0,256.0,256.0,600
2025-08-11,255.8,255.8,255.8,255.8,2400
2025-08-12,255.95,256.0,255.95,256.0,1200
2025-08-13,256.0,260.95,256.0,257.0,4800
2025-08-14,260.0,260.0,259.0,259.3,6000
2025-08-18,261.0,261.0,256.0,256.0,4200
2025-08-19,256.0,258.0,245.0,258.0,19200
2025-08-20,258.0,260.0,258.0,260.0,1200
2025-08-21,260.0,260.0,260.0,260.0,600
2025-08-22,259.5,260.0,259.5,260.0,1800
2025-08-25,256.0,260.0,256.0,260.0,1800
2025-08-26,258.0,259.0,258.0,259.0,1200
2025-08-28,259.0,259.9,256.0,256.0,2400
2025-08-29,260.0,260.0,252.5,252.5,5400
2025-09-01,251.25,259.0,251.25,259.0,1200
2025-09-02,258.5,260.5,254.0,258.9,6600
2025-09-03,256.0,256.5,256.0,256.5,7200
2025-09-04,259.65,260.0,259.65,259.9,2400
2025-09-05,256.0,259.5,256.0,259.5,1200
2025-09-08,259.5,259.95,259.5,259.95,5400
2025-09-09,252.3,260.0,252.3,260.0,29400
2025-09-10,253.3,265.0,253.3,257.45,2400
2025-09-11,264.25,264.25,258.0,259.0,7200
2025-09-12,260.0,263.95,258.0,260.0,8400
2025-09-15,260.0,264.0,258.1,262.0,6000
2025-09-16,269.0,275.1,268.9,275.1,4200
2025-09-17,282.0,288.85,282.0,285.0,13200
2025-09-18,285.0,285.0,275.1,276.0,6000
2025-09-19,284.0,284.0,277.45,277.5,4200
2025-09-22,265.0,279.75,265.0,276.9,4800
2025-09-23,278.9,280.0,271.65,275.0,2400
2025-09-24,271.0,271.0,271.0,271.0,600
2025-09-25,265.0,277.5,265.0,271.45,15000
2025-09-29,270.0,274.0,270.0,274.0,1200
2025-09-30,264.5,271.0,264.5,268.0,3000
2025-10-01,275.95,275.95,273.95,273.95,1200
2025-10-03,273.95,275.0,273.95,275.0,1200
2025-10-06,275.0,275.0,270.0,270.0,3000
2025-10-07,265.0,272.0,265.0,272.0,4200
2025-10-08,265.9,266.1,265.9,266.1,1200
2025-10-09,270.0,278.0,270.0,277.85,5400
2025-10-10,290.0,294.0,280.2,290.3,14400
2025-10-13,288.1,313.0,288.1,312.0,22200
2025-10-14,313.55,313.55,301.05,303.5,6600
2025-10-15,303.0,303.05,302.95,302.95,3600
2025-10-16,302.0,302.0,302.0,302.0,1200
2025-10-20,302.0,302.0,301.0,301.5,1800
2025-10-24,308.0,308.0,290.1,300.3,7200
2025-10-27,301.85,301.85,301.85,301.85,600
2025-10-28,305.0,305.0,300.0,300.0,1200
2025-10-29,290.25,301.7,290.25,301.0,2400
2025-10-30,294.2,294.2,294.2,294.2,600
2025-10-31,292.2,293.0,291.5,292.6,3000
2025-11-03,292.6,299.0,292.6,299.0,1800
2025-11-04,298.95,298.95,298.95,298.95,1200
2025-11-06,290.05,292.0,290.05,291.05,1200
2025-11-07,291.05,295.0,290.0,295.0,2400
