Datetime,Open,High,Low,Close,Volume
2019-05-28,29.4,29.4,29.4,29.4,1012
2019-05-29,27.95,27.95,27.95,27.95,10
2019-05-30,26.6,26.6,26.6,26.6,50
2019-06-03,24.15,24.15,24.15,24.15,100
2019-06-10,24.5,26.6,24.25,26.6,1000
2019-06-11,25.5,25.5,25.35,25.35,2260
2019-06-12,26.0,26.0,24.15,24.15,1450
2019-06-13,24.0,25.35,23.1,25.35,1600
2019-06-14,25.35,26.5,25.35,26.5,200
2019-06-17,26.0,27.7,26.0,27.7,320
2019-06-18,29.0,29.0,26.35,26.35,400
2019-06-19,26.0,27.5,26.0,27.5,2310
2019-06-20,27.45,28.8,27.45,28.8,151
2019-06-21,29.9,30.2,29.9,30.2,150
2019-06-24,31.7,31.7,31.7,31.7,600
2019-06-25,30.15,31.6,30.15,31.6,1290
2019-06-26,30.05,32.45,30.05,30.65,700
2019-06-28,29.15,29.15,29.15,29.15,694
2019-07-02,27.7,29.15,27.7,29.15,290
2019-07-08,30.1,30.1,30.1,30.1,2
2019-07-09,28.6,30.1,28.6,29.6,139
2019-07-10,29.15,31.05,28.15,30.1,1250
2019-07-11,30.1,30.1,30.0,30.0,300
2019-07-15,31.1,31.1,31.1,31.1,2
2019-07-16,30.1,30.1,30.1,30.1,5
2019-07-17,28.6,28.6,28.6,28.6,50
2019-07-19,27.2,27.2,27.2,27.2,50
2019-07-22,25.85,25.85,25.85,25.85,2265
2019-07-24,24.6,24.6,24.6,24.6,10
2019-07-25,23.4,25.5,23.4,25.5,648
2019-07-26,24.25,24.25,24.25,24.25,200
2019-07-29,23.05,24.25,23.05,23.6,202
2019-07-30,22.45,22.45,22.45,22.45,1025
2019-08-01,22.45,22.45,21.35,21.35,204
2019-08-02,21.5,21.5,21.35,21.35,202
2019-08-05,21.35,21.35,20.3,21.35,570
2019-08-06,21.35,21.35,21.35,21.35,500
2019-08-07,21.35,21.35,21.35,21.35,5408
2019-08-08,21.35,21.35,20.3,20.3,516
2019-08-13,20.3,20.3,20.0,20.3,265
2019-08-14,20.3,20.3,20.3,20.3,10
2019-08-19,20.0,20.0,20.0,20.0,20
2019-08-20,20.0,20.0,20.0,20.0,5
2019-08-22,20.0,20.0,20.0,20.0,2
2019-08-23,19.0,19.0,19.0,19.0,200
2019-08-26,19.0,19.0,19.0,19.0,12
2019-08-27,18.5,18.5,18.05,18.05,1382
2019-08-28,17.15,17.15,17.15,17.15,10
2019-08-29,16.3,16.3,16.3,16.3,300
2019-08-30,15.5,16.3,15.5,16.3,2320
2019-09-06,15.5,17.1,15.5,17.1,117
2019-09-11,17.05,17.05,17.05,17.05,25
2019-09-12,17.3,17.3,17.3,17.3,112
2019-09-16,18.15,18.15,18.15,18.15,5490
2019-09-17,18.2,19.05,18.2,19.05,550
2019-09-18,19.0,19.0,18.5,18.5,610
2019-09-23,18.0,18.0,17.6,17.6,850
2019-09-24,18.35,18.35,18.35,18.35,250
2019-10-07,18.35,18.35,18.35,18.35,283
2019-10-09,18.0,18.0,18.0,18.0,36
2019-10-10,18.0,18.0,17.75,17.75,101
2019-10-11,17.25,17.25,16.9,17.2,1466
2019-10-17,17.0,17.0,17.0,17.0,703026
2019-10-18,17.85,17.85,17.1,17.1,5000
2019-10-29,15.45,15.45,15.45,15.45,2000
2019-10-30,14.7,14.7,14.7,14.7,50
2019-11-01,15.43,15.43,15.43,15.43,80
2019-11-05,15.0,15.0,15.0,15.0,1
2019-11-06,15.65,15.65,15.65,15.65,1014
2019-11-07,15.75,15.75,15.75,15.75,300
2019-11-14,14.97,14.97,14.97,14.97,646
2019-11-18,14.97,14.97,14.97,14.97,6
2019-11-20,14.9,14.97,14.9,14.97,6170
2019-11-22,14.23,14.8,14.23,14.5,551
2019-11-26,15.22,15.22,15.22,15.22,7315
2019-11-27,15.98,15.98,15.0,15.98,10000
2019-11-28,16.0,16.0,16.0,16.0,101
2019-11-29,16.25,16.3,16.25,16.3,940
2019-12-02,17.1,17.1,16.3,17.1,15400
2019-12-03,17.95,17.95,17.95,17.95,1
2019-12-04,18.8,18.8,18.8,18.8,251
2019-12-05,19.7,19.7,19.7,19.7,1901
2019-12-06,18.75,20.65,18.75,18.75,6195
2019-12-09,18.0,18.0,18.0,18.0,585
2019-12-10,17.5,17.5,17.25,17.25,266
2019-12-11,17.25,17.25,17.25,17.25,1500
2019-12-12,17.25,17.25,17.25,17.25,1000
2019-12-16,18.1,18.1,18.1,18.1,3050
2019-12-17,21.1,21.7,21.0,21.7,2345
2019-12-18,25.5,26.0,22.25,26.0,47164
2019-12-19,23.5,28.45,23.4,23.55,10994
2019-12-20,21.55,23.5,21.25,23.45,621
2019-12-23,23.45,25.75,21.15,22.85,9148
2019-12-24,24.8,25.1,22.05,24.9,7858
2019-12-26,24.9,27.35,24.9,27.35,2142
2019-12-27,30.05,30.05,30.05,30.05,2010
2019-12-30,31.55,31.55,31.55,31.55,1441
2019-12-31,33.1,33.1,30.1,30.85,5394
2020-01-01,32.35,32.35,29.5,32.35,1810
2020-01-02,33.9,33.9,30.75,30.8,3280
2020-01-03,30.8,32.3,29.3,31.45,329
2020-01-06,32.0,32.0,31.45,31.45,22
2020-01-07,29.9,29.9,29.9,29.9,131
2020-01-08,30.5,30.5,28.45,28.45,210
2020-01-09,28.45,29.85,27.1,29.85,1024
2020-01-10,29.85,29.85,28.5,28.5,2026
2020-01-13,28.5,28.5,28.5,28.5,1000
2020-01-14,28.5,29.9,28.5,28.5,2137
2020-01-16,29.75,29.75,29.75,29.75,2
2020-01-17,29.7,29.75,29.7,29.75,2495
2020-01-20,29.0,31.0,28.3,28.5,1158
2020-01-22,28.5,29.9,27.1,29.75,1330
2020-01-23,29.9,29.9,29.9,29.9,50
