Datetime,Open,High,Low,Close,Volume
2019-06-03,22.55,22.55,22.55,22.55,4
2019-06-10,21.85,21.85,21.85,21.85,100
2019-06-11,20.8,20.8,20.8,20.8,100
2019-06-12,19.8,19.8,19.8,19.8,1
2019-06-13,18.85,18.85,18.85,18.85,73
2019-06-25,17.95,17.95,17.95,17.95,200
2019-06-26,17.1,17.1,17.1,17.1,100
2019-06-27,16.25,16.25,16.25,16.25,546
2019-07-02,16.25,16.25,15.45,15.45,262
2019-07-03,14.7,14.7,14.7,14.7,145
2019-07-05,14.7,14.7,14.7,14.7,90
2019-07-08,15.4,15.4,14.0,14.0,332
2019-07-10,13.3,13.3,13.3,13.3,1
2019-07-12,12.65,12.65,12.65,12.65,200
2019-07-17,12.1,12.1,12.1,12.1,1
2019-07-18,11.5,12.1,11.5,11.55,515
2019-07-19,12.0,12.0,12.0,12.0,250
2019-07-22,11.5,11.5,11.5,11.5,283
2019-07-25,12.05,12.05,10.95,10.95,361
2019-07-26,10.45,10.45,10.45,10.45,23
2019-07-30,10.0,10.95,10.0,10.95,628
2019-07-31,11.45,11.45,11.0,11.0,13924
2019-08-01,10.8,10.8,10.5,10.5,125
2019-08-02,11.02,11.02,11.02,11.02,192
2019-08-05,11.0,11.0,11.0,11.0,7
2019-08-16,11.55,11.55,10.45,11.55,1614
2019-08-20,12.12,12.12,12.12,12.12,10
2019-09-04,11.75,11.75,11.75,11.75,130
2019-09-06,11.17,11.17,11.17,11.17,60
2019-09-11,10.75,10.75,10.75,10.75,150
2019-09-12,10.22,10.22,10.22,10.22,367
2019-09-24,9.75,10.0,9.75,10.0,315
2019-09-25,9.55,9.55,9.55,9.55,325
2019-09-26,9.1,9.1,9.1,9.1,44
2019-09-27,8.65,8.65,8.65,8.65,1
2019-10-03,8.5,8.5,8.5,8.5,38
2019-10-04,8.09,8.09,8.09,8.09,89
2019-10-07,7.7,7.7,7.7,7.7,100
2019-10-11,7.32,7.32,7.32,7.32,815
2019-10-14,6.96,6.96,6.96,6.96,28
2019-10-15,6.75,6.75,6.75,6.75,260
2019-10-16,6.5,6.5,6.5,6.5,46
2019-10-18,6.5,6.5,6.5,6.5,220
2019-10-23,6.18,6.18,6.18,6.18,10
2019-10-24,5.9,5.9,5.9,5.9,186
2019-10-29,6.19,6.19,6.19,6.19,17
2019-10-30,5.95,5.95,5.95,5.95,65
2019-10-31,5.67,5.67,5.66,5.66,475
2019-11-01,5.94,5.94,5.94,5.94,23
2019-11-04,5.94,5.94,5.65,5.81,588
2019-11-06,6.1,6.1,6.1,6.1,113
2019-11-08,5.8,5.8,5.8,5.8,410
2019-11-13,6.09,6.09,6.09,6.09,150
2019-11-18,5.8,5.8,5.8,5.8,130
2019-11-19,5.74,5.74,5.74,5.74,222
2019-11-20,6.02,6.02,6.02,6.02,912
2019-11-22,6.32,6.32,6.32,6.32,88
2019-11-26,6.63,6.63,6.63,6.63,113
2019-11-27,6.96,6.96,6.96,6.96,300
2019-12-04,7.3,7.3,7.3,7.3,23
2019-12-06,6.96,6.96,6.96,6.96,7
2019-12-10,6.96,6.96,6.96,6.96,30
2019-12-12,7.3,7.3,7.3,7.3,100
2019-12-13,7.3,7.3,7.1,7.1,170
2019-12-16,6.9,6.9,6.9,6.9,253
2019-12-17,7.24,7.24,7.24,7.24,334
2019-12-18,7.6,7.6,7.6,7.6,471
2019-12-20,7.98,7.98,7.98,7.98,128
2020-01-06,7.98,7.98,7.98,7.98,232
