Datetime,Open,High,Low,Close,Volume
2026-02-02,65.0,68.25,61.75,68.25,1874000
2026-02-03,68.3,71.66,64.84,69.6,270000
2026-02-04,69.8,69.8,66.12,68.6,100000
2026-02-05,65.17,70.98,65.17,67.01,134000
2026-02-06,64.25,67.95,64.1,67.4,34000
2026-02-09,67.4,68.0,65.5,66.6,26000
2026-02-10,64.55,67.45,63.27,64.41,58000
2026-02-11,63.27,66.25,62.96,65.01,54000
2026-02-12,65.99,68.26,65.1,65.1,68000
2026-02-13,66.0,67.89,65.0,66.34,80000
2026-02-16,64.7,66.5,62.75,65.0,22000
2026-02-17,63.26,68.0,63.26,66.9,14000
2026-02-18,67.44,67.45,64.05,66.8,34000
2026-02-19,64.0,65.75,63.25,64.7,12000
2026-02-20,62.5,65.0,62.5,65.0,8000
2026-02-23,65.0,65.8,63.4,64.12,22000
2026-02-24,65.0,65.24,63.0,64.9,20000
2026-02-25,66.9,66.9,59.0,64.0,52000
2026-02-26,60.0,63.5,60.0,61.48,18000
2026-02-27,62.0,62.0,60.08,60.18,26000
2026-03-02,59.0,61.8,57.5,61.11,30000
2026-03-04,57.6,61.5,57.6,59.92,38000
2026-03-05,59.3,60.9,58.5,60.24,74000
2026-03-06,60.24,61.0,60.24,61.0,4000
2026-03-09,57.0,60.0,57.0,59.17,82000
2026-03-10,59.0,60.0,56.75,58.28,258000
2026-03-11,58.02,58.8,56.99,57.49,56000
2026-03-12,56.0,57.9,55.99,57.9,8000
2026-03-13,57.0,58.0,56.0,56.53,76000
2026-03-16,56.1,58.61,56.1,58.61,10000
2026-03-17,60.1,60.15,57.02,57.43,22000
2026-03-18,59.55,62.0,59.55,61.85,44000
2026-03-19,61.0,61.84,58.5,59.2,170000
2026-03-20,60.01,60.2,59.0,59.2,28000
2026-03-23,59.0,59.65,59.0,59.65,4000
2026-03-24,61.0,61.0,60.99,61.0,10000
2026-03-25,61.0,61.25,58.05,58.05,10000
2026-03-27,62.0,69.65,62.0,69.19,796000
2026-03-30,67.46,69.9,67.01,69.46,112000
2026-04-01,71.1,71.25,67.01,67.65,44000
2026-04-02,67.6,76.51,67.21,75.72,214000
2026-04-06,76.51,88.8,74.9,78.41,206000
2026-04-07,76.44,81.5,76.44,77.5,32000
2026-04-08,78.05,78.7,77.0,77.92,34000
2026-04-09,78.7,79.5,77.5,77.5,18000
2026-04-10,80.0,80.0,80.0,80.0,2000
2026-04-13,79.1,81.0,78.0,78.0,58000
2026-04-15,78.02,82.9,78.02,81.39,50000
2026-04-16,81.39,81.39,78.0,80.0,18000
2026-04-17,80.5,82.49,80.1,80.56,18000
2026-04-20,82.5,85.0,81.9,81.98,66000
2026-04-21,82.05,82.99,82.05,82.08,22000
2026-04-22,79.0,79.79,76.15,78.42,74000
2026-04-23,75.25,77.8,75.0,75.25,18000
2026-04-24,73.3,73.3,71.5,72.51,24000
2026-04-27,75.5,75.5,75.5,75.5,4000
2026-04-28,75.5,81.6,75.5,76.03,22000
2026-04-29,75.6,76.0,72.1,72.67,40000
2026-04-30,70.5,75.0,70.5,74.9,18000
2026-05-04,74.9,75.0,71.2,72.0,66000
