Datetime,Open,High,Low,Close,Volume
2019-05-28,72.0,74.25,71.85,72.3,7361
2019-05-29,72.1,72.15,70.0,71.65,3776
2019-05-30,71.85,73.0,71.5,72.4,2370
2019-06-03,68.8,69.7,68.2,68.55,1693
2019-06-10,65.0,65.0,63.1,63.75,1163
2019-06-11,65.5,71.95,64.8,70.5,9489
2019-06-12,70.0,72.6,68.6,71.0,7164
2019-06-13,71.75,71.75,68.25,69.2,4788
2019-06-14,68.9,74.0,68.5,72.5,7400
2019-06-17,74.3,74.3,71.0,72.3,5598
2019-06-18,70.95,71.5,70.0,70.4,2126
2019-06-19,72.0,72.0,66.45,66.95,3177
2019-06-20,67.4,69.9,67.4,69.85,1442
2019-06-21,70.5,70.5,68.8,69.15,1554
2019-06-24,69.5,69.55,68.6,69.0,1927
2019-06-25,70.0,70.25,68.85,69.6,3474
2019-06-26,70.9,71.65,70.5,71.3,2265
2019-06-27,71.5,75.25,71.5,73.9,6287
2019-06-28,74.15,74.95,72.0,72.0,948
2019-07-01,72.1,72.1,71.0,71.15,1198
2019-07-02,70.0,72.05,70.0,71.45,1560
2019-07-03,70.8,74.0,70.4,72.5,5969
2019-07-04,72.0,73.15,72.0,72.25,1184
2019-07-05,71.0,71.25,70.3,71.0,444
2019-07-08,69.0,69.3,68.0,68.25,1930
2019-07-09,75.95,75.95,66.1,67.15,9347
2019-07-10,67.7,68.0,66.5,66.95,2990
2019-07-11,67.65,67.65,66.6,67.25,1124
2019-07-12,66.6,66.75,66.5,66.6,550
2019-07-15,67.45,67.45,65.0,65.8,1228
2019-07-16,66.5,67.35,65.55,65.6,1200
2019-07-17,67.0,67.0,65.7,66.1,1662
2019-07-18,66.0,66.4,64.0,64.7,6639
2019-07-19,65.0,65.15,63.0,63.1,3561
2019-07-22,64.0,64.25,61.3,62.1,2438
2019-07-23,62.4,64.0,60.4,60.85,2618
2019-07-24,61.2,61.2,58.6,58.85,3379
2019-07-25,58.75,60.25,56.0,57.2,948
2019-07-26,56.0,60.0,54.65,58.5,4410
2019-07-29,60.9,61.9,55.1,55.95,5137
2019-07-30,55.0,55.75,52.2,52.6,7847
2019-07-31,51.65,54.0,50.0,51.1,5181
2019-08-01,51.0,52.15,47.0,48.8,4533
2019-08-02,47.0,50.9,45.9,49.85,13741
2019-08-05,48.0,48.75,46.0,47.8,11496
2019-08-06,48.5,51.55,48.15,50.5,10350
