Datetime,Open,High,Low,Close,Volume
2019-09-23,39.5,39.5,39.5,39.5,10
2020-01-07,38.0,38.0,38.0,38.0,64
2020-01-08,37.0,37.0,37.0,37.0,4
2020-01-09,37.0,37.0,37.0,37.0,1
2020-01-17,36.0,36.0,36.0,36.0,5
2020-02-06,34.2,34.2,34.2,34.2,5
2020-02-11,33.0,33.0,33.0,33.0,5
2020-02-12,32.0,34.5,32.0,34.5,20
2020-02-17,32.85,32.85,32.85,32.85,1
2020-03-05,31.25,34.4,31.25,34.4,1102
2020-03-06,36.05,36.05,36.05,36.05,802
2020-03-09,37.75,37.75,37.75,37.75,3
2020-03-13,36.5,36.5,36.0,36.0,35
2020-03-16,34.5,34.5,34.5,34.5,1
2020-03-17,32.95,32.95,32.95,32.95,20
2020-03-19,31.45,31.45,31.45,31.45,10
2020-03-20,30.1,30.1,30.1,30.1,56
2020-03-24,28.7,28.7,28.7,28.7,2
2020-03-25,27.4,27.4,27.4,27.4,3
2020-03-26,26.1,26.1,26.1,26.1,1
2020-03-27,25.0,25.0,25.0,25.0,2
2020-03-30,23.8,23.8,23.8,23.8,2
2020-03-31,22.75,22.75,22.75,22.75,1
2020-04-01,21.7,21.7,21.7,21.7,1
2020-04-03,20.7,20.7,20.7,20.7,1
2020-04-07,19.8,19.8,19.8,19.8,5
2020-04-08,18.9,18.9,18.9,18.9,5
2020-04-13,18.9,18.9,18.1,18.1,2
2020-04-15,18.1,18.1,18.1,18.1,1
2020-04-16,17.8,17.8,17.8,17.8,2
2020-04-17,17.8,17.8,17.8,17.8,49
2020-04-20,17.5,17.5,17.5,17.5,1
2020-04-24,17.25,17.25,17.25,17.25,1
2020-04-29,17.0,17.0,17.0,17.0,1
2020-05-06,16.8,16.8,16.8,16.8,1
2020-05-08,16.6,16.6,16.6,16.6,8
2020-05-11,16.35,16.35,16.35,16.35,3
2020-05-13,16.1,16.1,16.1,16.1,1
2020-05-18,16.1,16.1,16.1,16.1,10
2020-05-20,16.4,16.4,16.4,16.4,1889
2020-06-05,15.7,15.7,15.7,15.7,5
2020-06-09,15.0,15.0,15.0,15.0,5
2020-06-15,14.3,14.3,14.3,14.3,2
2020-06-16,13.75,13.75,13.75,13.75,5
2020-06-30,13.15,13.15,13.15,13.15,5
2020-07-03,13.05,13.05,13.05,13.05,1080
2020-07-06,13.0,13.01,13.0,13.0,2256
2020-07-08,12.78,12.88,12.78,12.88,1201
2020-07-09,12.89,12.89,12.89,12.89,5250
2020-07-14,12.5,12.5,12.5,12.5,1900
2020-07-16,12.5,12.6,12.5,12.59,2800
2020-07-20,12.38,12.4,12.05,12.05,5009
2020-07-21,12.08,12.1,12.08,12.1,4005
2020-07-27,12.06,12.06,12.06,12.06,841
2020-07-28,12.01,12.05,12.01,12.05,4500
2020-07-30,11.5,12.0,11.5,11.64,7011
2020-08-06,11.5,11.5,11.5,11.5,3010
2020-08-10,11.15,11.15,11.15,11.15,13
2020-08-11,11.0,11.0,11.0,11.0,1
2020-08-12,10.8,11.05,10.8,11.05,4400
2020-08-21,11.6,11.6,11.6,11.6,90
2020-08-24,11.6,11.6,11.6,11.6,3
2020-08-25,12.18,12.18,12.18,12.18,1
2020-08-26,12.78,12.78,12.78,12.78,1
2020-08-27,12.16,13.41,12.16,12.19,3726
2020-08-28,11.7,11.7,11.7,11.7,200
2020-08-31,11.7,12.28,11.7,12.28,926
2020-09-01,11.75,11.75,11.7,11.7,250
2020-09-02,11.7,11.7,11.2,11.2,719
2020-09-03,10.68,10.68,10.68,10.68,10
2020-09-04,10.68,10.68,10.68,10.68,299
2020-09-07,10.7,11.21,10.7,10.7,311
2020-09-11,10.25,10.28,10.25,10.28,200
2020-09-16,10.79,10.79,10.79,10.79,1
2020-09-17,11.32,11.32,11.32,11.32,1
2020-09-21,10.82,10.82,10.82,10.82,501
2020-09-22,10.3,10.3,10.3,10.3,25
2020-09-25,10.81,10.81,10.81,10.81,1
2020-09-28,10.81,10.81,10.28,10.28,600
2020-09-30,9.8,9.8,9.8,9.8,11
2020-10-01,9.6,9.6,9.6,9.6,5
2020-10-07,9.6,9.6,9.6,9.6,100
2020-10-09,9.12,9.12,9.12,9.12,1
2020-10-13,9.0,9.0,9.0,9.0,1381
2020-10-14,9.44,9.44,9.4,9.4,2
2020-10-16,8.93,8.93,8.93,8.93,1
2020-10-19,9.3,9.3,9.3,9.3,100
2020-10-21,8.84,8.84,8.84,8.84,1
2020-10-22,8.4,8.4,8.4,8.4,1
2020-10-23,8.4,8.4,7.98,8.3,4
2020-10-26,7.89,7.89,7.89,7.89,1
2020-10-28,8.22,8.22,8.22,8.22,1
2020-10-30,7.81,7.81,7.81,7.81,1
2020-11-02,7.42,7.42,7.42,7.42,1
2020-11-03,7.05,7.73,7.05,7.73,2
2020-11-05,8.05,8.05,7.35,8.04,101
2020-11-11,8.37,8.37,8.37,8.37,1000
2020-11-14,7.96,7.96,7.96,7.96,1
2020-11-20,8.2,8.2,8.2,8.2,22
2020-11-24,8.0,8.55,8.0,8.41,20
2020-11-25,8.41,8.78,8.41,8.78,16
2020-11-26,9.15,9.15,9.15,9.15,500
2020-11-27,9.25,9.56,9.25,9.56,250
2020-12-01,10.0,10.0,10.0,10.0,200
2020-12-03,10.0,10.0,10.0,10.0,2
2020-12-04,10.0,10.0,10.0,10.0,19
2020-12-10,10.0,10.0,10.0,10.0,2
2020-12-14,10.3,10.3,10.3,10.3,110
2020-12-23,10.55,10.55,10.55,10.55,1
2020-12-30,10.3,10.3,10.3,10.3,20
2021-01-06,10.8,10.8,10.8,10.8,156
2021-01-07,10.8,10.8,10.8,10.8,1
2021-01-08,10.8,11.3,10.8,11.3,4
2021-01-11,11.3,11.3,11.3,11.3,11
2021-01-12,11.3,11.3,11.3,11.3,1
2021-01-19,11.3,11.3,11.3,11.3,6
2021-01-20,11.8,11.8,11.8,11.8,20
2021-01-21,11.8,11.8,11.8,11.8,2
2021-02-11,12.3,12.3,12.3,12.3,1
2021-02-15,12.3,12.3,12.3,12.3,7
2021-02-16,12.2,12.2,12.2,12.2,1
2021-02-18,12.45,12.45,12.45,12.45,102
2021-02-19,12.45,12.45,12.45,12.45,19
2021-02-24,11.83,11.83,11.83,11.83,91
2021-02-26,11.83,11.83,11.83,11.83,25
2021-03-09,11.83,11.83,11.83,11.83,2
2021-03-12,11.83,11.83,11.83,11.83,1
2021-03-15,11.24,11.24,11.24,11.24,210
2021-03-22,11.05,11.24,11.05,11.24,17
2021-03-24,11.5,11.5,11.5,11.5,24
2021-03-26,12.07,12.07,12.07,12.07,17
2021-03-30,12.07,12.07,12.07,12.07,12
2021-04-07,12.07,12.07,12.07,12.07,5
2021-04-26,11.85,11.85,11.85,11.85,3
2021-04-27,11.26,11.26,11.26,11.26,21
2021-04-30,10.93,10.93,10.93,10.93,11
2021-05-04,11.15,11.15,11.15,11.15,47
2021-05-14,11.48,11.48,11.48,11.48,5
2021-05-19,11.48,11.48,11.0,11.02,119
2021-05-20,11.35,11.35,10.95,10.95,149
2021-05-21,11.27,11.27,10.95,10.95,11
2021-05-26,10.75,10.75,10.75,10.75,1
2021-05-31,11.07,11.07,10.43,10.74,90
2021-06-01,10.55,10.55,10.55,10.55,3
2021-06-04,10.86,10.86,10.86,10.86,1
2021-06-09,11.18,11.18,11.18,11.18,2
2021-06-11,11.0,11.0,11.0,11.0,58
2021-06-14,11.0,11.0,11.0,11.0,21
2021-06-21,11.0,11.0,11.0,11.0,3
2021-07-06,11.33,11.33,11.33,11.33,1
2021-07-15,11.33,11.33,11.33,11.33,1
2021-07-16,11.89,11.89,11.89,11.89,1
2021-07-19,12.48,12.48,12.48,12.48,1486
2021-07-20,12.48,12.48,12.48,12.48,97
2021-07-22,12.48,12.48,12.48,12.48,246
2021-07-23,13.1,13.1,13.1,13.1,1
2021-07-27,13.4,13.4,13.4,13.4,2
2021-07-28,13.15,13.4,13.15,13.4,28
2021-08-05,13.7,13.7,13.15,13.15,19
