Datetime,Open,High,Low,Close,Volume
2019-07-04,0.19,0.19,0.19,0.19,1200
2019-07-11,0.19,0.19,0.19,0.19,3700
2019-07-15,0.19,0.19,0.19,0.19,2000
2019-07-31,0.19,0.2,0.19,0.2,94002
2019-08-01,0.2,0.21,0.2,0.21,3500
2019-08-02,0.2,0.22,0.2,0.22,6000
2019-08-05,0.23,0.23,0.22,0.22,511
2019-08-06,0.21,0.23,0.21,0.23,1710
2019-08-07,0.24,0.24,0.24,0.24,100
2019-08-08,0.23,0.23,0.23,0.23,100
2019-08-09,0.24,0.24,0.24,0.24,110
2019-08-21,0.24,0.24,0.24,0.24,100
2019-08-22,0.24,0.24,0.24,0.24,100
2019-08-23,0.25,0.25,0.25,0.25,1000
2019-08-26,0.24,0.24,0.24,0.24,500
2019-08-28,0.23,0.23,0.23,0.23,100
2019-09-27,0.22,0.22,0.22,0.22,1100
2019-10-30,0.21,0.21,0.21,0.21,21
2019-10-31,0.21,0.21,0.21,0.21,20
2019-11-19,0.2,0.2,0.2,0.2,300
2019-11-21,0.2,0.2,0.2,0.2,1500
2019-11-22,0.19,0.19,0.19,0.19,1000
2019-11-25,0.19,0.19,0.19,0.19,5000
2019-12-16,0.19,0.19,0.19,0.19,500
2019-12-17,0.19,0.19,0.19,0.19,300
2019-12-24,0.19,0.19,0.19,0.19,260
2019-12-30,0.19,0.19,0.19,0.19,501
2019-12-31,0.19,0.19,0.19,0.19,1339
2020-01-01,0.19,0.19,0.19,0.19,100
2020-01-03,0.19,0.19,0.19,0.19,201
2020-01-15,0.19,0.19,0.19,0.19,151
2020-01-16,0.19,0.19,0.19,0.19,201
2020-01-21,0.19,0.19,0.19,0.19,201
2020-01-27,0.2,0.2,0.2,0.2,200
2020-02-03,0.19,0.19,0.19,0.19,5700
2020-02-05,0.19,0.19,0.19,0.19,201
2020-02-06,0.19,0.19,0.19,0.19,201
2020-02-11,0.19,0.19,0.19,0.19,898
2020-04-01,0.19,0.19,0.19,0.19,10
2020-04-08,0.19,0.19,0.19,0.19,1495
2020-04-09,0.19,0.19,0.19,0.19,11
2020-05-05,0.19,0.19,0.19,0.19,501
2020-05-06,0.19,0.19,0.19,0.19,499
2020-05-08,0.19,0.19,0.19,0.19,100
2020-06-01,0.19,0.19,0.19,0.19,301
2020-06-02,0.19,0.19,0.19,0.19,20
2020-06-09,0.19,0.19,0.19,0.19,100
2020-06-18,0.19,0.19,0.19,0.19,3314
2020-06-19,0.19,0.19,0.19,0.19,100
2020-06-22,0.19,0.2,0.19,0.2,9452
2020-06-23,0.21,0.21,0.21,0.21,925
2020-06-24,0.2,0.2,0.2,0.2,200
2020-06-25,0.21,0.21,0.21,0.21,3000
2020-06-26,0.21,0.21,0.21,0.21,2502
2020-06-29,0.22,0.22,0.22,0.22,2000
2020-06-30,0.23,0.23,0.23,0.23,19002
2020-07-01,0.24,0.24,0.24,0.24,1350
2020-07-02,0.25,0.25,0.25,0.25,46
2020-07-03,0.26,0.26,0.26,0.26,8629
2020-07-06,0.27,0.27,0.27,0.27,6883
2020-07-07,0.28,0.28,0.28,0.28,2818
2020-07-10,0.28,0.28,0.28,0.28,1489
2020-07-14,0.28,0.28,0.28,0.28,2000
2020-07-16,0.28,0.28,0.28,0.28,200
2020-07-22,0.29,0.29,0.29,0.29,500
2020-07-23,0.3,0.3,0.3,0.3,10
2020-07-24,0.29,0.29,0.29,0.29,301
2020-07-27,0.28,0.28,0.28,0.28,201
2020-07-28,0.28,0.28,0.28,0.28,10000
2020-07-29,0.29,0.29,0.29,0.29,1200
2020-08-03,0.28,0.28,0.28,0.28,4581
2020-08-05,0.29,0.29,0.29,0.29,75
2020-08-07,0.3,0.3,0.3,0.3,1
2020-08-11,0.3,0.3,0.3,0.3,2000
2020-08-13,0.31,0.31,0.31,0.31,16834
2020-08-19,0.31,0.31,0.31,0.31,6
2020-08-21,0.31,0.31,0.31,0.31,300
2020-08-24,0.31,0.31,0.31,0.31,21
2020-08-25,0.31,0.31,0.31,0.31,510
2020-08-26,0.31,0.31,0.31,0.31,5398
2020-08-27,0.32,0.32,0.31,0.31,7151
2020-08-28,0.31,0.31,0.3,0.31,38252
2020-08-31,0.31,0.31,0.31,0.31,100
2020-09-03,0.31,0.31,0.31,0.31,500
2020-09-08,0.31,0.31,0.31,0.31,3000
2020-09-09,0.31,0.31,0.31,0.31,1
2020-09-11,0.3,0.3,0.3,0.3,183104
2020-09-15,0.29,0.29,0.29,0.29,2500
2020-09-18,0.28,0.28,0.28,0.28,25
2020-09-23,0.28,0.28,0.28,0.28,300
2020-09-24,0.27,0.27,0.27,0.27,350000
2020-09-25,0.26,0.26,0.26,0.26,440700
2020-09-28,0.27,0.27,0.27,0.27,5000
2020-09-30,0.26,0.26,0.26,0.26,300
2020-10-06,0.26,0.26,0.26,0.26,5000
2020-10-07,0.26,0.26,0.26,0.26,6000
2020-10-09,0.26,0.26,0.26,0.26,700
2020-10-12,0.25,0.26,0.25,0.26,50004
2020-10-13,0.25,0.25,0.25,0.25,53500
2020-10-14,0.24,0.24,0.24,0.24,200
2020-10-15,0.25,0.25,0.25,0.25,1
2020-10-16,0.25,0.25,0.25,0.25,8
2020-10-22,0.26,0.26,0.26,0.26,20
2020-10-27,0.26,0.26,0.25,0.25,5087
2020-10-28,0.25,0.25,0.25,0.25,158
2020-10-29,0.25,0.25,0.25,0.25,50
2020-11-10,0.24,0.24,0.24,0.24,350
2020-11-11,0.23,0.23,0.23,0.23,1500
2020-11-12,0.23,0.23,0.23,0.23,1001
2020-11-13,0.22,0.22,0.22,0.22,1500
2020-11-20,0.23,0.23,0.23,0.23,5500
2020-11-23,0.24,0.24,0.24,0.24,1500
2020-11-24,0.24,0.25,0.24,0.25,2100
2020-11-25,0.24,0.24,0.24,0.24,2500
2020-11-26,0.24,0.24,0.24,0.24,40
2020-11-27,0.24,0.24,0.24,0.24,2
2020-12-01,0.23,0.23,0.23,0.23,2660
2020-12-02,0.24,0.24,0.22,0.22,3000
2020-12-03,0.22,0.22,0.21,0.21,7520
2020-12-04,0.22,0.22,0.22,0.22,1000
2020-12-07,0.23,0.23,0.23,0.23,1900
2020-12-08,0.23,0.23,0.23,0.23,1610
2020-12-09,0.22,0.22,0.22,0.22,4549
2020-12-10,0.22,0.22,0.22,0.22,40
2020-12-11,0.21,0.22,0.21,0.21,6962
2020-12-15,0.21,0.21,0.21,0.21,2459
2020-12-18,0.22,0.22,0.22,0.22,4500
2020-12-21,0.23,0.23,0.23,0.23,1000
2020-12-22,0.24,0.24,0.24,0.24,5000
2020-12-24,0.25,0.25,0.25,0.25,6221
2020-12-28,0.26,0.26,0.26,0.26,900
2020-12-29,0.27,0.27,0.27,0.27,34778
2020-12-30,0.28,0.28,0.27,0.28,2118
2020-12-31,0.29,0.29,0.29,0.29,7000
2021-01-01,0.3,0.3,0.3,0.3,4500
2021-01-04,0.31,0.31,0.31,0.31,1
2021-01-05,0.32,0.32,0.32,0.32,57840
2021-01-06,0.33,0.33,0.33,0.33,4651
2021-01-07,0.34,0.34,0.34,0.34,5002
2021-01-08,0.35,0.35,0.35,0.35,24000
2021-01-11,0.36,0.36,0.36,0.36,5004
2021-01-12,0.37,0.37,0.37,0.37,700
2021-01-13,0.38,0.38,0.38,0.38,7174
2021-01-14,0.39,0.39,0.39,0.39,750
2021-01-15,0.4,0.4,0.4,0.4,2501
2021-01-18,0.42,0.42,0.42,0.42,9663
2021-01-19,0.44,0.44,0.44,0.44,17001
2021-01-20,0.46,0.46,0.46,0.46,1
2021-01-21,0.48,0.48,0.48,0.48,206
2021-01-22,0.5,0.5,0.5,0.5,4970
2021-01-25,0.52,0.52,0.52,0.52,6091
2021-01-27,0.54,0.54,0.54,0.54,46888
2021-01-28,0.55,0.55,0.55,0.55,66501
2021-01-29,0.56,0.56,0.54,0.54,117257
2021-02-01,0.53,0.53,0.53,0.53,7193
2021-02-02,0.52,0.52,0.52,0.52,22382
2021-02-03,0.51,0.51,0.51,0.51,185744
2021-02-04,0.5,0.5,0.5,0.5,4047
2021-02-05,0.49,0.49,0.49,0.49,9257
2021-02-08,0.49,0.49,0.49,0.49,23361
2021-02-09,0.49,0.5,0.49,0.5,40364
2021-02-10,0.51,0.51,0.49,0.5,9487
2021-02-11,0.5,0.51,0.49,0.51,17610
2021-02-12,0.51,0.51,0.5,0.5,12911
2021-02-15,0.51,0.51,0.51,0.51,11424
2021-02-16,0.5,0.5,0.5,0.5,11795
2021-02-17,0.49,0.49,0.49,0.49,14669
2021-02-18,0.49,0.49,0.49,0.49,7215
2021-02-19,0.5,0.5,0.49,0.49,7151
2021-02-22,0.49,0.49,0.49,0.49,2275
