Datetime,Open,High,Low,Close,Volume
2019-05-28,66.1,68.8,66.0,66.15,1759
2019-05-29,71.0,71.0,64.0,66.95,1308
2019-05-30,66.5,66.5,65.0,65.0,311
2019-06-03,71.45,71.5,66.1,66.8,17008
2019-06-10,62.0,69.0,60.0,62.65,939
2019-06-11,64.8,64.8,64.8,64.8,15
2019-06-12,63.6,63.6,60.05,61.9,710
2019-06-13,63.8,63.9,60.8,60.9,270
2019-06-14,61.05,64.0,61.05,63.95,502
2019-06-18,60.0,60.0,58.05,58.15,213
2019-06-19,64.7,64.7,58.1,60.0,1037
2019-06-20,64.25,64.25,58.0,62.8,2991
2019-06-21,59.7,64.8,56.25,58.6,1520
2019-06-24,61.0,63.85,56.1,59.5,865
2019-06-25,60.5,60.95,56.25,58.5,733
2019-06-26,58.05,60.0,58.0,60.0,570
2019-06-27,62.8,62.8,58.4,62.8,35
2019-06-28,59.0,60.0,58.15,58.35,275
2019-07-01,58.35,60.0,57.2,59.95,703
2019-07-02,60.15,63.95,57.15,61.95,83
2019-07-04,60.0,60.0,59.0,59.0,100
2019-07-05,62.95,62.95,59.0,60.5,222
2019-07-08,56.6,61.95,54.5,54.6,4039
2019-07-09,59.0,59.0,54.0,54.6,817
2019-07-10,56.0,56.0,55.9,55.9,74
2019-07-11,57.1,57.5,56.15,56.15,87
2019-07-12,55.0,57.85,55.0,56.9,199
2019-07-15,57.5,57.5,52.7,54.1,697
2019-07-16,56.9,57.0,55.0,56.35,661
2019-07-17,54.3,54.65,54.3,54.65,50
2019-07-19,52.5,56.85,52.0,52.5,692
2019-07-22,51.9,58.0,50.45,53.65,796
2019-07-23,55.0,55.9,54.0,54.95,12
2019-07-24,51.1,54.75,51.0,54.75,110
2019-07-25,55.0,55.0,53.0,53.2,110
2019-07-26,55.75,55.75,54.0,55.5,881
2019-07-29,54.1,54.7,46.3,49.45,3489
2019-07-30,51.75,51.75,48.25,49.8,9062
2019-07-31,48.1,50.0,47.0,48.5,9005
2019-08-01,48.5,48.9,48.5,48.55,1100
2019-08-02,48.55,51.95,48.55,51.95,60
2019-08-06,50.1,51.0,48.1,51.0,201
2019-08-07,51.0,51.0,48.0,49.7,591
2019-08-08,48.3,48.95,40.6,43.5,28044
2019-08-09,47.95,47.95,44.1,45.9,3427
