Datetime,Open,High,Low,Close,Volume
2022-12-06,12.6,12.6,12.6,12.6,300
2022-12-07,13.23,13.23,13.23,13.23,625
2022-12-08,13.89,13.89,13.89,13.89,250
2022-12-09,14.58,14.58,14.58,14.58,1400
2022-12-12,15.3,15.3,15.3,15.3,11125
2022-12-13,16.06,16.06,16.06,16.06,315
2022-12-14,16.86,16.86,16.86,16.86,640
2022-12-15,17.7,17.7,17.7,17.7,9750
2022-12-16,18.58,18.58,18.58,18.58,8875
2022-12-19,19.5,19.5,19.5,19.5,5150
2022-12-20,21.45,21.45,21.45,21.45,20200
2022-12-21,23.59,23.59,23.59,23.59,27375
2022-12-22,25.94,25.94,24.76,25.94,280203
2022-12-23,27.18,27.23,26.6,27.23,112110
2022-12-26,28.39,28.39,25.87,25.87,19349
2022-12-27,24.58,24.58,24.58,24.58,1471
2022-12-28,23.36,23.36,23.36,23.36,270
2022-12-29,22.2,22.2,22.2,22.2,61
2022-12-30,21.09,21.09,21.09,21.09,53
2023-01-02,20.05,20.05,20.05,20.05,45
2023-01-03,19.05,21.05,19.05,21.05,63546
2023-01-04,20.05,20.2,20.0,20.0,8599
2023-01-05,19.0,19.0,19.0,19.0,364
2023-01-06,18.05,18.05,18.05,18.05,105
2023-01-09,18.75,18.75,17.15,17.15,7829
2023-01-10,16.3,16.3,16.3,16.3,4706
2023-01-11,15.5,16.7,15.5,16.6,33418
2023-01-12,16.7,16.7,15.8,15.8,10524
2023-01-13,15.25,15.4,15.05,15.1,13382
2023-01-16,14.5,14.5,14.35,14.35,17937
2023-01-17,13.65,14.9,13.65,14.4,24672
2023-01-18,14.8,15.1,14.25,14.9,13027
2023-01-19,14.4,15.3,14.4,15.3,603
2023-01-20,14.7,15.25,14.55,14.95,7712
2023-01-23,14.5,14.5,14.25,14.25,496
2023-01-24,13.7,14.25,13.7,14.25,200
2023-01-25,14.2,14.8,14.1,14.8,748
2023-01-27,14.2,15.0,14.2,15.0,175
2023-01-30,15.7,15.7,14.25,14.65,868
2023-01-31,14.0,15.35,14.0,14.8,13152
2023-02-01,14.85,14.85,14.1,14.23,782
2023-02-02,14.8,14.8,13.6,14.5,1815
2023-02-03,13.85,13.85,13.78,13.78,1876
2023-02-06,13.7,14.35,13.1,13.17,3033
2023-02-07,13.75,13.75,12.54,13.2,3399
2023-02-08,12.55,13.05,12.55,12.99,1464
2023-02-09,12.5,12.84,12.5,12.84,290
2023-02-10,12.2,12.65,12.2,12.45,2585
2023-02-13,12.6,12.6,11.83,11.99,14556
2023-02-14,12.0,12.0,11.51,11.95,179
2023-02-15,11.37,12.3,11.37,11.99,129
2023-02-16,12.43,12.43,11.99,11.99,55
2023-02-17,11.65,12.49,11.4,11.41,1596
2023-02-20,11.98,11.98,11.1,11.21,2299
2023-02-21,11.0,11.7,10.85,11.7,1075
2023-02-22,11.15,11.2,11.15,11.2,1225
2023-02-23,11.5,11.5,11.0,11.0,204
2023-02-24,10.48,11.0,10.46,11.0,3398
2023-02-27,10.45,10.45,10.45,10.45,100
2023-02-28,10.4,10.4,9.93,9.93,20385
2023-03-01,9.89,9.89,9.46,9.75,4763
2023-03-02,9.32,9.49,9.32,9.49,2710
2023-03-03,9.1,9.49,9.05,9.42,10382
2023-03-06,9.44,9.6,9.01,9.2,3925
2023-03-08,9.1,9.66,9.05,9.2,7644
2023-03-09,9.49,9.66,9.16,9.23,7158
2023-03-10,9.0,9.0,8.86,9.0,2335
2023-03-13,9.24,9.45,8.61,9.19,4052
2023-03-14,9.4,9.4,9.0,9.0,2412
2023-03-15,8.78,9.28,8.55,8.87,527
2023-03-16,9.0,9.0,8.43,8.7,1902
2023-03-17,8.36,8.89,8.32,8.89,691
2023-03-20,8.89,8.89,8.45,8.84,198
2023-03-21,8.84,8.84,8.5,8.5,711
2023-03-22,8.08,8.5,8.08,8.5,107
2023-03-23,8.49,8.49,8.11,8.11,538
2023-03-24,7.72,8.39,7.71,8.1,563
2023-03-27,7.7,8.09,7.7,7.7,1272
2023-03-28,7.32,7.32,7.32,7.32,435
2023-03-29,7.68,7.68,6.96,7.6,150
2023-03-31,7.25,7.25,7.25,7.25,4
2023-04-03,7.39,7.61,6.91,7.59,5030
2023-04-05,7.22,7.22,7.22,7.22,75
2023-04-10,7.58,7.58,7.58,7.58,250
2023-04-11,7.95,7.95,7.95,7.95,100
2023-04-12,8.34,8.34,8.34,8.34,750
2023-04-13,8.75,8.75,8.75,8.75,3
2023-04-17,9.18,9.18,9.18,9.18,62
2023-04-18,9.63,9.63,9.63,9.63,525
2023-04-19,10.11,10.11,10.11,10.11,300
2023-04-20,10.61,10.61,10.61,10.61,2183
2023-04-21,11.14,11.14,10.61,11.14,2687
2023-04-24,11.69,11.69,11.6,11.68,2227
2023-04-25,11.68,12.02,11.4,11.5,1026
2023-04-26,11.49,11.5,10.93,10.94,12076
2023-04-27,11.4,11.48,11.06,11.48,902
2023-04-28,11.41,11.9,11.02,11.6,10762
2023-05-02,12.18,12.18,11.02,11.06,606
2023-05-03,10.95,11.25,10.55,10.98,3129
2023-05-04,11.06,11.06,10.8,10.91,201
2023-05-05,11.15,11.15,11.0,11.0,155
2023-05-08,11.3,11.3,10.65,10.71,177
2023-05-09,10.99,11.24,10.99,11.24,4118
2023-05-10,11.25,11.25,10.68,10.68,2212
2023-05-11,10.74,11.21,10.71,11.21,6556
2023-05-12,11.75,11.75,10.76,10.8,245
2023-05-15,10.8,10.99,10.27,10.96,6960
2023-05-16,10.98,11.15,10.6,11.15,532
2023-05-17,11.0,11.4,10.67,10.69,1034
2023-05-18,10.5,10.56,10.5,10.56,155
2023-05-19,10.35,10.37,10.04,10.04,4810
2023-05-22,9.6,10.1,9.55,10.05,732
2023-05-23,9.58,10.0,9.55,9.6,407
2023-05-24,9.18,9.75,9.17,9.75,86
2023-05-25,9.27,9.49,9.27,9.27,1559
2023-05-26,9.05,9.6,8.81,9.5,2316
2023-05-29,9.79,9.79,9.12,9.68,726
2023-05-30,9.69,9.69,9.2,9.2,4494
2023-05-31,8.74,8.75,8.74,8.75,2212
2023-06-01,8.36,8.52,8.32,8.52,5476
2023-06-02,8.52,8.77,8.11,8.58,3371
2023-06-05,8.5,8.84,8.16,8.84,900
2023-06-07,9.04,9.23,8.5,8.5,593
2023-06-08,8.9,8.9,8.9,8.9,169
2023-06-09,8.6,8.61,8.56,8.56,1850
2023-06-12,8.56,8.56,8.2,8.2,259
2023-06-13,8.6,8.6,8.1,8.1,175
2023-06-14,7.8,8.5,7.8,8.0,681
2023-06-15,8.05,8.05,8.05,8.05,75
2023-06-16,8.05,8.05,8.0,8.0,225
2023-06-19,8.05,8.05,8.05,8.05,75
2023-06-20,7.66,8.45,7.65,8.4,4331
2023-06-21,8.8,8.8,8.0,8.7,175
2023-06-22,8.7,8.7,8.59,8.59,65
2023-06-23,9.0,9.0,8.17,8.53,4231
2023-06-26,8.11,8.5,8.11,8.11,11505
2023-06-27,8.25,8.25,7.71,7.99,347
2023-06-28,8.0,8.0,7.6,7.6,788
2023-06-30,7.6,7.98,7.6,7.98,297
2023-07-03,7.98,7.98,7.6,7.83,149
2023-07-04,7.5,7.76,7.5,7.76,99
2023-07-05,7.76,8.1,7.5,7.51,1150
2023-07-06,7.43,7.51,7.15,7.51,150
2023-07-10,7.15,7.6,7.15,7.6,176
2023-07-11,7.51,7.8,7.51,7.71,155
2023-07-12,7.9,7.9,7.35,7.45,480
2023-07-13,7.82,7.82,7.08,7.12,22454
2023-07-14,7.45,7.45,7.0,7.0,186
2023-07-17,7.17,7.17,7.0,7.05,1569
2023-07-19,7.2,7.4,7.15,7.4,403
2023-07-20,7.65,7.77,7.65,7.77,2325
2023-07-21,8.0,8.0,7.5,7.99,2568
2023-07-24,7.75,8.12,7.6,7.72,7680
2023-07-25,7.53,7.97,7.5,7.96,1491
2023-07-26,8.34,8.34,7.6,8.23,571
2023-07-27,8.15,8.23,7.82,7.98,254
2023-07-28,8.1,8.23,7.59,7.6,387
2023-07-31,7.6,7.66,7.6,7.66,1350
2023-08-01,8.0,8.03,7.66,8.0,3735
2023-08-02,8.4,8.4,8.0,8.03,25
2023-08-03,7.7,8.43,7.7,8.43,499
2023-08-04,8.4,8.79,8.1,8.69,312
2023-08-07,8.99,8.99,8.26,8.26,2528
2023-08-08,8.1,8.55,7.9,8.49,1985
2023-08-09,8.49,8.5,8.08,8.5,3398
2023-08-10,8.45,8.45,8.28,8.4,1538
