Datetime,Open,High,Low,Close,Volume
2019-05-28,12.9,13.75,12.9,13.65,6351571
2019-05-29,13.7,13.7,13.15,13.25,2576417
2019-05-30,13.3,13.7,13.0,13.3,5639077
2019-06-03,13.9,14.12,13.8,14.01,2931589
2019-06-10,13.31,13.54,12.68,12.77,4290871
2019-06-11,12.8,13.24,12.51,13.15,2592401
2019-06-12,13.15,13.18,12.8,12.84,1714818
2019-06-13,12.8,13.03,12.71,12.9,2393674
2019-06-14,12.9,12.9,12.3,12.51,2181235
2019-06-17,12.45,12.45,12.0,12.05,2601429
2019-06-18,11.9,12.05,11.8,11.95,2619351
2019-06-19,12.2,12.22,11.14,11.44,3338152
2019-06-20,11.3,11.98,11.25,11.9,3087302
2019-06-21,11.9,12.39,11.73,12.14,2760930
2019-06-24,12.14,12.3,11.97,12.08,24824347
2019-06-25,11.92,12.29,11.89,12.1,2438770
2019-06-26,12.05,12.41,12.04,12.31,3792522
2019-06-27,12.35,12.65,12.2,12.34,6242876
2019-06-28,12.33,12.4,12.06,12.16,1938261
2019-07-01,12.14,12.15,11.8,11.99,3719459
2019-07-02,12.0,12.06,11.61,11.69,4355517
2019-07-03,11.72,12.0,11.61,11.92,2532176
2019-07-04,11.96,13.15,11.82,12.33,133769862
2019-07-05,12.33,12.52,11.9,12.01,4448134
2019-07-08,11.99,11.99,11.39,11.48,5293356
2019-07-09,11.48,11.55,11.27,11.38,2367132
2019-07-10,11.38,11.5,11.2,11.27,2332577
2019-07-11,11.27,11.77,11.27,11.66,2703354
2019-07-12,11.75,12.05,11.56,11.73,3171821
2019-07-15,11.8,12.0,11.66,11.75,2491129
2019-07-16,11.85,11.89,11.57,11.8,2632066
2019-07-17,11.79,12.49,11.65,11.97,3659937
2019-07-18,11.97,11.97,11.2,11.3,3666144
2019-07-19,11.4,11.55,10.72,10.95,4677689
2019-07-22,10.92,10.99,10.67,10.75,3309344
2019-07-23,10.94,10.95,10.45,10.48,33967090
2019-07-24,10.6,10.6,9.86,9.97,106929894
2019-07-25,9.92,10.11,9.66,9.72,9862744
2019-07-26,9.74,10.0,9.12,9.25,132579380
2019-07-29,9.0,9.0,6.56,6.77,48485929
2019-07-30,6.81,7.0,6.04,6.52,34965891
2019-07-31,6.86,7.1,6.64,6.84,19186262
2019-08-01,6.89,6.92,6.46,6.62,19687261
2019-08-02,6.6,6.69,6.22,6.31,21958862
2019-08-05,6.28,6.28,5.94,6.01,25726149
2019-08-06,5.93,6.04,5.51,5.65,22860276
2019-08-07,5.58,5.61,5.13,5.33,23687500
2019-08-08,5.32,5.8,5.25,5.63,143131942
2019-08-09,5.7,5.93,5.31,5.36,18198620
2019-08-13,5.4,5.44,4.83,5.02,15179804
2019-08-14,5.06,5.77,5.06,5.63,12378300
2019-08-16,5.65,6.84,5.43,6.45,23623764
2019-08-19,6.45,6.46,5.83,5.99,15563216
2019-08-20,5.91,6.16,5.46,5.84,19817177
2019-08-21,5.79,5.79,5.53,5.58,12400356
2019-08-22,5.5,5.71,5.2,5.26,14135942
2019-08-23,5.23,5.87,5.01,5.74,22971405
2019-08-26,5.88,6.04,5.25,5.52,16755519
2019-08-27,5.61,5.74,5.23,5.3,15882394
2019-08-28,5.33,5.37,4.95,5.01,12960247
2019-08-29,4.98,5.26,4.83,4.88,14442726
2019-08-30,4.93,5.45,4.9,5.37,11088976
2019-09-03,5.39,5.39,5.07,5.12,6274807
2019-09-04,5.17,5.18,4.92,5.02,8837119
2019-09-05,5.08,5.2,4.98,5.09,9158690
2019-09-06,5.15,5.36,5.11,5.18,10020493
2019-09-11,5.35,5.81,5.35,5.73,14374543
2019-09-12,5.77,6.06,5.49,5.54,16792360
2019-09-13,5.57,5.57,5.25,5.38,13754366
2019-09-16,5.32,5.5,5.21,5.24,13112240
2019-09-17,5.24,5.29,5.02,5.08,18967155
2019-09-18,5.07,5.09,4.84,4.86,20359952
2019-09-19,4.97,5.68,4.87,5.44,29902093
2019-09-20,5.52,5.94,5.34,5.84,18415253
2019-09-23,5.99,6.03,5.56,5.62,12591597
2019-09-24,5.59,5.75,5.33,5.58,12317277
2019-09-25,5.59,5.62,5.22,5.32,11075882
2019-09-26,5.38,5.45,5.17,5.22,8134923
2019-09-27,5.12,5.8,5.1,5.65,17238237
2019-09-30,5.82,6.44,4.95,6.16,47363566
2019-10-01,6.29,6.29,5.23,5.38,25008011
2019-10-03,5.32,5.39,5.0,5.08,15020413
2019-10-04,5.23,5.31,5.01,5.04,13285300
2019-10-07,5.09,5.52,5.01,5.12,11898659
2019-10-09,5.19,5.97,5.16,5.84,28958122
2019-10-10,6.42,6.87,5.78,6.18,54160600
2019-10-11,6.05,6.15,5.83,6.0,18649044
2019-10-14,6.09,6.57,5.93,6.39,21375075
2019-10-15,6.4,6.44,6.11,6.16,17059494
2019-10-16,6.19,6.74,6.17,6.56,23167581
2019-10-17,6.4,6.4,5.97,6.32,20432704
2019-10-18,6.32,6.57,6.25,6.39,14213894
2019-10-22,6.39,6.54,6.03,6.13,17440083
2019-10-23,6.18,6.24,5.59,5.65,18923302
2019-10-24,5.61,5.67,4.1,4.33,71341751
2019-10-25,4.18,4.2,3.66,4.11,48000047
2019-10-29,4.12,4.12,3.7,3.85,34331625
2019-10-30,4.0,4.18,3.75,3.81,47355575
2019-10-31,3.81,3.97,3.31,3.89,65709909
2019-11-01,3.87,4.78,3.7,4.3,73934315
2019-11-04,4.5,4.76,4.45,4.51,29108624
2019-11-05,4.51,4.61,4.1,4.2,28060567
2019-11-06,4.13,4.13,3.83,3.86,30105306
2019-11-07,3.89,4.14,3.85,3.92,29003982
2019-11-08,3.89,4.04,3.71,3.78,40105546
2019-11-13,3.77,3.99,3.66,3.7,33315111
2019-11-14,3.33,3.44,2.9,2.95,82052426
2019-11-15,2.66,3.89,2.61,3.68,124758326
2019-11-18,4.0,4.55,3.92,4.47,74154631
2019-11-19,4.91,6.39,4.91,6.02,141086338
2019-11-20,6.62,7.93,6.62,7.07,216462780
2019-11-21,7.77,8.13,6.21,6.64,112433083
2019-11-22,6.65,6.92,6.06,6.56,66621232
2019-11-25,6.32,6.99,6.16,6.84,71686591
2019-11-26,6.58,6.78,5.7,6.04,89088086
2019-11-27,6.24,6.37,5.77,5.89,54798345
2019-11-28,5.93,6.82,5.9,6.62,68108827
2019-11-29,6.7,7.19,6.64,6.83,57060613
2019-12-02,7.51,8.49,7.51,7.79,115350427
2019-12-03,7.9,7.94,6.72,7.05,70899004
2019-12-04,7.16,7.86,7.0,7.74,61612520
2019-12-05,7.63,7.64,7.01,7.31,46087703
2019-12-06,7.12,7.35,6.66,6.92,52866712
2019-12-09,6.58,6.69,6.07,6.49,35795817
2019-12-10,6.23,6.83,6.19,6.56,37198428
2019-12-11,6.61,7.08,6.59,6.69,30362338
2019-12-12,6.85,7.02,6.7,6.77,16304304
2019-12-13,6.81,7.09,6.76,6.92,33876247
2019-12-16,6.94,6.94,6.58,6.61,24618803
2019-12-17,6.59,6.99,6.36,6.9,29338807
2019-12-18,7.22,7.3,6.32,6.42,38996263
2019-12-19,6.42,6.7,6.36,6.58,29837437
2019-12-20,6.39,6.61,6.3,6.52,23412924
2019-12-23,6.44,6.57,6.3,6.39,20083651
