Datetime,Open,High,Low,Close,Volume
2019-05-28,11.32,11.32,11.32,11.32,3
2019-05-30,11.3,11.3,11.3,11.3,5
2019-06-03,10.75,10.75,10.75,10.75,100
2019-06-11,10.0,10.21,10.0,10.21,4
2019-06-12,9.99,9.99,9.99,9.99,2
2019-06-17,9.5,9.5,9.5,9.5,100
2019-06-19,9.97,9.97,9.97,9.97,1
2019-06-20,10.46,10.46,10.45,10.45,3
2019-06-21,10.4,10.4,10.4,10.4,1
2019-06-24,10.92,10.92,10.92,10.92,1
2019-06-25,10.9,10.9,10.9,10.9,1
2019-06-27,10.9,10.9,10.9,10.9,8
2019-07-01,10.89,10.89,10.89,10.89,3
2019-07-02,10.89,10.89,10.89,10.89,2
2019-07-03,11.43,11.43,11.43,11.43,15
2019-07-04,11.43,11.43,11.43,11.43,50
2019-07-05,11.43,11.43,11.43,11.43,2
2019-07-08,11.99,11.99,11.99,11.99,200
2019-07-10,12.58,12.58,12.58,12.58,2
2019-07-11,13.2,13.2,13.2,13.2,1
2019-07-12,13.86,13.86,13.86,13.86,2
2019-07-15,14.55,14.55,14.55,14.55,1
2019-07-16,14.54,14.54,14.54,14.54,2
2019-07-17,14.5,14.5,14.5,14.5,12
2019-07-19,13.78,13.78,13.78,13.78,2
2019-07-22,13.78,13.78,13.1,13.1,22
2019-07-24,12.45,12.45,12.45,12.45,5
2019-07-30,11.83,11.83,11.83,11.83,1
2019-07-31,11.24,11.24,11.24,11.24,1
2019-08-01,10.68,10.68,10.68,10.68,1
2019-08-02,10.15,10.15,10.15,10.15,1
2019-08-08,9.65,9.65,9.65,9.65,6
2019-08-13,10.13,10.13,10.13,10.13,3
2019-08-19,10.63,10.63,9.63,9.63,9
2019-08-20,9.15,9.15,9.15,9.15,15
2019-08-23,9.6,9.6,8.7,8.7,17
2019-08-26,9.13,9.13,8.27,8.27,9
2019-08-27,7.86,7.86,7.86,7.86,45
2019-08-28,7.47,7.47,7.47,7.47,280
2019-08-30,7.47,7.47,7.47,7.47,7
2019-09-23,8.23,8.23,8.23,8.23,3
2019-09-25,7.85,7.85,7.85,7.85,70
2019-09-27,8.24,8.24,8.24,8.24,1
2019-10-01,8.65,8.65,8.24,8.24,3
2019-10-03,8.65,8.65,8.24,8.56,201
2019-10-09,8.56,8.65,8.56,8.65,9
2019-10-22,9.08,9.08,9.08,9.08,10
2019-11-01,9.53,9.53,9.53,9.53,1
2019-11-21,9.53,9.53,9.53,9.53,10
2019-11-26,9.06,9.06,9.06,9.06,54
2019-11-28,9.06,9.51,8.61,8.61,575
2019-11-29,8.61,8.61,8.61,8.61,44
2019-12-03,8.18,8.18,8.18,8.18,50
2019-12-04,7.78,7.78,7.78,7.78,100
2020-01-06,7.78,7.78,7.78,7.78,1
2020-01-14,7.7,7.78,7.7,7.77,350
2020-01-15,7.77,7.77,7.77,7.77,2
2020-01-31,7.5,7.5,7.5,7.5,5
2020-02-01,7.4,7.4,7.13,7.13,4
2020-02-03,6.78,6.78,6.78,6.78,2
2020-02-05,6.45,6.45,6.45,6.45,21
2020-02-11,6.45,6.45,6.45,6.45,1
2020-03-20,6.3,6.3,6.3,6.3,7
2020-04-01,6.3,6.3,6.3,6.3,21
2020-04-13,5.99,5.99,5.99,5.99,3
2020-04-28,5.7,5.9,5.7,5.9,101
2020-05-05,5.8,5.8,5.8,5.8,10
2020-06-05,5.8,5.8,5.8,5.8,2
2020-06-08,5.8,6.09,5.8,6.09,203
2020-06-11,6.0,6.0,6.0,6.0,50
2020-07-01,6.0,6.0,6.0,6.0,75
2020-07-27,6.3,6.3,6.3,6.3,1
2020-09-01,6.3,6.3,6.3,6.3,50
2020-09-04,6.6,6.6,6.0,6.0,2200
2020-09-07,5.99,5.99,5.7,5.7,990
2020-09-08,5.7,5.7,5.7,5.7,50
2020-09-11,5.42,5.42,5.42,5.42,51
2020-09-23,5.15,5.69,5.15,5.69,501
2020-09-25,5.97,5.97,5.97,5.97,50
2020-09-29,5.95,5.95,5.95,5.95,23
2020-10-01,6.24,6.24,6.24,6.24,200
2020-10-05,6.24,6.24,6.24,6.24,2
2020-10-07,6.24,6.24,6.24,6.24,1
2020-11-11,6.24,6.24,6.24,6.24,1
2020-11-13,6.24,6.24,6.24,6.24,1
2020-11-17,6.24,6.24,6.24,6.24,1
2020-11-19,6.24,6.24,6.24,6.24,1
2020-12-01,6.24,6.24,6.24,6.24,200
2020-12-04,5.95,6.24,5.95,6.24,70
2020-12-10,6.55,6.55,6.5,6.5,120
2020-12-11,6.5,6.5,6.5,6.5,20
2020-12-14,6.5,6.5,6.5,6.5,100
2020-12-17,6.18,6.18,6.18,6.18,631
2020-12-18,6.4,6.4,5.88,5.88,351
2020-12-21,5.59,5.59,5.59,5.59,2
2020-12-24,5.32,5.32,5.32,5.32,50
2020-12-28,5.32,5.32,5.06,5.06,818
2020-12-29,5.06,5.06,5.06,5.06,1
2020-12-30,5.06,5.06,5.06,5.06,1
2020-12-31,5.0,5.0,5.0,5.0,50
2021-01-01,5.25,5.25,4.8,5.25,1612
2021-01-06,4.99,5.51,4.99,5.51,23
2021-01-08,5.51,5.51,5.51,5.51,75
2021-01-14,5.51,5.51,5.51,5.51,100
2021-01-19,5.24,5.24,5.24,5.24,50
2021-01-20,5.24,5.24,5.24,5.24,1
2021-01-21,5.24,5.24,5.24,5.24,14
2021-01-22,5.24,5.24,5.0,5.24,105
2021-02-03,5.24,5.24,5.24,5.24,1
2021-02-04,4.98,4.98,4.98,4.98,13
2021-02-05,4.98,4.98,4.98,4.98,2
2021-02-08,4.75,5.22,4.75,5.22,354
2021-02-09,5.0,5.0,5.0,5.0,1
2021-02-10,5.0,5.0,4.75,4.75,267
2021-02-11,4.98,4.98,4.98,4.98,10
2021-02-17,4.75,4.75,4.75,4.75,23
2021-02-23,4.52,4.75,4.52,4.75,608
2021-03-01,4.52,4.52,4.52,4.52,150
2021-03-02,4.74,4.74,4.3,4.3,550
2021-03-03,4.09,4.09,4.09,4.09,2
2021-03-08,4.29,4.29,4.29,4.29,1
2021-03-09,4.29,4.29,4.29,4.29,1
2021-03-12,4.08,4.29,4.08,4.29,21
2021-03-17,4.5,4.5,4.08,4.5,228
