Datetime,Open,High,Low,Close,Volume
2019-05-28,836.85,839.35,818.05,824.45,187
2019-05-29,828.9,828.9,800.0,801.35,194
2019-05-30,790.25,800.2,758.6,764.85,1157
2019-06-03,745.25,764.6,738.3,741.3,1046
2019-06-10,763.45,789.0,761.1,775.05,1523
2019-06-11,775.1,806.6,775.1,803.1,1299
2019-06-12,810.0,824.0,804.0,811.7,638
2019-06-13,809.7,814.05,799.0,812.2,323
2019-06-14,812.2,827.0,807.0,810.95,714
2019-06-17,796.0,806.0,761.0,777.15,430
2019-06-18,780.0,797.6,770.7,790.95,1165
2019-06-19,785.35,788.6,755.85,759.9,70574
2019-06-20,773.55,783.1,770.1,775.0,4200
2019-06-21,780.0,787.65,770.0,771.0,250
2019-06-24,820.0,820.0,769.3,775.55,669
2019-06-25,774.6,785.0,771.2,781.55,266
2019-06-26,781.9,784.05,763.35,766.6,341
2019-06-27,770.25,779.45,761.95,772.85,308
2019-06-28,772.0,777.6,759.0,761.65,460
2019-07-01,770.05,783.75,764.9,773.05,403
2019-07-02,775.7,775.75,745.0,749.3,1258
2019-07-03,750.7,774.95,749.6,751.25,328
2019-07-04,760.0,760.0,748.05,750.25,151
2019-07-05,729.0,751.4,720.9,739.9,306
2019-07-08,730.0,735.0,711.9,727.7,1395
2019-07-09,722.2,742.25,722.2,732.15,332
2019-07-10,733.45,737.55,721.35,729.95,303
2019-07-11,736.7,738.7,731.0,733.85,61
2019-07-12,738.95,748.0,737.0,745.3,529
2019-07-15,755.25,766.7,749.95,753.05,1073
2019-07-16,756.65,756.65,749.0,750.6,104
2019-07-17,765.0,765.0,735.8,741.35,251
2019-07-18,735.55,744.8,713.5,724.5,775
2019-07-19,725.75,731.75,705.4,712.4,1449
2019-07-22,750.0,750.0,702.0,710.8,1062
2019-07-23,717.45,723.95,714.15,714.45,126
2019-07-24,712.95,715.5,675.95,689.55,858
2019-07-25,679.45,683.9,625.3,633.95,1216
2019-07-26,629.0,645.7,603.95,634.65,577
2019-07-29,684.0,697.0,618.05,630.1,2235
2019-07-30,627.7,629.8,587.85,592.85,469
2019-07-31,590.0,602.0,572.0,601.6,1357
2019-08-01,607.0,619.7,598.0,614.0,990
2019-08-02,599.0,635.95,590.0,600.65,331
2019-08-05,590.15,597.25,559.4,570.65,1212
2019-08-06,565.8,596.5,565.8,591.05,937
2019-08-07,598.3,634.0,597.05,631.1,1287
2019-08-08,614.0,700.2,606.1,695.25,1467
2019-08-09,700.8,724.3,679.25,694.85,760
2019-08-13,688.75,689.55,635.0,645.1,2151
2019-08-14,630.25,647.0,623.3,636.55,866
2019-08-16,641.5,648.0,632.0,644.45,492
2019-08-19,641.75,690.7,640.85,685.65,2083
2019-08-20,684.15,686.35,658.0,665.4,4182
2019-08-21,656.7,663.5,630.5,649.1,782
2019-08-22,629.7,629.7,602.05,606.3,233
2019-08-23,606.0,631.0,596.15,625.9,214
2019-08-26,624.0,659.35,615.75,648.1,652
2019-08-27,656.3,675.0,655.55,660.1,246
2019-08-28,663.6,665.25,652.0,661.9,74
2019-08-29,659.65,687.6,659.65,669.95,1185
2019-08-30,665.1,668.0,639.05,651.5,1664
2019-09-03,645.75,657.05,638.75,648.6,334
2019-09-04,653.25,715.2,647.35,704.75,3097
2019-09-05,709.0,712.6,689.0,701.15,589
2019-09-06,703.8,710.95,676.15,691.15,466
2019-09-11,660.9,678.05,654.0,670.95,899
2019-09-12,675.0,686.0,658.0,660.35,153
2019-09-13,667.1,705.15,664.6,678.3,1839
2019-09-16,677.6,695.5,666.6,680.65,556
2019-09-17,686.85,687.0,655.0,656.5,1043
2019-09-18,669.0,669.0,651.05,661.7,29
2019-09-19,655.0,655.0,632.65,635.85,183
2019-09-20,640.55,685.95,640.25,669.2,1417
2019-09-23,680.0,768.0,666.0,745.5,3939
2019-09-24,750.0,750.05,720.0,734.2,3373
2019-09-25,730.0,730.0,712.7,720.45,600
2019-09-26,734.55,734.55,709.05,713.35,54
2019-09-27,708.0,711.9,683.0,687.7,1259
2019-09-30,678.7,680.0,664.9,672.3,999
2019-10-01,665.3,684.15,635.25,645.75,1996
2019-10-03,664.7,669.8,650.0,660.85,143
2019-10-04,635.2,678.2,635.2,647.15,256
2019-10-07,635.05,655.2,632.9,639.0,63
2019-10-09,651.5,665.7,648.65,663.35,344
2019-10-10,660.05,662.1,639.35,644.7,134
2019-10-11,646.7,679.95,646.6,659.7,1719
2019-10-14,675.85,675.85,660.8,667.0,167
2019-10-15,670.75,674.65,666.0,666.45,358
2019-10-16,664.75,667.4,641.0,650.15,858
2019-10-17,665.0,670.9,657.45,662.4,33
2019-10-18,664.35,680.85,659.0,675.4,598
2019-10-22,683.75,713.2,683.75,703.7,645
2019-10-23,699.75,712.35,688.0,691.35,462
2019-10-24,702.95,720.35,677.25,699.85,1007
2019-10-25,695.0,701.55,673.0,679.45,513
2019-10-29,684.35,714.15,682.2,701.35,1518
2019-10-30,719.0,743.35,704.7,730.95,4845
2019-10-31,740.1,798.15,738.25,778.15,5557
2019-11-01,783.2,792.5,757.0,761.5,3801
2019-11-04,762.5,762.5,713.75,724.45,5222
2019-11-05,737.85,750.35,725.95,731.3,1524
2019-11-06,730.85,742.65,725.3,735.5,1646
2019-11-07,733.65,751.0,733.65,740.5,373
2019-11-08,745.5,749.75,728.55,739.25,1252
2019-11-13,755.0,776.8,736.05,738.0,1275
2019-11-14,716.1,750.15,716.1,739.55,1039
2019-11-15,748.6,749.0,724.2,730.35,796
2019-11-18,734.85,735.0,711.8,712.85,322
2019-11-19,704.0,705.9,681.1,685.4,1463
2019-11-20,686.5,689.0,671.55,675.75,1610
2019-11-21,681.2,681.2,661.4,667.6,2169
2019-11-22,667.25,675.05,667.25,671.65,1169
2019-11-25,673.3,681.3,668.4,675.35,747
2019-11-26,684.8,684.8,670.0,671.55,248
2019-11-27,691.35,691.35,676.8,680.1,219
2019-11-28,674.6,679.4,666.8,670.65,106
2019-11-29,667.5,673.3,645.0,652.1,806
2019-12-02,647.25,653.4,627.65,631.95,287
2019-12-03,641.2,654.6,636.0,637.55,132
2019-12-04,634.05,634.05,615.6,619.7,140
2019-12-05,613.0,627.6,599.9,614.95,765
2019-12-06,625.6,625.6,605.7,607.2,253
2019-12-09,615.0,615.0,591.0,601.8,877
2019-12-10,600.9,614.0,589.15,599.9,550
2019-12-11,600.45,652.55,590.0,644.0,902
2019-12-12,644.0,644.0,625.65,626.8,577
2019-12-13,626.8,627.5,594.0,598.05,5004
2019-12-16,611.0,621.6,598.0,604.45,1780487
2019-12-17,612.7,639.5,610.0,623.35,2858
2019-12-18,625.0,648.9,620.0,635.2,2081
2019-12-19,635.45,669.8,635.45,658.35,1425
2019-12-20,669.45,672.35,659.4,661.1,1005
2019-12-23,655.0,679.7,655.0,673.6,422
2019-12-24,679.55,699.0,679.55,692.55,899
2019-12-26,694.0,718.9,693.45,702.7,1299
2019-12-27,710.8,712.0,676.5,691.55,939
2019-12-30,686.7,686.7,676.1,682.85,215
2019-12-31,683.55,683.55,666.0,667.95,402
2020-01-01,683.0,683.0,665.0,667.45,140
2020-01-02,675.0,680.0,671.4,677.15,265
2020-01-03,681.55,732.0,681.4,696.2,1777
2020-01-06,684.0,689.4,678.4,688.4,264
2020-01-07,702.0,702.9,684.7,688.6,506
2020-01-08,688.25,709.2,687.8,705.95,1080
2020-01-09,718.65,720.0,685.15,700.1,978
2020-01-10,700.0,717.95,689.25,701.0,708
2020-01-13,702.5,704.0,690.4,692.6,462
2020-01-14,685.0,698.0,681.85,689.95,455
2020-01-15,683.0,683.0,661.5,664.75,1308
2020-01-16,673.25,688.65,673.25,684.85,1231
2020-01-17,685.0,700.0,675.0,676.55,1310
2020-01-20,680.0,692.65,680.0,681.45,554
2020-01-21,682.8,687.6,678.0,678.25,200
2020-01-22,680.0,682.15,663.5,669.7,730
2020-01-23,683.05,684.35,675.05,677.05,984
2020-01-24,685.3,688.45,670.0,671.65,251
2020-01-27,679.5,679.5,662.9,665.7,733
2020-01-28,667.0,667.35,653.4,660.65,1453
2020-01-29,661.4,661.4,618.2,620.4,4715
2020-01-30,620.0,620.0,607.1,613.05,1448
2020-01-31,613.85,615.25,596.0,597.05,1351
2020-02-01,596.95,614.25,570.0,577.95,948
2020-02-03,576.0,586.55,573.1,582.55,1611
2020-02-04,580.6,584.0,555.3,561.9,1485
2020-02-05,567.6,579.0,564.0,570.35,1670
2020-02-06,578.65,607.55,577.95,585.3,1281
2020-02-07,580.2,607.5,580.2,586.7,1105
