Datetime,Open,High,Low,Close,Volume
2019-06-25,48.45,48.45,48.45,48.45,1
2019-08-28,46.05,46.05,46.05,46.05,1
2019-09-13,43.75,43.75,43.75,43.75,2
2019-09-16,41.6,41.6,41.6,41.6,2
2019-10-03,39.55,39.55,39.55,39.55,39
2019-10-29,37.6,37.6,37.6,37.6,1
2019-10-30,35.75,35.75,35.75,35.75,2
2019-11-07,34.0,34.0,34.0,34.0,420
2019-12-09,34.0,34.0,34.0,34.0,1
2019-12-10,34.0,34.0,34.0,34.0,8
2019-12-13,32.3,32.3,32.3,32.3,53
2020-03-06,33.9,33.9,33.9,33.9,200
2020-03-17,33.9,33.9,33.9,33.9,20
2020-06-04,35.5,35.5,32.25,32.25,11
2020-06-23,32.0,32.0,30.65,30.65,110
2020-07-07,29.15,29.15,29.15,29.15,10
2020-07-09,27.7,27.7,27.7,27.7,10
2020-08-03,29.05,29.05,26.4,26.4,1604
2020-08-04,25.2,25.2,25.2,25.2,10
2020-08-07,24.0,24.0,24.0,24.0,100
2020-08-11,24.0,24.0,24.0,24.0,1
2020-08-27,22.8,22.8,22.8,22.8,713
2020-08-28,21.75,22.25,21.75,22.25,221
2020-09-07,22.25,22.25,22.25,22.25,100
2020-12-28,21.45,23.35,21.15,23.35,322
2020-12-29,23.35,23.35,23.35,23.35,50
2020-12-31,24.5,24.5,24.5,24.5,10
2021-01-14,25.7,25.7,24.5,24.5,100
2021-01-15,25.7,25.7,25.7,25.7,10
2021-01-19,26.0,26.0,26.0,26.0,1
2021-01-27,27.3,27.3,27.3,27.3,310
2021-01-28,28.0,28.0,27.95,27.95,7
2021-01-29,26.6,26.6,26.6,26.6,200
2021-02-01,25.55,25.55,25.55,25.55,10
2021-02-04,25.75,26.55,25.75,26.55,20
2021-02-05,26.9,26.9,26.9,26.9,10
2021-02-08,27.55,27.55,27.55,27.55,7
2021-02-09,28.75,28.75,28.75,28.75,1
2021-02-10,29.95,29.95,29.95,29.95,1
2021-02-12,29.95,29.95,28.5,28.5,23
2021-02-15,29.8,29.8,29.8,29.8,1
2021-02-16,29.8,31.05,29.8,31.05,26
2021-02-17,32.45,32.45,32.45,32.45,1
2021-02-18,33.95,33.95,33.95,33.95,1
2021-03-05,32.3,32.3,32.3,32.3,2
2021-03-08,31.0,31.0,31.0,31.0,5
2021-03-12,31.0,31.0,31.0,31.0,1
2021-03-15,29.45,30.95,29.45,30.95,6
2021-03-17,29.45,29.45,29.45,29.45,80
2021-03-18,28.0,28.0,28.0,28.0,100
2021-03-23,28.0,28.0,28.0,28.0,1
2021-03-24,26.6,26.6,26.6,26.6,1
2021-03-25,25.3,25.3,25.3,25.3,1
2021-03-30,24.05,24.05,24.05,24.05,10
2021-03-31,22.85,22.85,22.85,22.85,266
2021-04-05,21.75,23.95,21.75,23.95,17
