Datetime,Open,High,Low,Close,Volume
2019-05-28,102.1,107.4,102.1,107.4,218
2019-05-29,108.35,108.35,104.05,104.3,899
2019-05-30,101.0,111.8,101.0,106.5,5637
2019-06-03,111.0,111.0,102.85,104.05,1870
2019-06-10,98.0,101.8,96.8,99.35,65
2019-06-11,111.5,111.5,96.65,97.7,1104
2019-06-12,94.0,101.35,92.0,98.75,47
2019-06-13,104.9,104.9,95.1,101.05,757
2019-06-14,105.0,105.0,97.0,98.6,2069
2019-06-17,104.0,104.0,96.0,98.75,957
2019-06-18,101.05,101.05,92.45,96.2,671
2019-06-19,102.0,102.0,94.05,95.9,794
2019-06-20,95.0,95.8,90.55,93.5,708
2019-06-21,91.0,97.55,91.0,95.45,80
2019-06-24,100.0,100.0,91.5,94.8,351
2019-06-25,99.0,99.0,89.0,92.55,3943
2019-06-26,91.6,95.5,91.6,93.0,968
2019-06-27,92.25,101.0,92.25,93.4,1415
2019-06-28,91.35,99.9,91.35,93.8,1007
2019-07-01,95.0,98.45,93.35,94.5,1245
2019-07-03,100.0,105.5,100.0,101.6,2764
2019-07-04,104.1,104.1,97.2,101.15,406
2019-07-05,99.15,99.55,99.0,99.35,502
2019-07-08,96.3,97.9,95.05,95.5,21
2019-07-09,97.8,99.75,93.0,98.55,737
2019-07-10,100.0,100.0,92.8,96.8,166
2019-07-11,101.0,101.0,93.6,94.5,1933
2019-07-12,101.75,101.75,94.25,94.65,96
2019-07-15,98.85,98.85,93.3,95.25,72
2019-07-16,91.3,98.35,91.3,95.75,590
2019-07-17,98.8,99.35,91.05,95.05,18095
2019-07-18,92.6,98.25,92.6,94.95,5334
2019-07-19,93.1,97.0,92.5,94.9,1897
2019-07-22,96.0,96.1,89.0,89.85,2922
2019-07-23,90.85,94.0,89.35,92.0,234
2019-07-24,90.05,93.0,88.0,89.5,724
2019-07-25,94.7,95.0,88.0,88.5,868
2019-07-26,90.0,91.0,90.0,90.85,875
2019-07-29,93.8,96.65,88.8,93.8,1091
2019-07-30,90.0,93.0,86.1,87.2,1994
2019-07-31,86.55,87.0,82.0,84.2,527
2019-08-01,82.35,82.65,81.4,81.4,152
2019-08-02,78.55,83.0,76.6,80.15,62
2019-08-05,75.7,81.0,71.35,78.15,1040
2019-08-06,70.2,85.2,70.2,83.4,136
2019-08-07,82.0,85.45,80.1,81.55,106
2019-08-08,81.1,81.5,78.4,81.5,106
2019-08-09,86.7,88.8,82.25,84.5,240
2019-08-13,82.35,82.35,79.6,79.7,164
2019-08-14,81.75,84.25,81.75,83.85,62
2019-08-16,82.0,82.0,80.65,80.65,2
2019-08-19,78.75,81.1,78.5,81.0,200
2019-08-21,77.5,80.05,77.0,77.15,103
2019-08-22,75.9,80.0,73.9,76.65,311
2019-08-23,74.5,78.5,74.5,77.0,602
2019-08-26,79.0,79.0,75.0,76.2,709
2019-08-27,77.0,80.2,75.4,75.75,184
2019-08-28,79.5,79.5,79.5,79.5,20
2019-08-29,79.7,81.4,76.55,78.1,461
2019-08-30,76.5,84.9,75.95,84.6,625
2019-09-03,77.0,77.0,77.0,77.0,50
2019-09-04,80.0,80.0,80.0,80.0,1
2019-09-06,77.5,81.0,77.5,81.0,9
2019-09-11,88.75,89.05,88.5,88.5,3
2019-09-12,91.9,94.0,91.9,92.0,32
2019-09-13,86.65,86.65,86.65,86.65,26
2019-09-16,94.95,94.95,94.95,94.95,1
2019-09-17,95.0,95.0,95.0,95.0,1
2019-09-19,85.0,91.0,85.0,86.75,30
2019-09-20,95.0,95.0,95.0,95.0,1
2019-09-23,104.95,104.95,88.05,89.0,238
2019-09-24,90.0,93.5,90.0,93.0,110
2019-09-25,99.0,104.5,94.9,95.55,4175
2019-09-26,92.0,92.0,87.75,90.05,558
2019-09-27,93.0,95.5,87.45,87.45,1244
2019-09-30,88.5,89.9,84.6,86.6,1590
2019-10-01,85.0,90.8,84.5,84.5,215
2019-10-03,78.2,86.05,78.2,82.1,282
2019-10-04,86.5,92.85,82.5,84.2,449
2019-10-07,79.1,86.0,79.1,82.0,363
2019-10-10,98.4,98.4,83.0,84.0,19
2019-10-11,81.2,85.0,81.0,81.05,958
2019-10-14,80.8,81.5,80.0,80.5,186
2019-10-15,88.0,89.5,76.0,76.95,399
2019-10-16,77.0,80.7,75.1,80.35,307
2019-10-17,80.0,83.8,80.0,81.15,23
2019-10-18,88.1,94.85,84.9,92.3,5714
2019-10-22,88.0,88.0,84.8,87.1,193
2019-10-24,82.55,88.6,82.1,86.35,1313
2019-10-25,95.0,95.0,81.0,83.4,403
2019-10-29,91.8,91.8,84.1,87.0,150
2019-10-30,84.5,86.5,84.5,86.5,40
2019-10-31,96.95,96.95,85.0,92.0,27
2019-11-01,87.0,95.0,84.25,93.85,1059
2019-11-04,95.0,96.5,93.5,93.7,600
2019-11-05,93.05,95.7,93.05,94.1,327
2019-11-06,96.0,101.0,91.5,95.9,1013
2019-11-07,96.8,96.8,92.0,93.0,1711
2019-11-08,93.0,93.0,91.0,91.0,110
2019-11-13,94.8,106.4,88.5,106.4,9774
2019-11-14,112.6,127.65,109.8,127.65,31476
2019-11-15,129.9,144.5,113.7,116.8,37363
2019-11-18,116.0,116.0,109.8,113.15,2688
2019-11-19,107.05,130.0,107.05,119.75,7385
2019-11-20,121.0,127.0,117.0,118.0,2254
2019-11-21,116.0,116.0,112.1,112.1,1288
2019-11-22,110.05,110.05,106.5,106.95,827
2019-11-25,101.65,110.8,101.65,107.95,765
2019-11-26,105.05,107.7,102.6,104.1,1031
2019-11-27,102.0,106.0,99.55,101.55,820
2019-11-28,101.6,106.0,101.6,101.6,2652
2019-11-29,99.0,102.9,97.1,98.55,1132
2019-12-02,98.05,98.05,95.35,95.35,97
2019-12-03,94.5,96.9,94.5,96.9,596
2019-12-05,95.05,100.75,93.4,93.4,442
2019-12-06,95.0,98.0,89.6,98.0,150
2019-12-09,97.0,98.5,94.5,95.15,899
2019-12-10,91.0,95.15,91.0,92.5,853
2019-12-11,93.0,93.0,90.5,90.5,1526
2019-12-12,88.15,92.5,88.15,92.5,661
2019-12-13,94.0,94.0,90.55,93.15,1328
