Datetime,Open,High,Low,Close,Volume
2019-05-28,65.0,65.0,65.0,65.0,10000
2019-05-29,64.75,64.75,64.75,64.75,5000
2019-05-30,65.0,65.0,65.0,65.0,15000
2019-06-03,66.32,66.33,65.06,65.33,30000
2019-06-10,65.6,65.75,65.6,65.75,10000
2019-06-11,65.75,65.75,65.5,65.5,15000
2019-06-12,65.05,65.58,65.05,65.5,20000
2019-06-13,65.4,65.4,65.25,65.25,10000
2019-06-14,65.4,65.65,64.55,65.65,50000
2019-06-17,65.4,65.6,65.4,65.6,270000
2019-06-19,65.4,65.4,63.85,64.69,160000
2019-06-20,65.25,65.25,65.25,65.25,5000
2019-06-21,65.73,65.73,65.73,65.73,5000
2019-06-25,65.65,65.65,65.65,65.65,5000
2019-06-26,65.55,65.55,65.5,65.5,30000
2019-06-27,65.6,65.6,65.5,65.5,15000
2019-07-02,65.33,65.33,65.33,65.33,5000
2019-07-03,65.7,65.7,65.7,65.7,110000
2019-07-04,65.75,65.75,65.53,65.53,15000
2019-07-05,65.7,65.7,65.25,65.28,75000
2019-07-08,65.28,65.75,65.28,65.5,35000
2019-07-09,65.5,65.5,65.5,65.5,5000
2019-07-15,66.19,66.19,66.19,66.19,5000
2019-07-16,66.0,66.0,66.0,66.0,10000
2019-07-17,65.5,66.0,65.5,65.9,25000
2019-07-18,65.22,66.2,65.22,65.59,25000
2019-07-19,65.55,65.67,65.55,65.67,20000
2019-07-22,66.5,66.5,66.5,66.5,5000
2019-07-23,65.75,66.1,65.75,66.1,10000
2019-07-24,66.06,66.98,66.06,66.98,25000
2019-07-25,66.6,66.6,66.6,66.6,5000
2019-07-29,66.7,67.0,66.7,67.0,25000
2019-07-31,66.5,66.5,66.5,66.5,90000
2019-08-02,64.9,66.0,64.9,65.94,30000
2019-08-05,64.0,64.5,64.0,64.16,45000
2019-08-06,64.2,64.2,64.2,64.2,5000
2019-08-07,64.5,65.7,64.5,65.7,10000
2019-08-09,65.11,65.9,65.11,65.5,20000
2019-08-13,65.4,65.4,65.4,65.4,5000
2019-08-16,65.49,65.49,65.49,65.49,10000
2019-08-20,65.4,65.4,65.3,65.3,10000
2019-08-21,65.3,65.3,65.3,65.3,10000
2019-08-22,65.0,65.0,65.0,65.0,5000
2019-08-28,65.0,65.0,64.55,64.56,75000
2019-08-30,64.3,64.3,64.3,64.3,115000
2019-09-04,64.5,64.99,64.5,64.99,10000
