Datetime,Open,High,Low,Close,Volume
2019-05-28,63.44,65.81,62.5,63.23,3646
2019-05-29,64.38,65.34,63.08,63.13,2500
2019-05-30,63.11,64.38,58.94,61.55,1364
2019-06-03,60.13,62.79,60.13,60.15,426
2019-06-10,60.92,63.35,60.13,60.7,2036
2019-06-11,59.66,63.25,59.66,61.23,4933
2019-06-12,60.6,60.6,60.14,60.14,1316
2019-06-13,59.18,59.75,59.18,59.65,1382
2019-06-14,59.21,61.07,59.21,59.37,2954
2019-06-17,59.42,63.92,59.42,63.53,852
2019-06-18,63.06,63.44,60.22,63.19,767
2019-06-19,59.65,61.07,59.4,59.4,1165
2019-06-20,63.92,63.92,60.13,61.54,1127
2019-06-21,59.65,63.92,59.65,63.66,3901
2019-06-24,60.13,60.23,59.97,60.07,1922
2019-06-25,60.03,62.4,60.03,60.15,199
2019-07-01,58.71,61.64,58.26,58.99,5217
2019-07-02,62.02,62.19,62.02,62.19,66
2019-07-03,60.7,62.59,60.7,62.52,2074
2019-07-05,60.13,60.13,60.13,60.13,9
2019-07-08,60.6,60.6,60.13,60.52,568
2019-07-09,59.65,59.65,59.65,59.65,530
2019-07-10,62.5,62.5,58.93,58.93,2102
2019-07-15,63.77,63.77,63.77,63.77,95
2019-07-16,63.44,63.44,63.44,63.44,28
2019-07-17,62.45,62.45,58.71,62.21,795
2019-07-18,58.04,59.65,58.04,59.65,189
2019-07-19,53.12,57.67,53.12,56.81,1780
2019-07-22,55.96,55.96,55.87,55.9,189
2019-07-23,64.39,64.39,57.95,57.95,161
2019-07-24,55.9,60.03,55.9,58.2,890
2019-07-25,61.17,61.17,55.2,55.65,1496
2019-07-26,56.08,59.56,56.08,58.19,38
2019-07-29,53.22,57.75,53.22,55.54,1070
2019-07-30,51.33,58.23,51.33,57.57,634
2019-07-31,55.2,55.25,55.14,55.18,1108
2019-08-01,55.39,55.39,54.07,54.17,549
2019-08-02,50.66,53.96,50.66,53.96,1970
2019-08-05,59.65,59.65,49.33,52.78,1903
2019-08-06,57.29,57.29,55.72,55.72,208
2019-08-07,56.91,56.91,56.91,56.91,473
2019-08-08,55.39,56.25,55.39,55.82,152
2019-08-09,56.72,56.81,54.19,56.81,33539
2019-08-13,57.76,57.76,56.62,56.7,1988
2019-08-14,56.71,56.71,56.71,56.71,1042
2019-08-19,53.88,56.34,53.88,53.88,15425
2019-08-20,52.36,54.07,52.3,53.88,4308
2019-08-21,52.46,54.83,51.19,51.7,6164
2019-08-22,54.26,54.26,49.12,49.22,9403
2019-08-23,49.24,49.24,46.76,48.76,5369
2019-08-26,49.36,50.66,49.24,50.66,227
2019-08-28,48.39,48.39,48.23,48.27,388
2019-08-29,47.34,47.34,47.25,47.33,634
2019-09-03,47.34,47.34,47.34,47.34,142
2019-09-05,47.44,47.44,47.34,47.34,85
2019-09-06,46.87,49.24,46.87,49.24,284
2019-09-11,47.34,49.24,47.34,49.24,1004
2019-09-12,49.24,49.24,49.24,49.24,142
2019-09-13,49.24,49.24,49.24,49.24,199
2019-09-16,47.53,49.24,47.34,49.21,852
2019-09-17,47.34,49.24,46.88,47.31,994
2019-09-18,46.97,47.31,46.97,47.23,218
2019-09-19,48.29,48.29,45.55,45.55,568
2019-09-20,47.34,47.34,47.34,47.34,511
2019-09-23,46.87,47.06,46.4,46.56,4801
2019-09-24,46.59,46.59,46.51,46.51,142
2019-09-26,45.64,48.84,45.64,48.84,47
2019-09-27,51.23,51.23,46.49,47.78,3418
2019-09-30,49.71,49.71,45.83,46.63,161
