Datetime,Open,High,Low,Close,Volume
2019-05-28,285.0,287.21,285.0,286.83,1230
2019-05-29,286.0,286.0,283.58,284.97,776
2019-05-30,284.0,285.66,284.0,284.5,355
2019-06-03,286.72,290.38,286.7,289.24,1507
2019-06-10,280.0,284.48,278.4,283.62,724
2019-06-11,283.23,285.28,282.54,285.28,1230
2019-06-12,284.0,284.0,281.61,282.37,1478
2019-06-13,281.32,283.12,279.76,282.25,7449
2019-06-14,281.13,281.75,278.5,279.49,1026
2019-06-17,279.0,279.0,275.0,275.73,4257
2019-06-18,275.0,276.39,274.75,275.48,1291
2019-06-19,276.23,277.0,272.5,273.98,1212
2019-06-20,273.0,278.6,272.06,278.56,8515
2019-06-21,278.41,278.41,274.7,276.98,1190
2019-06-24,278.98,278.98,276.88,277.4,1035
2019-06-25,276.0,278.92,275.78,278.09,1385
2019-06-26,279.0,282.0,279.0,281.17,2654
2019-06-27,280.43,283.82,280.43,283.25,4935
2019-06-28,283.73,283.83,281.14,281.93,1108
2019-07-01,283.0,284.2,282.39,282.77,2559
2019-07-02,282.77,285.1,282.25,284.85,465
2019-07-03,284.0,285.1,283.15,284.55,347
2019-07-04,286.0,287.5,285.0,285.28,576
2019-07-05,286.0,286.89,281.18,282.98,6286
2019-07-08,282.15,283.0,276.0,276.78,1685
2019-07-09,276.0,278.0,274.7,277.51,1013
2019-07-10,277.51,278.45,276.0,276.35,820
2019-07-11,275.5,278.5,275.5,278.16,1451
2019-07-12,277.64,280.35,277.64,278.45,4467
2019-07-15,280.0,280.0,277.48,278.52,631
2019-07-16,277.0,283.14,275.0,282.6,623
2019-07-17,281.5,284.4,279.2,282.24,428
2019-07-18,281.0,282.3,278.7,280.36,478
2019-07-19,280.36,280.36,274.5,275.39,932
2019-07-22,274.0,276.01,273.1,275.11,936
2019-07-23,275.49,275.5,274.2,274.36,401
2019-07-24,274.0,274.0,270.0,270.54,3928
2019-07-25,271.04,274.35,271.04,272.06,3006
2019-07-26,272.46,275.88,272.1,275.35,17021
2019-07-29,274.0,274.0,269.42,270.94,3016
2019-07-30,272.64,272.64,267.2,267.68,2405
2019-07-31,267.2,270.16,264.19,269.84,3302
2019-08-01,269.0,269.32,264.54,266.04,6273
2019-08-02,265.12,268.26,262.5,266.84,4141
2019-08-05,263.3,266.42,262.0,265.17,3499
2019-08-06,266.82,268.0,265.07,267.31,1568
2019-08-07,269.0,269.81,265.09,266.61,638
2019-08-08,266.61,270.42,266.4,268.92,285
2019-08-09,270.0,273.85,270.0,271.88,1602
2019-08-13,271.0,271.04,265.49,265.77,3216
2019-08-14,269.0,271.0,264.65,268.54,876
2019-08-16,267.0,269.72,265.55,269.57,742
2019-08-19,269.0,272.09,266.7,268.99,932
2019-08-20,268.1,268.1,266.59,266.8,790
2019-08-21,266.0,267.19,263.3,264.25,954
2019-08-22,264.0,264.0,260.75,260.86,3673
2019-08-23,260.0,263.3,257.54,263.2,2748
2019-08-26,264.0,268.23,261.53,267.66,4918
2019-08-27,268.5,271.9,268.5,271.54,324
2019-08-28,271.54,271.54,267.62,269.14,282
2019-08-29,269.7,270.58,267.86,269.53,4253
2019-08-30,271.1,274.4,269.62,273.32,498
2019-09-03,272.0,272.68,266.55,269.29,6067
2019-09-04,268.0,268.0,265.0,267.56,5942
2019-09-05,269.0,270.5,268.02,269.54,482
