Datetime,Open,High,Low,Close,Volume
2019-05-30,9.45,9.45,9.45,9.45,62
2019-06-03,9.05,9.1,8.98,8.98,5366
2019-06-10,7.8,7.9,7.8,7.9,431
2019-06-11,7.9,7.9,7.9,7.9,50
2019-06-12,7.55,7.6,7.55,7.55,1478
2019-06-17,7.6,7.6,7.6,7.6,200
2019-06-25,7.98,7.98,7.98,7.98,2000
2019-06-26,7.98,7.98,7.98,7.98,99
2019-07-02,7.98,7.98,7.98,7.98,1
2019-07-04,7.98,7.98,7.98,7.98,2
2019-07-05,7.98,7.98,7.98,7.98,2
2019-07-23,7.94,7.94,7.94,7.94,4
2019-07-24,7.55,7.55,7.55,7.55,2
2019-07-25,7.55,7.55,7.55,7.55,938
2019-07-29,7.92,7.92,7.92,7.92,1100
2019-07-30,8.0,8.0,8.0,8.0,1500
2019-08-01,7.65,7.65,7.65,7.65,2500
2019-08-06,8.03,8.03,8.03,8.03,14
2019-08-07,8.43,8.43,8.43,8.43,10
2019-08-08,8.85,8.85,8.85,8.85,200
2019-08-09,9.29,9.29,9.29,9.29,100
2019-08-14,9.29,9.29,9.29,9.29,1
2019-08-20,9.75,9.75,9.75,9.75,10
2019-08-23,9.75,9.75,9.75,9.75,4
2019-08-27,9.75,9.75,9.75,9.75,2
2019-09-06,10.0,10.2,9.5,10.19,2012
2019-09-12,10.0,10.5,10.0,10.0,1600
2019-09-13,9.5,9.5,9.5,9.5,751
2019-09-16,9.5,9.5,9.05,9.05,502
2019-09-20,8.6,9.5,8.6,9.5,100
2019-09-23,9.5,9.5,9.5,9.5,50
2019-10-22,9.1,9.1,9.1,9.1,110
2019-10-23,9.1,9.1,9.1,9.1,50
2019-10-30,9.1,9.1,9.1,9.1,40
2019-11-14,9.1,9.1,9.1,9.1,1
2019-12-09,9.1,9.1,9.1,9.1,100
2019-12-10,9.55,9.55,9.55,9.55,20
2019-12-13,9.6,9.6,9.5,9.5,2091
2019-12-24,9.03,9.03,9.03,9.03,100
2019-12-31,8.6,9.4,8.6,9.13,1600
2020-01-02,8.95,9.5,8.85,9.5,5800
2020-01-03,9.5,9.5,9.05,9.05,739
2020-01-06,9.5,9.5,8.6,8.6,4100
2020-01-07,9.0,9.0,8.45,8.45,1653
2020-01-08,8.45,8.45,8.45,8.45,10
2020-01-09,8.45,8.45,8.45,8.45,100
2020-01-10,8.87,8.87,8.87,8.87,100
2020-01-14,8.45,8.45,8.45,8.45,1
2020-01-16,8.45,8.45,8.45,8.45,605
2020-01-17,8.25,8.25,8.25,8.25,703
2020-01-21,8.25,8.66,8.2,8.2,2545
2020-01-23,8.02,8.02,8.02,8.02,310
2020-01-24,8.42,8.42,8.42,8.42,5
2020-01-27,8.84,8.84,8.03,8.03,105
2020-01-28,8.1,8.1,7.8,7.8,1882
2020-01-31,8.17,8.17,7.9,7.9,314
2020-02-03,7.9,8.29,7.9,8.29,2800
2020-02-06,8.7,8.7,8.7,8.7,1
2020-02-07,8.7,8.7,8.7,8.7,1
2020-02-10,8.7,9.13,8.27,9.13,7403
2020-02-11,9.5,9.5,9.5,9.5,2
2020-02-12,9.97,9.97,9.96,9.96,402
2020-02-13,10.45,10.45,10.13,10.45,1753
2020-02-17,10.97,10.97,10.97,10.97,53
2020-02-24,10.97,10.97,10.97,10.97,20
2020-02-25,10.8,10.9,10.8,10.9,600
2020-02-26,10.36,10.36,10.36,10.36,6
2020-03-06,10.35,10.35,10.35,10.35,2
2020-03-11,9.84,9.84,9.84,9.84,44
2020-03-13,9.84,9.84,9.84,9.84,10
2020-03-16,10.33,10.33,9.84,9.84,2
2020-03-17,10.33,10.33,10.33,10.33,3
2020-04-09,10.33,10.33,10.33,10.33,6
2020-04-13,10.0,10.0,10.0,10.0,85
2020-04-17,10.0,10.0,9.5,9.5,21
2020-04-24,9.3,9.3,9.3,9.3,2
2020-04-29,9.1,9.1,9.1,9.1,9
2020-05-27,9.1,9.1,9.1,9.1,1
2020-06-10,9.0,9.1,9.0,9.1,100
2020-06-11,9.0,9.0,9.0,9.0,500
2020-06-15,9.0,9.0,8.55,8.55,530
2020-06-17,8.55,8.55,8.5,8.5,2370
2020-06-25,8.75,8.75,8.5,8.67,1170
2020-06-30,9.0,9.0,9.0,9.0,4
2020-07-01,9.0,9.0,8.55,8.55,302
2020-07-02,8.5,8.5,8.5,8.5,35
2020-07-03,8.08,8.08,8.08,8.08,153
2020-07-06,7.7,8.08,7.7,7.7,6501
2020-07-07,7.32,7.32,7.32,7.32,550
2020-07-08,6.96,7.68,6.96,7.68,2858
2020-07-09,7.5,7.5,7.5,7.5,132
2020-07-15,7.5,7.5,7.5,7.5,4
2020-07-23,7.5,7.5,7.13,7.5,249
2020-07-24,7.5,7.5,7.5,7.5,20
2020-07-27,7.5,7.5,7.5,7.5,10
2020-07-29,7.5,7.5,7.5,7.5,445
2020-08-03,7.13,7.13,7.13,7.13,10
2020-08-04,7.13,7.13,7.13,7.13,524
2020-08-06,6.8,7.45,6.8,7.45,831
2020-08-07,7.5,7.5,7.1,7.11,1848
2020-08-10,6.88,6.88,6.88,6.88,258
2020-08-12,6.54,6.54,6.54,6.54,202
2020-08-13,6.85,6.85,6.85,6.85,500
2020-08-17,6.86,6.86,6.86,6.86,99
2020-08-18,6.86,7.15,6.52,7.15,603
2020-08-19,7.15,7.15,7.15,7.15,6
2020-08-20,7.5,7.5,6.8,7.5,534
2020-08-21,7.87,7.87,7.87,7.87,287
2020-08-24,7.87,7.87,7.48,7.48,711
2020-08-25,7.11,7.12,7.11,7.11,543
2020-08-26,6.76,6.77,6.76,6.77,957
2020-08-27,6.77,6.77,6.5,6.6,1164
2020-09-01,6.93,6.93,6.93,6.93,120
2020-09-04,7.27,7.27,7.26,7.26,1067
2020-09-07,7.62,7.62,7.62,7.62,495
2020-09-11,7.5,7.5,7.25,7.25,12
2020-09-14,6.9,6.9,6.9,6.9,100
2020-09-16,6.85,6.85,6.85,6.85,1
2020-09-18,6.85,6.85,6.85,6.85,1
2020-09-21,6.52,7.19,6.52,7.19,81
2020-09-22,6.84,6.84,6.84,6.84,101
2020-09-23,6.55,6.55,6.5,6.5,100
2020-09-24,6.5,6.5,6.5,6.5,100
2020-09-25,6.5,6.5,6.5,6.5,18
2020-09-29,6.2,6.2,6.18,6.2,300
2020-09-30,6.0,6.0,5.89,5.89,1102
2020-10-01,6.0,6.0,6.0,6.0,2000
2020-10-05,6.15,6.2,6.0,6.2,2501
2020-10-06,6.35,6.35,6.35,6.35,50
2020-10-07,6.05,6.05,6.04,6.04,610
2020-10-08,5.74,5.74,5.74,5.74,4157
2020-10-09,6.0,6.0,5.46,5.46,944
2020-10-12,5.73,5.73,5.73,5.73,730
2020-10-13,5.5,5.55,5.5,5.5,1200
2020-10-14,5.25,5.5,5.25,5.5,175
2020-10-15,5.77,5.77,5.77,5.77,79
2020-10-16,5.8,5.8,5.49,5.61,201
