Datetime,Open,High,Low,Close,Volume
2019-06-03,70.0,70.0,70.0,70.0,1
2019-06-10,62.0,62.0,62.0,62.0,10
2019-06-12,59.0,59.0,59.0,59.0,21
2019-06-13,59.0,59.0,59.0,59.0,0
2019-06-14,60.0,61.0,60.0,61.0,72
2019-06-18,64.0,64.0,64.0,64.0,31
2019-06-21,67.0,67.0,67.0,67.0,5
2019-06-25,64.0,64.0,64.0,64.0,10
2019-06-26,61.0,61.0,61.0,61.0,10
2019-06-27,58.0,58.0,58.0,58.0,33
2019-06-28,57.0,57.0,57.0,57.0,47
2019-07-03,55.0,55.0,55.0,55.0,25
2019-07-04,53.0,53.0,53.0,53.0,10
2019-07-05,55.0,55.0,55.0,55.0,10
2019-07-11,55.0,55.0,55.0,55.0,0
2019-07-12,53.0,57.0,53.0,57.0,11
2019-07-15,55.0,55.0,55.0,55.0,30
2019-07-16,53.0,53.0,53.0,53.0,2
2019-07-17,53.0,53.0,53.0,53.0,19
2019-07-24,51.0,51.0,51.0,51.0,3
2019-07-25,49.0,49.0,49.0,49.0,0
2019-07-26,47.0,47.0,47.0,47.0,22
2019-07-29,49.0,49.0,46.0,46.0,15
2019-07-30,48.0,48.0,44.0,44.0,61
2019-08-01,42.0,42.0,42.0,42.0,0
2019-08-02,40.0,40.0,40.0,40.0,5
2019-08-05,38.0,42.0,38.0,42.0,51
2019-08-06,44.0,44.0,44.0,44.0,170
2019-08-09,46.0,46.0,46.0,46.0,7
2019-08-13,44.0,44.0,44.0,44.0,10
2019-08-16,42.0,42.0,42.0,42.0,80
2019-08-19,40.0,44.0,40.0,44.0,3
2019-08-20,42.0,42.0,42.0,42.0,105
2019-08-21,40.0,40.0,40.0,40.0,52
2019-08-23,40.0,40.0,40.0,40.0,10
2019-08-26,41.0,41.0,41.0,41.0,0
2019-08-27,43.0,43.0,43.0,43.0,15
2019-08-29,41.0,41.0,41.0,41.0,0
2019-09-03,43.0,43.0,43.0,43.0,20
2019-09-04,45.0,45.0,45.0,45.0,10
2019-09-11,45.0,45.0,45.0,45.0,100
2019-09-16,43.0,43.0,43.0,43.0,10
2019-09-18,45.0,45.0,45.0,45.0,5
2019-09-26,46.0,46.0,43.0,43.0,52
2019-09-30,45.0,45.0,45.0,45.0,0
2019-10-07,47.0,47.0,43.0,43.0,30
2019-10-09,41.0,41.0,41.0,41.0,50
2019-10-11,39.0,39.0,39.0,39.0,0
2019-10-14,38.0,39.0,38.0,39.0,20
2019-10-15,40.0,40.0,38.0,40.0,14
2019-10-18,40.0,42.0,40.0,42.0,1
2019-10-22,44.0,44.0,44.0,44.0,3
2019-10-23,42.0,42.0,42.0,42.0,3
2019-10-24,44.0,44.0,44.0,44.0,50
2019-11-05,46.0,46.0,46.0,46.0,13
2019-11-06,44.0,44.0,44.0,44.0,4
2019-11-13,43.0,43.0,43.0,43.0,42
2019-11-14,41.0,44.0,41.0,44.0,35
2019-11-15,46.0,46.0,44.0,46.0,8
2019-11-18,46.0,46.0,44.0,44.0,12
2019-11-19,46.0,46.0,46.0,46.0,11
2019-11-20,44.0,48.0,44.0,45.0,14
2019-11-21,47.0,47.0,47.0,47.0,2
2019-11-22,45.0,47.0,45.0,45.0,177
2019-11-26,47.0,47.0,43.0,47.0,51
2019-11-27,45.0,49.0,45.0,49.0,73
2019-11-28,51.0,51.0,48.0,51.0,90
2019-11-29,51.0,53.0,49.0,49.0,179
