Datetime,Open,High,Low,Close,Volume
2022-07-12,172.5,178.0,172.0,174.0,175200
2022-07-13,178.0,179.0,172.5,173.0,26400
2022-07-14,172.5,172.5,172.0,172.5,21600
2022-07-15,172.5,172.5,171.5,172.4,29600
2022-07-18,172.0,172.1,171.5,172.0,6400
2022-07-19,172.5,172.6,172.5,172.5,18400
2022-07-20,172.5,175.8,172.5,175.5,4800
2022-07-21,172.0,172.0,172.0,172.0,800
2022-07-22,175.0,177.9,173.5,173.5,3200
2022-07-25,175.0,182.15,174.0,182.15,32800
2022-07-26,190.0,218.55,190.0,218.55,25600
2022-07-27,225.0,237.0,216.0,216.0,12800
2022-07-28,217.0,225.9,215.0,215.0,3200
2022-07-29,206.05,210.0,206.0,207.0,4800
2022-08-01,204.0,205.25,202.0,202.0,16800
2022-08-02,201.0,204.0,200.1,203.1,24800
2022-08-03,205.0,209.0,205.0,209.0,1600
2022-08-04,215.0,218.2,210.0,218.2,4800
2022-08-05,220.0,226.8,220.0,226.8,4000
2022-08-08,235.0,242.0,233.0,235.45,5600
2022-08-10,239.0,251.0,239.0,250.5,8000
2022-08-11,250.0,252.0,249.0,249.0,2400
2022-08-12,249.0,253.0,249.0,253.0,1600
2022-08-16,248.0,248.0,245.0,245.0,1600
2022-08-18,245.0,245.0,230.0,230.0,3200
2022-08-19,226.0,226.0,221.0,221.0,2400
2022-08-22,221.0,221.0,215.05,218.55,4000
2022-08-23,220.0,232.0,220.0,232.0,3200
2022-08-25,244.0,248.0,243.05,243.05,3200
2022-08-29,243.05,243.05,217.0,221.7,6400
2022-08-30,235.0,245.0,229.0,244.5,6400
2022-09-01,250.0,283.9,250.0,283.9,5600
2022-09-02,275.0,275.0,275.0,275.0,800
2022-09-05,284.0,285.0,282.0,285.0,2400
2022-09-06,273.0,273.0,271.0,271.0,1600
2022-09-08,260.0,263.0,260.0,263.0,1600
2022-09-09,260.0,260.0,260.0,260.0,1600
2022-09-13,250.0,250.0,240.0,240.0,2400
2022-09-14,240.0,240.0,240.0,240.0,800
2022-09-15,238.0,238.0,228.5,230.0,2400
2022-09-16,232.0,240.0,231.05,240.0,3200
2022-09-19,235.0,240.0,235.0,240.0,1600
2022-09-20,235.0,235.0,214.0,226.0,4800
2022-09-21,221.0,221.0,220.5,220.5,1600
2022-09-22,225.0,236.0,225.0,225.0,3200
2022-09-27,210.0,210.0,210.0,210.0,800
2022-09-28,210.0,210.0,200.0,200.0,4000
2022-09-29,200.0,212.0,200.0,211.1,7200
2022-09-30,211.0,212.0,211.0,212.0,1600
2022-10-03,214.0,230.0,206.5,230.0,6400
2022-10-04,227.0,227.0,227.0,227.0,800
2022-10-06,225.0,226.0,225.0,226.0,1600
2022-10-11,224.0,224.0,224.0,224.0,800
2022-10-14,212.0,212.0,208.0,208.0,1600
2022-10-17,208.0,210.0,208.0,210.0,1600
2022-10-19,212.0,212.0,212.0,212.0,800
2022-10-20,221.0,228.0,210.0,222.5,9600
2022-10-21,233.0,235.0,230.0,232.0,3200
2022-10-24,235.0,235.0,235.0,235.0,800
2022-10-25,233.0,247.95,233.0,246.5,4800
2022-10-27,250.8,252.0,243.0,252.0,4000
2022-10-31,240.0,240.0,240.0,240.0,800
2022-11-01,232.0,232.0,232.0,232.0,800
2022-11-03,227.25,227.25,227.25,227.25,800
2022-11-07,228.0,228.0,228.0,228.0,800
2022-11-10,232.0,232.0,232.0,232.0,800
2022-11-11,229.0,229.0,218.0,218.0,4000
2022-11-14,214.0,257.95,213.0,227.95,10400
2022-11-15,236.0,245.0,236.0,245.0,1600
2022-11-17,245.0,245.0,245.0,245.0,800
2022-11-24,229.0,240.0,229.0,240.0,2400
2022-11-25,235.0,235.0,235.0,235.0,800
2022-11-28,230.0,230.0,229.0,229.0,1600
2022-11-29,225.0,225.0,225.0,225.0,800
2022-11-30,225.0,225.0,213.0,213.0,3200
2022-12-01,215.0,215.0,209.0,209.0,10400
2022-12-02,208.0,208.0,208.0,208.0,8000
2022-12-05,208.0,211.0,208.0,211.0,11200
2022-12-06,211.0,211.0,211.0,211.0,800
2022-12-07,202.05,202.05,199.0,199.0,2400
2022-12-08,199.0,220.0,199.0,219.9,2400
2022-12-09,209.0,209.0,205.0,205.0,1600
2022-12-12,207.75,207.75,207.75,207.75,800
2022-12-13,198.05,198.05,195.0,195.0,3200
2022-12-14,199.0,199.0,199.0,199.0,800
2022-12-16,197.0,197.0,197.0,197.0,800
2022-12-19,192.0,196.0,192.0,196.0,1600
2022-12-20,190.5,191.0,190.5,191.0,1600
2022-12-22,180.0,180.0,180.0,180.0,800
2022-12-23,175.0,175.0,166.5,166.5,2400
2022-12-26,138.0,170.0,138.0,168.25,6400
2022-12-27,169.0,171.9,169.0,171.9,2400
2022-12-28,172.0,172.0,172.0,172.0,800
2023-01-02,172.0,173.0,172.0,172.5,2400
2023-01-03,175.0,175.0,175.0,175.0,800
2023-01-04,175.0,175.0,175.0,175.0,1600
2023-01-09,175.0,176.0,172.0,172.0,3200
2023-01-12,175.0,175.0,175.0,175.0,800
2023-01-16,175.0,175.0,172.0,172.0,4800
2023-01-19,166.0,166.0,166.0,166.0,800
2023-01-20,167.0,167.0,166.0,166.0,2400
2023-01-25,162.0,163.0,162.0,163.0,1600
2023-01-27,161.5,161.5,152.0,152.0,4800
2023-01-30,152.25,152.5,150.0,152.0,4800
2023-02-01,147.25,147.25,146.25,146.25,1600
2023-02-02,150.0,154.5,149.55,149.55,4800
2023-02-03,145.0,145.0,144.0,144.5,2400
2023-02-07,143.0,147.95,141.15,144.55,4000
2023-02-09,141.0,142.0,141.0,142.0,1600
2023-02-14,141.0,141.0,141.0,141.0,800
2023-02-15,135.0,136.0,125.1,133.5,15200
2023-02-16,133.5,160.0,112.1,160.0,20800
2023-02-17,136.55,154.4,136.55,148.85,23200
2023-02-20,131.25,139.3,131.25,138.0,16000
2023-02-21,138.0,138.0,138.0,138.0,800
2023-02-22,133.6,135.0,125.5,125.85,17600
2023-02-23,122.0,122.0,121.0,122.0,3200
2023-02-24,105.1,146.35,105.1,126.0,27200
2023-02-28,126.0,133.95,126.0,132.95,3200
2023-03-01,132.95,133.0,132.95,133.0,1600
2023-03-02,138.0,138.0,132.0,132.0,5600
2023-03-03,126.0,130.0,126.0,126.0,5600
2023-03-06,125.0,125.0,125.0,125.0,800
2023-03-08,125.0,126.0,125.0,126.0,2400
2023-03-10,115.8,121.0,110.2,116.0,26400
2023-03-13,116.1,117.0,102.55,110.75,32000
2023-03-14,110.0,110.0,103.1,110.0,230400
2023-03-15,106.0,115.5,100.4,112.0,117600
2023-03-16,112.0,131.0,112.0,130.5,8000
2023-03-17,119.0,130.0,116.5,120.6,100000
2023-03-20,124.0,144.0,124.0,138.0,4800
2023-03-22,139.0,139.0,134.0,134.0,2400
2023-03-23,133.25,133.25,133.25,133.25,800
2023-03-24,127.5,141.0,116.0,141.0,60000
2023-03-27,142.0,168.5,142.0,159.9,28000
2023-03-28,165.0,165.0,139.0,139.0,7200
2023-03-29,158.0,158.0,143.0,143.0,1600
2023-04-05,145.5,164.0,145.5,163.95,3200
2023-04-19,160.0,160.0,160.0,160.0,16800
2023-04-20,192.0,192.0,174.0,185.0,32000
2023-04-21,185.0,185.0,185.0,185.0,2400
2023-04-24,160.1,170.0,160.1,170.0,1600
2023-04-26,170.0,170.0,170.0,170.0,8000
2023-04-27,169.95,170.0,169.95,170.0,12800
2023-05-03,189.0,190.0,189.0,189.5,10400
2023-05-04,188.4,205.0,186.0,205.0,22400
2023-05-05,209.0,230.0,209.0,229.95,9600
2023-05-08,216.0,237.0,216.0,237.0,3200
2023-05-09,215.3,219.0,213.3,219.0,4800
2023-05-10,218.9,218.9,218.9,218.9,800
2023-05-12,217.0,217.0,217.0,217.0,800
2023-05-17,215.0,215.0,215.0,215.0,1600
2023-05-23,215.0,215.0,215.0,215.0,800
2023-05-26,174.85,174.85,174.85,174.85,800
2023-05-30,203.0,203.0,203.0,203.0,1600
2023-06-13,203.0,203.0,203.0,203.0,800
2023-06-28,181.0,181.0,181.0,181.0,800
2023-06-30,195.0,198.0,171.1,171.1,2400
2023-07-03,174.0,174.0,174.0,174.0,800
2023-07-04,188.9,188.9,188.9,188.9,800
2023-07-12,210.0,215.0,210.0,215.0,3200
2023-07-28,215.0,215.0,215.0,215.0,4000
2023-08-07,214.95,214.95,214.95,214.95,1600
2023-08-08,187.25,187.25,187.25,187.25,800
2023-08-28,175.0,175.0,175.0,175.0,1600
2023-08-29,185.0,185.0,185.0,185.0,800
2023-08-30,212.3,215.0,212.3,215.0,7200
2023-09-04,210.0,215.0,200.0,215.0,3200
2023-09-08,200.0,200.0,200.0,200.0,1600
2023-09-11,223.95,224.0,223.95,224.0,2400
2023-09-12,224.0,224.0,224.0,224.0,1600
2023-09-13,224.0,224.5,224.0,224.5,6400
2023-09-15,235.0,265.0,235.0,255.6,19200
2023-09-25,281.0,281.0,281.0,281.0,4800
2023-09-26,301.7,309.1,300.0,309.1,16000
2023-09-27,338.0,339.95,338.0,339.95,2400
2023-09-28,356.0,356.0,354.9,355.0,6400
2023-09-29,369.85,372.0,367.0,372.0,8800
2023-10-03,389.9,389.95,389.9,389.95,1600
2023-10-04,408.8,409.0,408.8,409.0,4000
2023-10-05,395.0,429.45,388.55,429.45,7200
2023-10-06,450.0,450.9,450.0,450.9,2400
2023-10-09,473.3,473.3,473.3,473.3,800
2023-10-10,449.65,496.8,449.65,495.9,19200
2023-10-11,498.0,519.0,498.0,519.0,3200
2023-10-12,519.0,544.0,519.0,544.0,3200
2023-10-13,555.0,555.0,555.0,555.0,2400
2023-10-16,582.75,582.75,527.25,554.0,5600
2023-10-17,553.0,580.0,553.0,580.0,4800
2023-10-18,595.0,600.0,595.0,600.0,1600
2023-10-19,596.0,596.0,596.0,596.0,800
2023-10-20,596.0,620.0,566.2,566.2,3200
2023-10-23,537.9,537.9,537.9,537.9,800
2023-10-25,511.05,515.5,511.05,511.05,5600
2023-10-26,485.5,485.5,485.5,485.5,1600
2023-10-27,485.5,509.75,485.5,509.75,1600
2023-10-30,535.2,535.2,535.2,535.2,2400
2023-11-01,561.95,561.95,560.75,561.95,4000
