Datetime,Open,High,Low,Close,Volume
2019-05-28,72.7,73.5,71.65,72.25,10381
2019-05-29,72.25,72.7,70.4,70.7,10443
2019-05-30,70.7,72.85,69.45,71.15,8062
2019-06-03,69.35,73.2,68.1,72.55,22149
2019-06-10,70.45,70.45,66.9,67.7,12259
2019-06-11,68.05,68.3,66.95,67.55,8063
2019-06-12,68.0,69.45,67.2,69.05,15717
2019-06-13,69.05,69.05,65.5,65.75,29697
2019-06-14,65.6,65.6,63.5,63.95,17879
2019-06-17,64.0,64.85,61.7,61.85,11047
2019-06-18,61.0,63.0,60.7,62.1,22161
2019-06-19,61.9,62.6,57.85,58.4,42000
2019-06-20,58.75,60.6,58.15,60.05,16378
2019-06-21,59.85,61.25,59.35,60.25,13688
2019-06-24,60.0,60.4,58.8,59.3,13962
2019-06-25,59.55,61.35,58.85,60.05,25798
2019-06-26,62.7,69.2,61.5,67.9,163989
2019-06-27,67.4,68.55,65.2,65.65,30226
2019-06-28,65.9,65.9,63.25,63.65,17539
2019-07-01,63.0,64.5,62.15,63.5,9834
2019-07-02,63.5,63.85,61.6,62.7,13388
2019-07-03,62.6,73.0,62.6,70.5,120108
2019-07-04,72.95,72.95,68.25,68.95,77699
2019-07-05,68.95,70.65,65.05,65.6,51008
2019-07-08,65.0,65.1,63.8,64.0,13312
2019-07-09,64.75,68.4,64.0,66.2,27485
2019-07-10,66.0,67.55,63.45,63.9,23687
2019-07-11,65.2,65.25,63.9,64.75,13330
2019-07-12,65.2,67.8,64.4,66.85,17735
2019-07-15,67.5,69.2,66.85,67.35,22095
2019-07-16,67.7,68.9,64.4,65.1,71345
2019-07-17,65.7,66.35,62.0,63.0,18435
2019-07-18,63.85,64.0,62.5,62.8,17969
2019-07-19,64.0,64.0,60.1,60.95,21254
2019-07-22,60.0,61.5,59.2,60.1,12916
2019-07-23,60.85,62.35,59.1,59.4,48422
2019-07-24,60.55,60.55,58.7,59.55,24406
2019-07-25,59.65,60.4,58.1,58.3,15930
2019-07-26,58.0,60.7,58.0,60.25,18970
2019-07-29,60.95,61.0,58.85,59.2,18844
2019-07-30,58.5,60.05,57.55,58.4,9655
2019-07-31,57.4,60.85,56.2,60.4,18704
2019-08-01,59.3,60.4,57.4,58.2,24093
2019-08-02,57.5,60.35,57.3,59.95,19206
2019-08-05,58.2,63.85,58.0,62.6,49793
2019-08-06,62.0,66.4,62.0,65.25,33883
2019-08-07,66.5,67.4,58.0,59.65,52476
2019-08-08,59.0,63.4,59.0,62.0,31402
2019-08-09,62.9,63.3,60.55,61.65,17861
2019-08-13,63.0,63.25,59.55,60.25,9127
2019-08-14,60.75,61.0,59.0,59.35,18984
2019-08-16,59.45,59.6,58.85,59.35,12040
2019-08-19,59.75,61.3,59.1,59.7,17152
2019-08-20,59.8,60.25,57.25,58.0,14669
2019-08-21,58.15,58.2,57.0,57.1,26668
2019-08-22,57.1,57.1,51.65,52.4,26795
2019-08-23,51.0,53.8,48.05,51.35,42218
2019-08-26,52.95,53.6,51.2,53.1,22836
2019-08-27,53.45,57.0,52.0,56.35,27008
2019-08-28,57.0,57.0,53.6,54.45,8093
2019-08-29,53.75,54.2,52.1,52.35,7000
2019-08-30,52.55,53.3,52.25,52.85,11699
2019-09-03,52.35,53.45,52.25,52.8,9672
2019-09-04,53.2,53.4,52.0,52.45,8751
2019-09-05,53.0,53.05,49.8,49.85,24987
2019-09-06,50.35,51.7,50.35,50.85,18576
2019-09-11,53.85,56.4,53.5,55.95,30358
2019-09-12,59.55,63.95,59.1,59.85,120243
2019-09-13,60.4,60.55,57.5,59.35,487310
2019-09-16,59.05,60.1,58.3,58.65,14713
2019-09-17,58.35,59.35,55.1,55.5,18991
2019-09-18,56.5,56.95,53.65,55.15,17286
2019-09-19,55.15,55.25,53.3,53.6,11514
2019-09-20,57.0,57.45,52.65,55.85,45191
2019-09-23,60.8,60.8,56.4,57.35,30158
2019-09-24,58.0,58.9,57.1,57.55,15136
2019-09-25,57.1,57.3,54.4,54.6,20637
2019-09-26,54.85,56.0,54.2,54.9,15109
2019-09-27,56.3,57.35,54.5,55.35,39309
2019-09-30,55.5,55.6,53.75,54.35,10617
2019-10-01,54.3,54.85,51.1,52.45,10965
2019-10-03,51.6,52.95,51.2,51.65,8589
2019-10-04,52.75,53.1,50.1,50.35,27780
2019-10-07,51.0,51.0,49.1,49.2,13462
2019-10-09,50.9,50.9,49.15,49.6,8116
2019-10-10,49.4,50.2,48.5,48.75,8794
2019-10-11,49.0,49.7,47.2,47.9,25346
2019-10-14,47.8,49.1,47.0,47.6,36222
2019-10-15,48.2,48.8,45.95,47.45,30621
2019-10-16,47.5,52.65,47.5,50.25,47361
2019-10-17,53.0,57.75,52.55,56.05,305785
2019-10-18,56.8,56.8,53.85,54.8,49191
2019-10-22,54.95,55.0,52.7,52.9,28272
2019-10-23,53.15,53.2,51.4,51.65,17402
2019-10-24,52.2,52.2,50.5,50.75,20986
2019-10-25,50.25,52.2,50.25,51.3,14522
2019-10-29,51.85,55.4,51.85,53.05,32132
2019-10-30,53.4,54.9,52.15,53.95,32538
2019-10-31,56.55,58.3,55.65,57.5,84716
2019-11-01,58.4,58.95,57.0,57.6,28692
2019-11-04,59.0,59.0,53.55,57.25,51339
2019-11-05,57.5,63.95,57.5,62.0,310547
2019-11-06,62.4,63.35,61.0,61.25,94317
2019-11-07,61.95,61.95,57.5,58.45,67162
2019-11-08,57.5,62.35,55.8,61.75,135233
2019-11-13,63.0,64.8,60.95,61.15,68785
2019-11-14,62.6,62.6,59.25,59.65,22058
2019-11-15,62.2,63.45,59.5,60.9,92905
2019-11-18,62.4,62.4,59.65,59.85,21235
2019-11-19,59.05,61.55,59.05,60.7,26162
2019-11-20,60.85,60.85,59.15,59.3,14406
2019-11-21,59.7,61.2,58.9,60.6,20960
2019-11-22,60.15,60.2,58.75,59.2,25213
2019-11-25,59.35,61.5,59.05,60.95,33186
2019-11-26,63.95,67.7,62.45,62.75,325572
2019-11-27,63.2,63.25,61.1,61.75,26413
2019-11-28,62.25,62.3,60.5,60.7,21966
2019-11-29,60.5,61.5,59.5,59.95,60373
2019-12-02,60.5,60.5,57.8,58.3,28526
2019-12-03,58.1,58.55,56.55,56.8,19063
2019-12-04,56.2,57.6,55.8,56.65,30949
2019-12-05,57.25,61.55,57.0,60.65,132433
2019-12-06,63.3,64.4,59.45,60.65,207058
2019-12-09,59.5,60.9,58.6,58.8,29500
2019-12-10,58.0,58.55,56.2,56.45,32867
2019-12-11,56.55,57.85,55.6,56.05,29544
2019-12-12,56.55,56.85,56.05,56.55,22826
2019-12-13,57.0,57.85,56.6,57.4,37213
2019-12-16,57.55,59.45,57.55,59.1,28788
2019-12-17,59.45,59.9,58.6,59.25,17769
2019-12-18,58.85,59.25,58.05,58.55,19975
2019-12-19,59.65,59.65,57.8,58.1,15842
2019-12-20,58.45,59.9,57.75,59.0,50656
2019-12-23,59.45,59.65,55.45,57.75,70676
2019-12-24,53.5,54.6,50.85,53.55,86571
2019-12-26,53.0,54.85,52.0,52.5,22422
2019-12-27,52.6,52.8,51.05,51.75,15036
2019-12-30,52.25,52.9,50.7,52.1,23018
2019-12-31,51.3,52.2,50.0,51.55,19513
2020-01-01,52.5,53.0,51.55,51.75,5217
2020-01-02,51.15,54.3,51.15,54.3,36675
2020-01-03,54.3,54.85,52.3,53.3,16418
2020-01-06,52.1,53.7,50.65,51.2,26482
2020-01-07,52.65,53.7,51.65,52.6,16228
2020-01-08,53.0,55.9,53.0,54.6,69957
2020-01-09,55.9,55.95,54.45,54.8,37093
2020-01-10,54.95,57.9,54.8,55.9,67807
2020-01-13,56.25,56.75,55.15,55.9,25778
2020-01-14,55.95,58.0,55.45,57.75,72724
2020-01-15,57.85,57.85,56.2,57.2,28310
2020-01-16,57.2,58.55,56.65,57.8,40540
2020-01-17,57.7,58.9,56.4,56.7,36434
2020-01-20,56.7,56.8,54.5,54.7,17754
2020-01-21,54.4,55.25,54.4,54.8,8930
2020-01-22,55.0,57.75,54.25,57.05,56062
2020-01-23,56.9,57.4,56.05,56.2,24020
2020-01-24,56.3,57.1,55.65,56.0,9225
2020-01-27,55.65,57.1,55.3,55.7,20308
2020-01-28,55.85,56.35,54.25,54.7,17373
2020-01-29,55.0,55.45,54.35,54.55,13419
2020-01-30,54.6,54.85,53.5,53.9,10137
2020-01-31,53.95,54.15,53.0,53.25,10486
2020-02-01,53.35,54.2,50.8,51.3,9195
2020-02-03,50.5,51.4,50.0,50.1,11567
2020-02-04,50.8,51.5,50.5,50.7,19647
2020-02-05,51.0,52.1,50.7,50.95,20361
2020-02-06,51.3,51.6,50.7,51.0,17025
2020-02-07,51.2,51.75,50.65,50.9,12769
2020-02-10,51.0,51.6,50.0,50.2,19356
2020-02-11,51.0,51.0,48.5,49.05,25704
2020-02-12,48.1,48.1,43.2,43.7,60106
2020-02-13,44.2,44.5,42.8,43.9,32234
2020-02-14,43.9,47.0,43.9,45.65,20804
2020-02-17,45.1,45.1,42.85,43.05,17731
2020-02-18,43.55,45.3,42.0,43.85,51256
2020-02-19,44.3,44.6,42.85,43.3,17035
2020-02-20,43.95,43.95,42.65,42.95,18454
