Datetime,Open,High,Low,Close,Volume
2019-05-29,13.12,13.12,13.12,13.12,2
2019-06-12,12.83,12.83,12.83,12.83,100
2019-06-13,12.19,12.19,12.19,12.19,200
2019-06-14,11.6,11.6,11.59,11.59,25
2019-06-17,11.02,11.02,11.02,11.02,389
2019-07-04,11.57,11.57,11.57,11.57,100
2019-07-09,12.14,12.14,12.14,12.14,800
2019-07-12,12.74,12.74,12.74,12.74,100
2019-07-15,13.37,13.37,13.37,13.37,801
2019-07-16,12.72,13.5,12.71,12.72,4500
2019-07-18,13.35,13.35,13.35,13.35,100
2019-07-23,12.75,12.75,12.75,12.75,1000
2019-07-24,13.38,13.38,13.38,13.38,100
2019-07-25,12.8,12.8,12.8,12.8,70
2019-07-31,12.16,12.16,12.16,12.16,45
2019-08-01,12.76,12.76,12.76,12.76,200
2019-08-02,13.0,13.0,13.0,13.0,100
2019-08-05,12.4,12.4,12.4,12.4,50
2019-08-26,13.0,13.0,13.0,13.0,150
2019-09-06,12.35,12.35,12.35,12.35,100
2019-09-11,12.5,12.96,12.5,12.96,110
2019-09-19,12.32,12.32,12.32,12.32,1000
2019-09-25,11.71,11.71,11.71,11.71,69
2019-10-01,11.14,11.14,11.13,11.13,1000
2019-10-04,10.66,10.66,10.66,10.66,1
2019-10-07,10.66,10.66,10.66,10.66,144
2019-10-14,10.66,10.66,10.66,10.66,431
2019-10-17,10.21,10.21,10.21,10.21,1
2019-10-18,10.21,10.21,9.71,9.71,600
2019-10-22,9.24,9.24,9.24,9.24,350
2019-11-05,9.7,9.7,9.7,9.7,200
2019-11-14,10.18,10.18,10.18,10.18,400
2019-11-29,10.68,10.68,10.68,10.68,27
2019-12-02,10.3,11.21,10.3,11.21,169
2019-12-03,11.77,11.77,11.65,11.65,101
2019-12-04,12.23,12.23,11.08,11.08,1862
2019-12-05,10.66,10.66,10.66,10.66,1
2019-12-10,10.13,10.13,10.13,10.13,100
2019-12-11,10.25,10.25,10.25,10.25,200
2019-12-13,9.74,9.74,9.74,9.74,350
2019-12-17,9.31,9.31,9.31,9.31,100
2019-12-20,8.85,8.85,8.85,8.85,300
2019-12-23,8.55,8.55,8.55,8.55,20
2019-12-24,8.97,8.97,8.97,8.97,100
2019-12-27,9.41,9.41,9.41,9.41,20
2020-01-01,9.5,9.5,9.5,9.5,100
2020-01-13,9.97,9.97,9.97,9.97,500
2020-01-14,9.62,9.62,9.62,9.62,300
2020-01-15,9.21,9.21,9.21,9.21,100
2020-01-20,9.67,9.67,9.67,9.67,35
2020-01-22,10.15,10.15,10.15,10.15,100
2020-01-24,10.65,10.65,10.65,10.65,235
2020-01-27,11.18,11.18,11.17,11.18,857
2020-01-30,11.18,11.18,11.18,11.18,701
2020-02-05,10.63,10.63,10.63,10.63,100
2020-02-12,10.1,10.1,10.1,10.1,16
2020-02-19,10.6,10.6,10.6,10.6,300
2020-02-24,10.07,10.07,10.07,10.07,500
2020-03-16,9.57,9.57,9.57,9.57,800
2020-04-29,9.1,9.1,9.1,9.1,350
2020-05-14,9.1,9.1,9.1,9.1,20
2020-05-15,8.65,8.65,8.65,8.65,100
2020-05-29,8.26,8.26,8.26,8.26,220
2020-06-10,8.67,8.67,8.67,8.67,20
2020-06-16,9.1,9.1,9.1,9.1,350
2020-06-19,8.76,8.76,8.76,8.76,1
2020-06-22,9.19,9.19,9.19,9.19,100
2020-06-29,9.64,9.64,9.64,9.64,100
2020-06-30,10.12,10.12,10.12,10.12,551
2020-07-03,9.62,9.62,9.62,9.62,410
2020-07-09,9.62,9.62,9.62,9.62,3
2020-07-14,9.14,9.14,9.14,9.14,1000
2020-07-17,8.69,8.69,8.69,8.69,100
2020-07-23,8.31,8.32,8.31,8.32,1411
2020-07-24,7.93,7.93,7.93,7.93,100
2020-07-27,8.32,8.32,8.32,8.32,611
2020-07-28,8.33,8.33,8.32,8.32,1000
2020-07-31,7.91,7.91,7.91,7.91,100
2020-08-04,7.91,7.91,7.91,7.91,127
2020-08-10,7.52,7.9,7.52,7.9,320
2020-08-13,7.51,7.51,7.51,7.51,1000
2020-08-17,7.14,7.15,7.14,7.15,40
2020-08-18,7.25,7.25,7.25,7.25,600
2020-08-20,7.61,7.61,7.61,7.61,100
2020-08-24,7.61,7.99,7.61,7.99,1406
2020-08-31,7.6,7.6,7.6,7.6,200
2020-09-01,7.62,7.62,7.62,7.62,1
2020-09-10,7.6,8.0,7.6,8.0,200
2020-09-14,7.6,7.6,7.6,7.6,100
2020-09-28,7.6,7.6,7.6,7.6,200
2020-10-05,7.6,7.6,7.6,7.6,100
2020-10-23,7.22,7.22,7.22,7.22,100
2020-10-27,7.58,7.58,7.58,7.58,700
2020-10-29,7.95,7.95,7.95,7.95,500
2020-11-09,8.34,8.34,8.34,8.34,300
2020-11-10,8.75,8.75,8.75,8.75,100
2020-11-11,9.18,9.18,9.18,9.18,204
2020-11-12,9.63,9.63,9.63,9.63,21
2020-11-13,10.11,10.11,10.11,10.11,300
2020-11-14,10.61,10.61,10.61,10.61,25
2020-11-17,11.14,11.14,11.14,11.14,1
2020-11-18,11.69,11.69,11.69,11.69,1440
2020-11-19,12.27,12.27,12.27,12.27,410
2020-11-23,12.88,12.88,12.88,12.88,69
2020-11-24,13.52,13.52,13.52,13.52,500
2020-11-25,14.19,14.19,14.19,14.19,1
2020-11-26,14.89,14.89,14.89,14.89,1101
2020-11-27,15.18,15.18,15.18,15.18,1
2020-12-01,15.48,15.48,14.89,15.48,3073
2020-12-02,15.48,15.48,15.25,15.25,701
2020-12-03,14.95,15.55,14.95,14.95,574
2020-12-04,14.66,14.75,14.66,14.66,604
2020-12-07,14.95,14.95,14.66,14.66,200
2020-12-08,14.66,14.66,14.66,14.66,20
2020-12-09,14.37,14.37,14.37,14.37,1400
2020-12-14,14.1,14.1,14.09,14.09,62
2020-12-16,13.81,14.32,13.81,14.32,232
2020-12-17,14.32,14.32,14.04,14.04,106
2020-12-18,13.76,14.32,13.76,14.32,936
2020-12-21,14.6,14.6,14.6,14.6,80
2020-12-22,14.31,14.31,14.31,14.31,50
2020-12-28,14.04,14.59,14.03,14.03,1100
2020-12-30,14.31,14.31,14.31,14.31,80
2021-01-01,14.31,14.31,14.03,14.03,30
2021-01-04,14.31,14.31,14.31,14.31,50
2021-01-05,14.59,14.59,14.03,14.03,405
2021-01-06,14.31,14.31,14.0,14.0,1302
2021-01-07,14.28,14.28,13.72,14.28,496
2021-01-08,14.3,14.3,14.3,14.3,1595
2021-01-11,14.58,14.58,14.58,14.58,661
2021-01-12,14.86,14.86,14.29,14.47,2569
2021-01-13,14.75,14.75,14.19,14.75,789
2021-01-14,15.04,15.04,15.04,15.04,250
2021-01-15,15.34,15.34,14.8,15.34,466
2021-01-18,15.64,15.64,15.35,15.35,300
2021-01-19,15.35,15.35,15.35,15.35,100
2021-01-20,15.05,15.35,15.05,15.35,120
2021-01-21,15.65,15.65,15.65,15.65,10
2021-01-22,15.65,15.95,15.65,15.95,77
2021-01-25,16.26,16.26,16.26,16.26,1293
2021-01-27,16.58,16.58,16.58,16.58,10
2021-01-28,16.91,16.91,16.91,16.91,10
2021-01-29,17.24,17.24,16.58,16.58,1081
2021-02-01,16.25,16.9,16.25,16.85,2197
2021-02-02,16.55,16.55,16.55,16.55,110
2021-02-04,16.85,16.85,16.8,16.8,501
2021-02-05,16.0,16.0,16.0,16.0,110
2021-02-09,16.8,16.8,16.8,16.8,1
2021-02-16,16.0,16.0,16.0,16.0,200
2021-02-19,15.2,15.2,15.2,15.2,62
2021-02-23,14.45,14.45,14.45,14.45,1035
2021-02-24,13.75,13.75,13.75,13.75,500
2021-02-25,13.2,13.2,13.2,13.2,130
2021-03-08,13.86,13.86,13.86,13.86,10
2021-03-10,14.55,14.55,14.55,14.55,157
2021-03-16,13.83,13.83,13.83,13.83,30
2021-03-22,14.0,14.0,14.0,14.0,100
2021-03-24,14.0,14.0,14.0,14.0,600
2021-03-25,13.32,13.32,13.32,13.32,100
2021-03-31,13.98,13.98,13.98,13.98,500
2021-04-09,14.67,14.67,14.67,14.67,140
2021-04-22,13.94,13.94,13.94,13.94,20
2021-05-03,14.63,14.63,14.63,14.63,100
2021-05-04,15.36,15.36,13.95,13.95,1250
2021-05-10,13.95,13.95,13.95,13.95,100
2021-05-12,14.46,14.46,14.46,14.46,525
2021-05-18,13.74,13.74,13.74,13.74,200
2021-05-24,13.06,14.0,13.06,14.0,22
2021-05-26,14.0,14.0,14.0,14.0,1
2021-05-27,14.7,14.7,14.7,14.7,4
2021-05-28,15.43,15.43,15.43,15.43,62
2021-05-31,16.2,16.2,16.2,16.2,497
2021-06-01,16.1,16.1,15.45,15.45,1294
2021-06-02,15.45,15.45,15.45,15.45,7
2021-06-07,14.7,16.2,14.7,16.05,718
2021-06-09,16.85,16.85,16.85,16.85,100
