Datetime,Open,High,Low,Close,Volume
2021-08-26,20.7,20.7,19.2,19.2,131
2021-08-27,20.15,20.15,20.15,20.15,240
2021-08-30,21.15,21.15,21.15,21.15,2201
2021-08-31,22.2,22.2,22.2,22.2,10
2021-09-02,23.3,23.3,23.3,23.3,10
2021-09-03,24.45,24.45,24.45,24.45,450
2021-09-06,25.65,25.65,25.65,25.65,250
2021-09-07,26.9,26.9,25.85,26.9,7320
2021-09-09,28.2,28.2,28.2,28.2,119
2021-09-13,29.6,29.6,29.6,29.6,12
2021-09-14,31.05,31.05,31.05,31.05,10
2021-09-15,32.6,32.6,32.6,32.6,360
2021-09-16,34.2,34.2,34.2,34.2,509
2021-09-17,35.9,35.9,35.9,35.9,60
2021-09-20,37.65,37.65,37.65,37.65,4180
2021-09-21,39.5,39.5,39.5,39.5,2082
2021-09-22,41.4,41.45,37.6,40.95,1682
2021-09-23,42.55,42.55,39.0,39.0,2319
2021-09-24,39.0,40.45,37.05,39.25,5110
2021-09-27,40.7,40.9,39.0,39.0,979
2021-09-28,37.05,39.95,37.05,39.4,1613
2021-09-29,38.0,40.75,38.0,40.55,4552
2021-09-30,40.75,41.55,40.05,40.15,2525
2021-10-01,41.35,42.15,38.45,42.0,1623
2021-10-04,42.1,42.1,40.05,40.25,953
2021-10-05,40.5,41.25,40.1,40.2,2311
2021-10-06,41.95,41.95,40.9,41.0,1642
2021-10-07,42.9,42.9,40.0,40.0,2831
2021-10-08,41.6,41.6,38.05,38.45,3173
2021-10-11,38.5,40.05,38.5,38.8,1637
2021-10-12,38.75,40.2,38.75,39.75,301
2021-10-13,39.15,39.9,38.0,38.45,5050
2021-10-14,39.55,39.65,37.2,39.05,464
2021-10-18,37.15,40.4,37.1,38.85,890
2021-10-19,40.6,40.6,36.95,38.1,1748
2021-10-20,36.25,37.0,36.25,36.25,161
2021-10-21,34.8,37.3,34.8,37.3,110
2021-10-22,35.45,36.35,35.45,36.35,180
2021-10-25,36.4,36.4,35.85,35.85,78
2021-10-26,34.15,36.65,34.1,36.3,232
2021-10-27,36.6,36.6,34.5,34.55,255
2021-10-28,34.5,34.5,33.05,33.2,82
2021-10-29,33.05,33.6,32.05,33.6,58
2021-11-01,33.45,33.45,32.9,32.95,519
2021-11-02,31.55,33.8,31.4,33.0,561
2021-11-03,33.0,34.25,33.0,33.1,230
2021-11-04,33.1,33.1,33.1,33.1,25
2021-11-08,33.1,34.25,31.45,33.55,418
2021-11-09,32.1,34.4,32.1,33.2,1404
2021-11-10,33.9,34.6,33.05,34.3,337
2021-11-11,35.5,35.5,32.65,33.9,524
2021-11-12,32.25,35.4,32.25,34.85,110
2021-11-15,33.15,33.2,33.15,33.15,984
2021-11-16,32.15,33.8,31.5,31.5,504
2021-11-17,32.85,33.0,32.05,32.15,123
2021-11-18,33.75,33.75,31.55,33.75,559
2021-11-22,32.25,35.25,32.1,32.5,686
2021-11-23,32.45,32.45,31.0,31.0,149
2021-11-24,29.45,30.8,29.45,30.25,1233
2021-11-25,28.8,31.15,28.8,30.05,493
2021-11-26,28.6,31.25,28.6,29.3,395
2021-11-29,29.95,29.95,28.05,29.5,112
2021-11-30,28.5,30.6,28.5,30.45,186
2021-12-01,30.95,30.95,30.9,30.9,11
2021-12-02,29.4,32.4,29.4,32.4,964
2021-12-03,32.4,32.9,31.0,32.8,154
2021-12-06,33.9,33.9,33.15,33.15,23
2021-12-09,33.1,33.1,33.1,33.1,1
2021-12-10,32.9,32.9,32.0,32.0,74
2021-12-13,32.0,32.0,31.0,31.0,220
2021-12-14,31.0,32.35,29.5,32.35,584
2021-12-15,32.35,32.35,32.2,32.2,35
2021-12-16,32.15,32.15,31.85,31.85,24
2021-12-17,30.3,30.3,30.3,30.3,54
2021-12-20,30.3,30.3,28.8,28.8,494
2021-12-21,28.8,29.05,28.8,29.05,3
2021-12-22,27.7,29.85,27.7,28.05,104
2021-12-23,29.4,29.4,27.0,29.35,1242
2021-12-24,29.4,29.4,29.4,29.4,203
2021-12-27,29.4,29.4,28.0,28.05,97
2021-12-28,26.9,26.9,26.9,26.9,150
2021-12-29,26.9,27.55,26.9,27.55,257
2021-12-30,27.55,27.55,27.55,27.55,5
2022-01-05,28.9,28.9,28.9,28.9,2
2022-01-06,30.3,30.3,30.3,30.3,217
2022-01-07,31.8,31.8,31.8,31.8,586
2022-01-10,33.35,33.35,33.35,33.35,141
2022-01-12,35.0,35.0,35.0,35.0,54
2022-01-13,36.75,36.75,36.75,36.75,12
2022-01-14,38.55,38.55,38.55,38.55,10
2022-01-17,40.45,40.45,40.45,40.45,520
2022-01-18,42.45,42.45,42.45,42.45,10
2022-01-19,44.55,44.55,44.55,44.55,100
2022-01-20,46.75,46.75,44.55,46.75,4564
2022-01-21,49.05,49.05,49.05,49.05,2530
2022-01-24,51.5,51.5,49.35,50.75,10218
2022-01-25,53.25,53.25,48.25,48.25,3900
2022-01-27,46.05,50.35,45.85,45.85,5584
2022-01-28,43.75,48.1,43.6,47.1,5053
2022-01-31,49.4,49.45,44.75,48.25,5636
2022-02-01,47.9,47.9,45.85,45.85,1183
2022-02-02,43.6,48.0,43.6,47.3,8486
2022-02-03,46.25,47.6,44.95,44.95,3254
2022-02-04,42.85,46.3,42.75,42.75,3846
2022-02-07,41.35,42.7,41.3,42.7,894
2022-02-08,44.4,44.4,41.8,42.8,1449
2022-02-09,41.6,42.45,40.75,40.8,1180
2022-02-10,42.3,42.3,40.15,40.3,236
2022-02-11,41.3,41.3,39.0,40.4,6075
2022-02-14,38.4,38.4,38.4,38.4,2
2022-02-15,36.5,36.5,36.5,36.5,546
2022-02-16,34.75,37.9,34.7,37.25,6754
2022-02-17,38.85,39.1,37.15,39.0,2769
2022-02-18,40.85,40.95,38.6,40.9,2380
2022-02-21,40.95,40.95,39.05,40.95,1499
2022-02-23,38.95,38.95,38.95,38.95,62
2022-02-24,38.7,38.7,37.05,37.05,15
2022-02-25,35.2,36.5,35.2,36.45,914
2022-02-28,35.85,35.85,35.4,35.4,157
2022-03-02,33.65,35.25,33.65,34.9,503
2022-03-03,35.35,35.35,33.2,34.35,1479
2022-03-04,32.65,33.95,32.65,33.6,1197
2022-03-07,32.05,33.8,32.05,33.2,1457
2022-03-08,34.35,34.8,32.45,32.45,995
2022-03-11,34.05,34.05,34.05,34.05,50
2022-03-14,35.75,35.75,35.75,35.75,100
2022-03-15,36.7,37.5,36.15,37.45,1797
2022-03-16,36.05,38.7,35.7,37.85,1185
2022-03-17,37.1,38.35,37.05,37.05,297
2022-03-21,36.5,37.0,35.25,37.0,4506
2022-03-22,35.35,36.85,35.3,36.5,1445
2022-03-23,37.0,38.2,35.15,36.0,4648
2022-03-24,35.65,37.8,35.65,37.8,2506
2022-03-25,37.8,39.6,37.0,39.5,145
2022-03-28,40.5,40.5,38.0,38.0,110
2022-03-29,38.9,38.9,36.15,36.3,308
2022-03-30,36.3,37.05,35.55,36.3,216
2022-03-31,36.2,36.6,36.0,36.45,108
2022-04-01,36.55,37.0,35.15,36.8,122
2022-04-04,36.65,36.75,35.25,35.7,327
2022-04-05,36.35,36.35,35.5,35.85,117
2022-04-06,35.65,37.6,35.6,37.6,2741
2022-04-07,36.0,41.35,36.0,41.35,7924
2022-04-08,45.45,45.45,42.55,45.45,4360
2022-04-11,49.65,49.95,46.15,49.95,6910
2022-04-12,52.15,52.4,47.6,47.75,8795
2022-04-13,47.05,50.1,45.8,50.1,924
2022-04-18,51.65,52.6,51.6,52.6,300
2022-04-19,55.2,55.2,55.2,55.2,151
2022-04-20,57.95,57.95,57.95,57.95,92
2022-04-21,60.8,60.8,60.8,60.8,1710
2022-04-22,63.8,63.8,57.8,57.95,2723
2022-04-25,58.1,59.45,55.1,55.1,763
2022-04-26,57.4,57.4,52.35,52.35,363
2022-04-27,49.75,49.75,49.75,49.75,134
2022-04-28,49.4,52.2,47.55,51.8,1796
2022-04-29,51.8,51.8,49.35,50.0,518
2022-05-02,47.55,48.5,47.5,47.5,1121
2022-05-04,45.15,49.85,45.15,49.65,6328
2022-05-05,47.2,51.9,47.2,47.6,1975
2022-05-06,49.8,49.95,46.05,48.9,3571
2022-05-09,47.4,49.95,46.55,46.85,2415
2022-05-11,45.0,47.0,44.8,46.05,1312
2022-05-12,46.05,46.05,43.8,43.8,110
2022-05-13,43.8,43.8,42.3,42.3,8
2022-05-18,44.4,44.4,44.4,44.4,13
2022-05-19,43.0,46.6,42.5,46.6,5830
2022-05-20,48.0,48.8,48.0,48.8,93
2022-05-23,48.8,51.2,46.5,47.9,2066
2022-05-24,46.45,49.75,46.0,46.0,810
2022-05-25,48.3,48.3,45.1,45.1,1004
2022-05-26,46.95,46.95,42.9,46.95,325
2022-05-27,44.7,48.0,44.65,44.7,680
2022-05-30,46.9,46.9,43.7,43.7,22
2022-05-31,45.0,45.0,45.0,45.0,25
2022-06-01,42.75,45.0,42.75,42.8,82
2022-06-02,42.8,42.8,41.0,41.05,1130
2022-06-03,42.75,42.75,39.5,41.65,792
2022-06-06,42.9,43.4,40.3,42.35,961
2022-06-08,44.1,44.4,44.1,44.4,214
2022-06-09,44.4,46.5,42.2,46.0,1132
2022-06-10,48.3,48.3,46.1,48.25,3019
2022-06-13,50.55,50.55,48.25,48.5,1053
2022-06-14,50.7,50.7,46.1,46.4,735
2022-06-15,44.15,46.95,44.15,46.65,1231
2022-06-16,46.6,46.6,46.6,46.6,11
2022-06-21,44.3,46.05,44.3,45.55,3493
2022-06-22,43.6,47.8,43.6,46.9,3761
2022-06-23,48.3,49.2,46.95,49.0,968
2022-06-24,51.2,51.2,47.95,48.95,1106
2022-06-27,50.4,50.4,47.25,47.95,591
2022-06-28,47.95,50.0,47.1,49.6,1023
2022-06-29,49.4,49.4,47.45,47.45,105
2022-06-30,46.45,46.45,45.2,46.1,578
2022-07-01,43.8,45.8,43.8,45.0,3716
2022-07-04,44.65,47.25,44.1,47.25,3978
2022-07-05,49.6,49.6,45.2,47.2,1081
2022-07-06,45.4,47.9,45.4,47.5,4
2022-07-07,48.75,48.75,47.2,47.8,70
2022-07-08,47.85,47.85,45.85,46.75,381
2022-07-11,46.45,46.45,46.0,46.0,238
2022-07-12,46.5,46.5,45.5,45.7,115
2022-07-13,45.55,46.8,45.25,46.8,44
2022-07-14,46.1,47.0,45.6,46.7,647
2022-07-15,46.3,47.0,44.4,46.2,55
2022-07-18,47.35,48.3,47.3,48.2,307
2022-07-19,46.35,48.15,46.05,47.25,729
2022-07-20,48.25,48.6,45.05,45.05,935
2022-07-21,47.2,47.25,46.05,47.25,481
2022-07-22,48.2,48.2,45.9,46.55,988
2022-07-25,46.55,46.65,46.05,46.35,134
2022-07-26,46.1,47.2,45.65,45.95,506
2022-07-27,47.95,47.95,44.15,45.0,1726
2022-07-28,45.6,46.3,45.6,46.3,3
2022-07-29,46.15,46.9,45.95,45.95,18
2022-08-01,45.15,47.0,45.15,46.05,235
2022-08-02,46.0,47.95,45.75,47.7,958
2022-08-03,48.0,50.05,45.85,49.45,5176
2022-08-04,51.9,51.9,48.95,51.7,1458
2022-08-05,51.75,54.95,50.35,53.0,1817
2022-08-08,47.7,52.05,47.7,52.0,1519
2022-08-10,50.95,54.7,48.5,50.3,1819
2022-08-11,53.6,53.6,51.25,51.5,511
2022-08-12,51.4,52.1,51.15,52.1,515
2022-08-16,47.0,51.9,47.0,49.85,762
2022-08-17,50.15,51.1,49.1,50.05,544
2022-08-18,51.0,51.0,48.2,49.0,3680
2022-08-19,49.95,50.15,48.45,49.65,1785
2022-08-22,50.15,51.5,48.65,49.75,3837
2022-08-23,47.45,51.15,47.4,48.7,1294
2022-08-24,48.65,50.4,48.05,48.1,1860
