Datetime,Open,High,Low,Close,Volume
2019-07-12,3.92,3.92,3.92,3.92,15
2019-07-15,3.73,3.73,3.73,3.73,20
2019-07-24,3.75,3.75,3.75,3.75,100
2019-09-19,3.75,3.75,3.75,3.75,1
2019-10-17,3.75,3.75,3.75,3.75,1
2019-10-18,3.93,3.93,3.93,3.93,100
2019-10-22,3.74,3.74,3.74,3.74,105
2019-10-23,3.92,3.92,3.92,3.92,100
2019-11-21,3.92,3.92,3.92,3.92,91
2019-11-29,4.11,4.11,4.11,4.11,51
2019-12-20,4.11,4.11,4.11,4.11,1
2019-12-26,4.31,4.31,3.91,3.91,362
2019-12-30,3.72,3.72,3.72,3.72,100
2019-12-31,3.9,3.9,3.9,3.9,100
2020-01-20,3.71,3.71,3.71,3.71,25
2020-01-27,3.89,3.89,3.89,3.89,25
2020-02-25,3.7,3.7,3.7,3.7,100
2020-02-26,3.52,3.52,3.52,3.52,100
2020-03-09,3.35,3.35,3.35,3.35,41
2020-03-13,3.35,3.35,3.35,3.35,5
2020-05-04,3.19,3.19,3.19,3.19,21
2020-05-14,3.04,3.04,3.04,3.04,33
2020-05-19,3.19,3.19,3.19,3.19,200
2020-05-20,3.34,3.34,3.34,3.34,200
2020-05-21,3.5,3.5,3.5,3.5,200
2020-05-22,3.67,3.67,3.67,3.67,200
2020-06-02,3.85,3.85,3.85,3.85,44
2020-06-08,4.04,4.04,4.04,4.04,1
2020-06-09,4.04,4.04,4.04,4.04,200
2020-06-10,4.24,4.24,4.24,4.24,200
2020-06-15,4.03,4.03,4.03,4.03,800
2020-06-17,3.83,3.83,3.83,3.83,44
2020-06-24,4.02,4.02,4.02,4.02,100
2020-06-25,3.82,3.82,3.82,3.82,95
2020-06-29,4.01,4.01,4.01,4.01,100
2020-06-30,4.21,4.21,4.21,4.21,1
2020-07-01,4.42,4.42,4.42,4.42,200
2020-07-13,4.64,4.64,4.64,4.64,200
2020-08-03,4.41,4.41,4.41,4.41,60
2020-08-12,4.19,4.19,4.19,4.19,11
2020-08-24,4.39,4.39,4.0,4.0,1100
2020-08-26,3.8,3.8,3.8,3.8,247
2020-08-27,3.61,3.61,3.61,3.61,100
2020-08-31,3.61,3.61,3.61,3.61,10
2020-09-01,3.43,3.43,3.43,3.43,200
2020-09-07,3.6,3.6,3.6,3.6,51
2020-09-14,3.62,3.62,3.62,3.62,1
2020-10-20,3.8,3.8,3.8,3.8,800
2020-12-16,3.61,3.61,3.61,3.61,50
2020-12-17,3.43,3.43,3.43,3.43,100
2020-12-23,3.26,3.26,3.26,3.26,135
2021-01-07,3.42,3.42,3.42,3.42,100
2021-01-08,3.59,3.59,3.59,3.59,100
2021-01-11,3.42,3.42,3.42,3.42,300
2021-01-20,3.59,3.59,3.59,3.59,100
2021-01-25,3.76,3.76,3.76,3.76,31
2021-01-28,3.94,3.94,3.94,3.94,51
2021-02-22,4.12,4.12,4.12,4.12,200
2021-03-08,4.12,4.12,4.12,4.12,1
2021-03-17,4.12,4.12,4.12,4.12,32
2021-03-30,3.92,3.92,3.92,3.92,10
2021-03-31,3.73,3.8,3.73,3.8,200
2021-04-01,3.8,3.8,3.8,3.8,100
2021-04-22,3.98,3.98,3.98,3.98,1
2021-04-27,3.79,3.79,3.79,3.79,21
2021-04-28,3.61,3.61,3.61,3.61,72
2021-04-29,3.79,3.79,3.43,3.43,172
2021-05-10,3.6,3.6,3.6,3.6,99
2021-05-24,3.78,3.78,3.42,3.42,200
2021-05-25,3.59,3.59,3.59,3.59,113
2021-05-26,3.42,3.42,3.42,3.42,200
2021-05-27,3.25,3.25,3.25,3.25,5
2021-05-31,3.09,3.09,3.09,3.09,1
2021-06-01,2.94,3.24,2.94,3.24,22
2021-06-02,3.4,3.4,3.09,3.09,101
2021-06-03,2.95,2.95,2.95,2.95,1
2021-06-04,2.81,2.81,2.81,2.81,299
2021-06-07,2.67,2.95,2.67,2.95,101
2021-06-09,3.09,3.09,3.09,3.09,200
2021-06-10,3.24,3.24,3.24,3.24,100
2021-06-11,3.4,3.4,3.4,3.4,21
2021-06-15,3.4,3.4,3.4,3.4,700
2021-06-16,3.25,3.25,3.25,3.25,1
2021-06-17,3.41,3.41,3.1,3.1,767
2021-06-18,3.25,3.25,2.96,2.96,180
2021-06-21,2.96,2.96,2.96,2.96,700
2021-06-22,3.1,3.1,3.1,3.1,109
2021-06-23,3.25,3.25,3.25,3.25,851
2021-06-24,3.41,3.41,3.1,3.1,149
2021-06-25,2.95,3.25,2.95,2.95,160
2021-06-28,2.81,3.09,2.81,2.95,491
2021-06-29,2.81,2.81,2.81,2.81,575
2021-06-30,2.81,2.81,2.81,2.81,100
2021-07-01,2.95,2.95,2.95,2.95,51
2021-07-02,2.81,2.81,2.81,2.81,200
2021-07-05,2.67,2.67,2.67,2.67,2
2021-07-06,2.8,2.8,2.8,2.8,100
2021-07-07,2.94,2.94,2.94,2.94,245
2021-07-08,2.94,3.08,2.94,3.08,151
2021-07-09,2.93,3.23,2.93,3.23,301
2021-07-12,3.23,3.39,3.23,3.39,945
2021-07-13,3.39,3.39,3.39,3.39,30
2021-07-14,3.39,3.39,3.39,3.39,170
2021-07-15,3.55,3.55,3.55,3.55,3
2021-07-16,3.72,3.72,3.72,3.72,250
2021-07-19,3.9,3.9,3.9,3.9,300
2021-07-22,4.09,4.09,4.09,4.09,300
2021-07-23,4.09,4.09,4.09,4.09,1
2021-07-26,4.09,4.09,4.09,4.09,101
2021-07-30,4.08,4.08,4.08,4.08,5
2021-08-04,4.08,4.08,4.08,4.08,25
2021-08-09,4.07,4.07,4.07,4.07,1000
2021-08-10,4.07,4.07,4.07,4.07,1
2021-09-01,4.27,4.27,4.05,4.05,2
