Datetime,Open,High,Low,Close,Volume
2019-05-28,102.3,102.3,97.1,97.5,297
2019-05-29,99.9,99.9,95.0,97.2,1659
2019-05-30,97.5,99.5,97.5,99.5,1348
2019-06-03,96.25,101.05,96.25,100.75,111
2019-06-10,96.05,96.55,96.0,96.15,45
2019-06-11,96.5,96.5,96.5,96.5,45
2019-06-12,100.0,100.0,97.4,99.0,71
2019-06-13,99.0,99.0,95.0,96.7,819
2019-06-14,101.0,101.3,94.0,95.4,4744
2019-06-17,97.95,98.0,97.95,98.0,165
2019-06-18,98.0,99.35,94.0,94.15,332
2019-06-19,94.0,94.45,90.0,90.95,975
2019-06-20,92.0,92.0,89.0,90.0,1108
2019-06-21,95.9,95.9,90.0,93.0,1226
2019-06-24,94.75,94.75,88.4,89.1,2990
2019-06-25,88.0,89.85,86.0,86.95,690
2019-06-26,89.9,90.1,87.5,89.15,1167
2019-06-27,90.0,90.0,81.0,82.75,2504
2019-06-28,83.5,85.55,82.0,82.15,6086
2019-07-01,82.15,86.45,81.1,85.5,912
2019-07-02,93.75,93.75,83.0,89.05,42
2019-07-03,87.0,87.5,87.0,87.35,215
2019-07-04,87.9,89.2,85.0,85.45,461
2019-07-05,82.75,89.0,82.75,83.4,1595
2019-07-09,88.5,92.45,86.0,90.1,2363
2019-07-11,84.2,84.2,84.2,84.2,1
2019-07-12,88.95,89.0,88.95,89.0,20
2019-07-15,85.95,94.7,85.95,94.0,964
2019-07-16,88.5,96.0,88.5,94.55,875
2019-07-17,97.0,97.0,95.0,96.9,656
2019-07-18,86.0,95.35,83.0,93.55,1388
2019-07-19,87.6,94.7,87.6,93.4,1085
2019-07-22,90.2,92.0,85.35,89.0,419
2019-07-23,86.65,92.0,86.65,92.0,440
2019-07-24,88.0,88.0,87.05,87.25,130
2019-07-25,85.05,86.8,85.0,86.8,200
2019-07-26,89.0,92.0,89.0,90.0,1725
2019-07-29,89.0,93.05,89.0,91.95,575
2019-07-30,93.0,93.0,88.85,91.0,950
2019-07-31,84.3,94.8,84.3,94.75,2152
2019-08-01,89.0,93.4,89.0,91.2,370
2019-08-02,90.95,91.2,89.0,90.5,300
2019-08-05,90.0,90.0,87.0,90.0,1613
2019-08-06,87.05,93.0,86.0,92.85,2643
2019-08-07,89.5,92.55,89.0,92.5,228
2019-08-08,87.25,97.0,87.25,94.1,1707
2019-08-09,96.4,96.4,87.1,93.5,1091
2019-08-13,93.6,104.25,93.6,98.5,2646
2019-08-14,100.0,100.0,88.5,98.05,4089
2019-08-16,95.0,99.0,93.0,95.1,1545
2019-08-19,95.1,104.3,90.0,101.0,4727
2019-08-20,102.9,107.7,100.0,101.05,7054
2019-08-21,104.9,104.9,100.0,100.65,3100
2019-08-22,100.0,100.0,98.0,98.0,1055
2019-08-23,90.55,95.0,83.0,86.2,2463
2019-08-26,88.05,91.95,85.0,91.8,1356
2019-08-27,91.5,94.9,91.5,94.2,862
2019-08-28,94.5,98.0,90.25,93.95,2574
2019-08-29,94.0,94.0,90.5,92.7,2445
2019-08-30,94.95,107.8,91.3,96.55,2542
2019-09-03,90.15,100.0,90.15,97.95,14217
2019-09-06,93.8,95.0,93.6,94.05,500
2019-09-11,95.0,98.0,95.0,97.85,26600
2019-09-12,97.5,98.0,96.0,96.95,42310
2019-09-13,97.5,97.5,96.1,97.0,36690
2019-09-16,98.5,100.5,97.5,98.5,30370
2019-09-17,98.0,98.0,97.0,97.0,10010
2019-09-18,97.0,98.5,96.0,97.8,30396
2019-09-19,98.0,100.0,98.0,98.5,60600
2019-09-20,96.2,100.75,96.2,99.25,41740
2019-09-23,107.75,107.8,101.9,103.75,45074
