Datetime,Open,High,Low,Close,Volume
2019-05-28,29.05,29.9,29.0,29.3,20693
2019-05-29,30.0,30.0,28.35,29.0,6842
2019-05-30,28.5,28.5,27.7,28.2,3313
2019-06-03,27.5,27.75,26.8,27.15,6079
2019-06-10,26.65,26.65,25.75,25.8,2806
2019-06-11,25.6,25.65,25.2,25.25,3302
2019-06-12,25.0,25.0,24.35,24.75,5304
2019-06-13,25.15,25.15,23.85,24.0,4615
2019-06-14,23.55,24.6,23.55,24.15,2415
2019-06-17,23.6,23.6,20.4,20.85,13648
2019-06-18,20.8,21.75,20.2,20.4,1847
2019-06-19,20.5,20.9,16.35,16.4,49342
2019-06-20,16.0,16.9,15.1,15.9,20143
2019-06-21,16.05,16.6,15.85,16.2,7763
2019-06-24,16.0,16.75,15.2,16.5,12415
2019-06-25,16.1,16.4,15.7,16.15,2262
2019-06-26,16.45,16.85,16.15,16.5,6237
2019-06-27,16.85,17.75,16.85,17.0,19726
2019-06-28,17.0,17.0,16.05,16.4,7438
2019-07-01,16.5,16.9,16.15,16.3,6691
2019-07-02,16.45,16.45,15.8,16.15,3692
2019-07-03,16.3,17.35,15.95,17.25,7343
2019-07-04,17.0,17.05,16.6,16.7,6448
2019-07-05,16.8,16.9,15.7,16.5,5725
2019-07-08,16.7,16.7,16.0,16.25,3622
2019-07-09,15.75,16.2,15.55,15.75,1377
2019-07-10,16.0,16.25,15.65,16.05,5883
2019-07-11,15.8,16.15,15.8,16.15,1574
2019-07-12,16.15,16.25,16.05,16.1,1186
2019-07-15,16.5,17.0,16.0,16.1,5247
2019-07-16,15.9,16.2,15.85,16.15,1233
2019-07-17,16.5,17.7,16.5,17.05,19055
2019-07-18,17.15,17.15,16.5,16.85,4910
2019-07-19,16.85,17.0,16.1,16.1,4607
2019-07-22,15.5,16.1,15.4,15.9,5448
2019-07-23,16.3,16.3,16.0,16.0,1495
2019-07-24,15.45,16.25,15.4,15.8,9160
2019-07-25,15.45,16.0,14.75,15.6,8666
2019-07-26,15.6,15.6,15.6,15.6,100
2019-07-29,16.05,17.0,16.05,16.35,11286
2019-07-30,16.0,16.1,15.45,15.65,3766
2019-07-31,14.95,15.75,14.9,15.6,4185
2019-08-01,14.95,15.2,14.8,15.1,2863
2019-08-02,15.0,15.0,14.5,14.55,5111
2019-08-05,14.4,14.4,14.2,14.2,202
2019-08-06,14.2,14.4,14.0,14.2,9628
2019-08-07,14.2,14.6,13.2,14.25,2426
2019-08-08,13.65,14.15,13.65,14.05,4569
2019-08-09,14.3,16.1,14.3,15.2,29358
2019-08-13,15.2,15.7,15.05,15.05,4435
2019-08-14,14.35,15.4,14.35,14.95,6120
2019-08-16,15.25,16.0,14.2,15.15,4254
2019-08-19,14.95,15.8,14.95,15.25,9131
2019-08-20,15.75,16.5,15.55,15.7,12884
2019-08-21,16.0,16.0,14.6,15.35,3521
2019-08-22,14.75,15.0,14.5,14.55,3906
2019-08-23,14.55,14.55,13.85,14.1,1405
2019-08-26,14.2,15.1,14.05,14.75,2099
2019-08-27,14.9,15.3,14.65,14.9,6976
2019-08-28,15.15,15.15,14.4,14.55,12923
2019-08-29,14.35,14.8,13.9,14.1,10551
2019-08-30,14.3,14.3,13.75,14.0,5649
2019-09-03,13.7,14.05,13.5,13.52,2482
2019-09-04,13.45,13.65,13.4,13.62,1235
2019-09-05,14.05,14.05,13.1,13.85,259
