Datetime,Open,High,Low,Close,Volume
2019-06-03,6.19,6.51,6.19,6.51,40
2019-06-10,6.5,6.5,6.5,6.5,100
2019-06-11,6.2,6.2,6.2,6.2,200
2019-06-12,5.9,5.92,5.9,5.9,5000
2019-06-13,5.63,5.63,5.63,5.63,1512
2019-06-14,5.38,5.42,5.38,5.38,2000
2019-06-18,5.15,5.15,5.15,5.15,5000
2019-06-20,4.9,4.9,4.9,4.9,200
2019-06-24,4.67,4.67,4.67,4.67,32
2019-06-25,4.47,4.47,4.47,4.47,303
2019-06-26,4.25,4.25,4.25,4.25,800
2019-06-28,4.1,4.1,4.1,4.1,100
2019-07-01,4.05,4.05,4.05,4.05,100
2019-07-02,3.9,3.9,3.9,3.9,1637
2019-07-04,3.75,3.75,3.75,3.75,105
2019-07-09,3.6,3.6,3.6,3.6,101
2019-07-11,3.7,3.7,3.7,3.7,100
2019-07-15,3.88,3.88,3.88,3.88,100
2019-07-16,3.88,3.88,3.88,3.88,3
2019-07-17,3.88,3.88,3.88,3.88,3
2019-07-18,3.71,3.71,3.71,3.71,497
2019-07-22,3.6,3.6,3.55,3.56,536
2019-07-23,3.42,3.42,3.42,3.42,378
2019-07-26,3.45,3.45,3.45,3.45,100
2019-07-31,3.62,3.62,3.62,3.62,100
2019-08-07,3.6,3.6,3.45,3.48,9000
2019-08-08,3.48,3.48,3.33,3.34,10012
2019-08-09,3.21,3.21,3.2,3.2,10000
2019-08-23,3.3,3.3,3.3,3.3,100
2019-08-28,3.45,3.45,3.45,3.45,500
2019-08-30,3.5,3.5,3.5,3.5,58
2019-09-03,3.55,3.66,3.45,3.66,1155
2019-09-05,3.48,3.48,3.48,3.48,500
2019-09-11,3.5,3.5,3.5,3.5,200
2019-10-03,3.5,3.5,3.5,3.5,1
2019-10-17,3.5,3.5,3.5,3.5,1
2019-10-22,3.35,3.35,3.35,3.35,300
2019-10-23,3.2,3.2,3.2,3.2,100
2019-11-25,3.25,3.25,3.09,3.09,350
2019-11-27,2.94,2.94,2.94,2.94,100
2019-11-28,2.94,2.94,2.94,2.94,10
2019-12-04,2.8,2.8,2.8,2.8,10
2019-12-05,2.8,2.8,2.8,2.8,180
2019-12-10,2.66,2.66,2.66,2.66,10
2019-12-19,2.79,2.79,2.79,2.79,100
2019-12-20,2.9,2.9,2.9,2.9,700
2020-01-03,2.9,2.9,2.9,2.9,1182
2020-01-08,3.0,3.0,3.0,3.0,250
2020-01-21,3.15,3.15,3.15,3.15,100
2020-01-24,3.3,3.3,3.3,3.3,10
2020-01-27,3.14,3.14,3.14,3.14,100
2020-01-29,2.99,2.99,2.99,2.99,10
2020-02-10,2.85,2.85,2.85,2.85,2
2020-02-20,2.75,2.99,2.75,2.75,39850
2020-05-11,2.75,2.75,2.75,2.75,89
2020-05-12,2.75,2.75,2.75,2.75,9
2020-05-19,2.75,2.75,2.75,2.75,4
2020-05-26,2.75,2.75,2.75,2.75,1
2020-05-29,2.7,2.7,2.7,2.7,700
2020-06-03,2.7,2.7,2.7,2.7,1
2020-07-20,2.7,2.7,2.7,2.7,11
2020-07-31,2.7,2.7,2.7,2.7,1
2020-08-03,2.7,2.7,2.7,2.7,14
2020-08-10,2.7,2.7,2.7,2.7,209
2020-09-04,2.72,2.72,2.72,2.72,1
2020-11-06,2.85,2.85,2.85,2.85,1905
2020-11-27,2.85,2.85,2.85,2.85,100
2020-12-07,2.85,2.99,2.85,2.99,289
2020-12-09,3.13,3.13,3.13,3.13,5600
2020-12-10,3.13,3.13,3.13,3.13,160
2020-12-15,3.28,3.28,3.28,3.28,600
2020-12-17,3.44,3.44,3.44,3.44,4000
2020-12-18,3.61,3.61,3.61,3.61,11282
2020-12-21,3.79,3.79,3.61,3.79,9300
2020-12-22,3.97,3.97,3.97,3.97,101
2020-12-23,4.16,4.16,4.16,4.16,500
2020-12-24,4.36,4.36,4.21,4.21,659
2020-12-28,4.42,4.42,4.42,4.42,102
2020-12-29,4.42,4.64,4.42,4.5,687
2020-12-30,4.72,4.72,4.3,4.72,1054
2020-12-31,4.94,4.95,4.94,4.95,3934
2021-01-01,5.19,5.19,4.71,4.71,16932
2021-01-04,4.8,4.94,4.48,4.48,8148
2021-01-05,4.26,4.7,4.26,4.26,278
2021-01-06,4.47,4.47,4.05,4.05,5400
2021-01-07,4.25,4.25,3.85,4.25,6324
2021-01-08,4.46,4.46,4.06,4.46,2231
2021-01-11,4.55,4.68,4.24,4.65,661
2021-01-12,4.68,4.88,4.68,4.88,27430
2021-01-13,5.12,5.12,4.88,5.12,6751
2021-01-14,4.9,5.37,4.87,4.9,11792
2021-01-15,4.9,5.14,4.9,4.9,203
2021-01-18,5.1,5.1,5.1,5.1,22
2021-01-19,4.85,5.35,4.85,4.85,2761
2021-01-20,4.85,4.85,4.85,4.85,14
2021-01-21,4.85,4.85,4.85,4.85,32
2021-01-22,4.85,4.85,4.61,4.61,616
2021-01-25,4.61,4.61,4.61,4.61,55
2021-01-27,4.38,4.84,4.38,4.84,1527
2021-01-28,5.08,5.08,5.08,5.08,20
2021-01-29,5.07,5.07,5.07,5.07,504
2021-02-01,4.92,5.29,4.82,4.82,172
2021-02-02,4.95,4.95,4.68,4.68,58
2021-02-04,4.68,4.91,4.68,4.91,80
2021-02-05,4.91,4.91,4.91,4.91,78
2021-02-08,4.91,4.91,4.67,4.67,426
2021-02-09,4.67,4.67,4.67,4.67,10
2021-02-10,4.67,4.9,4.67,4.9,351
2021-02-11,5.0,5.14,5.0,5.0,198
2021-02-12,5.0,5.0,5.0,5.0,24
2021-02-16,5.1,5.1,5.0,5.0,18
2021-02-18,4.75,4.75,4.75,4.75,100
2021-02-19,4.85,4.85,4.85,4.85,4
2021-02-22,4.95,4.95,4.95,4.95,235
2021-02-23,4.81,4.81,4.81,4.81,3300
2021-02-24,4.57,4.57,4.57,4.57,43
2021-02-25,4.5,4.5,4.35,4.35,39
2021-02-26,4.45,4.45,4.14,4.14,201
2021-03-01,4.22,4.22,3.94,3.94,113
2021-03-03,3.94,3.94,3.94,3.94,7
2021-03-08,3.94,3.94,3.94,3.94,2
2021-03-10,3.94,4.13,3.94,4.13,545
2021-03-15,4.25,4.25,3.93,3.93,20
2021-03-16,3.74,3.74,3.74,3.74,1
2021-03-22,3.85,3.85,3.74,3.74,101
2021-03-23,3.74,3.74,3.74,3.74,12
2021-03-26,3.7,3.7,3.7,3.7,2
2021-04-01,3.59,3.59,3.59,3.59,32
2021-04-06,3.43,3.43,3.43,3.43,268
2021-04-07,3.5,3.5,3.5,3.5,1209
2021-04-09,3.5,3.5,3.5,3.5,27
2021-04-12,3.67,3.67,3.67,3.67,50
2021-04-13,3.67,3.67,3.67,3.67,103
2021-04-15,3.75,3.75,3.67,3.75,226
2021-04-16,3.9,3.9,3.9,3.9,132
2021-04-22,3.85,4.09,3.85,4.09,553
2021-04-23,4.09,4.09,4.09,4.09,38
2021-04-26,4.2,4.2,4.2,4.2,114
2021-04-28,4.3,4.3,4.29,4.29,155
2021-04-29,4.28,4.28,4.28,4.28,1
2021-04-30,4.28,4.4,4.28,4.28,11
2021-05-03,4.28,4.28,4.28,4.28,20
2021-05-05,4.28,4.28,4.28,4.28,30
2021-05-07,4.28,4.28,4.07,4.07,318
2021-05-10,4.07,4.07,4.07,4.07,1
2021-05-11,4.07,4.27,4.07,4.27,115
2021-05-12,4.27,4.48,4.2,4.48,1221
2021-05-14,4.6,4.7,4.6,4.7,912
2021-05-17,4.8,4.8,4.8,4.8,115
2021-05-18,4.7,4.7,4.7,4.7,15
2021-05-19,4.7,4.7,4.7,4.7,39
2021-05-20,4.65,4.7,4.65,4.7,136
2021-05-21,4.65,4.7,4.65,4.7,269
2021-05-24,4.7,4.7,4.7,4.7,88
2021-05-25,4.7,4.7,4.7,4.7,12
2021-05-26,4.8,4.8,4.79,4.79,219
2021-05-27,4.79,4.79,4.78,4.78,218
2021-05-28,4.77,4.77,4.76,4.76,71
2021-05-31,4.9,4.9,4.75,4.75,27
2021-06-01,4.75,4.75,4.75,4.75,1
2021-06-02,4.75,4.75,4.65,4.65,110
2021-06-03,4.64,4.88,4.55,4.55,6605
2021-06-04,4.55,4.55,4.42,4.42,12
2021-06-07,4.42,4.42,4.42,4.42,115
2021-06-08,4.64,4.64,4.64,4.64,809
2021-06-09,4.87,4.87,4.75,4.83,441
2021-06-10,4.95,5.07,4.81,4.81,203
2021-06-11,4.81,4.81,4.8,4.8,381
2021-06-14,4.7,4.7,4.56,4.56,421
2021-06-15,4.74,4.74,4.5,4.66,487
2021-06-16,4.52,4.59,4.52,4.59,544
2021-06-17,4.55,4.55,4.49,4.49,1029
2021-06-18,4.6,4.6,4.27,4.27,16
2021-06-21,4.27,4.27,4.27,4.27,814
2021-06-22,4.1,4.45,4.1,4.44,1260
2021-06-23,4.55,4.55,4.4,4.4,1106
2021-06-24,4.53,4.53,4.3,4.3,776
2021-06-25,4.25,4.49,4.25,4.49,7235
2021-06-28,4.49,4.55,4.28,4.51,779
2021-06-29,4.6,4.73,4.5,4.73,339
2021-06-30,4.84,4.96,4.5,4.75,32019
2021-07-01,4.7,4.98,4.64,4.64,7513
2021-07-02,4.55,4.55,4.55,4.55,240
2021-07-05,4.55,4.6,4.5,4.56,181
2021-07-06,4.55,4.78,4.55,4.78,6668
2021-07-07,5.01,5.01,5.01,5.01,2186
2021-07-08,5.26,5.26,5.26,5.26,1406
2021-07-09,5.52,5.52,5.52,5.52,520
2021-07-12,5.78,5.79,5.78,5.79,5470
2021-07-13,6.07,6.07,6.07,6.07,4811
2021-07-14,6.37,6.37,6.37,6.37,2811
2021-07-15,6.68,6.68,6.68,6.68,2162
2021-07-16,7.01,7.01,7.01,7.01,1103
2021-07-19,7.15,7.36,7.15,7.36,1663
2021-07-20,7.72,7.72,7.72,7.72,543
2021-07-22,8.1,8.1,8.1,8.1,1529
2021-07-23,8.5,8.5,8.5,8.5,6313
2021-07-26,8.92,8.92,8.92,8.92,149
2021-07-27,9.36,9.36,9.36,9.36,150
2021-07-28,9.82,9.82,9.82,9.82,851
2021-07-29,10.31,10.31,9.5,10.31,16673
2021-07-30,10.82,10.82,10.01,10.82,4669
2021-08-02,11.36,11.36,11.36,11.36,500
2021-08-03,11.92,11.92,11.6,11.92,1065
2021-08-04,12.51,12.51,12.51,12.51,801
2021-08-05,13.13,13.13,13.05,13.13,6042
2021-08-06,13.78,13.78,13.75,13.78,8934
2021-08-09,14.46,14.46,14.1,14.46,9176
2021-08-10,15.18,15.18,14.7,15.18,14385
2021-08-11,15.93,15.93,14.43,14.43,5814
2021-08-12,13.71,13.71,13.71,13.71,157
2021-08-13,13.03,13.03,13.03,13.03,1562
2021-08-16,12.38,12.38,12.38,12.38,1008
2021-08-17,11.77,11.77,11.77,11.77,22
2021-08-18,11.19,11.19,11.19,11.19,20
2021-08-20,10.64,10.64,10.64,10.64,42
2021-08-23,10.11,10.11,10.11,10.11,101
2021-08-24,9.61,9.61,9.61,9.61,12
2021-08-25,9.13,9.13,9.13,9.13,196
2021-08-26,8.68,8.68,8.68,8.68,14
2021-08-27,8.25,9.11,8.25,9.11,18401
2021-08-30,9.56,9.56,8.66,8.66,4217
2021-08-31,9.09,9.09,8.23,8.23,1216
2021-09-01,8.0,8.0,7.82,7.99,415
2021-09-02,7.6,7.85,7.6,7.85,499
2021-09-03,8.23,8.24,7.46,8.06,1985
2021-09-06,7.9,8.46,7.9,8.46,53
2021-09-07,8.88,8.88,8.04,8.88,1727
2021-09-08,9.32,9.32,9.1,9.32,362
2021-09-09,9.78,9.78,9.78,9.78,230
2021-09-13,10.26,10.26,9.7,10.26,611
2021-09-14,10.77,10.77,10.2,10.21,320
2021-09-15,10.05,10.72,9.7,10.7,1743
2021-09-16,11.23,11.23,10.17,11.23,1632
2021-09-17,11.23,11.79,10.67,11.4,441
2021-09-20,11.2,11.53,10.83,11.3,2295
2021-09-21,11.1,11.86,10.76,10.77,436
2021-09-22,11.3,11.3,11.1,11.1,253
2021-09-23,11.3,11.3,10.55,11.29,87
2021-09-24,10.73,10.73,10.73,10.73,46
2021-09-27,10.2,10.55,10.2,10.55,8039
2021-09-28,10.03,10.03,10.03,10.03,2250
2021-09-29,10.03,10.03,9.53,9.53,167
2021-09-30,9.53,9.53,9.06,9.06,1184
2021-10-01,8.61,8.61,8.61,8.61,3119
2021-10-04,8.86,9.04,8.18,9.04,438
2021-10-05,8.59,9.49,8.59,9.49,197
2021-10-06,9.3,9.3,9.3,9.3,46
2021-10-07,9.3,9.3,9.3,9.3,88
2021-10-08,8.85,9.3,8.85,9.11,78
2021-10-11,9.56,9.56,9.25,9.25,1204
2021-10-12,9.25,9.25,9.25,9.25,10
2021-10-13,8.8,9.0,8.8,9.0,600
2021-10-14,9.2,9.2,9.0,9.2,3559
2021-10-18,9.2,9.66,9.2,9.6,520
2021-10-19,9.8,10.0,9.79,9.79,1141
2021-10-20,9.79,9.79,9.79,9.79,10
2021-10-21,9.79,9.79,9.79,9.79,120
2021-10-22,9.6,9.6,9.6,9.6,15
2021-10-25,9.12,10.0,9.12,10.0,40
2021-10-26,9.8,10.0,9.8,10.0,740
2021-10-27,10.0,10.44,9.8,10.44,1165
2021-10-28,10.0,10.25,10.0,10.25,260
2021-10-29,10.19,10.19,10.19,10.19,10
2021-11-01,10.1,10.1,10.1,10.1,350
2021-11-02,10.09,10.09,10.09,10.09,10
2021-11-03,10.09,10.09,10.09,10.09,1
2021-11-04,10.08,10.08,10.08,10.08,10
2021-11-09,10.0,10.45,10.0,10.0,850
2021-11-10,9.6,9.8,9.5,9.5,260
2021-11-11,9.5,9.5,9.5,9.5,78
2021-11-12,9.5,9.5,9.5,9.5,26
2021-11-15,9.5,9.5,9.5,9.5,31
2021-11-16,9.5,9.5,9.5,9.5,1
2021-11-17,9.7,9.97,9.7,9.97,124
2021-11-18,9.8,9.8,9.7,9.7,9
2021-11-22,9.65,9.65,9.65,9.65,10
2021-11-23,9.64,9.64,9.64,9.64,25
2021-11-25,9.6,9.64,9.6,9.64,55
