Datetime,Open,High,Low,Close,Volume
2019-05-28,16.85,17.3,16.25,16.6,15371
2019-05-29,16.5,17.2,16.5,16.5,11792
2019-05-30,16.65,16.9,16.65,16.8,135
2019-06-03,16.4,16.5,15.15,15.95,13475
2019-06-10,16.5,16.5,16.0,16.4,24190
2019-06-11,15.9,16.25,15.5,15.7,3733
2019-06-12,15.7,16.0,15.7,16.0,4005
2019-06-13,16.0,16.0,16.0,16.0,1800
2019-06-14,15.5,16.0,15.5,15.95,4226
2019-06-17,15.5,16.0,15.5,15.5,997
2019-06-18,15.65,15.85,15.5,15.85,640
2019-06-19,15.0,16.25,15.0,16.0,2806
2019-06-20,16.25,16.25,14.35,15.5,6870
2019-06-21,14.15,15.8,14.0,15.5,6347
2019-06-24,15.5,15.75,14.75,15.5,6017
2019-06-25,15.0,15.0,14.75,15.0,400
2019-06-26,15.0,15.45,14.75,14.85,1800
2019-06-27,15.1,16.0,15.1,16.0,2807
2019-06-28,15.0,16.0,15.0,16.0,4752
2019-07-01,16.9,16.9,14.85,15.15,265
2019-07-02,14.75,15.5,14.75,15.5,1100
2019-07-03,15.5,15.75,15.5,15.5,403
2019-07-04,16.25,16.25,15.5,15.5,450
2019-07-05,15.5,15.9,15.5,15.85,623
2019-07-08,15.5,16.0,15.5,16.0,1200
2019-07-09,18.45,18.45,14.8,15.5,3808
2019-07-10,16.0,16.5,15.1,15.5,9521
2019-07-11,15.8,16.0,15.2,15.85,14853
2019-07-12,15.1,16.0,15.1,16.0,6193
2019-07-15,16.0,16.0,16.0,16.0,2756
2019-07-16,16.0,16.05,15.3,15.5,2927
2019-07-17,14.55,15.7,14.55,14.95,2762
2019-07-18,15.5,16.2,15.5,15.55,2942
2019-07-19,14.75,16.0,14.4,14.5,1393
2019-07-22,14.5,14.55,14.15,14.15,1642
2019-07-23,14.15,14.25,13.25,14.0,4381
2019-07-24,14.0,16.0,13.05,15.0,7097
2019-07-25,13.8,14.85,13.8,14.5,1406
2019-07-26,14.05,15.5,14.05,14.5,2535
2019-07-29,14.5,14.5,13.7,14.5,1905
2019-07-30,14.95,15.0,13.25,14.0,5123
2019-07-31,13.55,13.55,13.5,13.55,599
2019-08-01,14.0,14.45,14.0,14.45,1505
2019-08-02,13.15,14.0,13.15,14.0,3070
2019-08-05,13.4,14.0,11.55,13.5,1626
2019-08-06,14.0,14.0,13.5,13.5,6525
2019-08-07,13.8,15.2,13.6,13.6,14703
2019-08-08,14.9,14.9,13.01,13.03,13113
2019-08-09,13.12,13.12,13.12,13.12,105
2019-08-13,13.35,14.0,13.35,13.75,5171
2019-08-14,14.0,14.0,14.0,14.0,6422
2019-08-16,14.5,14.89,14.01,14.29,5626
2019-08-19,14.7,14.75,14.7,14.75,4839
2019-08-20,14.75,14.75,14.75,14.75,1000
2019-08-21,14.25,14.5,13.75,14.44,3750
2019-08-22,13.5,13.85,13.01,13.85,501
2019-08-23,14.25,15.2,13.11,13.29,1980
2019-08-26,13.98,13.98,13.0,13.0,200
2019-08-27,13.08,13.2,13.08,13.2,3049
2019-08-28,12.76,15.7,12.76,15.2,2801
2019-08-29,14.8,14.8,13.37,13.37,279
2019-08-30,13.11,13.16,13.11,13.16,28
2019-09-04,13.35,13.35,13.35,13.35,1
2019-09-05,14.99,14.99,13.0,13.0,302
2019-09-06,12.8,12.8,12.8,12.8,300
2019-09-11,12.72,14.36,12.71,12.98,1014
2019-09-13,14.0,14.0,13.9,13.9,2
2019-09-16,13.7,13.7,13.7,13.7,20
2019-09-18,12.71,13.88,12.31,13.88,201
2019-09-19,13.99,13.99,12.07,13.8,855
2019-09-20,11.6,13.89,11.6,13.02,204
2019-09-23,12.55,13.98,12.55,13.98,218
2019-09-25,13.89,13.89,12.55,12.59,312
2019-09-26,12.85,13.0,12.85,13.0,2
2019-09-27,13.4,13.75,12.1,12.41,5920
2019-09-30,12.5,12.5,11.9,11.9,304
2019-10-01,13.5,13.5,13.5,13.5,500
2019-10-03,13.9,13.9,11.55,12.0,202
2019-10-04,12.11,13.5,12.11,13.0,94
2019-10-09,13.0,13.0,12.45,12.45,500
2019-10-11,13.0,13.0,11.9,11.9,64
2019-10-14,11.91,11.91,11.9,11.9,311
2019-10-15,12.49,12.49,12.18,12.18,346
2019-10-16,12.2,12.2,12.05,12.05,2227
2019-10-17,12.6,12.64,11.45,12.41,3701
2019-10-18,13.0,13.0,12.0,12.7,204
2019-10-22,13.0,13.0,12.98,12.98,2
2019-10-23,12.5,12.5,12.5,12.5,157
2019-10-24,12.5,12.5,11.88,12.5,1011
2019-10-25,12.2,12.9,12.2,12.85,200
2019-10-29,12.35,12.35,12.35,12.35,800
2019-10-30,12.75,12.75,12.05,12.05,1010
2019-11-01,11.52,11.52,11.52,11.52,14
