Datetime,Open,High,Low,Close,Volume
2022-09-23,220.0,220.0,201.0,211.43,12440
2022-09-26,218.25,218.25,200.45,206.93,18388
2022-09-27,205.5,212.45,200.5,202.53,6918
2022-09-28,209.5,209.5,202.15,203.65,7414
2022-09-29,210.0,210.0,198.08,200.35,9594
2022-09-30,201.98,205.45,198.28,203.68,1896
2022-10-03,205.5,205.5,200.0,201.48,13100
2022-10-04,212.0,212.0,204.63,205.43,2878
2022-10-06,207.5,213.03,207.5,210.8,3376
2022-10-07,220.0,220.3,209.43,212.35,3754
2022-10-10,217.0,217.0,209.05,214.88,8332
2022-10-11,219.7,220.3,206.9,208.98,9924
2022-10-12,196.0,213.5,196.0,207.88,7594
2022-10-13,210.25,210.58,205.23,205.55,2432
2022-10-14,210.0,212.45,204.55,212.0,3164
2022-10-17,215.0,230.2,207.0,224.5,25882
2022-10-18,230.5,237.58,230.5,232.05,18364
2022-10-19,241.5,241.5,230.03,232.73,21414
2022-10-20,235.0,236.63,211.25,231.65,16380
2022-10-21,232.73,240.0,218.5,221.23,9860
2022-10-24,231.5,233.43,222.5,224.93,11444
2022-10-25,232.5,232.5,220.0,224.38,4674
2022-10-27,227.0,235.0,224.8,232.55,5384
2022-10-28,239.5,247.3,229.8,239.9,9702
2022-10-31,244.5,246.5,235.5,238.23,16566
2022-11-01,240.95,243.05,234.48,239.15,31150
2022-11-02,242.28,243.98,237.23,238.6,18250
2022-11-03,239.35,241.4,233.0,235.73,6554
2022-11-04,227.75,242.43,227.75,238.95,16686
2022-11-07,244.58,244.58,230.9,232.33,5958
2022-11-09,227.5,235.03,219.93,222.05,35972
2022-11-10,216.0,229.1,216.0,223.68,14830
2022-11-11,227.95,229.65,218.0,219.2,9972
2022-11-14,215.0,221.6,215.0,220.03,7866
2022-11-15,225.0,225.0,219.9,222.55,9796
2022-11-16,227.0,227.0,199.2,206.83,70282
2022-11-17,214.0,214.0,207.0,211.05,8570
2022-11-18,214.48,219.5,210.55,218.15,9378
2022-11-21,217.5,225.48,216.55,219.6,5478
2022-11-22,221.18,223.5,218.05,221.28,2512
2022-11-23,221.28,222.5,217.0,217.48,2292
2022-11-24,212.6,222.5,209.1,210.35,8310
2022-11-25,211.4,214.13,209.0,210.85,7868
2022-11-28,216.5,216.5,204.0,209.18,9062
2022-11-29,211.0,213.0,207.5,208.73,5128
2022-11-30,212.5,222.0,209.03,218.45,8726
2022-12-01,223.98,225.0,211.08,212.1,2968
2022-12-02,209.0,218.5,209.0,214.53,4768
2022-12-05,224.0,224.0,215.78,217.95,1968
2022-12-06,218.95,221.0,215.13,217.58,6272
2022-12-07,217.33,218.25,212.33,215.83,11754
2022-12-08,216.33,218.5,216.0,218.28,3548
2022-12-09,218.53,219.48,211.75,212.4,6706
2022-12-12,212.5,220.75,210.0,211.68,5274
2022-12-13,214.3,215.95,213.2,213.95,616
2022-12-14,215.35,216.48,214.28,214.48,1044
2022-12-15,214.55,216.0,212.4,214.63,4474
2022-12-16,214.0,217.0,213.08,215.28,1092
2022-12-19,215.28,222.5,212.9,214.78,7316
2022-12-20,218.0,218.0,213.0,214.6,3264
2022-12-21,216.25,218.48,208.2,210.6,2366
2022-12-22,205.5,212.25,204.05,206.38,4382
2022-12-23,202.5,207.0,196.53,197.43,15450
2022-12-26,195.5,214.5,178.33,210.03,6080
2022-12-27,214.5,215.93,206.45,209.08,1798
2022-12-28,210.48,213.45,208.98,211.75,3824
2022-12-29,215.0,215.0,208.65,211.15,2934
2022-12-30,224.0,224.0,209.98,212.43,7430
2023-01-02,214.78,222.5,213.93,220.0,23612
2023-01-03,222.5,224.5,219.0,222.13,17126
2023-01-04,224.08,226.0,219.85,220.0,2296
2023-01-05,225.98,225.98,216.05,221.28,2960
2023-01-06,216.9,221.75,216.9,219.63,1310
2023-01-09,226.0,226.0,217.5,218.73,1788
2023-01-10,220.28,220.28,217.88,218.9,236
2023-01-11,218.75,219.93,217.45,218.35,1764
2023-01-12,220.2,226.0,218.45,219.0,354
2023-01-13,220.48,226.0,218.8,221.68,5138
2023-01-16,231.5,237.73,220.05,221.38,19992
