Datetime,Open,High,Low,Close,Volume
2019-05-28,0.07,0.07,0.06,0.07,621000
2019-05-29,0.07,0.07,0.06,0.07,996650
2019-05-30,0.07,0.07,0.06,0.07,172800
2019-06-03,0.07,0.07,0.06,0.07,3050
2019-06-10,0.06,0.07,0.06,0.07,113960
2019-06-11,0.06,0.07,0.06,0.07,607500
2019-06-12,0.06,0.07,0.06,0.07,9000
2019-06-13,0.07,0.07,0.07,0.07,750
2019-06-14,0.07,0.07,0.06,0.06,170
2019-06-17,0.07,0.07,0.07,0.07,15000
2019-06-18,0.07,0.07,0.07,0.07,6770
2019-06-19,0.07,0.07,0.07,0.07,714950
2019-06-21,0.08,0.08,0.08,0.08,105470
2019-06-24,0.08,0.08,0.08,0.08,135000
2019-06-25,0.08,0.08,0.08,0.08,76500
2019-06-26,0.09,0.09,0.08,0.09,1324560
2019-06-27,0.08,0.09,0.08,0.09,439580
2019-06-28,0.08,0.09,0.08,0.09,1321370
2019-07-01,0.09,0.09,0.09,0.09,664350
2019-07-02,0.09,0.1,0.09,0.1,146750
2019-07-03,0.1,0.1,0.1,0.1,193100
2019-07-04,0.11,0.11,0.1,0.11,392000
2019-07-05,0.11,0.11,0.1,0.11,740840
2019-07-08,0.12,0.12,0.11,0.12,2560080
2019-07-09,0.12,0.12,0.12,0.12,1243680
2019-07-10,0.13,0.13,0.12,0.13,628280
2019-07-11,0.13,0.13,0.12,0.13,560870
2019-07-12,0.14,0.14,0.12,0.12,596190
2019-07-15,0.12,0.13,0.12,0.12,702170
2019-07-16,0.12,0.12,0.11,0.11,98300
2019-07-17,0.12,0.12,0.11,0.11,331560
2019-07-18,0.11,0.11,0.1,0.1,456830
2019-07-19,0.11,0.11,0.1,0.1,214820
2019-07-22,0.09,0.09,0.09,0.09,28230
2019-07-23,0.09,0.09,0.09,0.09,590300
2019-07-24,0.09,0.09,0.09,0.09,92700
2019-07-25,0.08,0.08,0.08,0.08,240000
2019-07-26,0.08,0.08,0.08,0.08,38340
2019-07-29,0.08,0.08,0.08,0.08,1500
2019-07-30,0.08,0.08,0.08,0.08,10130
