Datetime,Open,High,Low,Close,Volume
2022-08-29,8.7,9.15,8.5,9.15,7290
2022-08-30,9.15,9.15,9.15,9.15,3110
2022-09-01,9.33,9.57,9.33,9.45,1340
2022-09-02,9.45,9.45,9.45,9.45,20
2022-09-06,9.4,9.4,8.98,8.98,2480
2022-09-07,8.98,9.4,8.54,9.09,12080
2022-09-08,8.98,8.98,8.98,8.98,10
2022-09-09,8.98,9.4,8.98,9.25,10230
2022-09-12,9.71,9.71,9.71,9.71,4750
2022-09-13,10.2,10.2,9.71,10.2,95910
2022-09-14,10.7,10.7,10.1,10.62,5730
2022-09-15,10.72,11.15,10.72,11.15,9850
2022-09-16,11.15,11.71,11.15,11.71,4950
2022-09-19,12.29,12.29,12.2,12.29,15500
2022-09-20,12.9,12.9,11.7,12.9,71380
2022-09-21,12.9,12.9,12.26,12.26,5130
2022-09-22,12.26,12.26,11.65,11.65,1300
2022-09-23,11.07,11.07,11.07,11.07,7040
2022-09-26,10.8,10.8,10.52,10.52,7850
2022-09-27,9.99,10.52,9.99,10.52,1500
2022-09-28,9.99,9.99,9.99,9.99,4570
2022-09-29,9.5,9.99,9.5,9.99,3220
2022-09-30,9.49,9.49,9.49,9.49,10330
2022-10-03,9.97,9.97,9.97,9.97,2640
2022-10-04,10.42,10.42,10.16,10.42,1710
2022-10-06,10.65,10.94,10.3,10.9,7570
2022-10-07,10.41,10.41,10.36,10.36,2150
2022-10-10,10.36,10.41,10.36,10.41,400
2022-10-11,10.41,10.41,10.41,10.41,280
2022-10-12,10.93,10.93,9.89,10.59,6500
2022-10-13,10.95,10.95,10.06,10.06,7210
2022-10-14,10.06,10.06,9.56,9.56,150
2022-10-17,10.04,10.04,10.04,10.04,300
2022-10-18,10.0,10.0,9.56,9.56,2380
2022-10-19,9.56,10.0,9.56,10.0,20
2022-10-20,10.5,10.5,10.0,10.0,120
2022-10-21,10.0,10.0,10.0,10.0,500
2022-10-24,10.5,10.5,10.5,10.5,20
2022-10-25,10.5,10.5,10.5,10.5,760
2022-10-27,10.5,11.03,10.5,10.92,50
2022-10-28,10.8,10.8,10.8,10.8,70
2022-11-02,10.48,10.48,10.48,10.48,40
2022-11-03,10.48,10.48,10.48,10.48,10
2022-11-04,10.4,10.4,10.0,10.0,110
2022-11-07,9.95,10.0,9.95,10.0,400
2022-11-09,9.9,9.9,9.9,9.9,10
2022-11-10,9.9,9.9,9.9,9.9,1350
2022-11-11,10.0,10.0,10.0,10.0,10
2022-11-14,10.4,10.4,9.5,9.5,1250
2022-11-15,9.9,9.98,9.5,9.5,5150
2022-11-16,9.98,9.98,9.03,9.4,2260
2022-11-17,9.87,9.87,9.2,9.2,1930
2022-11-18,9.66,9.66,9.66,9.66,10
2022-11-21,9.66,9.66,9.6,9.6,150
2022-11-22,10.08,10.08,10.08,10.08,1030
2022-11-23,10.11,10.11,9.59,9.6,1410
2022-11-24,9.4,10.07,9.12,9.14,3290
2022-11-25,9.06,9.58,8.71,9.58,3090
2022-11-28,9.29,10.04,9.11,10.04,1940
2022-11-29,10.3,10.3,9.61,9.61,56850
2022-11-30,9.57,10.07,9.15,9.15,2050
2022-12-01,9.15,9.61,9.13,9.52,1230
2022-12-02,9.05,9.06,9.05,9.05,1610
2022-12-05,9.49,9.49,9.49,9.49,1000
2022-12-06,9.95,9.95,9.05,9.74,1170
2022-12-07,9.74,9.74,9.74,9.74,500
2022-12-08,9.26,10.19,9.25,10.19,1890
2022-12-09,9.89,10.7,9.7,9.7,10030
2022-12-12,9.24,9.31,9.22,9.22,4610
2022-12-13,8.76,8.76,8.76,8.76,1190
2022-12-15,9.02,9.19,9.02,9.19,250
2022-12-16,9.65,9.65,8.74,9.6,4520
2022-12-19,9.13,9.9,9.13,9.2,1270
2022-12-20,8.9,8.9,8.9,8.9,250
2022-12-22,9.35,9.35,9.34,9.34,70
2022-12-23,9.62,9.62,8.87,8.87,51830
2022-12-26,8.86,9.3,8.86,9.3,50720
2022-12-27,9.7,9.7,8.84,8.91,210
2022-12-29,8.48,9.35,8.48,9.35,50530
2022-12-30,8.89,9.7,8.89,9.7,26000
2023-01-02,10.19,10.19,10.19,10.19,1770
2023-01-03,10.69,10.69,10.5,10.69,30970
2023-01-04,11.22,11.22,11.22,11.22,11210
2023-01-05,11.78,11.78,11.78,11.78,5630
2023-01-06,12.37,12.37,11.78,12.37,64030
2023-01-09,12.97,12.98,11.75,12.95,128810
2023-01-10,13.6,13.6,12.31,12.31,7030
2023-01-11,11.69,11.69,11.69,11.69,1080
2023-01-12,11.11,11.11,11.11,11.11,830
2023-01-13,10.56,11.67,10.56,10.75,31430
2023-01-16,10.75,11.2,10.75,11.2,16620
2023-01-17,11.76,11.76,11.76,11.76,2710
2023-01-18,12.35,12.35,12.35,12.35,101920
2023-01-19,12.96,12.96,12.96,12.96,21680
2023-01-20,13.61,13.61,12.49,13.61,256030
2023-01-23,14.2,14.29,12.93,12.99,410330
2023-01-24,12.35,13.64,12.35,13.61,206610
2023-01-25,13.88,14.2,12.93,13.88,16110
2023-01-27,13.19,14.45,13.19,14.0,11780
2023-01-30,14.0,14.0,13.3,13.89,4780
2023-01-31,13.89,13.89,13.2,13.21,1980
2023-02-01,12.55,13.63,12.55,12.55,15610
2023-02-02,11.93,12.97,11.93,12.62,120720
2023-02-03,12.62,13.25,12.0,13.22,58380
2023-02-06,13.87,13.88,12.56,13.64,35820
2023-02-07,13.5,13.5,12.96,13.18,7090
2023-02-08,13.18,13.18,13.18,13.18,610
2023-02-09,13.49,13.49,12.53,12.66,42220
2023-02-10,12.03,13.09,12.03,12.2,29140
2023-02-13,11.59,12.0,11.59,11.59,30280
2023-02-14,11.02,11.02,11.02,11.02,2010
2023-02-15,11.02,11.5,11.02,11.5,130
2023-02-16,11.0,12.0,11.0,11.26,46060
2023-02-17,10.7,11.6,10.7,10.71,1160
2023-02-20,11.24,11.24,11.24,11.24,10
2023-02-21,11.8,11.8,10.68,11.55,178460
2023-02-22,11.26,12.1,10.97,11.0,980
2023-02-23,11.0,11.49,11.0,11.49,40
2023-02-24,11.49,11.49,11.45,11.45,100260
2023-02-27,11.45,11.45,10.9,10.94,6450
2023-03-01,10.88,11.48,10.88,11.21,1180
2023-03-02,11.77,11.77,11.77,11.77,11280
2023-03-03,11.2,12.35,11.2,12.21,8000
2023-03-06,12.45,12.45,11.61,12.4,1470
2023-03-08,12.4,12.4,11.9,11.9,1570
2023-03-09,11.31,11.31,11.31,11.31,1130
2023-03-10,10.74,10.74,10.74,10.74,21000
2023-03-13,10.74,10.74,10.21,10.21,1140
2023-03-14,10.21,10.21,9.7,9.7,4010
2023-03-15,9.7,9.7,9.22,9.22,3480
2023-03-16,9.68,9.68,8.76,9.68,2010
2023-03-17,10.15,10.15,9.2,9.2,7700
2023-03-20,9.0,9.0,8.74,8.74,2510
2023-03-21,8.74,9.18,8.31,8.9,3220
2023-03-22,8.46,9.35,8.46,9.18,760
2023-03-23,9.06,9.35,9.06,9.35,360
2023-03-24,9.35,9.82,8.89,9.82,7920
2023-03-27,9.32,9.35,9.32,9.32,1980
2023-03-29,8.86,8.86,8.86,8.86,1000
2023-03-31,8.42,8.45,8.42,8.45,1010
2023-04-03,8.87,8.87,8.87,8.87,100
2023-04-05,8.87,9.32,8.87,9.32,200
2023-04-06,9.3,9.7,8.85,9.06,1360
2023-04-10,9.5,9.5,9.5,9.5,1520
2023-04-11,9.98,9.98,9.03,9.9,5680
2023-04-12,9.9,9.9,9.9,9.9,100
2023-04-13,9.88,9.88,9.58,9.58,2170
2023-04-17,9.58,10.06,9.58,10.06,2140
2023-04-18,10.56,10.56,9.8,10.56,210
2023-04-21,10.5,10.5,10.5,10.5,20
2023-04-25,10.39,10.39,10.3,10.3,130
2023-04-27,9.8,9.8,9.79,9.79,100010
2023-04-28,9.3,9.3,9.3,9.3,97610
2023-05-02,9.3,9.3,8.83,8.84,1630
2023-05-03,8.39,8.39,8.39,8.39,6610
2023-05-04,8.39,8.39,7.98,7.98,400
2023-05-05,8.3,8.37,8.3,8.3,1610
2023-05-08,8.3,8.3,8.3,8.3,1550
2023-05-10,7.89,8.72,7.89,7.89,141220
2023-05-11,8.29,8.29,8.29,8.29,102720
2023-05-12,8.7,8.7,8.7,8.7,3500
2023-05-15,9.14,9.14,9.14,9.14,1000
2023-05-16,9.59,9.59,9.57,9.59,3520
2023-05-17,10.07,10.07,9.59,10.07,6310
2023-05-18,10.07,10.57,10.07,10.57,3950
2023-05-19,10.04,11.1,10.04,11.1,2660
2023-05-22,11.5,11.65,10.55,11.65,1150
2023-05-23,12.19,12.23,11.07,11.2,66430
2023-05-24,10.7,11.7,10.7,11.19,5030
2023-05-25,11.19,11.75,10.8,11.73,56840
2023-05-26,12.31,12.31,11.15,11.25,2360
2023-05-29,11.25,11.82,11.25,11.82,830
2023-05-30,12.2,12.3,11.8,11.85,5610
2023-05-31,12.44,12.44,12.44,12.44,18040
2023-06-01,13.06,13.06,13.0,13.0,20110
2023-06-02,13.6,13.65,13.6,13.65,21150
2023-06-05,14.33,14.33,14.33,14.33,122610
2023-06-06,15.0,15.05,13.62,15.0,80790
2023-06-07,15.75,15.75,15.0,15.75,194270
2023-06-08,16.34,16.54,15.4,16.54,71510
2023-06-09,17.27,17.3,15.81,17.3,242610
2023-06-12,17.36,18.16,17.19,18.16,399960
2023-06-13,18.99,19.06,18.98,19.06,96180
2023-06-14,19.9,20.01,19.9,20.01,14370
2023-06-15,20.89,21.01,20.1,20.83,346710
2023-06-16,21.87,21.87,21.1,21.87,27360
2023-06-19,22.96,22.96,21.2,21.21,42260
2023-06-20,21.0,22.27,21.0,21.2,85340
2023-06-21,21.5,21.5,21.0,21.31,15410
2023-06-22,20.25,21.31,20.25,21.23,17890
2023-06-23,21.48,21.5,21.1,21.2,57120
2023-06-26,21.21,21.5,21.12,21.12,26440
2023-06-27,21.65,21.65,21.15,21.5,10180
2023-06-28,21.2,21.2,21.13,21.13,6700
2023-06-30,20.71,21.5,20.71,21.2,4570
2023-07-03,22.0,22.0,21.8,21.8,3000
2023-07-04,22.2,22.2,22.2,22.2,450
2023-07-05,22.0,22.0,21.09,21.79,49790
