Datetime,Open,High,Low,Close,Volume
2019-07-15,11.0,11.0,11.0,11.0,10
2019-07-29,10.45,10.45,10.45,10.45,40
2019-11-01,10.45,10.45,10.45,10.45,1
2019-11-27,10.45,10.45,10.45,10.45,25
2019-12-23,10.0,10.0,10.0,10.0,10
2020-01-28,9.8,9.8,9.8,9.8,140
2020-01-29,9.8,9.8,9.8,9.8,40
2020-02-19,9.31,9.31,9.31,9.31,1
2020-02-25,8.85,8.85,8.85,8.85,9
2020-08-06,8.85,8.85,8.85,8.85,660
2020-09-08,9.0,9.0,9.0,9.0,1100
2020-09-09,9.0,9.0,9.0,9.0,1100
2020-09-11,9.0,9.0,9.0,9.0,40
2020-09-14,9.0,9.0,9.0,9.0,98
2020-09-15,9.0,9.0,9.0,9.0,30
2020-09-17,9.0,9.0,9.0,9.0,60
2020-09-18,9.0,9.0,9.0,9.0,45
2020-09-21,9.0,9.15,9.0,9.0,405
2020-09-23,9.0,9.0,9.0,9.0,45
2020-12-14,9.45,9.45,9.4,9.4,200
2020-12-16,9.85,9.85,9.85,9.85,50
2020-12-17,9.85,9.85,9.85,9.85,10
2020-12-21,9.85,9.85,9.85,9.85,150
2020-12-23,9.85,9.85,9.85,9.85,1650
2021-01-12,9.85,9.85,9.85,9.85,1
2021-01-14,9.85,10.34,9.85,10.34,2
2021-01-15,10.34,10.34,10.34,10.34,10
2021-02-15,10.85,10.85,10.85,10.85,1
2021-03-09,10.85,10.85,10.85,10.85,1
2021-04-16,11.0,11.0,11.0,11.0,1
2021-04-19,11.55,11.55,11.55,11.55,1000
2021-04-20,12.12,12.12,11.0,12.0,209
2021-04-22,12.6,12.6,12.6,12.6,100
2021-04-23,13.23,13.23,13.23,13.23,113
2021-04-26,13.23,13.23,13.23,13.23,900
2021-04-27,13.23,13.89,13.23,13.89,1105
2021-04-28,13.89,13.89,13.89,13.89,825
2021-04-29,13.89,13.89,13.89,13.89,470
2021-04-30,13.89,13.89,13.8,13.8,460
2021-05-03,13.8,13.8,13.8,13.8,945
2021-06-08,13.11,13.11,13.11,13.11,100
2021-07-07,12.46,12.46,12.46,12.46,60
2021-07-14,11.84,13.08,11.84,13.08,181
2021-07-15,13.73,13.73,13.05,13.05,82
2021-07-19,12.4,13.65,12.4,13.63,1029
2021-07-20,14.31,14.31,14.31,14.31,1
2021-07-22,15.02,15.02,13.6,14.84,300
2021-07-23,15.58,15.58,15.58,15.58,1
2021-07-26,16.0,16.0,15.86,15.86,6
2021-07-28,16.65,16.65,16.64,16.64,17
2021-07-29,17.47,17.47,17.1,17.1,3
2021-07-30,17.95,17.95,16.8,16.8,3
2021-08-03,17.6,17.6,16.0,16.0,145
2021-08-04,16.8,16.8,16.5,16.5,6
2021-08-05,17.3,17.3,17.3,17.3,1
2021-08-06,18.15,18.15,16.45,18.15,32
2021-08-09,19.05,19.05,18.9,19.0,51
2021-08-10,19.95,19.95,18.5,18.5,103
2021-08-18,19.4,19.4,19.4,19.4,101
2021-08-20,19.4,19.4,19.0,19.0,35
2021-08-23,19.95,19.95,18.05,18.05,194
2021-08-24,17.15,17.15,17.15,17.15,1
2021-08-26,18.0,18.0,16.3,18.0,308
2021-08-27,18.9,18.9,18.9,18.9,1
2021-08-30,19.8,19.8,19.5,19.5,19
2021-08-31,20.45,20.45,18.55,18.55,12
2021-09-01,17.65,17.65,17.65,17.65,16
2021-09-02,18.0,18.5,16.8,16.8,27
2021-09-03,17.15,17.15,16.95,16.95,25
2021-09-09,16.8,16.8,16.8,16.8,1
2021-09-16,17.6,17.6,17.5,17.5,2
2021-09-22,17.5,17.5,17.5,17.5,1
2021-09-24,18.35,18.35,18.25,18.25,2
2021-09-28,19.05,19.15,18.6,18.6,3
2021-09-29,19.5,19.5,17.7,19.4,56
2021-09-30,19.4,19.4,19.4,19.4,1
2021-10-06,20.35,20.35,19.2,19.2,6
2021-10-07,19.2,19.2,19.2,19.2,16
2021-10-11,19.0,19.7,19.0,19.7,13
2021-10-18,20.65,20.65,20.65,20.65,14
2021-10-19,20.65,20.65,20.65,20.65,22
2021-10-22,20.0,20.0,20.0,20.0,95
2021-10-25,20.0,20.0,20.0,20.0,2712
2021-10-26,20.0,21.0,20.0,21.0,166
2021-10-27,22.05,22.05,22.05,22.05,269
2021-10-28,23.15,23.15,22.05,23.15,573
2021-10-29,24.3,24.3,23.95,24.3,300
2021-11-01,25.5,25.5,25.5,25.5,510
2022-01-10,26.75,26.75,26.7,26.75,177
2022-01-11,28.05,28.05,28.0,28.0,255
2022-02-14,28.0,29.4,28.0,28.7,145
2022-04-22,30.05,30.1,30.05,30.1,150
2022-06-14,28.6,31.6,28.6,31.6,100
2022-06-15,30.05,30.15,30.05,30.15,500
2022-09-06,31.65,31.65,31.65,31.65,15768
2022-09-07,33.2,33.2,33.2,33.2,2640
2022-12-15,33.2,33.2,33.2,33.2,1
2023-01-09,33.2,33.2,31.55,31.55,200
2023-02-02,33.0,33.0,33.0,33.0,100
2023-02-06,34.65,34.65,34.65,34.65,50
2023-02-07,34.0,34.0,34.0,34.0,500
2023-03-02,32.3,32.3,32.3,32.3,30
2023-03-13,30.69,30.69,30.69,30.69,1
