Datetime,Open,High,Low,Close,Volume
2019-05-28,23.2,31.16,23.2,29.0,648
2019-05-29,29.6,34.8,29.6,34.8,20035
2019-05-30,38.36,41.56,35.44,40.84,95350
2019-06-03,37.64,39.2,37.2,37.84,3398
2019-06-10,34.0,36.36,32.84,35.2,5153
2019-06-11,32.8,38.68,32.04,38.24,7479
2019-06-12,38.4,40.72,37.52,38.84,7084
2019-06-13,40.0,40.08,37.6,37.68,5101
2019-06-14,39.84,39.84,35.36,35.48,888
2019-06-17,33.76,35.52,32.88,33.2,4668
2019-06-18,32.8,33.52,32.04,32.08,1563
2019-06-19,34.72,34.72,30.48,31.84,2510
2019-06-20,29.68,32.4,29.68,30.56,224
2019-06-21,28.88,30.8,28.88,30.8,3864
2019-06-24,28.88,31.6,28.88,30.44,1150
2019-06-25,32.6,32.6,29.32,31.16,4336
2019-06-26,29.32,32.48,29.32,30.16,118
2019-06-27,28.92,32.6,28.92,30.8,43
2019-06-28,29.0,32.8,29.0,32.04,6976
2019-07-01,31.12,31.16,29.6,31.16,993
2019-07-02,29.56,31.24,29.08,30.6,1324
2019-07-03,28.88,33.08,28.88,32.28,7654
2019-07-04,32.28,34.8,32.28,33.76,6300
2019-07-05,34.0,34.08,32.44,33.28,1504
2019-07-08,35.12,35.44,33.0,34.32,3961
2019-07-09,32.04,35.12,32.04,32.84,5706
2019-07-10,32.32,32.96,31.64,31.76,65453
2019-07-11,32.0,32.36,30.6,32.36,250
2019-07-12,33.0,33.0,31.52,31.88,3003
2019-07-15,28.88,32.92,28.88,30.76,3909
2019-07-16,30.4,30.56,30.12,30.4,655
2019-07-17,30.68,31.92,30.08,30.48,2138
2019-07-18,29.2,31.76,29.2,30.4,596
2019-07-19,29.36,30.36,29.0,29.44,5289
2019-07-22,30.6,30.6,29.2,29.36,783
2019-07-23,29.48,31.92,28.88,28.88,4249
2019-07-24,28.96,30.72,28.2,29.68,5374
2019-07-25,28.12,31.2,28.12,29.48,3661
2019-07-26,28.16,30.4,28.16,29.6,720
2019-07-29,28.4,30.6,26.8,29.6,2360
2019-07-30,27.44,29.8,27.44,28.16,928
2019-07-31,25.68,30.16,25.68,29.32,825
2019-08-01,30.28,30.96,27.72,28.8,658
2019-08-02,27.44,28.72,27.32,28.32,2038
2019-08-05,26.6,28.8,26.6,28.0,5
2019-08-06,25.6,29.16,25.6,27.68,676
2019-08-07,25.68,28.92,25.68,27.6,1959
2019-08-08,27.92,28.92,26.44,28.6,429
2019-08-09,27.88,30.52,27.88,29.32,2716
2019-08-13,29.16,31.2,28.44,29.24,3294
2019-08-14,27.2,29.16,26.0,28.16,12615
2019-08-16,27.2,27.56,25.88,26.44,11004
2019-08-19,27.16,27.16,24.24,24.88,3206
2019-08-20,26.28,26.4,22.96,25.6,1206
2019-08-21,25.32,25.4,24.08,25.16,16481
2019-08-22,24.0,25.12,23.8,25.12,949
2019-08-23,22.68,25.52,22.68,24.76,1061
2019-08-26,22.48,24.08,22.48,24.08,1566
2019-08-27,24.08,24.8,24.08,24.76,1314
2019-08-28,24.12,24.12,24.12,24.12,949
2019-08-29,26.32,26.4,24.08,24.12,1015
2019-08-30,24.2,24.36,23.44,23.44,1261
2019-09-03,21.92,23.96,21.92,22.96,228
2019-09-04,24.76,24.76,22.56,23.52,35
2019-09-05,22.68,24.72,21.28,21.6,4674
2019-09-06,22.48,23.08,22.48,22.96,244
2019-09-11,28.56,28.56,25.96,26.92,8246
2019-09-12,26.32,26.32,25.6,25.6,625
2019-09-13,24.84,30.4,24.84,29.2,6355
2019-09-16,27.2,30.36,27.2,29.6,1064
2019-09-17,26.4,31.84,26.4,29.84,8204
2019-09-18,31.2,32.0,30.8,30.88,9005
2019-09-19,30.2,31.2,29.88,30.88,5179
2019-09-20,31.04,31.2,30.0,30.04,1653
2019-09-23,29.68,30.36,28.92,30.04,3036
2019-09-24,29.4,30.0,27.36,28.32,10339
2019-09-25,29.6,30.2,27.36,28.24,2569
2019-09-26,25.0,30.2,25.0,29.6,1409
2019-09-27,32.76,32.76,25.6,28.8,561
2019-09-30,27.08,29.16,27.08,28.64,7783
2019-10-01,25.28,29.12,25.28,27.08,1355
2019-10-03,31.68,31.68,25.52,26.72,706
2019-10-04,29.08,29.08,26.4,26.4,2006
2019-10-07,27.2,27.8,25.28,27.8,190
2019-10-09,24.84,29.52,24.84,29.52,1554
2019-10-10,32.4,32.4,26.08,28.0,189
2019-10-11,25.6,27.48,25.32,25.44,9965
2019-10-14,24.2,28.8,24.2,25.8,88
2019-10-15,24.72,27.2,24.72,25.32,415
2019-10-16,24.6,25.6,24.6,25.48,1389
2019-10-17,27.72,27.76,24.96,25.04,4590
2019-10-18,24.56,24.84,24.56,24.64,1206
2019-10-22,23.48,26.8,23.48,24.24,616
2019-10-23,24.2,25.2,24.2,25.2,133
2019-10-24,25.6,25.6,24.4,24.4,534
2019-10-25,22.96,25.2,22.96,25.04,753
2019-10-29,23.2,26.8,23.2,26.8,433
2019-10-30,27.56,27.56,27.2,27.2,1251
2019-10-31,26.0,27.48,25.64,26.16,1820
2019-11-01,24.08,28.0,24.08,26.36,1274
2019-11-04,25.28,27.12,25.28,25.6,740
2019-11-05,24.88,26.24,24.88,25.68,70
2019-11-06,24.96,26.2,24.96,25.4,543
2019-11-07,25.16,26.96,25.16,25.68,1083
2019-11-08,29.16,29.16,26.8,27.4,4419
2019-11-13,28.0,28.0,26.08,26.4,570
2019-11-14,24.84,30.24,24.04,24.44,19825
2019-11-15,27.2,27.2,23.08,24.88,1386
2019-11-18,21.36,26.4,21.36,24.48,2570
2019-11-19,22.4,24.88,22.4,24.4,948
2019-11-20,23.2,24.8,23.2,24.0,2575
2019-11-21,25.4,25.4,21.72,23.64,1746
2019-11-22,27.96,27.96,23.2,23.2,200
2019-11-25,21.68,24.08,21.68,22.52,4689
2019-11-26,26.72,26.72,22.24,22.92,1546
2019-11-27,22.4,23.56,22.4,22.72,1673
2019-11-28,22.4,24.4,22.4,23.24,3629
2019-11-29,26.4,26.4,22.6,22.76,648
2019-12-02,21.28,23.28,21.28,22.24,2076
2019-12-03,20.48,23.6,20.48,23.56,1146
2019-12-04,21.24,24.0,21.24,23.08,2914
2019-12-05,21.0,24.0,21.0,23.36,330
2019-12-06,21.6,23.92,21.6,23.24,1273
2019-12-09,25.2,25.2,22.16,23.0,6990
2019-12-10,24.0,25.36,21.28,21.84,1710
2019-12-11,25.12,25.12,20.48,21.44,3029
2019-12-12,24.72,24.72,20.68,21.12,2703
2019-12-13,21.24,23.52,20.88,21.6,6856
2019-12-16,24.28,24.28,20.8,22.12,2549
2019-12-17,22.12,22.52,21.56,22.24,4715
2019-12-18,23.52,23.52,21.28,21.8,5640
2019-12-19,18.8,23.12,18.8,22.08,341
2019-12-20,18.8,22.96,18.8,22.04,1245
2019-12-23,23.6,23.6,20.16,21.2,5835
2019-12-24,23.2,23.2,20.16,21.36,2181
2019-12-26,22.96,22.96,20.84,21.16,340
2019-12-27,22.6,22.6,20.04,20.76,3211
2019-12-30,22.4,22.4,19.72,20.84,10250
2019-12-31,21.6,21.96,20.44,20.88,2929
2020-01-01,22.28,22.28,19.84,20.96,2164
2020-01-02,22.36,22.36,19.48,21.04,5094
2020-01-03,22.4,22.4,20.88,21.24,1740
2020-01-06,19.2,21.6,19.2,20.64,1989
2020-01-07,19.0,24.76,19.0,23.72,209428
2020-01-08,21.6,22.6,20.96,21.32,17546
2020-01-09,23.2,23.2,20.88,21.48,5496
2020-01-10,22.08,22.08,21.2,21.48,3976
2020-01-13,20.8,22.28,20.8,21.44,4004
2020-01-14,20.8,23.12,20.8,21.76,5298
2020-01-15,20.84,22.2,20.84,22.12,3150
2020-01-16,21.2,24.96,21.2,22.72,33871
2020-01-17,22.04,25.2,22.04,24.72,15403
2020-01-20,27.04,27.04,22.48,23.72,7953
2020-01-21,25.2,25.2,22.32,22.76,1086
2020-01-22,22.16,23.16,22.16,22.52,1840
2020-01-23,23.2,23.2,22.12,22.76,4571
2020-01-24,21.64,23.2,21.64,22.88,408
2020-01-27,20.8,22.68,20.8,22.0,1268
2020-01-28,23.2,23.2,21.84,22.28,1203
2020-01-29,20.4,23.2,20.4,22.4,6769
2020-01-30,23.2,23.2,21.72,22.48,1141
2020-01-31,20.0,22.8,20.0,21.96,15
2020-02-01,24.0,24.0,20.92,21.36,838
2020-02-03,20.0,22.28,20.0,21.48,1526
2020-02-04,23.12,23.12,21.0,21.36,5428
