Datetime,Open,High,Low,Close,Volume
2024-08-23,120.0,120.0,120.0,120.0,200000
2024-12-18,144.0,144.0,144.0,144.0,800000
2025-11-17,145.6,145.6,145.6,145.6,1275000
2025-11-20,145.6,145.6,145.6,145.6,1400000
2025-11-21,145.6,145.6,145.6,145.6,2875000
2025-11-24,145.6,145.6,145.6,145.6,3825000
2025-11-25,145.6,145.6,145.6,145.6,1725000
2025-12-01,145.6,145.6,145.6,145.6,2750000
2025-12-03,145.6,145.6,145.6,145.6,1400000
2025-12-08,145.6,145.6,145.6,145.6,700000
2025-12-09,145.6,145.6,145.6,145.6,700000
2025-12-11,145.6,145.6,145.6,145.6,700000
2025-12-26,145.6,145.6,145.6,145.6,1750000
2026-03-27,145.6,145.6,145.6,145.6,50000
2026-03-30,145.6,145.6,145.6,145.6,225000
