Datetime,Open,High,Low,Close,Volume
2019-05-28,17.0,17.0,16.33,16.38,4018
2019-05-29,16.5,16.5,16.08,16.5,3100
2019-05-30,16.08,16.5,16.08,16.15,2162
2019-06-03,16.08,16.95,16.08,16.3,888
2019-06-10,16.27,16.85,16.27,16.35,2822
2019-06-11,16.25,17.5,16.25,16.98,5976
2019-06-12,16.27,17.2,16.27,17.2,494
2019-06-13,17.45,18.0,16.52,17.2,5736
2019-06-14,17.88,17.88,15.05,16.75,84948
2019-06-17,17.2,17.2,15.33,16.48,4676
2019-06-18,17.25,17.25,15.63,16.0,13902
2019-06-19,17.5,17.5,14.83,14.83,12296
2019-06-20,16.45,16.45,14.5,15.5,4250
2019-06-21,15.95,15.95,14.73,15.0,6006
2019-06-24,15.0,16.27,14.55,14.55,4662
2019-06-25,16.23,16.23,14.25,15.48,1192
2019-06-26,15.95,17.0,14.78,15.0,7060
2019-06-27,15.95,15.95,14.0,14.75,20068
2019-06-28,14.13,15.13,14.13,14.88,13934
2019-07-01,14.33,15.1,14.0,14.38,3590
2019-07-02,14.75,15.73,14.5,15.33,7036
2019-07-03,15.25,15.25,14.43,14.63,11258
2019-07-04,14.95,15.23,14.18,14.35,1702
2019-07-05,15.15,15.15,14.08,14.23,11158
2019-07-08,13.63,15.25,13.53,13.78,2012
2019-07-09,13.03,15.0,13.03,14.9,7654
2019-07-10,14.38,14.88,13.35,14.0,27564
2019-07-11,14.08,14.25,13.8,14.18,2988
2019-07-12,14.0,14.73,13.68,14.45,2732
2019-07-15,14.0,14.43,13.6,13.6,3134
2019-07-16,13.28,14.25,12.83,13.55,23918
2019-07-17,13.08,13.5,13.08,13.28,1646
2019-07-18,13.03,14.0,12.5,13.25,13332
2019-07-19,12.6,13.2,12.35,12.5,13270
2019-07-22,11.83,12.5,11.53,12.25,6590
2019-07-23,12.4,12.73,11.75,12.45,7778
2019-07-24,12.25,12.93,12.25,12.5,2456
2019-07-25,12.6,12.8,11.78,11.95,8768
2019-07-26,11.5,12.53,11.5,12.5,8370
2019-07-29,12.8,12.8,12.08,12.08,438
2019-07-30,11.83,11.83,10.2,10.33,8762
2019-07-31,12.23,12.23,10.75,11.2,5214
2019-08-01,10.53,11.88,10.3,10.38,7280
2019-08-02,10.6,11.23,9.75,10.7,19572
2019-08-05,11.0,11.0,11.0,11.0,130
2019-08-06,10.3,11.0,10.25,11.0,3344
2019-08-07,10.68,11.2,10.68,11.2,4788
2019-08-08,10.63,11.25,10.28,10.58,29052
2019-08-09,10.95,11.4,10.5,11.05,17784
2019-08-13,11.0,11.0,10.05,10.18,14404
2019-08-14,10.0,10.95,10.0,10.6,1912
2019-08-16,11.98,11.98,10.0,11.13,1022
2019-08-19,10.8,10.8,10.63,10.75,1318
2019-08-20,10.75,10.95,10.4,10.6,3382
2019-08-21,11.23,11.23,10.38,10.4,1774
2019-08-22,10.5,10.75,10.5,10.58,3400
2019-08-23,10.13,11.08,10.0,10.5,6454
2019-08-26,10.5,11.0,10.5,11.0,4024
