Datetime,Open,High,Low,Close,Volume
2019-05-28,10.35,10.45,9.86,10.03,375880
2019-05-29,10.14,10.14,9.59,9.71,211947
2019-05-30,9.99,9.99,9.67,9.85,116379
2019-06-03,9.7,10.3,9.44,9.99,523208
2019-06-10,10.05,10.24,9.45,9.5,248170
2019-06-11,9.5,9.72,8.91,9.21,438142
2019-06-12,9.01,9.4,8.95,9.0,180844
2019-06-13,9.0,9.15,8.5,8.63,429652
2019-06-14,8.64,8.68,8.38,8.45,252410
2019-06-17,8.5,8.64,8.26,8.32,133003
2019-06-18,8.3,8.34,7.75,7.83,268023
2019-06-19,8.25,8.25,7.57,7.66,158136
2019-06-20,7.51,8.11,7.25,7.93,238763
2019-06-21,7.8,8.22,7.73,7.87,219196
2019-06-24,7.9,8.17,7.68,7.71,140877
2019-06-25,7.9,8.1,7.65,8.03,183143
2019-06-26,8.13,9.02,8.1,8.46,677058
2019-06-27,8.53,9.12,8.53,8.94,389880
2019-06-28,9.0,9.3,8.43,8.5,520436
2019-07-01,8.67,8.93,8.3,8.46,273600
2019-07-02,8.5,8.65,8.22,8.52,93932
2019-07-03,9.0,9.4,8.8,8.87,631099
2019-07-04,9.02,9.25,8.9,8.94,329461
2019-07-05,9.01,9.24,8.25,8.36,653866
2019-07-08,8.3,8.41,7.94,8.04,413008
2019-07-09,8.0,8.2,7.85,8.05,228101
2019-07-10,8.05,8.18,7.92,7.96,74788
2019-07-11,8.05,8.1,7.82,7.91,179905
2019-07-12,7.95,8.04,7.9,7.92,80988
2019-07-15,7.98,7.98,7.37,7.42,469665
2019-07-16,7.75,7.75,7.37,7.41,159896
2019-07-17,7.65,7.67,7.42,7.49,289306
2019-07-18,7.47,7.5,7.2,7.25,156565
2019-07-19,7.23,7.31,7.01,7.04,203569
2019-07-22,7.0,7.1,6.75,6.78,209652
2019-07-23,6.85,6.98,6.62,6.7,191488
2019-07-24,6.73,6.82,6.45,6.51,106050
2019-07-25,6.5,6.59,6.39,6.43,137864
2019-07-26,6.46,6.47,6.31,6.35,181101
2019-07-29,6.8,6.8,6.15,6.2,135539
2019-07-30,6.25,6.53,6.05,6.15,426947
2019-07-31,6.18,6.41,6.15,6.28,477406
2019-08-01,6.15,6.45,6.15,6.39,354587
2019-08-02,6.28,6.39,6.17,6.23,257785
2019-08-05,6.25,6.25,5.86,5.95,242853
2019-08-06,5.99,6.08,5.8,6.02,153325
2019-08-07,5.95,6.26,5.85,5.91,265979
2019-08-08,5.95,6.77,5.86,6.47,641141
2019-08-09,6.69,6.8,6.5,6.56,370469
2019-08-13,6.45,6.64,6.14,6.19,108072
2019-08-14,6.29,6.29,6.06,6.14,133317
2019-08-16,6.08,6.51,6.0,6.35,172926
2019-08-19,6.31,6.9,6.21,6.29,75986
2019-08-20,6.21,6.27,5.85,5.93,119006
2019-08-21,6.0,6.1,5.65,5.72,127413
2019-08-22,5.6,5.6,4.85,4.91,238490
2019-08-23,5.0,5.04,4.49,4.96,289406
2019-08-26,5.2,5.7,4.9,5.16,124259
2019-08-27,5.06,5.76,5.06,5.67,246915
2019-08-28,5.67,5.67,5.13,5.32,284435
2019-08-29,5.25,5.46,5.2,5.33,121447
2019-08-30,5.42,5.47,5.3,5.45,97071
2019-09-03,5.45,5.5,5.28,5.32,120773
2019-09-04,5.33,5.42,5.25,5.37,84878
2019-09-05,5.37,5.6,5.29,5.54,131554
2019-09-06,5.55,5.56,5.46,5.5,58452
2019-09-11,5.6,6.16,5.6,6.13,191562
2019-09-12,6.15,6.3,5.65,6.02,168540
2019-09-13,5.99,6.6,5.85,6.51,340646
2019-09-16,6.48,6.52,6.2,6.24,138447
2019-09-17,6.25,6.25,5.98,6.02,88294
2019-09-18,6.0,6.15,5.93,6.01,172812
2019-09-19,6.0,6.08,5.4,5.51,137822
2019-09-20,5.57,6.0,5.48,5.76,154067
2019-09-23,6.01,6.65,5.9,6.08,229665
2019-09-24,6.14,6.51,5.83,6.28,266761
2019-09-25,6.12,6.3,5.98,6.02,234230
2019-09-26,6.02,6.36,5.88,6.16,182109
2019-09-27,6.08,6.14,5.91,5.96,129618
2019-09-30,5.93,5.93,5.68,5.79,204620
2019-10-01,5.85,5.88,5.4,5.47,121845
2019-10-03,5.45,6.56,5.43,6.56,1071383
2019-10-04,7.3,7.87,7.11,7.64,2420220
2019-10-07,7.55,7.55,6.32,6.42,738116
2019-10-09,6.05,6.28,5.36,6.05,1028110
2019-10-10,6.0,6.35,5.7,5.75,290416
2019-10-11,5.72,5.73,5.47,5.47,245871
2019-10-14,5.4,5.4,5.2,5.21,254938
2019-10-15,5.15,5.44,4.95,5.37,328860
2019-10-16,5.4,5.4,5.11,5.2,183482
2019-10-17,5.38,5.38,5.05,5.16,62039
2019-10-18,5.16,5.41,5.07,5.4,167502
2019-10-22,5.3,5.67,5.3,5.62,166024
2019-10-23,5.86,5.9,5.52,5.9,171456
2019-10-24,6.19,6.19,6.19,6.19,34286
2019-10-25,6.49,6.49,6.49,6.49,90708
2019-10-29,7.15,7.15,7.15,7.15,146040
2019-10-30,7.5,7.5,7.5,7.5,184970
2019-10-31,7.87,7.87,7.87,7.87,153776
2019-11-01,8.26,8.26,8.01,8.26,1121215
2019-11-04,8.67,8.67,8.67,8.67,217797
2019-11-05,9.1,9.1,8.75,9.1,1614675
2019-11-06,9.5,9.55,9.2,9.55,1405714
2019-11-07,9.99,10.02,9.92,10.02,798318
2019-11-08,10.52,10.52,10.45,10.52,608209
2019-11-13,11.59,11.59,11.5,11.59,561178
2019-11-14,12.16,12.16,11.02,11.02,2170108
2019-11-15,10.47,10.47,10.47,10.47,61744
2019-11-18,9.95,9.95,9.95,9.95,37849
