Datetime,Open,High,Low,Close,Volume
2019-05-28,31.0,31.0,31.0,31.0,4
2019-06-03,32.5,32.55,32.5,32.55,162
2019-06-24,31.05,31.05,31.05,31.05,25
2019-06-25,30.0,30.0,29.65,29.65,125
2019-08-14,28.2,28.2,28.2,28.2,8
2019-08-29,27.0,27.0,27.0,27.0,16
2019-08-30,27.0,27.0,26.1,26.1,48
2019-10-04,24.8,24.8,24.8,24.8,1
2019-10-07,23.6,23.6,23.6,23.6,25
2019-10-09,22.7,22.7,22.7,22.7,25
2019-11-01,21.6,21.6,21.6,21.6,25
2019-11-15,22.65,22.65,22.65,22.65,43
2019-12-17,23.75,23.75,23.75,23.75,50
2019-12-27,24.9,24.9,24.9,24.9,134
2020-02-10,24.0,24.0,24.0,24.0,25
2020-02-11,25.2,25.2,25.2,25.2,150
2020-03-09,24.0,24.0,24.0,24.0,100
2020-03-13,23.0,23.0,22.8,22.8,1203
2020-03-17,23.9,23.9,23.9,23.9,100
2020-04-27,25.0,25.0,25.0,25.0,200
2020-04-29,26.2,26.2,26.2,26.2,200
2020-04-30,25.0,25.0,25.0,25.0,1
2020-05-22,25.5,25.5,25.5,25.5,150
2020-06-23,26.75,26.75,26.75,26.75,50
2020-06-24,28.05,28.05,28.05,28.05,128
2020-06-29,29.45,29.45,29.45,29.45,25
2020-07-06,30.9,30.9,30.9,30.9,250
2020-07-07,30.0,32.4,30.0,32.4,102
2020-07-08,34.0,34.0,34.0,34.0,160
2020-07-09,35.7,35.7,35.7,35.7,102
2020-07-10,37.45,37.45,36.0,36.0,167
2020-07-15,37.8,37.8,37.8,37.8,72
2020-07-16,39.65,39.65,36.1,36.1,51
2020-08-14,34.3,34.3,34.3,34.3,50
2020-08-17,32.6,32.6,32.6,32.6,25
2020-08-28,32.0,32.0,32.0,32.0,5
2020-09-04,33.6,33.6,33.6,33.6,25
2020-09-07,35.25,35.25,35.25,35.25,25
2020-09-08,37.0,37.0,36.9,37.0,26
2020-09-09,35.15,35.15,35.15,35.15,35
2020-09-11,33.4,33.4,33.4,33.4,2
2020-09-14,33.0,33.0,33.0,33.0,1
2020-09-15,34.65,34.65,34.65,34.65,35
2020-09-17,34.0,34.0,33.0,33.0,176
2020-09-25,34.65,34.65,33.0,34.65,527
2020-10-01,34.0,34.0,34.0,34.0,2
2020-10-05,34.0,34.0,34.0,34.0,60
2020-10-13,34.0,34.0,34.0,34.0,50
2020-10-28,32.3,32.3,32.3,32.3,25
2020-11-04,32.95,32.95,32.3,32.3,16
2020-11-09,30.9,30.9,30.9,30.9,263
2020-11-10,31.0,31.0,31.0,31.0,1
2020-11-19,32.4,32.55,29.7,29.7,196
2020-11-24,29.7,29.7,29.7,29.7,1
2020-12-01,29.75,31.15,29.75,31.15,26
2020-12-02,32.7,32.7,29.7,32.7,75
2020-12-03,34.2,34.3,34.2,34.3,100
2020-12-04,36.0,36.0,36.0,36.0,50
2020-12-07,37.4,37.5,37.4,37.5,150
2020-12-08,39.0,39.0,39.0,39.0,10
2020-12-09,40.95,40.95,40.95,40.95,118
2020-12-10,41.0,41.0,40.95,40.95,51
2020-12-14,40.95,42.95,40.95,42.95,157
2020-12-15,45.0,45.0,42.0,42.0,26
2020-12-16,44.0,44.0,44.0,44.0,100
2020-12-17,44.9,44.9,42.0,42.0,35
