Datetime,Open,High,Low,Close,Volume
2024-02-19,57.1,57.1,57.1,57.1,14400
2024-02-20,54.33,54.33,54.33,54.33,4800
2024-02-22,57.05,57.05,51.63,57.0,24000
2024-02-23,59.85,59.85,59.85,59.85,14400
2024-02-27,62.65,62.83,62.65,62.83,14400
2024-02-28,65.93,65.97,63.33,65.97,14400
2024-03-01,69.25,69.25,69.25,69.25,4800
2024-03-04,72.7,72.7,72.7,72.7,4800
2024-03-06,76.33,76.33,76.33,76.33,4800
2024-03-07,80.15,80.15,80.15,80.15,33600
2024-03-11,84.15,84.15,84.15,84.15,14400
2024-03-12,88.35,88.35,79.97,86.67,57600
2024-03-13,90.67,90.67,82.33,82.35,28800
2024-03-14,78.5,79.33,78.25,78.33,19200
2024-03-18,78.33,78.33,74.43,74.43,14400
2024-03-22,78.1,78.1,78.1,78.1,4800
2024-03-26,77.67,77.67,76.67,76.67,9600
2024-04-01,76.63,77.17,76.63,77.17,9600
2024-04-05,77.17,77.17,77.17,77.17,4800
2024-04-09,81.0,81.0,81.0,81.0,9600
2024-04-10,85.0,85.0,85.0,85.0,4800
2024-04-12,88.67,89.23,87.67,89.23,24000
2024-04-15,91.67,91.67,91.63,91.67,14400
2024-04-16,96.23,96.23,91.65,91.65,9600
2024-04-18,88.33,88.33,87.17,87.17,14400
2024-04-29,90.0,90.0,90.0,90.0,4800
2024-05-02,88.5,88.5,88.5,88.5,4800
2024-05-06,84.5,84.5,84.08,84.08,9600
2024-05-08,80.0,80.0,80.0,80.0,2400
2024-05-09,78.0,78.0,76.05,76.05,4800
2024-05-10,73.0,73.0,72.3,72.3,7200
2024-05-13,69.0,69.0,68.7,68.7,9600
2024-05-14,66.0,66.0,65.3,65.3,4800
2024-05-15,65.3,65.3,62.05,62.05,14400
2024-05-16,60.25,60.25,59.0,59.2,12000
2024-05-17,60.8,62.15,60.8,62.15,14400
2024-05-21,64.8,64.8,64.8,64.8,2400
2024-05-22,67.5,68.04,67.5,68.04,7200
2024-05-23,70.2,71.2,70.2,71.2,14400
2024-05-24,74.5,74.5,74.5,74.5,4800
2024-05-27,78.0,78.22,78.0,78.21,28800
2024-05-30,74.3,74.3,74.3,74.3,7200
2024-05-31,73.0,73.0,70.6,70.6,9600
2024-06-04,68.0,68.0,67.08,67.08,4800
2024-06-05,67.08,67.08,67.08,67.08,2400
2024-06-06,66.0,66.0,66.0,66.0,4800
2024-06-07,64.8,64.8,64.8,64.8,2400
2024-06-13,65.7,65.7,65.7,65.7,2400
2024-06-14,67.0,68.99,67.0,68.5,9600
2024-06-19,68.0,68.0,68.0,68.0,2400
2024-06-26,68.0,68.0,68.0,68.0,2400
2024-06-27,65.0,65.0,65.0,65.0,2400
2024-06-28,63.72,63.72,63.72,63.72,2400
2024-07-01,64.0,64.0,64.0,64.0,2400
2024-07-02,65.0,65.0,62.0,62.0,4800
2024-07-03,62.0,62.0,62.0,62.0,2400
