Datetime,Open,High,Low,Close,Volume
2019-06-18,6.31,6.31,6.31,6.31,100
2019-07-17,6.31,6.31,6.31,6.31,200
2019-07-29,6.3,6.3,6.3,6.3,100
2019-09-23,6.3,6.3,6.3,6.3,100
2019-11-13,6.0,6.0,6.0,6.0,500
2019-11-18,6.3,6.3,6.28,6.3,400
2019-11-21,6.3,6.3,6.3,6.3,100
2019-12-06,6.29,6.29,6.29,6.29,100
2019-12-12,6.29,6.29,6.29,6.29,100
2020-01-07,6.29,6.29,6.29,6.29,100
2020-01-16,6.5,6.5,6.5,6.5,4000
2020-01-23,6.82,6.82,6.48,6.82,7500
2020-01-27,6.82,6.82,6.82,6.82,100
2020-01-29,6.82,6.82,6.82,6.82,200
2020-03-17,6.82,6.82,6.82,6.82,100
2020-04-01,6.82,6.82,6.82,6.82,200
2020-04-08,6.82,6.82,6.82,6.82,500
2020-04-13,6.82,6.82,6.82,6.82,300
2020-04-15,7.16,7.16,6.48,6.48,200
2020-04-16,6.48,6.48,6.48,6.48,100
2020-04-17,6.16,6.16,6.16,6.16,300
2020-04-20,6.16,6.16,6.16,6.16,200
2020-04-27,6.16,6.16,6.16,6.16,300
2020-04-30,6.16,6.16,6.16,6.16,100
2020-05-05,6.16,6.16,6.16,6.16,400
2020-05-13,6.16,6.16,6.0,6.0,300
2020-05-14,5.7,5.7,5.7,5.7,400
2020-05-18,5.5,5.7,5.5,5.7,500
2020-05-20,5.7,5.7,5.7,5.7,100
2020-05-21,5.7,5.7,5.7,5.7,100
2020-05-22,5.7,5.7,5.7,5.7,200
2020-05-28,5.7,5.7,5.7,5.7,100
2020-06-08,5.65,5.75,5.65,5.75,1300
2020-06-09,5.47,5.7,5.47,5.48,1400
2020-06-15,5.48,5.48,5.48,5.48,4200
2020-06-19,5.75,5.75,5.75,5.75,500
2020-06-23,5.76,5.76,5.76,5.76,200
2020-06-24,5.48,6.04,5.48,5.48,1000
2020-06-25,5.48,5.48,5.4,5.43,300
2020-06-26,5.6,5.6,5.6,5.6,2300
2020-07-01,5.8,5.85,5.4,5.4,2300
2020-07-06,5.4,5.4,5.4,5.4,100
2020-07-07,5.4,5.55,5.4,5.55,600
2020-07-09,5.55,5.7,5.55,5.7,7500
2020-07-13,5.42,5.42,5.42,5.42,200
2020-07-23,5.42,5.42,5.42,5.42,100
2020-08-19,5.15,5.15,5.15,5.15,1200
2020-08-20,5.15,5.15,5.15,5.15,400
2020-08-25,5.15,5.15,5.15,5.15,100
2020-08-27,5.0,5.3,5.0,5.3,4100
2020-09-07,5.3,5.3,5.3,5.3,100
2020-12-07,5.3,5.3,5.04,5.04,400
2020-12-08,5.0,5.0,4.98,4.98,1200
2020-12-09,5.0,5.0,5.0,5.0,100
2020-12-10,5.0,5.0,5.0,5.0,100
2020-12-14,4.75,5.0,4.75,5.0,500
2020-12-23,5.0,5.0,5.0,5.0,100
2020-12-24,5.0,5.0,5.0,5.0,3000
2020-12-31,5.0,5.0,5.0,5.0,300
2021-01-04,5.0,5.0,5.0,5.0,100
2021-01-05,5.0,5.0,5.0,5.0,1200
2021-01-07,4.9,4.9,4.85,4.85,200
2021-01-12,4.85,4.85,4.85,4.85,100
2021-01-29,4.85,4.85,4.85,4.85,100
2021-02-02,4.8,4.8,4.8,4.8,100
2021-02-03,4.8,4.8,4.8,4.8,100
2021-02-05,4.8,4.8,4.8,4.8,100
2021-02-09,4.8,4.8,4.8,4.8,100
2021-02-12,4.8,4.8,4.8,4.8,1300
2021-02-15,4.56,4.56,4.56,4.56,1000
2021-02-16,4.56,4.56,4.56,4.56,100
2021-02-18,4.56,4.56,4.34,4.34,1400
2021-02-19,4.13,4.34,4.13,4.13,500
2021-02-22,3.93,3.93,3.93,3.93,900
2021-02-23,3.74,3.74,3.74,3.74,500
2021-02-26,3.56,3.56,3.56,3.56,200
2021-03-02,3.39,3.39,3.39,3.39,200
2021-03-03,3.23,3.23,3.23,3.23,4100
2021-03-04,3.23,3.23,3.23,3.23,100
2021-03-09,3.07,3.07,3.07,3.07,100
2021-03-15,2.92,2.92,2.92,2.92,3600
2021-05-12,2.92,2.92,2.92,2.92,400
2021-05-14,2.9,2.9,2.9,2.9,100
2021-05-18,2.9,2.95,2.9,2.95,200
2021-06-09,2.95,2.95,2.95,2.95,300
2021-06-22,3.09,3.09,3.09,3.09,1300
2021-06-24,3.24,3.24,3.24,3.24,100
2021-06-25,3.4,3.4,3.4,3.4,300
2021-07-02,3.57,3.57,3.57,3.57,300
2021-07-06,3.4,3.4,3.4,3.4,100
2021-07-13,3.4,3.4,3.4,3.4,500
2021-08-03,3.41,3.41,3.41,3.41,200
2021-08-04,3.41,3.41,3.41,3.41,300
2023-05-11,6.0,6.0,5.7,5.75,1100
