Datetime,Open,High,Low,Close,Volume
2019-05-28,166.85,167.5,162.35,163.25,3346
2019-05-29,165.0,165.0,158.03,158.9,4046
2019-05-30,160.0,160.0,157.5,158.25,1666
2019-06-03,158.32,160.32,155.0,157.98,2004
2019-06-10,154.5,156.03,153.0,154.65,946
2019-06-11,155.0,155.0,151.0,152.3,2440
2019-06-12,152.3,152.3,150.63,150.78,1336
2019-06-13,152.25,160.0,151.0,152.43,10936
2019-06-14,154.45,154.5,149.25,150.63,3198
2019-06-17,150.32,154.45,148.25,148.85,1738
2019-06-18,150.18,152.32,147.5,148.32,1960
2019-06-19,148.73,149.32,145.03,145.75,1446
2019-06-20,146.0,150.0,144.0,148.55,762
2019-06-21,145.57,152.25,145.57,151.13,2760
2019-06-24,153.85,155.0,149.98,151.07,1642
2019-06-25,151.28,159.0,149.28,154.48,6496
2019-06-26,154.9,157.2,153.4,153.78,1602
2019-06-27,154.5,156.03,152.98,153.82,1764
2019-06-28,155.45,157.0,150.5,155.23,9028
2019-07-01,154.23,155.53,152.0,152.32,1382
2019-07-02,152.57,155.0,150.63,154.8,2374
2019-07-03,154.82,154.82,151.4,152.03,792
2019-07-04,152.0,152.0,150.9,151.43,718
2019-07-05,153.38,153.38,151.1,151.45,758
2019-07-08,151.13,151.45,146.55,147.88,998
2019-07-09,148.75,152.15,148.75,149.8,182
2019-07-10,148.13,148.5,145.0,145.5,1418
2019-07-11,147.53,151.03,145.05,147.55,4396
2019-07-12,146.63,149.0,144.63,145.45,362
2019-07-15,146.43,146.43,145.0,145.0,666
2019-07-16,146.65,148.03,144.88,146.75,676
2019-07-17,148.0,149.95,147.63,148.13,870
2019-07-18,152.6,152.6,147.5,148.05,2248
2019-07-19,148.0,148.3,143.73,145.05,4614
2019-07-22,146.0,146.32,141.5,143.75,1166
2019-07-23,143.0,145.18,138.07,143.35,1556
2019-07-24,141.43,142.5,123.5,129.2,14840
2019-07-25,131.4,143.1,130.0,138.78,18544
2019-07-26,137.05,147.7,137.05,144.95,5228
2019-07-29,145.5,153.0,143.25,149.78,10478
2019-07-30,148.55,151.0,146.5,148.38,4946
2019-07-31,145.98,152.38,144.0,147.7,7924
2019-08-01,146.85,148.98,141.65,143.75,1856
2019-08-02,141.68,146.65,139.05,146.18,3334
2019-08-05,142.35,152.0,142.3,147.65,13162
2019-08-06,148.8,150.0,146.0,148.35,5234
2019-08-07,149.5,150.32,147.35,148.73,6028
2019-08-08,148.13,148.13,144.85,145.73,918
2019-08-09,147.63,150.03,146.85,149.88,8636
2019-08-13,150.0,150.95,146.0,147.18,4672
2019-08-14,147.73,148.93,144.48,147.2,3744
2019-08-16,147.15,150.0,146.73,149.75,5574
2019-08-19,149.8,150.25,147.9,149.32,6648
