Datetime,Open,High,Low,Close,Volume
2014-02-05,60.25,60.25,60.25,60.25,0
2014-03-03,62.95,62.95,62.95,62.95,0
2014-03-13,66.3,66.3,66.3,66.3,0
2014-04-02,67.5,67.5,67.5,67.5,0
2014-04-11,67.8,67.8,67.8,67.8,0
2014-04-16,67.8,67.8,67.8,67.8,0
2014-05-08,60.0,60.0,60.0,60.0,0
2014-05-13,66.0,66.0,66.0,66.0,0
2014-05-16,70.0,86.0,70.0,86.0,0
2014-05-23,88.0,88.0,88.0,88.0,0
2014-06-09,71.0,87.0,71.0,87.0,0
2014-06-17,89.9,89.9,76.0,81.0,0
2014-06-23,91.0,91.0,79.65,79.65,0
2014-07-03,65.0,65.0,65.0,65.0,0
2014-07-23,87.9,87.9,84.0,84.0,0
2014-08-18,80.15,80.15,80.15,80.15,0
2014-08-25,96.0,96.0,96.0,96.0,0
2014-08-27,96.0,96.0,96.0,96.0,0
2014-09-02,89.55,89.55,89.55,89.55,0
2014-09-03,85.0,90.0,85.0,90.0,0
2014-09-05,82.65,82.65,82.65,82.65,0
2014-09-11,89.4,89.4,89.4,89.4,0
2014-09-16,82.5,82.5,82.5,82.5,0
2014-09-23,90.0,90.0,90.0,90.0,0
2014-09-26,86.75,86.75,81.5,81.5,0
2014-10-21,88.0,88.0,88.0,88.0,0
2014-10-30,75.0,75.0,75.0,75.0,0
2014-11-18,84.0,84.0,84.0,84.0,0
2014-12-01,103.0,103.0,103.0,103.0,0
2014-12-08,75.0,104.0,75.0,104.0,0
2015-01-20,86.8,88.0,86.7,88.0,0
2015-01-21,88.35,88.7,88.15,88.7,0
2015-01-22,88.7,88.7,88.05,88.05,0
2015-01-23,89.95,89.95,88.95,88.95,0
2015-01-27,88.95,89.15,88.95,89.15,0
2015-01-29,90.25,90.25,90.1,90.1,0
2015-02-05,89.1,89.25,89.1,89.25,0
2015-02-16,86.0,86.0,86.0,86.0,0
2015-02-24,88.55,88.55,88.55,88.55,0
2015-02-26,88.9,88.9,88.9,88.9,0
2015-02-27,88.8,88.9,88.8,88.9,0
2015-03-03,91.5,91.5,91.5,91.5,0
2015-03-04,91.9,92.0,91.9,92.0,0
2015-03-05,91.25,91.25,91.25,91.25,0
2015-03-10,89.65,90.2,89.65,90.2,0
