Datetime,Open,High,Low,Close,Volume
2019-05-28,17.5,17.5,16.9,16.95,5541
2019-05-29,16.95,17.75,16.9,16.95,3466
2019-05-30,16.25,16.95,16.25,16.95,400
2019-06-03,17.1,17.1,17.1,17.1,770
2019-06-10,16.0,16.6,16.0,16.0,207
2019-06-13,16.0,16.0,16.0,16.0,70
2019-06-14,15.2,15.2,15.2,15.2,435
2019-06-17,14.55,15.0,14.55,14.55,71
2019-06-19,13.85,13.85,13.85,13.85,465
2019-06-20,13.8,13.8,13.2,13.2,120
2019-06-21,12.6,12.6,12.6,12.6,73
2019-06-24,12.0,13.15,12.0,13.1,312
2019-06-25,13.75,13.75,12.45,12.45,512
2019-06-26,12.45,12.45,11.85,12.0,510
2019-06-27,11.75,12.6,11.75,12.6,456
2019-06-28,12.6,12.75,12.6,12.75,137
2019-07-01,13.0,13.38,12.15,13.35,4009
2019-07-02,12.74,12.74,12.74,12.74,5
2019-07-10,12.16,12.16,12.16,12.16,35
2019-07-11,12.01,12.76,12.01,12.76,474
2019-07-12,12.16,12.16,12.15,12.15,462
2019-07-16,11.6,11.6,11.57,11.6,274
2019-07-17,11.57,12.18,11.06,11.2,4855
2019-07-18,10.64,10.64,10.64,10.64,140
2019-07-19,11.17,11.17,10.11,10.12,2460
2019-07-22,9.62,9.63,9.62,9.63,428
2019-07-23,10.11,10.11,9.17,9.2,130
2019-07-24,8.9,9.66,8.9,9.66,231
2019-07-25,9.22,10.14,9.22,10.14,1349
2019-07-26,9.66,9.66,9.66,9.66,71
2019-07-29,9.2,9.2,9.2,9.2,35
2019-07-30,9.0,9.0,8.92,8.92,315
2019-07-31,9.0,9.0,8.51,8.51,70
2019-08-02,8.52,8.93,8.52,8.93,1247
2019-08-05,8.52,9.37,8.52,9.37,3673
2019-08-06,9.83,9.83,9.0,9.0,2002
2019-08-07,8.73,8.73,8.73,8.73,347
2019-08-09,9.16,9.16,9.16,9.16,1
2019-08-13,9.0,9.0,9.0,9.0,1000
2019-08-14,9.45,9.45,9.1,9.1,730
2019-08-16,8.66,9.55,8.65,8.66,2002
2019-08-19,9.09,9.09,9.08,9.09,4551
2019-08-20,8.64,9.51,8.64,9.51,1083
2019-08-21,9.98,9.98,9.98,9.98,2462
2019-08-22,9.49,9.49,9.49,9.49,64
2019-08-26,9.5,9.5,9.08,9.5,3646
2019-08-28,9.25,9.25,9.25,9.25,350
2019-09-03,9.7,9.7,9.7,9.7,200
2019-09-04,10.1,10.1,10.1,10.1,115
2019-09-06,10.1,10.1,9.6,10.1,95
2019-09-11,10.6,10.6,10.6,10.6,205
2019-09-17,10.6,10.7,10.6,10.7,330
2019-09-20,10.7,10.7,10.7,10.7,300
2019-09-23,10.2,10.2,10.17,10.2,3465
2019-09-24,9.7,9.8,9.7,9.8,70
2019-09-30,9.8,9.8,9.8,9.8,100
2019-10-01,10.0,10.0,10.0,10.0,244
2019-10-04,10.0,10.0,9.5,10.0,39
2019-10-07,10.0,10.5,10.0,10.5,722
2019-10-10,10.65,10.65,10.65,10.65,700
2019-10-11,11.18,11.18,11.18,11.18,70
2019-10-16,11.25,11.25,11.25,11.25,273
2019-10-17,11.36,11.36,11.36,11.36,25
2019-10-18,11.33,11.33,11.33,11.33,248
2019-10-22,11.25,11.25,11.25,11.25,576
2019-10-23,11.25,11.25,11.25,11.25,239
2019-10-24,11.3,11.3,11.3,11.3,1
2019-10-29,11.35,11.35,11.35,11.35,58
2019-10-30,11.51,11.51,11.51,11.51,44
2019-11-07,11.55,11.55,11.55,11.55,100
2019-11-08,12.12,12.12,12.12,12.12,101
2019-11-13,11.6,11.6,11.6,11.6,70
2019-11-14,11.6,11.6,11.6,11.6,10
2019-11-15,12.0,12.18,11.1,11.15,2400
2019-11-20,11.16,11.16,11.16,11.16,25
2019-11-22,11.61,11.62,11.61,11.62,44
2019-11-27,11.5,12.2,11.5,12.2,1205
2019-11-28,12.81,12.81,12.81,12.81,102
2019-12-04,12.8,12.8,12.8,12.8,15
2019-12-20,13.0,13.0,13.0,13.0,60
2020-01-10,13.0,13.0,13.0,13.0,5
2020-01-21,13.0,13.0,12.35,12.35,950
2020-01-22,12.15,12.96,12.15,12.95,2700
2020-01-23,12.56,13.55,12.56,13.55,1486
2020-01-28,13.02,13.02,13.02,13.02,70
2020-01-29,12.5,12.5,12.5,12.5,30
2020-01-30,13.1,13.1,11.9,13.1,400
2020-01-31,13.1,13.72,13.1,13.72,290
2020-02-01,13.22,13.22,13.2,13.2,500
2020-02-03,13.85,13.85,12.55,12.56,400
2020-02-04,13.15,13.17,12.0,12.5,1750
2020-02-05,13.0,13.0,12.51,12.51,70
2020-02-06,12.51,12.51,12.51,12.51,500
2020-02-10,13.1,13.1,11.9,11.9,365
2020-02-11,11.9,11.9,11.9,11.9,205
2020-02-12,11.31,11.31,11.31,11.31,400
2020-02-14,11.3,11.3,11.3,11.3,65
2020-02-25,11.85,11.85,11.85,11.85,100
2020-02-26,11.85,12.4,11.3,12.4,600
2020-02-27,12.4,12.4,12.4,12.4,565
2020-03-02,11.8,11.8,11.8,11.8,100
2020-03-06,11.21,11.21,11.21,11.21,235
2020-03-13,10.65,10.65,10.65,10.65,500
2020-03-18,10.12,10.12,10.12,10.12,10
2020-03-20,10.6,10.6,10.5,10.5,100
2020-03-24,9.98,9.98,9.98,9.98,10
2020-03-27,9.98,9.98,9.98,9.98,1200
2020-04-01,9.8,9.8,9.8,9.8,4
2020-04-08,9.8,9.8,9.31,9.5,194
2020-04-09,9.03,9.03,9.03,9.03,528
2020-04-13,9.03,9.03,9.03,9.03,110
2020-04-15,8.58,8.58,8.58,8.58,1850
2020-04-16,8.16,8.16,8.16,8.16,6
2020-04-17,7.76,8.55,7.76,7.76,270
2020-04-20,7.38,7.38,7.38,7.38,1400
2020-04-21,7.15,7.15,7.15,7.15,199
2020-04-22,7.45,7.5,7.45,7.5,1535
2020-04-24,7.13,7.13,7.13,7.13,35
2020-04-28,7.0,7.0,7.0,7.0,100
2020-05-05,7.0,7.0,7.0,7.0,420
2020-05-12,7.35,7.35,7.35,7.35,81
2020-05-13,7.71,7.71,7.71,7.71,100
2020-05-19,8.09,8.09,8.09,8.09,40
2020-05-20,8.49,8.49,8.45,8.45,585
2020-05-21,8.05,8.05,8.05,8.05,25
2020-05-27,8.45,8.45,8.25,8.25,475
2020-05-28,8.55,8.55,8.55,8.55,85
2020-06-01,8.97,8.97,8.97,8.97,5
2020-06-02,9.15,9.41,9.15,9.41,583
2020-06-03,9.88,9.88,9.88,9.88,258
2020-06-05,10.35,10.35,10.35,10.35,185
2020-06-08,10.35,10.35,10.35,10.35,230
2020-06-09,10.35,10.35,10.35,10.35,1282
2020-06-10,10.86,10.86,10.86,10.86,6
2020-06-11,10.86,11.4,10.86,11.4,260
2020-06-12,11.5,11.97,11.5,11.97,69
2020-06-15,12.5,12.56,12.5,12.56,940
2020-06-16,13.18,13.18,13.18,13.18,1015
2020-06-17,13.83,13.83,12.85,13.8,160
2020-06-18,14.49,14.49,13.8,14.49,11822
2020-06-19,15.1,15.21,14.01,15.21,4621
2020-06-22,15.97,15.97,15.97,15.97,1787
2020-06-23,16.76,16.76,16.76,16.76,85
2020-06-24,17.59,17.59,17.55,17.55,2315
2020-06-25,18.3,18.3,18.0,18.0,522
2020-06-26,17.64,17.64,17.64,17.64,111
2020-06-30,17.29,17.29,17.29,17.29,26
2020-07-01,16.95,16.95,16.95,16.95,600
2020-07-07,16.65,16.65,16.65,16.65,1050
2020-07-09,16.35,16.35,16.35,16.35,2
2020-07-13,16.05,16.05,16.05,16.05,2
2020-07-14,15.75,16.0,15.75,16.0,2
2020-07-15,15.7,15.7,15.7,15.7,10
2020-07-16,15.4,15.65,15.4,15.65,8
2020-07-17,15.35,15.35,15.35,15.35,7
2020-07-20,15.35,15.35,15.35,15.35,1
2020-07-21,15.3,15.3,15.3,15.3,50
