Datetime,Open,High,Low,Close,Volume
2019-05-28,62.65,65.85,62.5,64.45,9962
2019-05-29,64.95,67.0,64.4,65.65,8046
2019-05-30,65.5,66.6,64.5,66.5,7330
2019-06-03,62.7,63.85,61.1,63.85,1978
2019-06-10,65.8,70.85,65.8,67.2,12040
2019-06-11,68.4,71.4,67.75,68.0,22233
2019-06-12,69.35,71.45,68.0,68.7,22883
2019-06-13,69.8,70.0,67.0,67.5,14894
2019-06-14,67.85,68.95,65.9,67.4,19132
2019-06-17,68.2,68.5,67.5,68.35,14059
2019-06-18,68.9,69.0,66.35,67.65,16464
2019-06-19,68.5,69.0,65.8,66.95,14825
2019-06-20,66.2,67.0,65.25,66.4,21491
2019-06-21,65.8,65.9,63.8,65.0,17106
2019-06-24,66.4,68.1,66.0,67.95,19842
2019-06-25,68.0,69.75,67.25,67.7,21733
2019-06-26,68.2,71.2,67.0,67.75,22691
2019-06-27,67.5,69.75,67.5,68.65,17591
2019-06-28,68.0,75.0,66.05,74.65,42687
2019-07-01,74.05,74.65,70.1,70.45,7487
2019-07-02,72.5,72.9,70.6,70.65,4138
2019-07-03,69.8,69.8,68.0,68.0,3077
2019-07-04,68.3,70.0,68.1,69.95,1430
2019-07-05,69.15,69.15,66.25,67.1,1305
2019-07-08,67.25,69.55,67.25,69.0,11300
2019-07-09,68.95,68.95,67.55,67.55,196
2019-07-10,68.5,68.5,68.5,68.5,35
2019-07-11,67.5,67.9,67.35,67.35,379
2019-07-12,66.9,66.9,66.65,66.65,100
2019-07-15,66.3,68.35,66.3,66.5,537
2019-07-16,66.75,66.75,65.75,65.75,825
2019-07-17,65.7,68.3,64.9,67.8,1477
2019-07-18,68.3,68.3,64.1,64.35,1892
2019-07-19,65.45,65.5,59.0,60.55,7414
2019-07-22,60.65,61.5,60.0,60.1,986
2019-07-23,62.3,62.3,59.6,61.05,4680
2019-07-24,61.55,62.85,61.55,62.85,850
2019-07-25,63.8,66.75,62.4,65.2,3404
2019-07-26,66.0,67.0,65.3,65.8,2488
2019-07-29,64.85,64.85,61.4,61.4,2299
2019-07-30,61.45,67.95,61.45,65.0,21117
2019-07-31,64.1,67.0,63.55,65.95,11339
2019-08-01,64.55,68.0,64.25,66.4,9324
2019-08-02,66.35,67.0,65.25,65.95,8453
2019-08-05,64.0,65.5,63.85,65.2,6010
2019-08-06,66.0,67.95,66.0,66.4,3821
2019-08-07,66.0,68.9,61.45,61.95,11727
2019-08-08,63.05,63.95,62.5,63.6,1475
2019-08-09,64.35,64.35,63.8,63.85,113
2019-08-13,63.7,63.7,58.2,62.4,294
2019-08-14,62.2,62.2,60.3,60.8,518
2019-08-16,62.5,65.0,62.5,64.45,623
2019-08-19,62.35,66.0,62.35,63.3,529
2019-08-20,64.5,64.5,61.9,62.3,909
2019-08-21,61.3,61.3,60.05,60.05,679
2019-08-22,62.1,62.15,59.0,59.45,2477
2019-08-23,60.45,62.0,58.25,59.95,4894
2019-08-26,62.0,62.0,58.8,60.95,1939
2019-08-27,60.05,62.0,59.4,59.8,5204
2019-08-28,61.85,63.0,61.2,61.95,16925
2019-08-29,60.0,60.3,58.25,58.5,2245
2019-08-30,62.0,62.5,59.7,60.05,11204
2019-09-03,60.75,62.5,58.05,58.55,11898
2019-09-04,62.05,62.5,58.55,59.2,17604
2019-09-05,61.2,61.9,60.0,60.8,16153
2019-09-06,60.7,61.15,59.5,60.2,3199
2019-09-11,61.15,61.7,61.1,61.5,325
2019-09-12,61.8,62.5,61.15,61.95,3401
2019-09-13,64.5,64.8,62.5,64.3,2309
2019-09-16,64.0,65.0,63.6,64.95,826
2019-09-17,63.65,63.65,62.4,63.2,1074
2019-09-18,62.25,63.2,62.25,63.0,233
2019-09-19,62.25,63.45,61.75,62.05,1108
2019-09-20,64.8,66.8,63.5,65.15,9538
2019-09-23,66.0,67.0,65.0,65.15,310
2019-09-24,63.65,64.3,63.6,64.05,194
2019-09-25,64.2,65.7,64.1,64.1,750
2019-09-26,67.0,67.7,63.55,64.5,1322
2019-09-27,63.55,63.55,63.55,63.55,36
2019-09-30,64.9,65.45,62.6,62.65,1418
2019-10-01,62.0,62.85,58.5,60.4,2610
2019-10-03,58.3,64.0,58.25,63.3,905
2019-10-04,63.9,65.0,62.7,64.7,3967
2019-10-09,61.15,63.5,61.15,62.75,3491
2019-10-11,62.0,62.5,61.0,61.05,356
2019-10-14,62.9,62.9,62.9,62.9,100
2019-10-16,63.1,65.0,61.25,64.15,4112
2019-10-17,63.75,66.2,62.35,62.35,2408
2019-10-18,64.0,64.5,64.0,64.5,7
2019-10-22,65.0,67.0,65.0,67.0,5258
2019-10-23,65.3,67.0,65.3,66.95,1601
2019-10-24,66.3,67.0,65.2,66.5,4676
2019-10-25,64.0,67.0,62.4,66.0,2194
2019-10-29,63.05,65.25,63.0,64.45,1634
2019-10-30,65.0,65.45,65.0,65.2,3559
2019-10-31,62.25,67.5,62.25,67.05,3613
2019-11-01,68.7,69.45,66.7,68.2,2423
2019-11-04,67.5,68.85,66.95,67.4,2670
2019-11-05,65.1,67.3,61.0,66.4,8045
2019-11-06,67.8,67.85,65.15,67.8,2132
2019-11-07,65.95,68.95,65.75,68.0,5657
2019-11-08,67.9,67.9,66.0,66.0,550
2019-11-13,68.3,68.8,68.0,68.0,2999
2019-11-14,69.0,69.3,68.35,69.0,4815
2019-11-15,68.85,69.4,68.85,69.0,1263
2019-11-18,69.7,70.5,67.65,69.3,1231
2019-11-19,70.85,70.85,68.2,68.2,101
2019-11-21,68.6,69.15,67.0,67.4,4163
2019-11-22,68.7,68.7,67.0,67.8,351
2019-11-25,68.0,68.0,66.7,67.0,239
2019-11-26,68.75,68.75,68.05,68.2,201
2019-11-27,69.1,70.0,69.1,69.8,410
2019-11-28,70.0,70.0,70.0,70.0,400
2019-11-29,72.0,73.2,70.45,73.0,3839
2019-12-02,73.9,76.9,67.65,70.8,9655
2019-12-03,70.1,71.5,66.45,68.1,3674
2019-12-04,70.4,70.4,67.0,67.9,525
2019-12-05,69.6,70.1,66.95,70.05,1460
2019-12-06,70.0,70.0,67.4,67.4,38
2019-12-09,67.05,69.8,67.0,67.0,526
2019-12-10,66.6,66.6,66.6,66.6,16
2019-12-11,66.15,67.95,66.15,67.95,65
2019-12-12,67.0,67.3,66.75,67.05,1065
2019-12-13,66.65,68.85,66.65,67.75,23
2019-12-16,66.35,68.7,65.2,65.95,893
2019-12-17,66.0,66.0,65.0,66.0,102
2019-12-18,66.25,67.45,65.5,67.25,751
2019-12-19,67.75,67.75,67.75,67.75,2
2019-12-20,65.9,65.9,64.9,65.0,1187
2019-12-23,64.15,66.35,64.15,65.05,186
2019-12-24,63.75,65.95,63.75,64.1,271
2019-12-26,64.2,64.2,64.2,64.2,200
2019-12-27,63.25,63.5,63.0,63.25,1461
2019-12-30,63.0,65.0,63.0,63.35,230
2019-12-31,64.0,64.0,62.25,62.25,152
2020-01-01,62.5,63.35,62.35,62.5,906
2020-01-02,62.3,65.65,62.3,64.0,206
2020-01-03,66.0,66.0,66.0,66.0,100
2020-01-06,63.05,64.5,62.95,64.25,1053
2020-01-07,64.95,65.0,63.55,63.65,759
2020-01-08,63.2,64.1,63.2,63.25,2175
2020-01-09,63.75,63.75,63.75,63.75,35
2020-01-10,63.1,64.5,63.0,63.9,1645
2020-01-13,63.75,65.0,63.45,65.0,1250
2020-01-14,63.2,64.0,63.2,63.75,8
2020-01-15,65.5,65.5,64.35,64.45,1001
2020-01-16,63.1,66.0,63.1,65.95,609
2020-01-17,65.5,65.8,64.45,65.8,108
2020-01-20,64.95,65.1,64.9,64.9,2348
2020-01-22,64.2,65.5,64.2,65.5,1627
2020-01-23,64.7,67.4,64.7,66.5,3732
2020-01-24,67.5,69.8,66.35,66.65,3103
2020-01-27,66.65,67.35,63.65,64.0,2125
2020-01-28,64.45,64.45,63.4,63.4,279
2020-01-30,63.5,66.35,63.5,64.95,385
2020-01-31,64.5,64.5,63.5,63.85,104
2020-02-01,64.0,65.15,63.5,65.15,350
2020-02-03,63.15,63.15,61.0,61.5,346
2020-02-04,61.9,62.8,61.5,61.7,1018
2020-02-05,60.35,65.95,60.35,65.3,789
2020-02-06,62.4,66.15,62.4,66.15,1509
2020-02-07,66.95,69.0,66.5,66.7,691
2020-02-10,68.2,69.35,67.1,69.35,625
2020-02-11,67.0,68.7,65.2,65.8,1868
2020-02-12,67.15,67.2,65.7,65.7,131
2020-02-13,63.4,64.45,63.4,64.45,16
2020-02-14,65.0,65.0,61.6,61.9,666
2020-02-17,61.9,63.0,61.9,63.0,1827
2020-02-18,61.2,61.2,58.8,60.3,1594
2020-02-19,59.0,62.9,59.0,62.1,894
2020-02-20,60.95,63.0,59.65,59.65,1560
2020-02-24,59.65,59.65,56.05,56.75,1667
2020-02-25,57.5,63.1,55.65,59.7,10114
2020-02-26,57.0,62.95,56.55,58.0,3870
2020-02-27,58.8,62.5,56.05,58.9,8884
2020-02-28,57.75,59.0,57.0,58.9,5425
2020-03-02,58.0,60.95,57.8,58.3,6142
2020-03-03,59.45,60.8,55.7,55.85,7951
2020-03-04,57.0,57.95,55.5,57.95,3510
2020-03-05,58.5,59.7,57.55,57.55,1322
2020-03-06,55.0,57.65,53.55,56.0,5951
2020-03-09,56.8,59.8,55.1,55.4,8170
2020-03-11,55.55,58.4,53.0,57.7,6660
2020-03-12,55.25,55.25,46.2,50.65,17502
2020-03-13,60.0,60.75,48.0,55.5,30301
2020-03-16,58.0,59.4,48.8,52.2,10696
2020-03-17,49.85,53.95,49.4,51.0,4541
2020-03-18,50.0,52.0,46.15,49.05,6363
2020-03-19,49.7,49.9,45.5,48.05,3458
2020-03-20,49.3,49.6,38.45,43.4,17583
2020-03-23,36.1,49.8,36.0,41.0,6926
2020-03-24,45.85,45.85,40.1,44.05,8318
2020-03-25,47.95,49.7,45.6,48.1,7230
2020-03-26,50.0,50.4,46.5,48.75,10223
2020-03-27,50.0,52.55,40.2,44.5,20915
2020-03-30,44.0,45.0,43.05,44.4,4471
2020-03-31,45.0,46.9,43.5,44.0,2539
2020-04-01,43.05,43.05,41.35,41.35,21
2020-04-07,42.25,46.75,42.25,43.0,3037
