Datetime,Open,High,Low,Close,Volume
2019-05-28,2.57,2.57,2.57,2.57,250
2019-06-11,2.45,2.45,2.45,2.45,100
2019-06-14,2.33,2.33,2.33,2.33,2600
2019-06-17,2.43,2.43,2.43,2.43,2500
2019-06-18,2.54,2.54,2.54,2.54,30
2019-06-19,2.65,2.65,2.65,2.65,2500
2019-06-20,2.52,2.77,2.52,2.77,1020
2019-06-21,2.64,2.64,2.64,2.64,2500
2019-06-24,2.51,2.51,2.51,2.51,500
2019-06-25,2.39,2.39,2.39,2.39,380
2019-06-27,2.44,2.44,2.39,2.39,2500
2019-06-28,2.28,2.28,2.28,2.28,250
2019-07-01,2.17,2.17,2.17,2.17,49
2019-07-02,2.07,2.07,2.07,2.07,250
2019-07-05,1.97,1.97,1.97,1.97,255
2019-07-08,1.89,1.9,1.89,1.9,4110
2019-07-09,1.82,1.82,1.82,1.82,300
2019-07-10,1.74,1.88,1.74,1.88,899
2019-07-16,1.97,1.97,1.97,1.97,200
2019-07-17,1.88,1.88,1.88,1.88,300
2019-07-23,1.79,1.79,1.79,1.79,500
2019-08-01,1.71,1.71,1.71,1.71,450
2019-08-06,1.79,1.79,1.79,1.79,6090
2019-08-19,1.8,1.8,1.71,1.71,11000
2019-08-20,1.71,1.71,1.71,1.71,1
2019-08-27,1.63,1.63,1.63,1.63,2600
2019-08-28,1.55,1.55,1.55,1.55,1000
2019-08-29,1.48,1.48,1.48,1.48,500
2019-08-30,1.54,1.54,1.54,1.54,500
2019-09-03,1.47,1.47,1.47,1.47,250
2019-09-04,1.4,1.4,1.4,1.4,100
2019-09-05,1.33,1.46,1.33,1.46,750
2019-09-06,1.46,1.46,1.46,1.46,200
2019-09-11,1.46,1.46,1.46,1.46,400
2019-09-12,1.46,1.46,1.46,1.46,200
2019-09-16,1.46,1.46,1.46,1.46,370
2019-09-17,1.4,1.4,1.4,1.4,1500
2019-09-18,1.4,1.4,1.4,1.4,500
2019-09-19,1.4,1.4,1.4,1.4,100
2019-09-20,1.33,1.33,1.33,1.33,1500
2019-09-23,1.27,1.27,1.27,1.27,500
2019-09-26,1.21,1.21,1.21,1.21,1755
2019-09-27,1.18,1.18,1.18,1.18,100
2019-10-03,1.18,1.18,1.18,1.18,1
2019-10-04,1.13,1.18,1.13,1.18,219
2019-10-17,1.13,1.13,1.13,1.13,100
2019-10-22,1.13,1.13,1.13,1.13,296
2019-10-23,1.08,1.08,1.08,1.08,3900
2019-10-24,1.03,1.03,1.03,1.03,950
2019-10-25,0.98,0.98,0.98,0.98,500
2019-10-29,0.96,0.96,0.95,0.95,4000
2019-10-30,0.91,0.96,0.91,0.96,600
2019-10-31,0.96,0.99,0.96,0.99,6345
2019-11-01,1.03,1.03,0.95,0.95,340
2019-11-04,0.99,0.99,0.99,0.99,800
2019-11-05,0.99,1.03,0.99,1.03,801
2019-11-06,1.03,1.03,1.03,1.03,500
2019-11-07,1.03,1.03,1.03,1.03,500
2019-11-08,0.98,0.98,0.98,0.98,6500
2019-11-13,0.98,0.98,0.98,0.98,100
2019-11-14,0.98,0.98,0.98,0.98,500
2019-11-15,0.94,0.94,0.94,0.94,100
2019-11-18,0.94,0.94,0.9,0.9,1265
2019-11-19,0.9,0.9,0.9,0.9,1905
2019-11-20,0.9,0.94,0.9,0.94,9245
2019-11-21,0.98,0.98,0.95,0.98,2606
2019-11-22,0.98,0.98,0.98,0.98,500
2019-11-25,0.98,0.98,0.98,0.98,100
2019-11-26,0.98,0.98,0.94,0.94,405
2019-11-27,0.9,0.9,0.9,0.9,1000
2019-11-29,0.86,0.86,0.86,0.86,600
2019-12-09,0.83,0.83,0.83,0.83,500
2019-12-11,0.8,0.8,0.79,0.79,10000
2019-12-12,0.76,0.76,0.76,0.76,13200
2019-12-13,0.73,0.73,0.73,0.73,13247
2019-12-16,0.7,0.7,0.7,0.7,10200
2019-12-17,0.67,0.68,0.67,0.68,2675
2019-12-23,0.65,0.65,0.65,0.65,600
2019-12-24,0.63,0.63,0.63,0.63,83
2020-01-06,0.6,0.61,0.6,0.61,3000
2020-01-07,0.58,0.6,0.58,0.6,2015
2020-01-13,0.57,0.57,0.57,0.57,10
2020-02-12,0.55,0.55,0.55,0.55,500
2020-02-17,0.57,0.57,0.57,0.57,100
2020-02-18,0.59,0.59,0.59,0.59,1000
2020-02-19,0.61,0.61,0.61,0.61,1000
2020-02-20,0.64,0.64,0.64,0.64,1000
2020-02-24,0.67,0.67,0.67,0.67,2000
2020-02-25,0.7,0.7,0.7,0.7,1000
2020-02-26,0.73,0.73,0.73,0.73,1000
2020-02-27,0.76,0.76,0.76,0.76,100
