Datetime,Open,High,Low,Close,Volume
2025-09-04,85.25,86.0,85.0,85.05,2865600
2025-09-05,83.0,83.0,80.8,80.8,19200
2025-09-08,76.76,76.76,76.76,76.76,9600
2025-09-09,72.93,72.93,72.93,72.93,1600
2025-09-10,69.29,69.29,69.29,69.29,9600
2025-09-11,65.83,72.7,65.83,67.5,176000
2025-09-12,70.0,70.87,70.0,70.87,121600
2025-09-15,74.4,74.41,74.4,74.41,62400
2025-09-16,78.13,78.13,76.5,77.8,120000
2025-09-17,77.0,77.45,73.91,75.67,60800
2025-09-18,76.0,78.5,73.0,76.13,52800
2025-09-19,75.0,78.0,75.0,75.5,9600
2025-09-22,75.0,75.0,72.5,72.5,16000
2025-09-23,75.0,75.0,71.0,72.0,12800
2025-09-24,71.0,72.0,69.5,69.5,16000
2025-09-25,69.0,69.0,69.0,69.0,1600
2025-09-26,68.5,68.5,67.05,67.05,12800
2025-09-29,67.05,69.0,67.0,69.0,9600
2025-09-30,69.0,69.0,67.0,67.25,6400
2025-10-03,67.0,67.25,66.0,66.0,11200
2025-10-06,68.0,68.0,68.0,68.0,1600
2025-10-07,66.05,66.05,64.05,64.67,14400
2025-10-08,64.67,64.67,63.1,63.1,8000
2025-10-09,64.65,67.0,64.65,66.0,24000
2025-10-10,66.0,67.5,65.5,65.55,9600
2025-10-13,65.0,66.0,65.0,65.0,6400
2025-10-14,64.95,67.0,64.5,67.0,6400
2025-10-15,65.0,65.0,64.58,64.58,3200
2025-10-16,65.0,65.0,65.0,65.0,3200
2025-10-17,64.0,65.5,63.5,65.5,9600
2025-10-20,78.6,78.6,69.51,71.0,43200
2025-10-21,71.0,72.5,71.0,72.5,4800
2025-10-23,70.0,71.0,70.0,70.0,9600
2025-10-24,69.5,69.5,68.5,68.5,4800
2025-10-27,68.5,68.89,67.0,68.89,11200
2025-10-28,66.5,66.5,66.0,66.0,3200
2025-10-29,66.01,66.01,64.1,64.1,11200
2025-10-30,63.9,70.0,63.01,67.74,52800
2025-10-31,68.0,69.0,67.74,67.87,9600
2025-11-03,67.87,67.87,65.0,65.0,19200
2025-11-04,65.0,65.0,64.0,64.0,4800
2025-11-06,64.0,66.0,64.0,66.0,9600
2025-11-07,66.5,67.0,66.0,66.0,9600
2025-11-10,67.5,67.5,67.5,67.5,1600
2025-11-11,68.5,68.5,66.1,68.05,17600
2025-11-12,68.9,68.9,68.05,68.05,6400
2025-11-14,68.5,68.5,68.5,68.5,1600
2025-11-17,69.0,69.0,68.0,68.5,8000
2025-11-18,67.5,67.5,66.5,66.5,4800
2025-11-19,66.0,66.0,65.0,65.0,6400
2025-11-20,65.0,65.0,63.0,63.0,22400
2025-11-21,63.0,63.0,63.0,63.0,3200
2025-11-24,63.0,63.0,63.0,63.0,1600
2025-11-25,63.0,63.0,63.0,63.0,1600
2025-11-26,63.5,63.5,62.0,62.0,4800
2025-11-27,63.0,63.0,61.5,61.5,4800
2025-11-28,61.05,61.05,60.5,60.53,8000
2025-12-01,60.5,60.5,58.5,59.0,20800
2025-12-02,59.0,59.0,59.0,59.0,1600
2025-12-03,58.5,58.5,58.05,58.05,3200
2025-12-04,53.25,56.1,53.25,56.1,35200
2025-12-05,56.5,56.5,52.0,52.1,46400
2025-12-08,54.5,55.0,52.0,52.0,14400
2025-12-09,51.5,51.5,50.0,50.0,30400
2025-12-10,52.0,52.5,50.1,50.55,38400
2025-12-11,52.4,52.8,50.0,50.0,25600
2025-12-12,50.6,50.6,50.6,50.6,6400
2025-12-15,52.0,53.0,50.0,50.5,62400
2025-12-16,50.01,50.1,50.0,50.0,80000
2025-12-17,50.1,50.1,50.1,50.1,3200
2025-12-18,50.1,50.1,49.0,49.0,32000
2025-12-19,49.05,49.5,49.05,49.5,40000
2025-12-22,49.5,52.5,49.5,52.5,9600
2025-12-23,52.9,52.9,52.0,52.0,8000
2025-12-24,50.5,62.4,50.0,62.4,198400
2025-12-26,66.0,69.0,62.0,63.2,83200
2025-12-29,61.6,61.6,60.0,60.0,9600
2025-12-31,60.0,60.0,59.05,59.05,6400
2026-01-01,61.9,70.86,61.9,68.5,91200
2026-01-02,69.79,71.9,67.0,71.48,30400
2026-01-05,72.0,72.5,68.0,70.5,16000
2026-01-06,71.0,71.0,68.6,68.75,8000
2026-01-07,68.0,68.0,68.0,68.0,3200
2026-01-08,68.1,70.9,68.1,70.84,8000
2026-01-09,68.0,68.0,67.0,67.25,4800
2026-01-12,67.5,67.5,67.5,67.5,1600
2026-01-13,66.0,66.15,66.0,66.15,3200
2026-01-14,66.15,68.9,66.15,68.0,8000
2026-01-16,66.65,66.65,65.0,65.0,8000
2026-01-19,66.0,66.0,64.5,64.83,9600
2026-01-20,64.0,64.0,58.0,60.23,25600
2026-01-21,60.5,61.0,60.5,61.0,4800
2026-01-23,60.0,60.0,57.5,58.0,14400
2026-01-28,59.5,59.6,59.5,59.6,3200
2026-01-30,59.0,59.8,59.0,59.8,8000
2026-02-01,58.5,58.5,57.5,57.5,4800
2026-02-03,60.0,61.5,60.0,61.5,8000
2026-02-04,61.5,62.5,61.3,61.3,9600
2026-02-05,61.3,61.3,61.3,61.3,1600
2026-02-06,62.95,62.95,62.9,62.9,4800
2026-02-09,63.0,63.0,63.0,63.0,8000
2026-02-10,61.0,61.0,60.5,61.0,6400
2026-02-12,61.0,61.0,61.0,61.0,1600
2026-02-13,60.0,60.0,59.5,59.5,4800
2026-02-17,59.5,59.5,59.5,59.5,1600
2026-02-19,59.1,59.1,56.5,57.21,16000
2026-02-20,57.21,57.21,57.21,57.21,1600
