Datetime,Open,High,Low,Close,Volume
2019-11-14,0.29,0.29,0.29,0.29,27
2019-12-02,0.31,0.31,0.31,0.31,27
2020-06-11,0.29,0.29,0.29,0.29,549
2020-07-10,0.29,0.29,0.29,0.29,3055
2020-07-15,0.28,0.28,0.28,0.28,668
2020-07-23,0.27,0.28,0.27,0.27,2443
2020-07-24,0.27,0.27,0.27,0.27,768
2020-08-11,0.28,0.28,0.27,0.27,156
2020-08-12,0.27,0.27,0.27,0.27,7062
2020-08-17,0.25,0.25,0.25,0.25,11179
2020-08-18,0.24,0.25,0.24,0.24,24691
2020-08-19,0.23,0.23,0.23,0.23,6111
2020-08-20,0.22,0.23,0.22,0.23,3357
2020-08-21,0.23,0.23,0.23,0.23,302
2020-09-15,0.21,0.21,0.21,0.21,915
2020-09-16,0.21,0.21,0.21,0.21,796
2020-10-15,0.2,0.2,0.2,0.2,15945
2020-10-16,0.19,0.19,0.19,0.19,2937
2020-10-19,0.18,0.18,0.18,0.18,640
2020-10-20,0.17,0.17,0.17,0.17,1006
2020-10-21,0.16,0.16,0.16,0.16,1006
2020-11-10,0.15,0.15,0.15,0.15,10026
2020-12-07,0.15,0.15,0.15,0.15,12222
2020-12-11,0.16,0.16,0.16,0.16,3055
2020-12-14,0.15,0.16,0.15,0.16,161052
2020-12-15,0.16,0.16,0.16,0.16,3055
2020-12-16,0.17,0.17,0.17,0.17,13750
2020-12-17,0.16,0.16,0.16,0.16,16649
2020-12-21,0.16,0.17,0.16,0.17,25971
2020-12-22,0.17,0.17,0.17,0.17,3055
2020-12-24,0.16,0.18,0.16,0.18,10786
2020-12-28,0.18,0.18,0.18,0.18,30527
2020-12-29,0.19,0.19,0.18,0.18,6111
2020-12-30,0.18,0.18,0.18,0.18,457
2020-12-31,0.18,0.18,0.17,0.17,25057
2021-01-01,0.17,0.17,0.17,0.17,64
2021-01-04,0.17,0.17,0.17,0.17,298026
2021-01-07,0.17,0.17,0.17,0.17,3394
2021-01-08,0.17,0.17,0.17,0.17,25999
2021-01-12,0.18,0.18,0.18,0.18,27
2021-01-15,0.18,0.18,0.18,0.18,1098
2021-01-19,0.18,0.19,0.17,0.19,4309
2021-01-20,0.2,0.2,0.2,0.2,366
2021-01-21,0.21,0.21,0.21,0.21,640
2021-01-22,0.22,0.22,0.22,0.22,5443
2021-01-25,0.23,0.23,0.23,0.23,15277
2021-01-29,0.23,0.23,0.23,0.23,768
2021-02-01,0.23,0.23,0.22,0.22,183
2021-03-05,0.22,0.22,0.22,0.22,27
2021-03-18,0.22,0.22,0.22,0.22,27
2021-03-19,0.23,0.23,0.23,0.23,8645
2021-03-22,0.23,0.23,0.23,0.23,27
2021-03-25,0.24,0.24,0.24,0.24,64
2021-04-07,0.24,0.24,0.24,0.24,1189
2021-04-13,0.24,0.24,0.24,0.24,27
2021-04-19,0.24,0.24,0.24,0.24,640
2021-04-26,0.24,0.24,0.24,0.24,640
2021-05-03,0.24,0.24,0.24,0.24,64
2021-05-12,0.24,0.24,0.24,0.24,91
2021-05-14,0.24,0.24,0.24,0.24,2571
2021-05-21,0.24,0.24,0.24,0.24,183
2021-05-24,0.24,0.24,0.24,0.24,1226
2021-05-31,0.24,0.24,0.24,0.24,613
2021-06-01,0.24,0.24,0.24,0.24,338
2021-06-03,0.24,0.24,0.24,0.24,27
2021-06-07,0.24,0.24,0.24,0.24,521
2021-06-08,0.24,0.24,0.24,0.24,30555
2021-06-09,0.24,0.24,0.23,0.23,17381
2021-06-10,0.23,0.23,0.23,0.23,27
2021-06-11,0.23,0.23,0.23,0.23,1006
2021-06-14,0.23,0.23,0.23,0.23,3513
2021-06-23,0.23,0.23,0.23,0.23,8435
2021-07-15,0.23,0.23,0.23,0.23,27
2021-07-30,0.23,0.23,0.23,0.23,119
2021-08-05,0.23,0.23,0.23,0.23,302
2021-08-30,0.23,0.23,0.23,0.23,64
2021-08-31,0.23,0.23,0.23,0.23,27
2021-09-15,0.23,0.23,0.23,0.23,64
2021-09-20,0.24,0.24,0.24,0.24,1866
2021-09-21,0.23,0.23,0.23,0.23,302
2021-09-23,0.23,0.23,0.23,0.23,91
2021-09-27,0.24,0.24,0.24,0.24,247
2021-09-28,0.24,0.24,0.24,0.24,2049
2021-09-29,0.24,0.24,0.24,0.24,27
2021-09-30,0.24,0.24,0.24,0.24,613
2021-10-04,0.25,0.25,0.25,0.25,33089
2021-10-05,0.25,0.25,0.25,0.25,2479
2021-10-06,0.25,0.25,0.25,0.25,1070
2021-10-07,0.25,0.25,0.25,0.25,91
2021-10-08,0.25,0.25,0.25,0.25,457
2021-10-11,0.23,0.23,0.23,0.23,2443
2021-10-12,0.23,0.23,0.23,0.23,91
2021-10-13,0.24,0.24,0.22,0.24,18488
2021-10-14,0.25,0.25,0.25,0.25,1070
2021-10-18,0.25,0.25,0.23,0.23,2196
2021-10-19,0.23,0.23,0.23,0.23,7913
2021-10-20,0.24,0.24,0.24,0.24,156
2021-10-21,0.24,0.24,0.24,0.24,4739
2021-10-22,0.23,0.23,0.23,0.23,6632
2021-10-25,0.23,0.23,0.23,0.23,64
2021-10-26,0.24,0.24,0.23,0.23,887
2021-10-27,0.24,0.24,0.24,0.24,27
2021-10-28,0.24,0.24,0.24,0.24,3421
2021-11-01,0.24,0.24,0.24,0.24,915
2021-11-02,0.24,0.24,0.24,0.24,27
2021-11-08,0.25,0.25,0.25,0.25,27
2021-11-09,0.25,0.25,0.25,0.25,1528
2021-11-11,0.25,0.25,0.23,0.23,302
2021-11-15,0.23,0.23,0.23,0.23,64
2021-11-16,0.23,0.23,0.23,0.23,338
2021-11-17,0.23,0.23,0.23,0.23,2717
2021-11-18,0.24,0.24,0.23,0.23,1528
2021-11-22,0.23,0.23,0.23,0.23,119
2021-11-24,0.24,0.24,0.24,0.24,302
2021-11-25,0.24,0.24,0.24,0.24,64
2021-11-29,0.24,0.25,0.24,0.25,4675
2021-11-30,0.25,0.25,0.25,0.25,3119
2021-12-09,0.25,0.25,0.25,0.25,3421
2021-12-13,0.26,0.26,0.26,0.26,3174
2021-12-16,0.26,0.26,0.26,0.26,4400
2021-12-20,0.26,0.27,0.26,0.27,3824
2021-12-21,0.27,0.27,0.27,0.27,393
2021-12-24,0.27,0.28,0.27,0.28,3449
2021-12-29,0.29,0.29,0.29,0.29,91
2022-01-03,0.29,0.29,0.29,0.29,274
2022-01-04,0.29,0.3,0.29,0.3,17473
2022-01-05,0.32,0.32,0.32,0.32,247
2022-01-06,0.32,0.32,0.32,0.32,27
2022-01-07,0.33,0.33,0.33,0.33,1592
2022-01-11,0.34,0.35,0.34,0.35,16805
2022-01-12,0.36,0.36,0.36,0.36,22943
2022-01-13,0.38,0.38,0.38,0.38,3055
2022-01-14,0.4,0.4,0.4,0.4,3174
2022-01-17,0.41,0.41,0.41,0.41,156
2022-01-18,0.41,0.43,0.41,0.43,30308
2022-01-20,0.44,0.44,0.43,0.43,16805
2022-01-21,0.43,0.43,0.42,0.42,29420
2022-01-24,0.42,0.42,0.41,0.42,3513
2022-01-25,0.42,0.42,0.42,0.42,2479
2022-01-27,0.42,0.42,0.4,0.4,4647
2022-01-28,0.4,0.4,0.4,0.4,4217
2022-01-31,0.4,0.4,0.4,0.4,64
2022-02-01,0.39,0.39,0.39,0.39,27
2022-02-02,0.41,0.41,0.41,0.41,3760
2022-02-03,0.41,0.41,0.41,0.41,27
2022-02-04,0.43,0.43,0.43,0.43,3824
2022-02-07,0.45,0.45,0.45,0.45,13448
2022-02-09,0.47,0.48,0.45,0.48,1830
2022-02-10,0.5,0.5,0.48,0.5,27984
2022-02-11,0.52,0.52,0.52,0.52,1436
2022-02-15,0.55,0.55,0.54,0.55,21324
2022-02-16,0.58,0.58,0.58,0.58,24471
2022-02-17,0.61,0.61,0.61,0.61,105258
2022-02-18,0.64,0.64,0.61,0.64,31350
2022-02-21,0.67,0.67,0.67,0.67,20656
2022-02-22,0.7,0.7,0.7,0.7,1134
2022-02-23,0.74,0.74,0.74,0.74,25084
2022-02-24,0.77,0.77,0.77,0.77,18305
2022-02-25,0.81,0.81,0.81,0.81,71712
2022-02-28,0.85,0.85,0.85,0.85,3028
2022-03-02,0.89,0.89,0.89,0.89,613
2022-03-03,0.94,0.94,0.94,0.94,15305
2022-03-04,0.98,0.98,0.98,0.98,156
2022-03-07,1.03,1.03,1.03,1.03,3357
2022-03-08,1.08,1.08,1.08,1.08,23922
2022-03-09,1.14,1.14,1.14,1.14,36547
2022-03-10,1.14,1.19,1.14,1.14,40764
2022-03-11,1.08,1.08,1.08,1.08,156
2022-03-15,1.03,1.03,1.03,1.03,1528
